# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.216
metadata : {}


# id : NWRW1800000032.216.1.1
경기·강원교육청 “평준화 무산 법적대응”

경기·강원교육청	경기/NNP+·/SP+강원교육청/NNP
경기	경기/NNP
광명·안산·의정부시와	광명/NNP+·/SP+안산/NNP+·/SP+의정부시/NNP+와/JC
강원	강원/NNP
춘천·원주·강릉시에서	춘천/NNP+·/SP+원주/NNP+·/SP+강릉시/NNP+에서/JKB
2012학년도부터	2012/SN+학년도/NNG+부터/JX
고교	고교/NNG
평준화(신입생	평준/NNG+화/XSN+(/SS+신입/NNG+생/XSN
추첨	추첨/NNG
배정)	배정/NNG+)/SS
제도를	제도/NNG+를/JKO
시행하겠다며,	시행/NNG+하/XSV+겠/EP+다며/EC+,/SP
지난해	지난해/NNG
말	말/NNB
이들	이/NP+들/XSN
6곳을	6/SN+곳/NNG+을/JKO
평준화	평준/NNG+화/XSN
시행	시행/NNG
지역에	지역/NNG+에/JKB
포함하도록	포함/NNG+하/XSV+도록/EC
교과부령을	교과부령/NNG+을/JKO
개정할	개정/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.216.6.1
김상곤(사진) 경기도교육감은 이날 기자회견을 열어, 교과부의 이주호 장관과 설동근 차관 등이 평준화 요구를 거부하는 이유로 ‘학군 설정, 학생 배정 방법이 확정되지 않는 등 준비가 미흡하다’고 밝힌 것을 두고 “거짓일 수 있는 것도 있고, 사실과 달리 국민들을 호도할 수 있다”고 비판했다.

김상곤(사진)	김상곤/NNP+(/SS+사진/NNG+)/SS
경기도교육감은	경기도/NNP+교육감/NNG+은/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어,	열/VV+어/EF+,/SP
교과부의	교과부/NNG+의/JKG
이주호	이주호/NNP
장관과	장관/NNG+과/JC
설동근	설동근/NNP
차관	차관/NNG
등이	등/NNB+이/JKS
평준화	평준/NNG+화/XSN
요구를	요구/NNG+를/JKO
거부하는	거부/NNG+하/XSV+는/ETM
이유로	이유/NNG+로/JKB
‘학군	‘/SS+학군/NNG
설정,	설정/NNG+,/SP
학생	학생/NNG
배정	배정/NNG
방법이	방법/NNG+이/JKS
확정되지	확정/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
등	등/NNB
준비가	준비/NNG+가/JKS
미흡하다’고	미흡/NNG+하/XSA+다/EF+’/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
“거짓일	“/SS+거짓/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것도	것/NNB+도/JX
있고,	있/VA+고/EC+,/SP
사실과	사실/NNG+과/JKB
달리	달리/MAG
국민들을	국민/NNG+들/XSN+을/JKO
호도할	호도/NNG+하/XSV+ㄹ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.216.6.2
특히 학군 설정, 학생 배정 방법 등은 평준화 시행의 전제조건이 아닌데도 마치 그 전제인 것처럼 주장한다는 것이다.

특히	특히/MAG
학군	학군/NNG
설정,	설정/NNG+,/SP
학생	학생/NNG
배정	배정/NNG
방법	방법/NNG
등은	등/NNB+은/JX
평준화	평준/NNG+화/XSN
시행의	시행/NNG+의/JKG
전제조건이	전제/NNG+조건/NNG+이/JKS
아닌데도	아니/VCN+ㄴ데/EC+도/JX
마치	마치/MAG
그	그/MMD
전제인	전제/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
주장한다는	주장/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.216.7.1
김 교육감은 “교과부령이 개정되면 도의회가 학군을 고시하며, 이후 학생 배정 방법을 확정해 고시하도록 돼 있다”고 반박했다.

김	김/NNP
교육감은	교육감/NNG+은/JX
“교과부령이	“/SS+교과부령/NNG+이/JKS
개정되면	개정/NNG+되/XSV+면/EC
도의회가	도/NNG+의회/NNG+가/JKS
학군을	학군/NNG+을/JKO
고시하며,	고시/NNG+하/XSV+며/EC+,/SP
이후	이후/NNG
학생	학생/NNG
배정	배정/NNG
방법을	방법/NNG+을/JKO
확정해	확정/NNG+하/XSV+아/EC
고시하도록	고시/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.216.7.2
2002년 경기 7곳, 2005년 전남 3곳, 2008년 포항에서 고교 평준화를 시행할 때도 이런 절차를 밟았다.

2002년	2002/SN+년/NNB
경기	경기/NNP
7곳,	7/SN+곳/NNG+,/SP
2005년	2005/SN+년/NNB
전남	전남/NNP
3곳,	3/SN+곳/NNG+,/SP
2008년	2008/SN+년/NNB
포항에서	포항/NNP+에서/JKB
고교	고교/NNG
평준화를	평준/NNG+화/XSN+를/JKO
시행할	시행/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
이런	이런/MMD
절차를	절차/NNG+를/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.216.8.1
교과부가 ‘3월 말까지 입학전형 기본계획에 학군 설정, 학생 배정 방법 등을 담아야 하고 이를 어기는 건 초·중등교육법 시행령 위반’이라고 주장한 점도 “억지”라고 경기도교육청은 반박했다.

교과부가	교과부/NNG+가/JKS
‘3월	‘/SS+3/SN+월/NNB
말까지	말/NNB+까지/JX
입학전형	입학/NNG+전형/NNG
기본계획에	기본/NNG+계획/NNG+에/JKB
학군	학군/NNG
설정,	설정/NNG+,/SP
학생	학생/NNG
배정	배정/NNG
방법	방법/NNG
등을	등/NNB+을/JKO
담아야	담/VV+아야/EC
하고	하/VX+고/EC
이를	이/NP+를/JKO
어기는	어기/VV+는/ETM
건	거/NNB+ㄴ/JX
초·중등교육법	초·중등/NNG+교육법/NNG
시행령	시행령/NNG
위반’이라고	위반/NNG+’/SS+이라고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
점도	점/NNG+도/JX
“억지”라고	“/SS+억지/NNG+”/SS+라고/JKQ
경기도교육청은	경기도교육청/NNP+은/JX
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.216.8.2
기본계획에는 입학전형 실시권자, 전형 방법 등 기본적 사항만을 명시하도록 돼 있고, 학군 설정 등은 7월 말까지 고시하면 된다는 것이다.

기본계획에는	기본/NNG+계획/NNG+에/JKB+는/JX
입학전형	입학/NNG+전형/NNG
실시권자,	실시권자/NNG+,/SP
전형	전형/NNG
방법	방법/NNG
등	등/NNB
기본적	기본/NNG+적/XSN
사항만을	사항/NNG+만/JX+을/JKO
명시하도록	명시/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있고,	있/VX+고/EC+,/SP
학군	학군/NNG
설정	설정/NNG
등은	등/NNB+은/JX
7월	7/SN+월/NNB
말까지	말/NNB+까지/JX
고시하면	고시/NNG+하/XSV+면/EC
된다는	되/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.216.8.3
김 교육감은 “준비가 부족해서 (평준화 시행이) 곤란하다고 하는데, 이는 경기도교육청이 1년6개월 동안 착실히 준비해온 점을 호도하는 것”이라며 “특히 예비 학부모들이 교과부의 이런 결정에 당혹감과 어려움에 빠질 수 있다”고 우려했다.

김	김/NNP
교육감은	교육감/NNG+은/JX
“준비가	“/SS+준비/NNG+가/JKS
부족해서	부족/NNG+하/XSA+아서/EC
(평준화	(/SS+평준/NNG+화/XSN
시행이)	시행/NNG+이/JKS+)/SS
곤란하다고	곤란/NNG+하/XSA+다고/EC
하는데,	하/VV+는데/EC+,/SP
이는	이/NP+는/JX
경기도교육청이	경기도교육청/NNP+이/JKS
1년6개월	1/SN+년/NNB+6/SN+개월/NNB
동안	동안/NNG
착실히	착실히/MAG
준비해온	준비/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
점을	점/NNG+을/JKO
호도하는	호도/NNG+하/XSV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“특히	“/SS+특히/MAG
예비	예비/NNG
학부모들이	학부모/NNG+들/XSN+이/JKS
교과부의	교과부/NNG+의/JKG
이런	이런/MMD
결정에	결정/NNG+에/JKB
당혹감과	당혹감/NNG+과/JC
어려움에	어려움/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.216.8.4
그는 “교과부가 적절치 못한 사유로 거부하는 것은 지방교육자치 훼손으로 볼 수밖에 없다”며 “법적 대응도 검토할 수 있다”고 경고했다.

그는	그/NP+는/JX
“교과부가	“/SS+교과부/NNG+가/JKS
적절치	적절하/VA+지/EC
못한	못하/VX+ㄴ/ETM
사유로	사유/NNG+로/JKB
거부하는	거부/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
지방교육자치	지방/NNG+교육/NNG+자치/NNG
훼손으로	훼손/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“법적	“/SS+법/NNG+적/XSN
대응도	대응/NNG+도/JX
검토할	검토/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.216.9.1
강원도교육청(교육감 민병희)도 이날 오후 긴급 성명을 내어 “교과부의 이번 발표는 고교 평준화에 대한 강원도민의 20년 열망을 한순간에 허무는 비민주적 결정”이라고 비판했다.

강원도교육청(교육감	강원도교육청/NNP+(/SS+교육감/NNG
민병희)도	민병희/NNP+)/SS+도/JX
이날	이날/NNG
오후	오후/NNG
긴급	긴급/NNG
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“교과부의	“/SS+교과부/NNG+의/JKG
이번	이번/NNG
발표는	발표/NNG+는/JX
고교	고교/NNG
평준화에	평준/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
강원도민의	강원/NNP+도민/NNG+의/JKG
20년	20/SN+년/NNB
열망을	열망/NNG+을/JKO
한순간에	한순간/NNG+에/JKB
허무는	허무/NNG+는/JX
비민주적	비/XPN+민주/NNG+적/XSN
결정”이라고	결정/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.216.10.1
성기선 가톨릭대 교수(교육학)는 “일단 교과부령을 개정해야 입학전형 계획을 교육감이 확정할 수 있다”며 “교과부가 부령 개정도 거부하면서 3월 말 입학전형 계획 발표 시한을 지키라고 트집 잡는 셈”이라고 지적했다.

성기선	성기선/NNP
가톨릭대	가톨릭대/NNP
교수(교육학)는	교수/NNG+(/SS+교육학/NNG+)/SS+는/JX
“일단	“/SS+일단/MAG
교과부령을	교과부령/NNG+을/JKO
개정해야	개정/NNG+하/XSV+아야/EC
입학전형	입학/NNG+전형/NNG
계획을	계획/NNG+을/JKO
교육감이	교육감/NNG+이/JKS
확정할	확정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“교과부가	“/SS+교과부/NNG+가/JKS
부령	부령/NNG
개정도	개정/NNG+도/JX
거부하면서	거부/NNG+하/XSV+면서/EC
3월	3/SN+월/NNB
말	말/NNB
계획	계획/NNG
발표	발표/NNG
시한을	시한/NNG+을/JKO
지키라고	지키/VV+라고/EC
트집	트집/NNG
잡는	잡/VV+는/ETM
셈”이라고	셈/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


