# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.404
metadata : {}


# id : NWRW1800000038.404.1.1
41년전 납북된 오대양號 선원, 이달초 탈북

41년전	41/SN+년/NNB+전/NNG
인정됐다.	인정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.404.7.1
전씨는 지난 11일 박근혜 대통령에게 보낸 탄원서에서 '나이가 68세로 되고 보니 여생을 고향 땅에서 살다가 묻히고 싶어 탈출하게 되었다'며 '박 대통령님, 도와주시기 바란다'고 썼다.

전씨는	전/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
박근혜	박근혜/NNP
대통령에게	대통령/NNG+에게/JKB
보낸	보내/VV+ㄴ/ETM
탄원서에서	탄원서/NNG+에서/JKB
'나이가	'/SS+나이/NNG+가/JKS
68세로	68/SN+세/NNB+로/JKB
되고	되/VV+고/EC
보니	보/VX+니/EC
여생을	여생/NNG+을/JKO
고향	고향/NNG
땅에서	땅/NNG+에서/JKB
살다가	살/VV+다가/EC
묻히고	묻히/VV+고/EC
싶어	싶/VX+어/EC
탈출하게	탈출/NNG+하/XSV+게/EC
되었다'며	되/VV+었/EP+다/EF+'/SS+며/EC
'박	'/SS+박/NNP
대통령님,	대통령/NNG+님/XSN+,/SP
도와주시기	도와주/VV+시/EP+기/ETN
바란다'고	바라/VV+ㄴ다/EF+'/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.404.7.2
외교 소식통은 "전씨는 현재 안전한 곳에 머무르고 있으며 조만간 한국에 입국할 것"이라고 말했다.

외교	외교/NNG
소식통은	소식통/NNG+은/JX
"전씨는	"/SS+전/NNP+씨/NNB+는/JX
현재	현재/MAG
안전한	안전/NNG+하/XSA+ㄴ/ETM
곳에	곳/NNG+에/JKB
머무르고	머무르/VV+고/EC
있으며	있/VX+으며/EC
조만간	조만간/MAG
한국에	한국/NNP+에/JKB
입국할	입국/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.404.8.1
북한 인권 유린을 조사하기 위해 방한한 유엔 북한인권조사위원회(COI) 조사관은 지난 12~13일 전씨의 고향인 경남 거제시 농소 마을을 방문해 전씨와 함께 납북됐던 선원들의 가족을 만나 피해 사실을 조사했다.

북한	북한/NNP
인권	인권/NNG
유린을	유린/NNG+을/JKO
조사하기	조사/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
방한한	방한/NNG+하/XSV+ㄴ/ETM
유엔	유엔/NNP
북한인권조사위원회(COI)	북한인권조사위원회/NNP+(/SS+COI/SL+)/SS
조사관은	조사관/NNG+은/JX
지난	지나/VV+ㄴ/ETM
12~13일	12/SN+~/SO+13/SN+일/NNB
전씨의	전/NNP+씨/NNB+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
경남	경남/NNP
거제시	거제시/NNP
농소	농소/NNP
마을을	마을/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
전씨와	전/NNP+씨/NNB+와/JKB
함께	함께/MAG
납북됐던	납북/NNG+되/XSV+었/EP+던/ETM
선원들의	선원/NNG+들/XSN+의/JKG
가족을	가족/NNG+을/JKO
만나	만나/VV+아/EC
피해	피해/NNG
사실을	사실/NNG+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.404.9.1
전씨의 탈북을 도운 최 대표는 23일 서울 연세대 새천년관에서 COI가 개최하는 공개 청문회에 증인으로 출석, 전후 납북자 피해 사실을 증언할 예정이다.

전씨의	전/NNP+씨/NNB+의/JKG
탈북을	탈북/NNG+을/JKO
도운	돕/VV+ㄴ/ETM
최	최/NNP
대표는	대표/NNG+는/JX
23일	23/SN+일/NNB
서울	서울/NNP
연세대	연세대/NNP
새천년관에서	새천년관/NNP+에서/JKB
COI가	COI/SL+가/JKS
개최하는	개최/NNG+하/XSV+는/ETM
공개	공개/NNG
청문회에	청문회/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
출석,	출석/NNG+,/SP
전후	전후/NNG
납북자	납북자/NNG
피해	피해/NNG
사실을	사실/NNG+을/JKO
증언할	증언/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


