# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.189
metadata : {}


# id : NWRW1800000041.189.1.1
34년을 건너… ‘코스모스’ 美 사로잡다

34년을	34/SN+년/NNB+을/JKO
세이건	세이건/NNP
코넬대	코넬대/NNP
교수는	교수/NNG+는/JX
1996년	1996/SN+년/NNB
세상을	세상/NNG+을/JKO
떠나	떠나/VV+아/EC
우주로	우주/NNG+로/JKB
돌아갔지만	돌아가/VV+았/EP+지만/EC
그의	그/NP+의/JKG
후배인	후배/NNG+이/VCP+ㄴ/ETM
천체물리학	천체/NNG+물리학/NNG
박사	박사/NNG
닐	닐/NNP
더그래스	더그래스/NNP
타이슨	타이슨/NNP
미	미/NNP
자연사박물관	자연사/NNG+박물관/NNG
헤이든	헤이든/NNP
플라네타륨(뉴욕	플라네타륨/NNG+(/SS+뉴욕/NNP
소재)	소재/NNG+)/SS
소장이	소장/NNG+이/JKS
바통을	바통/NNG+을/JKO
넘겨받았다.	넘겨받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.5.2
타이슨 소장은 첫 방송에서 선배와의 인연을 감동적으로 소개했다.

타이슨	타이슨/NNP
소장은	소장/NNG+은/JX
첫	첫/MMN
방송에서	방송/NNG+에서/JKB
선배와의	선배/NNG+와/JKB+의/JKG
인연을	인연/NNG+을/JKO
감동적으로	감동/NNG+적/XSN+으로/JKB
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.6.1
타이슨 소장세이건 교수는 고등학생이던 타이슨 소장의 대입 지원서를 읽고 감명을 받은 뒤 연락해 여러 조언을 해 줬다고 한다.

타이슨	타이슨/NNP
소장세이건	소장/NNG+세이건/NNP
교수는	교수/NNG+는/JX
고등학생이던	고등학생/NNG+이/VCP+던/ETM
소장의	소장/NNG+의/JKG
대입	대입/NNG
지원서를	지원서/NNG+를/JKO
읽고	읽/VV+고/EC
감명을	감명/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
연락해	연락/NNG+하/XSV+아/EC
여러	여러/MMN
조언을	조언/NNG+을/JKO
해	하/VV+아/EC
줬다고	주/VX+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.189.6.2
타이슨 소장은 방송에서 “눈이 많이 내리던 그날 버스 정류장에서 만난 세이건 교수는 나에게 자신이 쓴 책을 선물했다.

타이슨	타이슨/NNP
소장은	소장/NNG+은/JX
방송에서	방송/NNG+에서/JKB
“눈이	“/SS+눈/NNG+이/JKS
많이	많이/MAG
내리던	내리/VV+던/ETM
그날	그날/NNG
버스	버스/NNG
정류장에서	정류장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
세이건	세이건/NNP
교수는	교수/NNG+는/JX
나에게	나/NP+에게/JKB
자신이	자신/NNG+이/JKS
쓴	쓰/VV+ㄴ/ETM
책을	책/NNG+을/JKO
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.6.3
앞장에는 ‘미래의 과학자 타이슨에게’라는 서명이 적혀 있었다”고 말했다.

앞장에는	앞/NNG+장/NNB+에/JKB+는/JX
‘미래의	‘/SS+미래/NNG+의/JKG
과학자	과학자/NNG
타이슨에게’라는	타이슨/NNP+에게/JKB+’/SS+이/VCP+라는/ETM
서명이	서명/NNG+이/JKS
적혀	적히/VV+어/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.7.1
원작 제작에 참여했던 세이건 교수의 부인 앤 드리앤이 후속편의 대본 집필을 맡았다.

원작	원작/NNG
제작에	제작/NNG+에/JKB
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
세이건	세이건/NNP
교수의	교수/NNG+의/JKG
부인	부인/NNG
앤	앤/NNP
드리앤이	드리앤/NNP+이/JKS
후속편의	후속/NNG+편/NNB+의/JKG
대본	대본/NNG
집필을	집필/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.7.2
이날 첫 방송의 상당 부분은 34년 전 원작을 떠올리게 했다.

이날	이날/NNG
첫	첫/MMN
방송의	방송/NNG+의/JKG
상당	상당/NNG
부분은	부분/NNG+은/JX
34년	34/SN+년/NNB
전	전/NNG
원작을	원작/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.189.7.3
해설자가 우주 나이를 1년짜리 달력으로 만들어 보이면서 “예수가 태어난 시간은 새해를 5초 남겨둔 시간”이라고 말하는 대목은 원작 시청자에게 익숙한 장면이었다.

해설자가	해설자/NNG+가/JKS
우주	우주/NNG
나이를	나이/NNG+를/JKO
1년짜리	1/SN+년/NNB+짜리/XSN
달력으로	달력/NNG+으로/JKB
만들어	만들/VV+어/EC
보이면서	보이/VV+면서/EC
“예수가	“/SS+예수/NNP+가/JKS
태어난	태어나/VV+ㄴ/ETM
시간은	시간/NNG+은/JX
새해를	새해/NNG+를/JKO
5초	5/SN+초/NNB
남겨둔	남기/VV+어/EC+두/VX+ㄴ/ETM
시간”이라고	시간/NNG+”/SS+이라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
대목은	대목/NNG+은/JX
원작	원작/NNG
시청자에게	시청자/NNG+에게/JKB
익숙한	익숙하/VA+ㄴ/ETM
장면이었다.	장면/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.189.8.1
또 다른 곳에서도 시간의 흔적이 나타났다.

또	또/MAG
다른	다른/MMD
곳에서도	곳/NNG+에서/JKB+도/JX
시간의	시간/NNG+의/JKG
흔적이	흔적/NNG+이/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.8.2
원작 방송 때 19세 청년이던 버락 오바마 대통령은 첫 회 방송에 등장해 “(이 방송은) 젊은 세대들이 탐험 정신을 기르고 시청자들이 미래에 대한 무한한 가능성을 상상하고 새로운 개척지를 탐험하도록 고무시킨다”고 인사말을 했다.

원작	원작/NNG
방송	방송/NNG
때	때/NNG
19세	19/SN+세/NNB
청년이던	청년/NNG+이/VCP+던/ETM
버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
첫	첫/MMN
회	회/NNB
방송에	방송/NNG+에/JKB
등장해	등장/NNG+하/XSV+아/EC
“(이	“/SS+(/SS+이/MMD
방송은)	방송/NNG+은/JX+)/SS
젊은	젊/VA+은/ETM
세대들이	세대/NNG+들/XSN+이/JKS
탐험	탐험/NNG
정신을	정신/NNG+을/JKO
기르고	기르/VV+고/EC
시청자들이	시청자/NNG+들/XSN+이/JKS
미래에	미래/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무한한	무한/NNG+하/XSA+ㄴ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
상상하고	상상/NNG+하/XSV+고/EC
새로운	새롭/VA+ㄴ/ETM
개척지를	개척지/NNG+를/JKO
탐험하도록	탐험/NNG+하/XSV+도록/EC
고무시킨다”고	고무/NNG+시키/XSV+ㄴ다/EF+”/SS+고/JKQ
인사말을	인사말/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.9.1
타이슨 소장이 우주선을 타고 지구 궤도를 넘어 은하계를 종횡무진 누비는 대목에선 현란한 최신 컴퓨터그래픽 기술이 활용됐다.

타이슨	타이슨/NNP
소장이	소장/NNG+이/JKS
우주선을	우주선/NNG+을/JKO
타고	타/VV+고/EC
지구	지구/NNG
궤도를	궤도/NNG+를/JKO
넘어	넘/VV+어/EC
은하계를	은하/NNG+계/XSN+를/JKO
종횡무진	종횡무진/NNG
누비는	누비/VV+는/ETM
대목에선	대목/NNG+에서/JKB+ㄴ/JX
현란한	현란/NNG+하/XSA+ㄴ/ETM
최신	최신/NNG
컴퓨터그래픽	컴퓨터/NNG+그래픽/NNG
기술이	기술/NNG+이/JKS
활용됐다.	활용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.189.9.2
지구가 태양을 돈다는 지동설을 주장하다 7년 동안 옥살이를 하고 화형된 이탈리아 과학자 조르다노 브루노의 선구자적인 삶은 과감하게 만화로 표현했다.

지구가	지구/NNG+가/JKS
태양을	태양/NNG+을/JKO
돈다는	돌/VV+ㄴ다는/ETM
지동설을	지동설/NNG+을/JKO
주장하다	주장/NNG+하/XSV+다/EC
7년	7/SN+년/NNB
동안	동안/NNG
옥살이를	옥살이/NNG+를/JKO
하고	하/VV+고/EC
화형된	화형/NNG+되/XSV+ㄴ/ETM
이탈리아	이탈리아/NNP
과학자	과학자/NNG
조르다노	조르다노/NNP
브루노의	브루노/NNP+의/JKG
선구자적인	선구자/NNG+적/XSN+이/VCP+ㄴ/ETM
삶은	삶/NNG+은/JX
과감하게	과감하/VA+게/EC
만화로	만화/NNG+로/JKB
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.10.1
미 주요 언론들은 첫 방송 전부터 사전 리뷰 기사를 쏟아냈다.

미	미/NNP
주요	주요/NNG
언론들은	언론/NNG+들/XSN+은/JX
첫	첫/MMN
방송	방송/NNG
전부터	전/NNG+부터/JX
사전	사전/NNG
리뷰	리뷰/NNG
기사를	기사/NNG+를/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.189.10.2
워싱턴포스트(WP)는 9일자에서 “후속편은 비평가와 작가들에게 원작의 향수를 불러일으킨다”며 최초의 유인우주왕복선 발사를 앞둔 1980년대 당시에 원작이 던진 문화적 충격과 타이밍을 상기시켰다.

워싱턴포스트(WP)는	워싱턴포스트/NNP+(/SS+WP/SL+)/SS+는/JX
9일자에서	9/SN+일/NNB+자/NNG+에서/JKB
“후속편은	“/SS+후속/NNG+편/NNB+은/JX
비평가와	비평가/NNG+와/JC
작가들에게	작가/NNG+들/XSN+에게/JKB
원작의	원작/NNG+의/JKG
향수를	향수/NNG+를/JKO
불러일으킨다”며	불러일으키/VV+ㄴ다/EF+”/SS+며/EC
최초의	최초/NNG+의/JKG
유인우주왕복선	유인/NNG+우주/NNG+왕복선/NNG
발사를	발사/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
1980년대	1980/SN+년대/NNB
당시에	당시/NNG+에/JKB
원작이	원작/NNG+이/JKS
던진	던지/VV+ㄴ/ETM
문화적	문화/NNG+적/XSN
충격과	충격/NNG+과/JC
타이밍을	타이밍/NNG+을/JKO
상기시켰다.	상기/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.189.11.1
폭스TV는 대대적인 홍보에 나섰다.

폭스TV는	폭스TV/NNP+는/JX
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
홍보에	홍보/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.189.11.2
이날 주요 조간에는 “오늘 밤 9시 10개 채널을 통해 찾아간다”는 전면 광고가 실렸다.

이날	이날/NNG
주요	주요/NNG
조간에는	조간/NNG+에/JKB+는/JX
“오늘	“/SS+오늘/NNG
밤	밤/NNG
9시	9/SN+시/NNB
10개	10/SN+개/NNB
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
찾아간다”는	찾아가/VV+ㄴ다/EF+”/SS+는/ETM
전면	전면/NNG
광고가	광고/NNG+가/JKS
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.189.11.3
내셔널지오그래픽도 이 프로그램을 방영한다.

내셔널지오그래픽도	내셔널지오그래픽/NNP+도/JX
이	이/MMD
프로그램을	프로그램/NNG+을/JKO
방영한다.	방영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.189.11.4
다른 프로그램 방송 중간에도 광고가 계속 나와 시청자들의 흥미를 불러일으켰다.

다른	다른/MMD
프로그램	프로그램/NNG
방송	방송/NNG
중간에도	중간/NNG+에/JKB+도/JX
광고가	광고/NNG+가/JKS
계속	계속/MAG
나와	나오/VV+아/EC
시청자들의	시청자/NNG+들/XSN+의/JKG
흥미를	흥미/NNG+를/JKO
불러일으켰다.	불러일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.189.11.5
삼성전자는 갤럭시 광고를 이번 방송을 위해 특별 제작했다.

삼성전자는	삼성전자/NNP+는/JX
갤럭시	갤럭시/NNP
광고를	광고/NNG+를/JKO
이번	이번/NNG
방송을	방송/NNG+을/JKO
위해	위하/VV+아/EC
특별	특별/NNG
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


