# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.152
metadata : {}


# id : NWRW1800000040.152.1.1
공연 한류 이끌던 ‘점프’ 추락 왜?

공연	공연/NNG
하지만 속을 들여다보면 한국 공연관광 시장의 문제점이 고스란히 담겨 있다.

하지만	하지만/MAJ
속을	속/NNG+을/JKO
들여다보면	들여다보/VV+면/EC
한국	한국/NNP
공연관광	공연/NNG+관광/NNG
시장의	시장/NNG+의/JKG
문제점이	문제점/NNG+이/JKS
고스란히	고스란히/MAG
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.152.7.1
공연계에선 <점프>의 위기가 외국인 관광객을 대상으로 한 공연이 난립하면서 수익성이 악화된 탓이라고 입을 모은다.

공연계에선	공연/NNG+계/XSN+에서/JKB+ㄴ/JX
<점프>의	</SS+점프/NNP+>/SS+의/JKG
위기가	위기/NNG+가/JKS
외국인	외국인/NNG
관광객을	관광객/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
공연이	공연/NNG+이/JKS
난립하면서	난립/NNG+하/XSV+면서/EC
수익성이	수익/NNG+성/XSN+이/JKS
악화된	악화/NNG+되/XSV+ㄴ/ETM
탓이라고	탓/NNG+이/VCP+라고/EC
입을	입/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.152.7.2
현재 외국 관광객을 겨냥한 논버벌 작품은 16개 안팎이다.

현재	현재/MAG
외국	외국/NNG
관광객을	관광객/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
논버벌	논버벌/NNG
작품은	작품/NNG+은/JX
16개	16/SN+개/NNB
안팎이다.	안팎/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.152.7.3
한류바람을 타고 일본·중국·동남아 관광객들이 늘어나자 이를 겨냥해 너도나도 ‘언어 소통’의 불편이 없는 논버벌 퍼포먼스 작품을 만들었기 때문이다.

한류바람을	한류/NNG+바람/NNG+을/JKO
타고	타/VV+고/EC
일본·중국·동남아	일본/NNP+·/SP+중국/NNP+·/SP+동남아/NNP
관광객들이	관광객/NNG+들/XSN+이/JKS
늘어나자	늘어나/VV+자/EC
이를	이/NP+를/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
너도나도	너도나도/MAG
‘언어	‘/SS+언어/NNG
소통’의	소통/NNG+’/SS+의/JKG
불편이	불편/NNG+이/JKS
없는	없/VA+는/ETM
논버벌	논버벌/NNG
퍼포먼스	퍼포먼스/NNG
작품을	작품/NNG+을/JKO
만들었기	만들/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.152.7.4
하지만 최근 엔 약세 현상에 한-일 관계 경색으로 일본 관광객이 급감했고, 중국이 저가 상품 및 쇼핑 옵션 강요 금지 등을 뼈대로 하는 관광 관련 법을 시행하면서 중국 관광객도 생각만큼 늘지 않고 있다.

하지만	하지만/MAJ
최근	최근/MAG
엔	에/JKB+ㄴ/JX
약세	약세/NNG
현상에	현상/NNG+에/JKB
한-일	한-일/NNP
관계	관계/NNG
경색으로	경색/NNG+으로/JKB
일본	일본/NNP
관광객이	관광객/NNG+이/JKS
급감했고,	급감/NNG+하/XSV+았/EP+고/EC+,/SP
중국이	중국/NNP+이/JKS
저가	저가/NNG
상품	상품/NNG
및	및/MAG
쇼핑	쇼핑/NNG
옵션	옵션/NNG
강요	강요/NNG
금지	금지/NNG
등을	등/NNB+을/JKO
뼈대로	뼈대/NNG+로/JKB
하는	하/VV+는/ETM
관광	관광/NNG
관련	관련/NNG
법을	법/NNG+을/JKO
시행하면서	시행/NNG+하/XSV+면서/EC
중국	중국/NNP
관광객도	관광객/NNG+도/JX
생각만큼	생각/NNG+만큼/JKB
늘지	늘/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.152.7.5
패키지 관광과 연계한 옵션 판매 관람객이 70~80%에 이르는 공연관광은 타격을 받을 수밖에 없었다.

패키지	패키지/NNG
관광과	관광/NNG+과/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
옵션	옵션/NNG
판매	판매/NNG
관람객이	관람객/NNG+이/JKS
70~80%에	70/SN+~/SO+80/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
공연관광은	공연/NNG+관광/NNG+은/JX
타격을	타격/NNG+을/JKO
받을	받/VV+을/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.152.7.6
관객은 줄어드는데 공연은 늘어나다 보니 가격 출혈경쟁이 심해졌다.

관객은	관객/NNG+은/JX
줄어드는데	줄어들/VV+는데/EC
공연은	공연/NNG+은/JX
늘어나다	늘어나/VV+다/EC
보니	보/VX+니/EC
가격	가격/NNG
출혈경쟁이	출혈/NNG+경쟁/NNG+이/JKS
심해졌다.	심하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.152.7.7
<점프> 관계자는 “배우와 스태프가 자체적으로 임금을 삭감하고, 대관료를 낮추려고 상설 공연장 규모를 줄이는 등 자구책을 펼쳐왔지만 자유 관광객이 아닌 패키지 관광객 위주인 현실에서 비슷한 공연이 난립하니 수지타산을 맞추기가 힘들었다”고 하소연했다.

<점프>	</SS+점프/NNP+>/SS
관계자는	관계자/NNG+는/JX
“배우와	“/SS+배우/NNG+와/JC
스태프가	스태프/NNG+가/JKS
자체적으로	자체/NNG+적/XSN+으로/JKB
임금을	임금/NNG+을/JKO
삭감하고,	삭감/NNG+하/XSV+고/EC+,/SP
대관료를	대관료/NNG+를/JKO
낮추려고	낮추/VV+려고/EC
상설	상설/NNG
공연장	공연장/NNG
규모를	규모/NNG+를/JKO
줄이는	줄이/VV+는/ETM
등	등/NNB
자구책을	자구책/NNG+을/JKO
펼쳐왔지만	펼치/VV+어/EC+오/VX+았/EP+지만/EC
자유	자유/NNG
관광객이	관광객/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
패키지	패키지/NNG
관광객	관광객/NNG
위주인	위주/NNG+이/VCP+ㄴ/ETM
현실에서	현실/NNG+에서/JKB
비슷한	비슷하/VA+ㄴ/ETM
공연이	공연/NNG+이/JKS
난립하니	난립/NNG+하/XSV+니/EC
수지타산을	수지/NNG+타산/NNG+을/JKO
맞추기가	맞추/VV+기/ETN+가/JKS
힘들었다”고	힘들/VA+었/EP+다/EF+”/SS+고/JKQ
하소연했다.	하소연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.152.8.1
<점프>는 노사협의로 법정관리 대신 자구책 마련에 합의하면서 갈등은 일단락된 상태다.

<점프>는	</SS+점프/NNP+>/SS+는/JX
노사협의로	노사/NNG+협의/NNG+로/JKB
법정관리	법정/NNG+관리/NNG
대신	대신/NNG
자구책	자구책/NNG
마련에	마련/NNG+에/JKB
합의하면서	합의/NNG+하/XSV+면서/EC
갈등은	갈등/NNG+은/JX
일단락된	일단락/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.152.8.2
하지만 한국 공연관광계의 문제점은 여전해 이런 문제가 언제든 다시 불거질 수 있다.

하지만	하지만/MAJ
한국	한국/NNP
공연관광계의	공연/NNG+관광/NNG+계/XSN+의/JKG
문제점은	문제점/NNG+은/JX
여전해	여전하/VA+아/EC
이런	이런/MMD
문제가	문제/NNG+가/JKS
언제든	언제/NP+든/JX
다시	다시/MAG
불거질	불거지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.152.8.3
<점프> 등 7개 논버벌 퍼포먼스 제작사들은 이런 문제들을 해결하려고 12일 ‘한국공연관광협회’를 공식 출범했다.

<점프>	</SS+점프/NNP+>/SS
등	등/NNB
7개	7/SN+개/NNB
논버벌	논버벌/NNG
퍼포먼스	퍼포먼스/NNG
제작사들은	제작사/NNG+들/XSN+은/JX
이런	이런/MMD
문제들을	문제/NNG+들/XSN+을/JKO
해결하려고	해결/NNG+하/XSV+려고/EC
12일	12/SN+일/NNB
‘한국공연관광협회’를	‘/SS+한국공연관광협회/NNP+’/SS+를/JKO
공식	공식/NNG
출범했다.	출범/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.152.8.4
최광일 협회장은 “저가경쟁이 아닌 작품성으로 승부하는 공연관광 문화를 만들고, 패키지 관광객을 넘어 자유관광객들을 겨냥한 다양한 마케팅을 펼칠 계획”이라며 “또한 2015년까지 임진각에서 파주·일산까지 연결해 영국의 에든버러페스티벌과 같은 공연문화축제를 만들겠다”는 포부를 밝혔다.

최광일	최광일/NNP
협회장은	협회장/NNG+은/JX
“저가경쟁이	“/SS+저가/NNG+경쟁/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
작품성으로	작품/NNG+성/XSN+으로/JKB
승부하는	승부/NNG+하/XSV+는/ETM
공연관광	공연/NNG+관광/NNG
문화를	문화/NNG+를/JKO
만들고,	만들/VV+고/EC+,/SP
패키지	패키지/NNG
관광객을	관광객/NNG+을/JKO
넘어	넘/VV+어/EC
자유관광객들을	자유/NNG+관광객/NNG+들/XSN+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
마케팅을	마케팅/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“또한	“/SS+또한/MAG
2015년까지	2015/SN+년/NNB+까지/JX
임진각에서	임진각/NNP+에서/JKB
파주·일산까지	파주/NNP+·/SP+일산/NNP+까지/JX
연결해	연결/NNG+하/XSV+아/EC
영국의	영국/NNP+의/JKG
에든버러페스티벌과	에든버러/NNP+페스티벌/NNG+과/JKB
같은	같/VA+은/ETM
공연문화축제를	공연/NNG+문화/NNG+축제/NNG+를/JKO
만들겠다”는	만들/VV+겠/EP+다/EF+”/SS+는/ETM
포부를	포부/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.152.8.5
최 회장의 말처럼 <점프>의 위기가 한국 공연관광 시장의 새로운 활로를 모색하는 도약의 계기가 되길 기대한다.

최	최/NNP
회장의	회장/NNG+의/JKG
말처럼	말/NNG+처럼/JKB
<점프>의	</SS+점프/NNP+>/SS+의/JKG
위기가	위기/NNG+가/JKS
한국	한국/NNP
공연관광	공연/NNG+관광/NNG
시장의	시장/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
활로를	활로/NNG+를/JKO
모색하는	모색/NNG+하/XSV+는/ETM
도약의	도약/NNG+의/JKG
계기가	계기/NNG+가/JKC
되길	되/VV+기/ETN+ㄹ/JKO
기대한다.	기대/NNG+하/XSV+ㄴ다/EF+./SF


