# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.28
metadata : {}


# id : NWRW1800000054.28.1.1
"코미 대화 녹음테이프 없다" 말바꾼 트럼프

"코미	"/SS+코미/NNP
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.28.8.1
월스트리트저널(WSJ)은 "메모만으로는 트럼프의 사법방해 혐의를 입증하기가 쉽지 않아 특검 수사가 난항을 겪을 것으로 보인다"고 했다.

월스트리트저널(WSJ)은	월스트리트저널/NNP+(/SS+WSJ/SL+)/SS+은/JX
"메모만으로는	"/SS+메모/NNG+만/JX+으로/JKB+는/JX
트럼프의	트럼프/NNP+의/JKG
사법방해	사법/NNG+방해/NNG
혐의를	혐의/NNG+를/JKO
입증하기가	입증/NNG+하/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않아	않/VX+아/EC
특검	특검/NNG
수사가	수사/NNG+가/JKS
난항을	난항/NNG+을/JKO
겪을	겪/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


