# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.380
metadata : {}


# id : NWRW1800000033.380.1.1
[대선 D-20]文 靑수석때 부인 빌라 매입 다운계약 의혹

[대선	[/SS+대선/NNG
28일 월간 신동아가 입수한 문 후보의 부동산 등기부 등에 따르면 김 씨는 문 후보가 대통령민정수석비서관에 임명된 직후인 2003년 2월 28일 서울 종로구 평창동 S맨션 A동 104호(111.1m²·34평)에 전세로 입주했다가 이듬해 5월 28일 김 씨 명의로 이 빌라를 구입했다.

28일	28/SN+일/NNB
월간	월간/NNG
신동아가	신동아/NNP+가/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
문	문/NNP
후보의	후보/NNG+의/JKG
부동산	부동산/NNG
등기부	등기부/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
김	김/NNP
씨는	씨/NNB+는/JX
후보가	후보/NNG+가/JKS
대통령민정수석비서관에	대통령/NNG+민정/NNG+수석/NNG+비서관/NNG+에/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
직후인	직후/NNG+이/VCP+ㄴ/ETM
2003년	2003/SN+년/NNB
2월	2/SN+월/NNB
서울	서울/NNP
종로구	종로구/NNP
평창동	평창동/NNP
S맨션	S/SL+맨션/NNG
A동	A/SL+동/NNB
104호(111.1m²·34평)에	104/SN+호/NNB+(/SS+111/SN+./SP+1/SN+m²/SW+·/SP+34/SN+평/NNB+)/SS+에/JKB
전세로	전세/NNG+로/JKB
입주했다가	입주/NNG+하/XSV+았/EP+다가/EC
이듬해	이듬해/NNG
5월	5/SN+월/NNB
씨	씨/NNB
명의로	명의/NNG+로/JKB
이	이/MMD
빌라를	빌라/NNG+를/JKO
구입했다.	구입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.380.5.1
당시 김 씨는 매입 가격을 1억6000만 원으로 종로구청에 신고했다.

당시	당시/NNG
김	김/NNP
씨는	씨/NNB+는/JX
매입	매입/NNG
가격을	가격/NNG+을/JKO
1억6000만	1/SN+억/NR+6000/SN+만/NR
원으로	원/NNB+으로/JKB
종로구청에	종로구청/NNP+에/JKB
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.380.5.2
문 후보가 2005년 2월 공직자 재산신고 때 밝힌 실매입액은 2억9800만 원이었다.

문	문/NNP
후보가	후보/NNG+가/JKS
2005년	2005/SN+년/NNB
2월	2/SN+월/NNB
공직자	공직자/NNG
재산신고	재산/NNG+신고/NNG
때	때/NNG
밝힌	밝히/VV+ㄴ/ETM
실매입액은	실매입액/NNG+은/JX
2억9800만	2/SN+억/NR+9800/SN+만/NR
원이었다.	원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.380.5.3
전문가들은 1억3800만 원을 축소 신고했다면 700만 원 안팎의 취득세와 등록세를 적게 냈을 것이라고 추정한다.

전문가들은	전문가/NNG+들/XSN+은/JX
1억3800만	1/SN+억/NR+3800/SN+만/NR
원을	원/NNB+을/JKO
축소	축소/NNG
신고했다면	신고/NNG+하/XSV+았/EP+다면/EC
700만	700/SN+만/NR
원	원/NNB
안팎의	안팎/NNG+의/JKG
취득세와	취득세/NNG+와/JC
등록세를	등록세/NNG+를/JKO
적게	적/VA+게/EC
냈을	내/VV+었/EP+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
추정한다.	추정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.380.5.4
주변 부동산중개업소에 따르면 2004년 당시 시세는 4억 원 정도였다.

주변	주변/NNG
부동산중개업소에	부동산/NNG+중개업소/NNG+에/JKB
따르면	따르/VV+면/EC
2004년	2004/SN+년/NNB
당시	당시/NNG
시세는	시세/NNG+는/JX
4억	4/SN+억/NR
원	원/NNB
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.380.6.1
문 후보는 이 빌라에 전세로 살던 2003년 재산신고 때 전세보증금을 2억3000만 원으로 신고했다.

문	문/NNP
후보는	후보/NNG+는/JX
이	이/MMD
빌라에	빌라/NNG+에/JKB
전세로	전세/NNG+로/JKB
살던	살/VV+던/ETM
2003년	2003/SN+년/NNB
재산신고	재산/NNG+신고/NNG
때	때/NNG
전세보증금을	전세/NNG+보증금/NNG+을/JKO
2억3000만	2/SN+억/NR+3000/SN+만/NR
원으로	원/NNB+으로/JKB
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.380.6.2
매입 신고 가격보다 전세 가격이 더 높다.

매입	매입/NNG
신고	신고/NNG
가격보다	가격/NNG+보다/JKB
전세	전세/NNG
가격이	가격/NNG+이/JKS
더	더/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000033.380.6.3
김 씨는 2008년 4월 22일 이 빌라를 4억2000만 원에 팔았다.

김	김/NNP
씨는	씨/NNB+는/JX
2008년	2008/SN+년/NNB
4월	4/SN+월/NNB
22일	22/SN+일/NNB
이	이/MMD
빌라를	빌라/NNG+를/JKO
4억2000만	4/SN+억/NR+2000/SN+만/NR
원에	원/NNB+에/JKB
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.380.7.1
이에 대해 문 후보 캠프 우상호 공보단장은 “2004년 5월 2억9800만 원에 빌라를 매입했지만 등기 업무를 대행한 법무사 사무실에서 당시 법률에 따라 시가표준액인 1억6000만 원으로 신고한 것”이라며 “세금탈루 목적의 다운계약서가 아니다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
문	문/NNP
후보	후보/NNG
캠프	캠프/NNG
우상호	우상호/NNP
공보단장은	공보단장/NNG+은/JX
“2004년	“/SS+2004/SN+년/NNB
5월	5/SN+월/NNB
2억9800만	2/SN+억/NR+9800/SN+만/NR
원에	원/NNB+에/JKB
빌라를	빌라/NNG+를/JKO
매입했지만	매입/NNG+하/XSV+았/EP+지만/EC
등기	등기/NNG
업무를	업무/NNG+를/JKO
대행한	대행/NNG+하/XSV+ㄴ/ETM
법무사	법무사/NNG
사무실에서	사무실/NNG+에서/JKB
당시	당시/NNG
법률에	법률/NNG+에/JKB
따라	따르/VV+아/EC
시가표준액인	시가/NNG+표준액/NNG+이/VCP+ㄴ/ETM
1억6000만	1/SN+억/NR+6000/SN+만/NR
원으로	원/NNB+으로/JKB
신고한	신고/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“세금탈루	“/SS+세금/NNG+탈루/NNG
목적의	목적/NNG+의/JKG
다운계약서가	다운/NNG+계약서/NNG+가/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.380.7.2
우 단장은 “문 후보는 비록 법 위반은 아니지만 법무사의 등기절차까지 꼼꼼하게 살펴보지 못한 것에 대해 사과드린다고 말했다”고 전했다.

우	우/NNP
단장은	단장/NNG+은/JX
“문	“/SS+문/NNP
후보는	후보/NNG+는/JX
비록	비록/MAG
법	법/NNG
위반은	위반/NNG+은/JX
아니지만	아니/VCN+지만/EC
법무사의	법무사/NNG+의/JKG
등기절차까지	등기/NNG+절차/NNG+까지/JX
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
살펴보지	살펴보/VV+지/EC
못한	못하/VX+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
사과드린다고	사과/NNG+드리/VV+ㄴ다고/EC
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.380.7.3
부동산 실거래가 신고제도는 2006년부터 시행됐다.

부동산	부동산/NNG
실거래가	실거래/NNG+가/XSN
신고제도는	신고/NNG+제도/NNG+는/JX
2006년부터	2006/SN+년/NNB+부터/JX
시행됐다.	시행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.380.8.1
우 단장에 따르면 김 씨가 2008년 4월 이 빌라를 4억2000만 원에 매도할 때는 매입 신고액인 1억6000만 원이 아니라 실매입액인 2억9800만 원을 기준으로 양도소득세를 냈다고 한다.

우	우/NNP
단장에	단장/NNG+에/JKB
따르면	따르/VV+면/EC
김	김/NNP
씨가	씨/NNB+가/JKS
2008년	2008/SN+년/NNB
4월	4/SN+월/NNB
이	이/MMD
빌라를	빌라/NNG+를/JKO
4억2000만	4/SN+억/NR+2000/SN+만/NR
원에	원/NNB+에/JKB
매도할	매도/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
매입	매입/NNG
신고액인	신고액/NNG+이/VCP+ㄴ/ETM
1억6000만	1/SN+억/NR+6000/SN+만/NR
원이	원/NNB+이/JKC
아니라	아니/VCN+라/EC
실매입액인	실매입액/NNG+이/VCP+ㄴ/ETM
2억9800만	2/SN+억/NR+9800/SN+만/NR
원을	원/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
양도소득세를	양도/NNG+소득세/NNG+를/JKO
냈다고	내/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


