# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.385
metadata : {}


# id : NWRW1800000024.385.1.1
본인 자서전 회삿돈 구입·기자간담회에 5천만원 사용 드러나도 /임인배 “나중에 사장 해봐라” 뻔뻔 답변

본인	본인/NNG
펼쳐라>라는	펼치/VV+어라/EF+>/SS+이/VCP+라는/ETM
자서전을	자서전/NNG+을/JKO
낸	내/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
‘시이오(CEO)	‘/SS+시이오/NNG+(/SS+CEO/SL+)/SS
경영소개	경영/NNG+소개/NNG
보도	보도/NNG
의뢰’를	의뢰/NNG+’/SS+를/JKO
위해	위하/VV+아/EC
5월~6월	5/SN+월/NNB+~/SO+6/SN+월/NNB
사이에	사이/NNG+에/JKB
모두	모두/MAG
22차례나	22/SN+차례/NNG+나/JX
기자간담회를	기자/NNG+간담회/NNG+를/JKO
갖기도	갖/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.385.3.5
임 사장은 또 공사 예산 540만원을 들여 본인의 자서전을 500권이나 구매하도록 지시하기도 한 것으로 밝혀졌다.

임	임/NNP
사장은	사장/NNG+은/JX
또	또/MAG
공사	공사/NNG
예산	예산/NNG
540만원을	540/SN+만/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
본인의	본인/NNG+의/JKG
자서전을	자서전/NNG+을/JKO
500권이나	500/SN+권/NNB+이나/JX
구매하도록	구매/NNG+하/XSV+도록/EC
지시하기도	지시/NNG+하/XSV+기/ETN+도/JX
한	하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.385.3.6
최 의원은 이에 대해 “기업홍보를 빙자한 정치활동”이라고 지적했다.

최	최/NNP
의원은	의원/NNG+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“기업홍보를	“/SS+기업/NNG+홍보/NNG+를/JKO
빙자한	빙자/NNG+하/XSV+ㄴ/ETM
정치활동”이라고	정치/NNG+활동/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.385.4.1
임 사장은 15대~17대 국회의원을 지낸 3선 의원 출신으로, 18대 총선 때 한나라당 김천 지역구 공천에서 탈락한 바 있다.

임	임/NNP
사장은	사장/NNG+은/JX
15대~17대	15/SN+대/NNB+~/SO+17/SN+대/NNB
국회의원을	국회/NNG+의원/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
3선	3/SN+선/NNB
의원	의원/NNG
출신으로,	출신/NNG+으로/JKB+,/SP
18대	18/SN+대/NNB
총선	총선/NNG
때	때/NNG
한나라당	한나라당/NNP
김천	김천/NNP
지역구	지역구/NNG
공천에서	공천/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.385.4.2
이후 지난해 10월 전기안전공사 사장에 임명됐다.

이후	이후/NNG
지난해	지난해/NNG
10월	10/SN+월/NNB
전기안전공사	전기/NNG+안전/NNG+공사/NNG
사장에	사장/NNG+에/JKB
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.385.5.1
임 사장의 ‘수상한’ 경영행보는 이 뿐만이 아니다.

임	임/NNP
사장의	사장/NNG+의/JKG
‘수상한’	‘/SS+수상하/VA+ㄴ/ETM+’/SS
경영행보는	경영/NNG+행보/NNG+는/JX
이	이/NP
뿐만이	뿐/JX+만/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000024.385.5.2
최 의원은 같은 자료에서 “공사가 두 차례에 걸쳐 4340만원을 들여 직원 및 가족들을 대상으로 관람하도록 했는데, 알고보니 임 사장이 고문으로 있거나 개인적 친분관계가 있는 문화단체의 공연이었다”고 따졌다.

최	최/NNP
의원은	의원/NNG+은/JX
같은	같/VA+은/ETM
자료에서	자료/NNG+에서/JKB
“공사가	“/SS+공사/NNG+가/JKS
두	두/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
4340만원을	4340/SN+만/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
직원	직원/NNG
및	및/MAG
가족들을	가족/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
관람하도록	관람/NNG+하/XSV+도록/EC
했는데,	하/VX+았/EP+는데/EC+,/SP
알고보니	알/VV+고/EC+보/VX+니/EC
임	임/NNP
사장이	사장/NNG+이/JKS
고문으로	고문/NNG+으로/JKB
있거나	있/VA+거나/EC
개인적	개인/NNG+적/XSN
친분관계가	친분/NNG+관계/NNG+가/JKS
있는	있/VA+는/ETM
문화단체의	문화/NNG+단체/NNG+의/JKG
공연이었다”고	공연/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.385.5.3
지난 4월 공사 직원 및 가족들이 관람한 ‘오케스트라 아리랑 연주회’는 임 사장이 고문으로 있는 아리랑 오페라단의 공연이었던 것으로 드러났다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
공사	공사/NNG
직원	직원/NNG
및	및/MAG
가족들이	가족/NNG+들/XSN+이/JKS
관람한	관람/NNG+하/XSV+ㄴ/ETM
‘오케스트라	‘/SS+오케스트라/NNG
아리랑	아리랑/NNP
연주회’는	연주회/NNG+’/SS+는/JX
임	임/NNP
사장이	사장/NNG+이/JKS
고문으로	고문/NNG+으로/JKB
있는	있/VA+는/ETM
오페라단의	오페라단/NNG+의/JKG
공연이었던	공연/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.385.6.1
임 사장은 이날 국감에서 의원들의 질문에 황당한 답변으로 일관하다 국정감사장에서 쫓겨나기도 했다.

임	임/NNP
사장은	사장/NNG+은/JX
이날	이날/NNG
국감에서	국감/NNG+에서/JKB
의원들의	의원/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
황당한	황당하/VA+ㄴ/ETM
답변으로	답변/NNG+으로/JKB
일관하다	일관/NNG+하/XSV+다/EC
국정감사장에서	국정/NNG+감사장/NNG+에서/JKB
쫓겨나기도	쫓겨나/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.385.6.2
주승용 의원(민주당)이 자료 협조를 제대로 하지 않는 이유를 묻자, 임 사장은 “담당한테 물어보라, 나는 모른다”고 답변하는가 하면, “전기안전공사는 ‘신이 버린 직장’…나중에 사장을 해봐라, 정말 눈물 날 정도로 힘들다”는 등의 발언으로 물의를 빚었다.

주승용	주승용/NNP
의원(민주당)이	의원/NNG+(/SS+민주당/NNP+)/SS+이/JKS
자료	자료/NNG
협조를	협조/NNG+를/JKO
제대로	제대로/MAG
하지	하/VV+지/EC
않는	않/VX+는/ETM
이유를	이유/NNG+를/JKO
묻자,	묻/VV+자/EC+,/SP
임	임/NNP
사장은	사장/NNG+은/JX
“담당한테	“/SS+담당/NNG+한테/JKB
물어보라,	물어보/VV+라/EF+,/SP
나는	나/NP+는/JX
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
답변하는가	답변/NNG+하/XSV+는가/EF
하면,	하/VV+면/EC+,/SP
“전기안전공사는	“/SS+전기/NNG+안전/NNG+공사/NNG+는/JX
‘신이	‘/SS+신/NNG+이/JKS
버린	버리/VV+ㄴ/ETM
직장’…나중에	직장/NNG+’/SS+…/SE+나중/NNG+에/JKB
사장을	사장/NNG+을/JKO
해봐라,	하/VV+아/EC+보/VX+아라/EF+,/SP
정말	정말/MAG
눈물	눈물/NNG
날	나/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
힘들다”는	힘들/VA+다/EF+”/SS+는/ETM
등의	등/NNB+의/JKG
발언으로	발언/NNG+으로/JKB
물의를	물의/NNG+를/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.385.6.3
국회 지식경제위원회는 이런 임 사장의 발언 태도에 격분해, 공사에 대한 국감을 아예 중단해버렸다.

국회	국회/NNG
지식경제위원회는	지식/NNG+경제/NNG+위원회/NNG+는/JX
이런	이런/MMD
임	임/NNP
사장의	사장/NNG+의/JKG
발언	발언/NNG
태도에	태도/NNG+에/JKB
격분해,	격분/NNG+하/XSV+아/EC+,/SP
공사에	공사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국감을	국감/NNG+을/JKO
아예	아예/MAG
중단해버렸다.	중단/NNG+하/XSV+아/EC+버리/VX+었/EP+다/EF+./SF


