# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.393
metadata : {}


# id : NWRW1800000056.393.1.1
말바꾼 정호영 전 특검, ‘MB 다스 면죄부’ 의혹 키웠다

말바꾼	말/NNG+바꾸/VV+ㄴ/ETM
개인의	개인/NNG+의/JKG
횡령이	횡령/NNG+이/JKS
맞다	맞/VV+다/EF
해도	하/VV+아도/EC
정	정/NNP
전	전/MMD
특검은	특검/NNG+은/JX
기소를	기소/NNG+를/JKO
하든지,	하/VV+든지/EC+,/SP
검찰에	검찰/NNG+에/JKB
이첩을	이첩/NNG+을/JKO
하든지	하/VV+든지/EC
둘	둘/NR
중	중/NNB
하나는	하나/NR+는/JX
했어야	하/VV+았/EP+어야/EC
하는데	하/VX+는데/EC
그	그/MMD
‘직원’을	‘/SS+직원/NNG+’/SS+을/JKO
자기	자기/NP
맘대로	맘대로/MAG
입건유예하고,	입건/NNG+유예/NNG+하/XSV+고/EC+,/SP
심지어	심지어/MAG
국세청에	국세청/NNG+에/JKB
과세	과세/NNG
통보도	통보/NNG+도/JX
하지	하/VV+지/EC
않아	않/VX+아/EC
법인세	법인세/NNG
탈루를	탈루/NNG+를/JKO
눈감아줬다”며	눈감/VV+아/EC+주/VX+었/EP+다/EF+”/SS+며/EC
“기소하거나	“/SS+기소/NNG+하/XSV+거나/EC
이첩하면	이첩/NNG+하/XSV+면/EC
비자금의	비자금/NNG+의/JKG
단서가	단서/NNG+가/JKS
드러날까봐	드러나/VV+ㄹ까/EF+보/VX+아/EC
특검팀	특검/NNG+팀/NNG
차원에서	차원/NNG+에서/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
은폐를	은폐/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아닌가	아니/VCN+ㄴ가/EF
의심스럽다”고	의심/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.393.13.1
■ “MB 관여 사실무근” 대 “증거 못 찾아” “(이명박 대통령) 당선인이 ㈜다스의 설립, 지분변동, 운영 및 주요 업무 처리 과정에 개입한 사실은 없는 것으로 확인되었다.”

■	■/SW
“MB	“/SS+MB/SL
관여	관여/NNG
사실무근”	사실무근/NNG+”/SS
대	대/NNB
“증거	“/SS+증거/NNG
못	못/MAG
찾아”	찾/VV+아/EC+”/SS
“(이명박	“/SS+(/SS+이명박/NNP
대통령)	대통령/NNG+)/SS
당선인이	당선인/NNG+이/JKS
㈜다스의	㈜/SW+다스/NNP+의/JKG
설립,	설립/NNG+,/SP
지분변동,	지분/NNG+변동/NNG+,/SP
운영	운영/NNG
및	및/MAG
주요	주요/NNG
업무	업무/NNG
처리	처리/NNG
과정에	과정/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
사실은	사실/NNG+은/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
확인되었다.”	확인/NNG+되/XSV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000056.393.13.2
2008년 2월21일 정 전 특검은 이런 결론을 읽은 뒤 이 전 대통령을 무혐의 처분했다.

2008년	2008/SN+년/NNB
2월21일	2/SN+월/NNB+21/SN+일/NNB
정	정/NNP
전	전/MMD
특검은	특검/NNG+은/JX
이런	이런/MMD
결론을	결론/NNG+을/JKO
읽은	읽/VV+은/ETM
뒤	뒤/NNG
이	이/NNP
대통령을	대통령/NNG+을/JKO
무혐의	무/XPN+혐의/NNG
처분했다.	처분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.393.13.3
그러나 이번에 그가 낸 보도자료에는 “수사 결과 이 전 대통령이 ㈜다스의 실질적 소유자라는 증거는 찾을 수 없었다”고 말이 바뀌어 있다.

그러나	그러나/MAJ
이번에	이번/NNG+에/JKB
그가	그/NP+가/JKS
낸	내/VV+ㄴ/ETM
보도자료에는	보도/NNG+자료/NNG+에/JKB+는/JX
“수사	“/SS+수사/NNG
결과	결과/NNG
이	이/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
㈜다스의	㈜/SW+다스/NNP+의/JKG
실질적	실질/NNG+적/XSN
소유자라는	소유자/NNG+이/VCP+라는/ETM
증거는	증거/NNG+는/JX
찾을	찾/VV+을/ETM
수	수/NNB
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
말이	말/NNG+이/JKS
바뀌어	바뀌/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.393.13.4
검찰의 다른 관계자는 “당시엔 ‘사실’, ‘확인’ 이런 표현으로 이 전 대통령에게 확실한 면죄부를 줬는데, 이번엔 ‘증거를 찾지 못했다’는 소극적이고 유보적인 표현을 썼더라”고 짚었다.

검찰의	검찰/NNG+의/JKG
다른	다른/MMD
관계자는	관계자/NNG+는/JX
“당시엔	“/SS+당시/NNG+에/JKB+ㄴ/JX
‘사실’,	‘/SS+사실/NNG+’/SS+,/SP
‘확인’	‘/SS+확인/NNG+’/SS
이런	이런/MMD
표현으로	표현/NNG+으로/JKB
이	이/NNP
전	전/MMD
대통령에게	대통령/NNG+에게/JKB
확실한	확실하/VA+ㄴ/ETM
면죄부를	면죄부/NNG+를/JKO
줬는데,	주/VV+었/EP+는데/EC+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘증거를	‘/SS+증거/NNG+를/JKO
찾지	찾/VV+지/EC
못했다’는	못하/VX+았/EP+다/EF+’/SS+는/ETM
소극적이고	소극/NNG+적/XSN+이/VCP+고/EC
유보적인	유보/NNG+적/XSN+이/VCP+ㄴ/ETM
표현을	표현/NNG+을/JKO
썼더라”고	쓰/VV+었/EP+더라/EF+”/SS+고/JKQ
짚었다.	짚/VV+었/EP+다/EF+./SF


