# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.56
metadata : {}


# id : NWRW1800000021.56.1.1
“인천자유구역 신축주택도 분양가상한제 적용 말아야”

“인천자유구역	“/SS+인천/NNP+자유/NNG+구역/NNG
인천경제자유구역청 관계자는 “민간택지의 분양가상한제가 폐지되면 경제자유구역을 분양가상한제 적용 대상에서 배제하는 데 걸림돌이 됐던 타 지역과의 형평성 문제가 해소될 것으로 본다”고 건의 배경을 밝혔다.

인천경제자유구역청	인천경제자유구역청/NNP
관계자는	관계자/NNG+는/JX
“민간택지의	“/SS+민간/NNG+택지/NNG+의/JKG
분양가상한제가	분양/NNG+가/XSN+상한/NNG+제/XSN+가/JKS
폐지되면	폐지/NNG+되/XSV+면/EC
경제자유구역을	경제/NNG+자유/NNG+구역/NNG+을/JKO
분양가상한제	분양/NNG+가/XSN+상한/NNG+제/XSN
적용	적용/NNG
대상에서	대상/NNG+에서/JKB
배제하는	배제/NNG+하/XSV+는/ETM
데	데/NNB
걸림돌이	걸림돌/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
타	타/MMD
지역과의	지역/NNG+과/JKB+의/JKG
형평성	형평/NNG+성/XSN
문제가	문제/NNG+가/JKS
해소될	해소/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
건의	건의/NNG
배경을	배경/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.56.5.1
현행 주택법은 경제자유구역 안에서는 민간사업시행자가 짓는 주택도 대한주택공사나 한국토지공사 사업처럼 공공택지 안의 주택사업으로 명시했다.

현행	현행/NNG
주택법은	주택법/NNG+은/JX
경제자유구역	경제/NNG+자유/NNG+구역/NNG
안에서는	안/NNG+에서/JKB+는/JX
민간사업시행자가	민간사업/NNG+시행자/NNG+가/JKS
짓는	짓/VV+는/ETM
주택도	주택/NNG+도/JX
대한주택공사나	대한주택공사/NNP+나/JC
한국토지공사	한국토지공사/NNP
사업처럼	사업/NNG+처럼/JKB
공공택지	공공/NNG+택지/NNG
안의	안/NNG+의/JKG
주택사업으로	주택/NNG+사업/NNG+으로/JKB
명시했다.	명시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.56.6.1
이 때문에 최근 국회에 제출된 주택법 개정안이 통과돼 민간택지의 분양가상한제가 폐지된다고 해도 경제자유구역은 여전히 분양가상한제를 적용받게 된다.

이	이/MMD
때문에	때문/NNB+에/JKB
최근	최근/MAG
국회에	국회/NNG+에/JKB
제출된	제출/NNG+되/XSV+ㄴ/ETM
주택법	주택법/NNG
개정안이	개정안/NNG+이/JKS
통과돼	통과/NNG+되/XSV+어/EC
민간택지의	민간/NNG+택지/NNG+의/JKG
분양가상한제가	분양/NNG+가/XSN+상한/NNG+제/XSN+가/JKS
폐지된다고	폐지/NNG+되/XSV+ㄴ다고/EC
해도	하/VV+아도/EC
경제자유구역은	경제/NNG+자유/NNG+구역/NNG+은/JX
여전히	여전히/MAG
분양가상한제를	분양/NNG+가/XSN+상한/NNG+제/XSN+를/JKO
적용받게	적용/NNG+받/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.56.7.1
하지만 인천경제자유구역이 두바이 홍콩 상하이 등 국제적인 도시들과 경쟁하기 위해서는 분양가상한제 폐지가 필수적이라고 인천시는 주장하고 있다.

하지만	하지만/MAJ
인천경제자유구역이	인천경제자유구역/NNP+이/JKS
두바이	두바이/NNP
홍콩	홍콩/NNP
상하이	상하이/NNP
등	등/NNB
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
도시들과	도시/NNG+들/XSN+과/JKB
경쟁하기	경쟁/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
분양가상한제	분양/NNG+가/XSN+상한/NNG+제/XSN
폐지가	폐지/NNG+가/JKS
필수적이라고	필수/NNG+적/XSN+이/VCP+라고/EC
인천시는	인천시/NNP+는/JX
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.56.8.1
인천경제자유구역청 주택팀 관계자는 “외국인 성향에 맞는 최고급 주거시설이나 호텔 등을 짓기 위해서는 고급 내·외장재 사용과 최첨단 설계의 적용이 필수적”이라며 “분양가상한제 아래서는 외국인을 위한 주택은 지을 수 없다”고 말했다.

인천경제자유구역청	인천경제자유구역청/NNP
주택팀	주택/NNG+팀/NNG
관계자는	관계자/NNG+는/JX
“외국인	“/SS+외국인/NNG
성향에	성향/NNG+에/JKB
맞는	맞/VV+는/ETM
최고급	최/XPN+고급/NNG
주거시설이나	주거/NNG+시설/NNG+이나/JC
호텔	호텔/NNG
등을	등/NNB+을/JKO
짓기	짓/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
고급	고급/NNG
내·외장재	내·외장재/NNG
사용과	사용/NNG+과/JC
최첨단	최/XPN+첨단/NNG
설계의	설계/NNG+의/JKG
적용이	적용/NNG+이/JKS
필수적”이라며	필수/NNG+적/XSN+”/SS+이/VCP+라며/EC
“분양가상한제	“/SS+분양/NNG+가/XSN+상한/NNG+제/XSN
아래서는	아래/NNG+서/JKB+는/JX
외국인을	외국인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
주택은	주택/NNG+은/JX
지을	짓/VV+을/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.56.9.1
국토해양부 관계자는 “인천시의 주장이 타당한지 기획재정부 등과 면밀하게 검토하고 있다”면서도 “예외를 인정한다면 공공택지에까지 분양가상한제 폐지를 확대하는 인상을 줄 수 있어 당장 결정하기는 어렵다”고 밝혔다.

국토해양부	국토/NNG+해양부/NNG
관계자는	관계자/NNG+는/JX
“인천시의	“/SS+인천시/NNP+의/JKG
주장이	주장/NNG+이/JKS
타당한지	타당하/VA+ㄴ지/EF
기획재정부	기획/NNG+재정부/NNG
등과	등/NNB+과/JKB
면밀하게	면밀하/VA+게/EC
검토하고	검토/NNG+하/XSV+고/EC
있다”면서도	있/VX+다/EF+”/SS+면서/EC+도/JX
“예외를	“/SS+예외/NNG+를/JKO
인정한다면	인정/NNG+하/XSV+ㄴ다면/EC
공공택지에까지	공공/NNG+택지/NNG+에/JKB+까지/JX
분양가상한제	분양/NNG+가/XSN+상한/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
확대하는	확대/NNG+하/XSV+는/ETM
인상을	인상/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
당장	당장/NNG
결정하기는	결정/NNG+하/XSV+기/ETN+는/JX
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


