# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.333
metadata : {}


# id : NWRW1800000048.333.1.1
문선재로 시작해 문선재가 끝냈다

문선재로	문선재/NNP+로/JKB
좋은	좋/VA+은/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.333.6.2
21일 엘지의 선발 우규민은 6이닝 2실점으로 호투했으나, 7이닝 무실점으로 시즌 10승을 기록한 벤 헤켄에 막혀 패배했다.

21일	21/SN+일/NNB
엘지의	엘지/NNP+의/JKG
선발	선발/NNG
우규민은	우규민/NNP+은/JX
6이닝	6/SN+이닝/NNG
2실점으로	2/SN+실점/NNG+으로/JKB
호투했으나,	호투/NNG+하/XSV+았/EP+으나/EC+,/SP
7이닝	7/SN+이닝/NNG
무실점으로	무/XPN+실점/NNG+으로/JKB
시즌	시즌/NNG
10승을	10/SN+승/NNB+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
벤	벤/NNP
헤켄에	헤켄/NNP+에/JKB
막혀	막히/VV+어/EC
패배했다.	패배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.333.6.3
22일에도 엘지의 선발 루카스는 6⅓이닝 5피안타 3볼넷 5탈삼진 3실점(3자책)으로 마운드를 지키며 시즌 6승째(6패)를 올렸다.

22일에도	22/SN+일/NNB+에/JKB+도/JX
엘지의	엘지/NNP+의/JKG
선발	선발/NNG
루카스는	루카스/NNP+는/JX
6⅓이닝	6/SN+⅓/SW+이닝/NNG
5피안타	5/SN+피/XPN+안타/NNG
3볼넷	3/SN+볼넷/NNG
5탈삼진	5/SN+탈삼진/NNG
3실점(3자책)으로	3/SN+실점/NNG+(/SS+3/SN+자책/NNG+)/SS+으로/JKB
마운드를	마운드/NNG+를/JKO
지키며	지키/VV+며/EC
시즌	시즌/NNG
6승째(6패)를	6/SN+승/NNB+째/XSN+(/SS+6/SN+패/NNB+)/SS+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.333.6.4
문성현 역시 5회까지 2실점만을 허용했지만, 6회를 넘지 못했다.

문성현	문성현/NNP
역시	역시/MAG
5회까지	5/SN+회/NNB+까지/JX
2실점만을	2/SN+실점/NNG+만/JX+을/JKO
허용했지만,	허용/NNG+하/XSV+았/EP+지만/EC+,/SP
6회를	6/SN+회/NNB+를/JKO
넘지	넘/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.333.7.1
엘지의 해결사는 7번타자 중견수로 출전한 문선재였다.

엘지의	엘지/NNP+의/JKG
해결사는	해결사/NNG+는/JX
7번타자	7/SN+번/NNB+타자/NNG
중견수로	중견수/NNG+로/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
문선재였다.	문선재/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.333.7.2
문선재는 2회 좌중간의 2루타를 치며 3루 주자였던 히메네스를 홈으로 불러들였다.

문선재는	문선재/NNP+는/JX
2회	2/SN+회/NNB
좌중간의	좌중간/NNG+의/JKG
2루타를	2루타/NNG+를/JKO
치며	치/VV+며/EC
3루	3루/NNG
주자였던	주자/NNG+이/VCP+었/EP+던/ETM
히메네스를	히메네스/NNP+를/JKO
홈으로	홈/NNG+으로/JKB
불러들였다.	불러들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.333.7.3
2-0으로 앞선 6회에는 바뀐 투수 김영민의 시속 152㎞ 직구를 받아쳐 넥센의 외야수 브래드 스나이더의 글러브를 맞고 떨어진 3루타를 쳤다.

2-0으로	2/SN+-/SO+0/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
6회에는	6/SN+회/NNB+에/JKB+는/JX
바뀐	바뀌/VV+ㄴ/ETM
투수	투수/NNG
김영민의	김영민/NNP+의/JKG
시속	시속/NNG
152㎞	152/SN+㎞/SW
직구를	직구/NNG+를/JKO
받아쳐	받아치/VV+어/EC
넥센의	넥센/NNP+의/JKG
외야수	외야수/NNG
브래드	브래드/NNP
스나이더의	스나이더/NNP+의/JKG
글러브를	글러브/NNG+를/JKO
맞고	맞/VV+고/EC
떨어진	떨어지/VV+ㄴ/ETM
3루타를	3루타/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.333.7.4
1루와 3루에 나가 있던 박용택과 이병규를 모두 불러들이는 2타점 적시타였다.

1루와	1루/NNG+와/JC
3루에	3루/NNG+에/JKB
나가	나가/VV+아/EC
있던	있/VX+던/ETM
박용택과	박용택/NNP+과/JC
이병규를	이병규/NNP+를/JKO
모두	모두/MAG
불러들이는	불러들이/VV+는/ETM
2타점	2/SN+타점/NNG
적시타였다.	적시타/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.333.7.5
문선재는 두 장타를 포함해 이날 3타수 2안타 3타점으로 맹활약했다.

문선재는	문선재/NNP+는/JX
두	두/MMN
장타를	장타/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
이날	이날/NNG
3타수	3/SN+타수/NNG
2안타	2/SN+안타/NNG
3타점으로	3/SN+타점/NNG+으로/JKB
맹활약했다.	맹활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.333.7.6
등번호 7번의 이병규도 멀티히트(4타수 2안타 1득점)를 기록하며 팀 승리를 도왔다.

등번호	등/NNG+번호/NNG
7번의	7/SN+번/NNB+의/JKG
이병규도	이병규/NNP+도/JX
멀티히트(4타수	멀티히트/NNG+(/SS+4/SN+타수/NNG
2안타	2/SN+안타/NNG
1득점)를	1/SN+득점/NNG+)/SS+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
팀	팀/NNG
승리를	승리/NNG+를/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.333.8.1
넥센은 7회에 추격에 나섰다.

넥센은	넥센/NNP+은/JX
7회에	7/SN+회/NNB+에/JKB
추격에	추격/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.333.8.2
엘지의 선발 루카스가 스나이더에게 안타, 김하성에게 볼넷, 박동원에게 안타를 허용하며 1사 만루 위기에 몰렸고, 고종욱이 2타점 2루타를 터뜨리며 추격에 나섰다.

엘지의	엘지/NNP+의/JKG
선발	선발/NNG
루카스가	루카스/NNP+가/JKS
스나이더에게	스나이더/NNP+에게/JKB
안타,	안타/NNG+,/SP
김하성에게	김하성/NNP+에게/JKB
볼넷,	볼넷/NNG+,/SP
박동원에게	박동원/NNP+에게/JKB
안타를	안타/NNG+를/JKO
허용하며	허용/NNG+하/XSV+며/EC
1사	1/SN+사/NNG
만루	만루/NNG
위기에	위기/NNG+에/JKB
몰렸고,	몰리/VV+었/EP+고/EC+,/SP
고종욱이	고종욱/NNP+이/JKS
2타점	2/SN+타점/NNG
2루타를	2루타/NNG+를/JKO
터뜨리며	터뜨리/VV+며/EC
추격에	추격/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.333.8.3
하지만 넥센의 타선은 8회부터 등판한 봉중근을 넘지 못했다.

하지만	하지만/MAJ
넥센의	넥센/NNP+의/JKG
타선은	타선/NNG+은/JX
8회부터	8/SN+회/NNB+부터/JX
등판한	등판/NNG+하/XSV+ㄴ/ETM
봉중근을	봉중근/NNP+을/JKO
넘지	넘/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.333.8.4
엘지의 마무리 투수 봉중근은 8회초 무사 1, 2루에 등판해 병살타와 삼진으로 불을 끄고, 9회초에도 무실점으로 넥센의 타선을 막아 시즌 11세이브를 거뒀다.

엘지의	엘지/NNP+의/JKG
마무리	마무리/NNG
투수	투수/NNG
봉중근은	봉중근/NNP+은/JX
8회초	8/SN+회/NNB+초/NNB
무사	무사/NNG
1,	1/SN+,/SP
2루에	2루/NNG+에/JKB
등판해	등판/NNG+하/XSV+아/EC
병살타와	병살타/NNG+와/JC
삼진으로	삼진/NNG+으로/JKB
불을	불/NNG+을/JKO
끄고,	끄/VV+고/EC+,/SP
9회초에도	9/SN+회/NNB+초/NNB+에/JKB+도/JX
무실점으로	무/XPN+실점/NNG+으로/JKB
넥센의	넥센/NNP+의/JKG
타선을	타선/NNG+을/JKO
막아	막/VV+아/EC
시즌	시즌/NNG
11세이브를	11/SN+세이브/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


