# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.208
metadata : {}


# id : NWRW1800000046.208.1.1
윤석민 '컴백홈'

윤석민	윤석민/NNP
4억원이	4/SN+억/NR+원/NNB+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.208.5.1
LA에서 개인 훈련을 하고 있던 윤석민은 현지에서 KIA와 계약을 마치고 비행기에 올라 6일 저녁 귀국했다.

LA에서	LA/SL+에서/JKB
개인	개인/NNG
훈련을	훈련/NNG+을/JKO
하고	하/VV+고/EC
있던	있/VX+던/ETM
윤석민은	윤석민/NNP+은/JX
현지에서	현지/NNG+에서/JKB
KIA와	KIA/SL+와/JKB
계약을	계약/NNG+을/JKO
마치고	마치/VV+고/EC
비행기에	비행기/NNG+에/JKB
올라	오르/VV+아/EC
6일	6/SN+일/NNB
저녁	저녁/NNG
귀국했다.	귀국/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.208.5.2
그는 2015 정규 시즌 개막일인 오는 28일에 맞춰 1군에 합류할 것으로 보인다.

그는	그/NP+는/JX
2015	2015/SN
정규	정규/NNG
시즌	시즌/NNG
개막일인	개막일/NNG+이/VCP+ㄴ/ETM
오는	오/VV+는/ETM
28일에	28/SN+일/NNB+에/JKB
맞춰	맞추/VV+어/EC
1군에	1/SN+군/NNG+에/JKB
합류할	합류/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.208.6.1
윤석민은 2013시즌을 마치고 FA 자격을 얻어 메이저리그의 문을 두드렸다.

윤석민은	윤석민/NNP+은/JX
2013시즌을	2013/SN+시즌/NNG+을/JKO
마치고	마치/VV+고/EC
FA	FA/SL
자격을	자격/NNG+을/JKO
얻어	얻/VV+어/EC
메이저리그의	메이저리그/NNG+의/JKG
문을	문/NNG+을/JKO
두드렸다.	두드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.208.6.2
작년 2월 볼티모어 오리올스와 3년간 575만달러(약 63억1500만원)에 사인했다.

작년	작년/NNG
2월	2/SN+월/NNB
볼티모어	볼티모어/NNP
오리올스와	오리올스/NNP+와/JKB
3년간	3/SN+년/NNB+간/XSN
575만달러(약	575/SN+만/NR+달러/NNB+(/SS+약/MMA
63억1500만원)에	63/SN+억/NR+1500/SN+만/NR+원/NNB+)/SS+에/JKB
사인했다.	사인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.208.6.3
지난 시즌 오리올스 산하 마이너리그 트리플A 팀인 노퍽 타이즈에서 23경기에 등판했지만 성적(4승8패·평균 자책점 5.74)은 기대에 미치지 못했다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
오리올스	오리올스/NNP
산하	산하/NNG
마이너리그	마이너리그/NNG
트리플A	트리플/NNG+A/SL
팀인	팀/NNG+이/VCP+ㄴ/ETM
노퍽	노퍽/NNP
타이즈에서	타이즈/NNP+에서/JKB
23경기에	23/SN+경기/NNG+에/JKB
등판했지만	등판/NNG+하/XSV+았/EP+지만/EC
성적(4승8패·평균	성적/NNG+(/SS+4/SN+승/NNB+8/SN+패/NNB+·/SP+평균/NNG
자책점	자책점/NNG
5.74)은	5/SN+./SP+74/SN+)/SS+은/JX
기대에	기대/NNG+에/JKB
미치지	미치/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.208.6.4
작년 8월 말엔 오리올스의 40인 명단에서도 제외됐다.

작년	작년/NNG
8월	8/SN+월/NNB
말엔	말/NNB+에/JKB+ㄴ/JX
오리올스의	오리올스/NNP+의/JKG
40인	40/SN+인/NNG
명단에서도	명단/NNG+에서/JKB+도/JX
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.208.6.5
올해 들어선 메이저리그 스프링캠프에 초청받지 못했고, 시범경기 참가 기회도 얻지 못했다.

올해	올해/NNG
들어선	들어서/VV+ㄴ/ETM
메이저리그	메이저리그/NNG
스프링캠프에	스프링캠프/NNG+에/JKB
초청받지	초청/NNG+받/XSV+지/EC
못했고,	못하/VX+았/EP+고/EC+,/SP
시범경기	시범/NNG+경기/NNG
참가	참가/NNG
기회도	기회/NNG+도/JX
얻지	얻/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.208.7.1
그러자 KIA가 윤석민에게 '국내 U턴'을 설득했다.

그러자	그러/VV+자/EC
KIA가	KIA/SL+가/JKS
윤석민에게	윤석민/NNP+에게/JKB
'국내	'/SS+국내/NNG
U턴'을	U/SL+턴/NNG+'/SS+을/JKO
설득했다.	설득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.208.7.2
KIA는 윤석민에 대한 보유권을 사들이는 형식으로 오리올스에 상징적인 금액인 1달러만 냈다.

KIA는	KIA/SL+는/JX
윤석민에	윤석민/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
보유권을	보유/NNG+권/XSN+을/JKO
사들이는	사들이/VV+는/ETM
형식으로	형식/NNG+으로/JKB
오리올스에	오리올스/NNP+에/JKB
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
금액인	금액/NNG+이/VCP+ㄴ/ETM
1달러만	1/SN+달러/NNB+만/JX
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.208.7.3
대신 오리올스는 윤석민의 2년치 잔여 연봉인 450만달러(약 49억4000만원)를 주지 않기로 했다.

대신	대신/NNG
오리올스는	오리올스/NNP+는/JX
윤석민의	윤석민/NNP+의/JKG
2년치	2/SN+년/NNB+치/NNB
잔여	잔여/NNG
연봉인	연봉/NNG+이/VCP+ㄴ/ETM
450만달러(약	450/SN+만/NR+달러/NNB+(/SS+약/MMA
49억4000만원)를	49/SN+억/NR+4000/SN+만/NR+원/NNB+)/SS+를/JKO
주지	주/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.208.8.1
윤석민은 2005년 KIA에서 데뷔해 9시즌 동안 통산 73승59패44세이브(평균자책점 3.19)를 기록한 국내 간판급 우완 투수다.

윤석민은	윤석민/NNP+은/JX
2005년	2005/SN+년/NNB
KIA에서	KIA/SL+에서/JKB
데뷔해	데뷔/NNG+하/XSV+아/EC
9시즌	9/SN+시즌/NNG
동안	동안/NNG
통산	통산/NNG
73승59패44세이브(평균자책점	73/SN+승/NNB+59/SN+패/NNB+44/SN+세이브/NNG+(/SS+평균/NNG+자책점/NNG
3.19)를	3/SN+./SP+19/SN+)/SS+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
간판급	간판급/NNG
우완	우완/NNG
투수다.	투수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.208.8.2
2011시즌엔 다승(17승), 평균자책점(2.45), 탈삼진(178개), 승률(7할7푼3리) 1위 등 투수 4관왕에 올랐다.

2011시즌엔	2011/SN+시즌/NNG+에/JKB+ㄴ/JX
다승(17승),	다승/NNG+(/SS+17/SN+승/NNB+)/SS+,/SP
평균자책점(2.45),	평균/NNG+자책점/NNG+(/SS+2/SN+./SP+45/SN+)/SS+,/SP
탈삼진(178개),	탈삼진/NNG+(/SS+178/SN+개/NNB+)/SS+,/SP
승률(7할7푼3리)	승률/NNG+(/SS+7/SN+할/NNB+7/SN+푼/NNB+3/SN+리/NNB+)/SS
1위	1/SN+위/NNB
등	등/NNB
투수	투수/NNG
4관왕에	4관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.208.8.3
그해 정규 시즌 MVP(최우수선수)도 그의 차지였다.

그해	그해/NNG
정규	정규/NNG
시즌	시즌/NNG
MVP(최우수선수)도	MVP/SL+(/SS+최/XPN+우수/NNG+선수/NNG+)/SS+도/JX
그의	그/NP+의/JKG
차지였다.	차지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.208.8.4
윤석민은 "메이저리그 무대에 계속 도전하고 싶었지만, 적극적으로 복귀를 요청한 KIA에서 다시 뛰기로 마음먹었다"면서 "힘든 시기에도 잊지 않고 응원해 준 KIA 팬들에게 좋은 모습으로 보답하겠다"고 말했다.

윤석민은	윤석민/NNP+은/JX
"메이저리그	"/SS+메이저리그/NNG
무대에	무대/NNG+에/JKB
계속	계속/MAG
도전하고	도전/NNG+하/XSV+고/EC
싶었지만,	싶/VX+었/EP+지만/EC+,/SP
적극적으로	적극/NNG+적/XSN+으로/JKB
복귀를	복귀/NNG+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
KIA에서	KIA/SL+에서/JKB
다시	다시/MAG
뛰기로	뛰/VV+기/ETN+로/JKB
마음먹었다"면서	마음먹/VV+었/EP+다/EF+"/SS+면서/EC
"힘든	"/SS+힘들/VA+ㄴ/ETM
시기에도	시기/NNG+에/JKB+도/JX
잊지	잊/VV+지/EC
않고	않/VX+고/EC
응원해	응원/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
KIA	KIA/SL
팬들에게	팬/NNG+들/XSN+에게/JKB
좋은	좋/VA+은/ETM
모습으로	모습/NNG+으로/JKB
보답하겠다"고	보답/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


