# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.254
metadata : {}


# id : NWRW1800000032.254.1.1
서울·파주서 ‘묻지마 흉기 난동’

서울·파주서	서울/NNP+·/SP+파주/NNP+서/JKB
서아무개(49)씨에	서/NNP+아무개/NP+(/SS+49/SN+)/SS+씨/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
신청했다고	신청/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.254.4.2
서씨는 이날 오전 10시30분께 도서관 직원이 출입을 막자 이에 불만을 품고 도서관 지하 3층 로비에서 직원들을 향해 ‘다 죽여버리겠다’며 흉기를 휘두르다, 신고를 받고 출동한 손아무개(49) 경위의 왼팔을 칼로 찌른 혐의를 받고 있다.

서씨는	서/NNP+씨/NNB+는/JX
이날	이날/NNG
오전	오전/NNG
10시30분께	10/SN+시/NNB+30/SN+분/NNB+께/XSN
도서관	도서관/NNG
직원이	직원/NNG+이/JKS
출입을	출입/NNG+을/JKO
막자	막/VV+자/EC
이에	이/NP+에/JKB
불만을	불만/NNG+을/JKO
품고	품/VV+고/EC
지하	지하/NNG
3층	3/SN+층/NNG
로비에서	로비/NNG+에서/JKB
직원들을	직원/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
‘다	‘/SS+다/MAG
죽여버리겠다’며	죽이/VV+어/EC+버리/VX+겠/EP+다/EF+’/SS+며/EC
흉기를	흉기/NNG+를/JKO
휘두르다,	휘두르/VV+다/EC+,/SP
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
손아무개(49)	손/NNP+아무개/NP+(/SS+49/SN+)/SS
경위의	경위/NNG+의/JKG
왼팔을	왼팔/NNG+을/JKO
칼로	칼/NNG+로/JKB
찌른	찌르/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.254.5.1
서씨는 지난 21일 국립디지털도서관에 인터넷을 사용하려고 들어왔다가 ‘목소리가 크다’며 여성 이용자를 폭행했고, 28일에는 도서관 입구 유리창과 화분을 깨 폭행과 재물손괴 혐의로 두 차례 형사입건된 뒤 도서관 출입을 제한받아왔다.

서씨는	서/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
국립디지털도서관에	국립디지털도서관/NNP+에/JKB
인터넷을	인터넷/NNG+을/JKO
사용하려고	사용/NNG+하/XSV+려고/EC
들어왔다가	들어오/VV+았/EP+다가/EC
‘목소리가	‘/SS+목소리/NNG+가/JKS
크다’며	크/VA+다/EF+’/SS+며/EC
여성	여성/NNG
이용자를	이용자/NNG+를/JKO
폭행했고,	폭행/NNG+하/XSV+았/EP+고/EC+,/SP
28일에는	28/SN+일/NNB+에/JKB+는/JX
도서관	도서관/NNG
입구	입구/NNG
유리창과	유리창/NNG+과/JC
화분을	화분/NNG+을/JKO
깨	깨/VV+어/EC
폭행과	폭행/NNG+과/JC
재물손괴	재물/NNG+손괴/NNG
혐의로	혐의/NNG+로/JKB
두	두/MMN
차례	차례/NNG
형사입건된	형사/NNG+입건/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
출입을	출입/NNG+을/JKO
제한받아왔다.	제한/NNG+받/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.254.6.1
경찰 관계자는 “출동한 경찰관이 위협을 멈추지 않는 서씨에게 공포탄 1발을 쏘고 뒤에서 제압하는 과정에서 칼에 찔려 왼쪽 팔목에 10㎝가량의 상처를 입었다”며 “마땅한 직업 없이 도서관에서 시간을 보냈던 서씨가 출입 제한을 받자 도서관 직원들이 자신을 무시한다고 생각해 난동을 피운 것으로 보인다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“출동한	“/SS+출동/NNG+하/XSV+ㄴ/ETM
경찰관이	경찰관/NNG+이/JKS
위협을	위협/NNG+을/JKO
멈추지	멈추/VV+지/EC
않는	않/VX+는/ETM
서씨에게	서/NNP+씨/NNB+에게/JKB
공포탄	공포탄/NNG
1발을	1/SN+발/NNB+을/JKO
쏘고	쏘/VV+고/EC
뒤에서	뒤/NNG+에서/JKB
제압하는	제압/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
칼에	칼/NNG+에/JKB
찔려	찔리/VV+어/EC
왼쪽	왼쪽/NNG
팔목에	팔목/NNG+에/JKB
10㎝가량의	10/SN+㎝/SW+가량/XSN+의/JKG
상처를	상처/NNG+를/JKO
입었다”며	입/VV+었/EP+다/EF+”/SS+며/EC
“마땅한	“/SS+마땅하/VA+ㄴ/ETM
직업	직업/NNG
없이	없이/MAG
도서관에서	도서관/NNG+에서/JKB
시간을	시간/NNG+을/JKO
보냈던	보내/VV+었/EP+던/ETM
서씨가	서/NNP+씨/NNB+가/JKS
출입	출입/NNG
제한을	제한/NNG+을/JKO
받자	받/VV+자/EC
도서관	도서관/NNG
직원들이	직원/NNG+들/XSN+이/JKS
자신을	자신/NNG+을/JKO
무시한다고	무시/NNG+하/XSV+ㄴ다고/EC
생각해	생각/NNG+하/XSV+아/EC
난동을	난동/NNG+을/JKO
피운	피우/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.254.7.1
경기 파주경찰서도 이날 길가는 행인을 상대로 ‘묻지마 살인’을 하려다 미수에 그친 혐의(살인미수)로 주아무개(46)씨의 구속영장을 신청했다.

경기	경기/NNP
파주경찰서도	파주경찰서/NNP+도/JX
이날	이날/NNG
길가는	길/NNG+가/VV+는/ETM
행인을	행인/NNG+을/JKO
상대로	상대/NNG+로/JKB
‘묻지마	‘/SS+묻/VV+지/EC+말/VX+아/EF
살인’을	살인/NNG+’/SS+을/JKO
하려다	하/VV+려다/EC
미수에	미수/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
혐의(살인미수)로	혐의/NNG+(/SS+살인/NNG+미수/NNG+)/SS+로/JKB
주아무개(46)씨의	주/NNP+아무개/NP+(/SS+46/SN+)/SS+씨/NNB+의/JKG
구속영장을	구속/NNG+영장/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.254.7.2
주씨는 이날 오전 11시께 파주시 금촌동 한 아파트 단지에서 어머니와 함께 교회에 가던 곽아무개(8)양의 등을 흉기로 찌른 혐의를 받고 있다.

주씨는	주/NNP+씨/NNB+는/JX
이날	이날/NNG
오전	오전/NNG
11시께	11/SN+시/NNB+께/XSN
파주시	파주시/NNP
금촌동	금촌동/NNP
한	한/MMN
아파트	아파트/NNG
단지에서	단지/NNG+에서/JKB
어머니와	어머니/NNG+와/JKB
함께	함께/MAG
교회에	교회/NNG+에/JKB
가던	가/VV+던/ETM
곽아무개(8)양의	곽/NNP+아무개/NP+(/SS+8/SN+)/SS+양/NNB+의/JKG
등을	등/NNG+을/JKO
흉기로	흉기/NNG+로/JKB
찌른	찌르/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.254.7.3
주씨는 범행 직후 현장에 그대로 앉아 있다가 8분 뒤 신고를 받고 출동한 경찰에 붙잡혔다.

주씨는	주/NNP+씨/NNB+는/JX
범행	범행/NNG
직후	직후/NNG
현장에	현장/NNG+에/JKB
그대로	그대로/MAG
앉아	앉/VV+아/EC
있다가	있/VX+다가/EC
8분	8/SN+분/NNB
뒤	뒤/NNG
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.254.8.1
주씨는 경찰 조사에서 “환청에 시달려 너무 괴롭고 해서 인생을 종 치고 싶었다”며 “사형을 받든지 하기 위해서 살인을 하려고 길가에 나섰는데, 때마침 곽양 등이 보여 흉기를 휘둘렀다”고 말했다.

주씨는	주/NNP+씨/NNB+는/JX
경찰	경찰/NNG
조사에서	조사/NNG+에서/JKB
“환청에	“/SS+환청/NNG+에/JKB
시달려	시달리/VV+어/EC
너무	너무/MAG
괴롭고	괴롭/VA+고/EC
해서	하/VX+아서/EC
인생을	인생/NNG+을/JKO
종	종/NNG
치고	치/VV+고/EC
싶었다”며	싶/VX+었/EP+다/EF+”/SS+며/EC
“사형을	“/SS+사형/NNG+을/JKO
받든지	받/VV+든지/EC
하기	하/VV+기/ETN
위해서	위하/VV+아서/EC
살인을	살인/NNG+을/JKO
하려고	하/VV+려고/EC
길가에	길가/NNG+에/JKB
나섰는데,	나서/VV+었/EP+는데/EC+,/SP
때마침	때마침/MAG
곽양	곽/NNP+양/NNB
등이	등/NNB+이/JKS
보여	보이/VV+어/EC
흉기를	흉기/NNG+를/JKO
휘둘렀다”고	휘두르/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.254.8.2
주씨가 휘두른 흉기에 찔린 곽양은 병원으로 긴급 이송돼 치료를 받고 있으며 생명에는 지장이 없다고 경찰은 전했다.

주씨가	주/NNP+씨/NNB+가/JKS
휘두른	휘두르/VV+ㄴ/ETM
흉기에	흉기/NNG+에/JKB
찔린	찔리/VV+ㄴ/ETM
곽양은	곽/NNP+양/NNB+은/JX
병원으로	병원/NNG+으로/JKB
긴급	긴급/NNG
이송돼	이송/NNG+되/XSV+어/EC
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
있으며	있/VX+으며/EC
생명에는	생명/NNG+에/JKB+는/JX
지장이	지장/NNG+이/JKS
없다고	없/VA+다고/EC
경찰은	경찰/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


