# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.271
metadata : {}


# id : NWRW1800000032.271.1.1
“반성 안하는 원전족 일 시민들 탈핵 열망 선거변화 ‘핵’ 될 수도”

“반성	“/SS+반성/NNG
히데카쓰(69·사진)	히데카쓰/NNP+(/SS+69/SN+·/SP+사진/NNG+)/SS
중의원은	중의원/NNG+은/JX
22일	22/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
따로	따로/MAG
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
“후쿠시마	“/SS+후쿠시마/NNP
원자력발전소	원자력/NNG+발전소/NNG
사고	사고/NNG
직후	직후/NNG
일본과	일본/NNP+과/JC
한국	한국/NNP
정부	정부/NNG
모두	모두/MAG
반성을	반성/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“시민들을	“/SS+시민/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
탈핵을	탈핵/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
열망이	열망/NNG+이/JKS
높아지고	높아지/VV+고/EC
있어	있/VX+어/EC
선거를	선거/NNG+를/JKO
통해	통하/VV+아/EC
변화를	변화/NNG+를/JKO
몰고	몰/VV+고/EC
올	오/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.271.4.2
히데카쓰 의원은 에너지 정책 등을 다루는 중의원 경제산업위원회에서 활동하고 있으며, 그가 속한 일본공산당은 주요 정당 중 유일하게 원전 반대를 표방하고 있다.

히데카쓰	히데카쓰/NNP
의원은	의원/NNG+은/JX
에너지	에너지/NNG
정책	정책/NNG
등을	등/NNB+을/JKO
다루는	다루/VV+는/ETM
중의원	중의원/NNG
경제산업위원회에서	경제/NNG+산업/NNG+위원회/NNG+에서/JKB
활동하고	활동/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
그가	그/NP+가/JKS
속한	속하/VV+ㄴ/ETM
일본공산당은	일본공산당/NNP+은/JX
주요	주요/NNG
정당	정당/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
원전	원전/NNG
반대를	반대/NNG+를/JKO
표방하고	표방/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.271.5.1
-원전에 대한 일본 정당들의 입장은?

-원전에	-/SO+원전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
일본	일본/NNP
정당들의	정당/NNG+들/XSN+의/JKG
입장은?	입장/NNG+은/JX+?/SF


# id : NWRW1800000032.271.6.1
“1950년대 일본은 미국과 원자력협정을 맺었다.

“1950년대	“/SS+1950/SN+년대/NNB
일본은	일본/NNP+은/JX
미국과	미국/NNP+과/JKB
원자력협정을	원자력/NNG+협정/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.271.6.2
일본공산당만 유일하게 반대했다.

일본공산당만	일본공산당/NNP+만/JX
유일하게	유일/NNG+하/XSA+게/EC
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.271.6.3
당시 미국과 옛소련은 핵무기 개발 경쟁을 벌이며 동시에 원전을 짓고 있었다.

당시	당시/NNG
미국과	미국/NNP+과/JC
옛소련은	옛/MMA+소련/NNP+은/JX
핵무기	핵무기/NNG
개발	개발/NNG
경쟁을	경쟁/NNG+을/JKO
벌이며	벌이/VV+며/EC
동시에	동시/NNG+에/JKB
원전을	원전/NNG+을/JKO
짓고	짓/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.271.6.4
미국은 일본에 원전을 지어주고 사용후핵원료를 가져갔다.

미국은	미국/NNP+은/JX
일본에	일본/NNP+에/JKB
원전을	원전/NNG+을/JKO
지어주고	짓/VV+어/EC+주/VX+고/EC
사용후핵원료를	사용/NNG+후/NNG+핵/NNG+원료/NNG+를/JKO
가져갔다.	가져가/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.271.6.5
미국이 일본, 한국을 이용해 핵무기 개발비용을 절감하려 한 것이다.”

미국이	미국/NNP+이/JKS
일본,	일본/NNP+,/SP
한국을	한국/NNP+을/JKO
이용해	이용/NNG+하/XSV+아/EC
핵무기	핵무기/NNG
개발비용을	개발/NNG+비용/NNG+을/JKO
절감하려	절감/NNG+하/XSV+려/EC
한	하/VX+ㄴ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000032.271.7.1
-일본은 나중에 원자력협정을 바꿨는데.

-일본은	-/SO+일본/NNP+은/JX
나중에	나중/NNG+에/JKB
원자력협정을	원자력/NNG+협정/NNG+을/JKO
바꿨는데.	바꾸/VV+었/EP+는데/EF+./SF


# id : NWRW1800000032.271.8.1
“일본은 미국과 협정을 개정해 1980년대부터 국내 재처리를 할 수 있게 됐다.

“일본은	“/SS+일본/NNP+은/JX
미국과	미국/NNP+과/JKB
협정을	협정/NNG+을/JKO
개정해	개정/NNG+하/XSV+아/EC
1980년대부터	1980/SN+년대/NNB+부터/JX
국내	국내/NNG
재처리를	재/XPN+처리/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.271.8.2
한국에서 핵무장 의도로 보는 게 당연하다.

한국에서	한국/NNP+에서/JKB
핵무장	핵무장/NNG
의도로	의도/NNG+로/JKB
보는	보/VV+는/ETM
게	거/NNB+이/JKS
당연하다.	당연/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000032.271.8.3
기술적 잠재력이 충분하기 때문이다.”

기술적	기술/NNG+적/XSN
잠재력이	잠재력/NNG+이/JKS
충분하기	충분하/VA+기/ETN
때문이다.”	때문/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000032.271.9.1
-후쿠시마 사고 이후 일본 정부의 대응을 평가한다면?

-후쿠시마	-/SO+후쿠시마/NNP
사고	사고/NNG
이후	이후/NNG
일본	일본/NNP
정부의	정부/NNG+의/JKG
대응을	대응/NNG+을/JKO
평가한다면?	평가/NNG+하/XSV+ㄴ다면/EC+?/SF


# id : NWRW1800000032.271.10.1
“2004년 인도네시아 쓰나미 직후부터 나는 일본 내 노후 원전이 지진이나 쓰나미로 붕괴·수몰될 수 있다고 경고해왔다.

“2004년	“/SS+2004/SN+년/NNB
인도네시아	인도네시아/NNP
쓰나미	쓰나미/NNG
직후부터	직후/NNG+부터/JX
나는	나/NP+는/JX
일본	일본/NNP
내	내/NNB
노후	노후/NNG
원전이	원전/NNG+이/JKS
지진이나	지진/NNG+이나/JC
쓰나미로	쓰나미/NNG+로/JKB
붕괴·수몰될	붕괴/NNG+·/SP+수몰/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
경고해왔다.	경고/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.271.10.2
이에 아랑곳하지 않고 일본 정부는 2005년 지진이 일어날 경우를 대비해 원전의 안전도를 검사하는 진동계까지 ‘행정개혁’ 명분으로 민간기업에 팔았다.

이에	이/NP+에/JKB
아랑곳하지	아랑곳/NNG+하/XSV+지/EC
않고	않/VX+고/EC
일본	일본/NNP
정부는	정부/NNG+는/JX
2005년	2005/SN+년/NNB
지진이	지진/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
경우를	경우/NNG+를/JKO
대비해	대비/NNG+하/XSV+아/EC
원전의	원전/NNG+의/JKG
안전도를	안전도/NNG+를/JKO
검사하는	검사/NNG+하/XSV+는/ETM
진동계까지	진동계/NNG+까지/JX
‘행정개혁’	‘/SS+행정/NNG+개혁/NNG+’/SS
명분으로	명분/NNG+으로/JKB
민간기업에	민간/NNG+기업/NNG+에/JKB
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.271.10.3
후쿠시마 사고 때도 실책을 거듭했다.

후쿠시마	후쿠시마/NNP
사고	사고/NNG
때도	때/NNG+도/JX
실책을	실책/NNG+을/JKO
거듭했다.	거듭/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.271.10.4
상업용 원자로를 살리기 위해서 바닷물 투입을 미루다 결국 방사성 물질을 대량 유출시키지 않았나.”

상업용	상업/NNG+용/XSN
원자로를	원자로/NNG+를/JKO
살리기	살리/VV+기/ETN
위해서	위하/VV+아서/EC
바닷물	바닷물/NNG
투입을	투입/NNG+을/JKO
미루다	미루/VV+다/EC
결국	결국/MAG
방사성	방사/NNG+성/XSN
물질을	물질/NNG+을/JKO
대량	대량/NNG
유출시키지	유출/NNG+시키/XSV+지/EC
않았나.”	않/VX+았/EP+나/EF+./SF+”/SS


# id : NWRW1800000032.271.11.1
-일본의 탈핵 가능성은?

-일본의	-/SO+일본/NNP+의/JKG
탈핵	탈핵/NNG
가능성은?	가능/NNG+성/XSN+은/JX+?/SF


# id : NWRW1800000032.271.12.1
“후쿠시마의 원전 추진파들은 지금도 반성하지 않고 있다.

“후쿠시마의	“/SS+후쿠시마/NNP+의/JKG
원전	원전/NNG
추진파들은	추진파/NNG+들/XSN+은/JX
지금도	지금/NNG+도/JX
반성하지	반성/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.271.12.2
국내에서 안 된다면 해외에 수출하자는 게 정부-학계-기업 등 원전 이익공동체의 생각이다.

국내에서	국내/NNG+에서/JKB
안	안/MAG
된다면	되/VV+ㄴ다면/EC
해외에	해외/NNG+에/JKB
수출하자는	수출/NNG+하/XSV+자는/ETM
게	거/NNB+이/JKS
정부-학계-기업	정부/NNG+-/SO+학계/NNG+-/SO+기업/NNG
등	등/NNB
원전	원전/NNG
이익공동체의	이익/NNG+공동체/NNG+의/JKG
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.271.12.3
하지만 변화의 조짐은 보인다.

하지만	하지만/MAJ
변화의	변화/NNG+의/JKG
조짐은	조짐/NNG+은/JX
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.271.12.4
얼마 전 미야기현 지방의회 보궐선거에서 탈핵을 표방한 공산당 의석 수가 2석에서 4석으로 늘었다.

얼마	얼마/NNG
전	전/NNG
미야기현	미야기현/NNP
지방의회	지방/NNG+의회/NNG
보궐선거에서	보궐/NNG+선거/NNG+에서/JKB
탈핵을	탈핵/NNG+을/JKO
표방한	표방/NNG+하/XSV+ㄴ/ETM
공산당	공산당/NNP
의석	의석/NNG
수가	수/NNG+가/JKS
2석에서	2/SN+석/NNB+에서/JKB
4석으로	4/SN+석/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.271.12.5
노조, 농민조직, 시민단체가 모인 ‘전국혁신간담회’라는 논의체가 지역에서 탈핵을 이야기하고 있다.

노조,	노조/NNG+,/SP
농민조직,	농민/NNG+조직/NNG+,/SP
시민단체가	시민/NNG+단체/NNG+가/JKS
모인	모이/VV+ㄴ/ETM
‘전국혁신간담회’라는	‘/SS+전국/NNG+혁신/NNG+간담회/NNG+’/SS+이/VCP+라는/ETM
논의체가	논의체/NNG+가/JKS
지역에서	지역/NNG+에서/JKB
탈핵을	탈핵/NNG+을/JKO
이야기하고	이야기/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.271.12.6
2013년 중의원 선거에 이들을 중심으로 선거에 영향을 미칠 수 있을 것이다.”

2013년	2013/SN+년/NNB
중의원	중의원/NNG
선거에	선거/NNG+에/JKB
이들을	이/NP+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


