# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.293
metadata : {}


# id : NWRW1800000022.293.1.1
뻣뻣한 육참총장 손보려다 망신만 당한 英의원들;"연회 즐긴다" 비방했으나 판공비 따져보니 超알뜰

뻣뻣한	뻣뻣하/VA+ㄴ/ETM
명세를	명세/NNG+를/JKO
보면	보/VV+면/EC
다냇	다냇/NNP
총장은	총장/NNG+은/JX
직무상	직무/NNG+상/XSN
국내외	국내외/NNG
외빈을	외빈/NNG+을/JKO
접대할	접대/NNG+하/XSV+ㄹ/ETM
일이	일/NNG+이/JKS
허다했지만,	허다하/VA+았/EP+지만/EC+,/SP
지출비용은	지출/NNG+비용/NNG+은/JX
참석자	참석자/NNG
1인당	1/SN+인/NNG+당/XSN
5파운드(약	5/SN+파운드/NNB+(/SS+약/MMA
1만원)	1/SN+만/NR+원/NNB+)/SS
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.293.4.1
비결은 동네 수퍼마켓과 대형 할인점 애용.

비결은	비결/NNG+은/JX
동네	동네/NNG
수퍼마켓과	수퍼마켓/NNG+과/JC
대형	대형/NNG
할인점	할인점/NNG
애용.	애용/NNG+./SF


# id : NWRW1800000022.293.4.2
작년 8월 31일 디파크 카푸르(Kapoor) 인도 육군참모총장 일행 23명을 위해 베푼 연회 비용은 123.58파운드(약 25만3000원)였다.

작년	작년/NNG
8월	8/SN+월/NNB
31일	31/SN+일/NNB
디파크	디파크/NNP
카푸르(Kapoor)	카푸르/NNP+(/SS+Kapoor/SL+)/SS
인도	인도/NNP
육군참모총장	육군/NNG+참모/NNG+총장/NNG
일행	일행/NNG
23명을	23/SN+명/NNB+을/JKO
위해	위하/VV+아/EC
베푼	베풀/VV+ㄴ/ETM
연회	연회/NNG
비용은	비용/NNG+은/JX
123.58파운드(약	123/SN+./SP+58/SN+파운드/NNB+(/SS+약/MMA
25만3000원)였다.	25/SN+만/NR+3000/SN+원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.293.4.3
할인점 테스코에서 산 빵과 치즈, 연어로 외빈들을 대접했다.

할인점	할인점/NNG
테스코에서	테스코/NNP+에서/JKB
산	살/VV+ㄴ/ETM
빵과	빵/NNG+과/JC
치즈,	치즈/NNG+,/SP
연어로	연어/NNG+로/JKB
외빈들을	외빈/NNG+들/XSN+을/JKO
대접했다.	대접/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.293.5.1
2005년 7월 7일 영국의 최대 갑부에 끼는 웨스트민스터 공작을 비롯해 육군의 고급 장교 110명을 위한 바비큐 파티 때도 소시지·버섯 같은 음식 재료를 모두 할인점에서 샀다.

2005년	2005/SN+년/NNB
7월	7/SN+월/NNB
7일	7/SN+일/NNB
영국의	영국/NNP+의/JKG
최대	최대/NNG
갑부에	갑부/NNG+에/JKB
끼는	끼/VV+는/ETM
웨스트민스터	웨스트민스터/NNP
공작을	공작/NNG+을/JKO
비롯해	비롯하/VV+아/EC
육군의	육군/NNG+의/JKG
고급	고급/NNG
장교	장교/NNG
110명을	110/SN+명/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
바비큐	바비큐/NNG
파티	파티/NNG
때도	때/NNG+도/JX
소시지·버섯	소시지/NNG+·/SP+버섯/NNG
같은	같/VA+은/ETM
음식	음식/NNG
재료를	재료/NNG+를/JKO
모두	모두/MAG
할인점에서	할인점/NNG+에서/JKB
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.293.5.2
와인은 프랑스에 직접 주문해 가져온 병당 1.49파운드(약 3000원)짜리 메를로(Merlot)였다.

와인은	와인/NNG+은/JX
프랑스에	프랑스/NNP+에/JKB
직접	직접/MAG
주문해	주문/NNG+하/XSV+아/EC
가져온	가져오/VV+ㄴ/ETM
병당	병/NNG+당/XSN
1.49파운드(약	1/SN+./SP+49/SN+파운드/NNB+(/SS+약/MMA
3000원)짜리	3000/SN+원/NNB+)/SS+짜리/XSN
메를로(Merlot)였다.	메를로/NNG+(/SS+Merlot/SL+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.293.6.1
지난 3월 22일 한 공식 오찬 때도, 다냇 장군은 모두 80.05파운드(약 16만4000원)의 경비로 손님 14명에게 음식을 대접했다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
22일	22/SN+일/NNB
한	한/MMN
공식	공식/NNG
오찬	오찬/NNG
때도,	때/NNG+도/JX+,/SP
다냇	다냇/NNP
장군은	장군/NNG+은/JX
모두	모두/MAG
80.05파운드(약	80/SN+./SP+05/SN+파운드/NNB+(/SS+약/MMA
16만4000원)의	16/SN+만/NR+4000/SN+원/NNB+)/SS+의/JKG
경비로	경비/NNG+로/JKB
손님	손/NNG+님/XSN
14명에게	14/SN+명/NNB+에게/JKB
음식을	음식/NNG+을/JKO
대접했다.	대접/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.293.6.2
메인 요리는 테스코에서 사온 닭 넓적다리 살(개당 2.49파운드·약 5100원)이었다.

메인	메인/NNG
요리는	요리/NNG+는/JX
테스코에서	테스코/NNP+에서/JKB
사온	사/VV+아/EC+오/VV+ㄴ/ETM
닭	닭/NNG
넓적다리	넓적다리/NNG
살(개당	살/NNG+(/SS+개/NNB+당/XSN
2.49파운드·약	2/SN+./SP+49/SN+파운드/NNB+·/SP+약/MMA
5100원)이었다.	5100/SN+원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.293.7.1
29일 정년 퇴역하는 다냇 총장의 '알뜰 소비'가 언론의 관심사가 된 것은 그가 아프가니스탄 전쟁 문제로 정부·여당과 갈등을 빚으면서부터다.

29일	29/SN+일/NNB
정년	정년/NNG
퇴역하는	퇴역/NNG+하/XSV+는/ETM
다냇	다냇/NNP
총장의	총장/NNG+의/JKG
'알뜰	'/SS+알뜰/NNG
소비'가	소비/NNG+'/SS+가/JKS
언론의	언론/NNG+의/JKG
관심사가	관심사/NNG+가/JKC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
그가	그/NP+가/JKS
아프가니스탄	아프가니스탄/NNP
전쟁	전쟁/NNG
문제로	문제/NNG+로/JKB
정부·여당과	정부/NNG+·/SP+여당/NNG+과/JKB
갈등을	갈등/NNG+을/JKO
빚으면서부터다.	빚/VV+으면서/EC+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000022.293.7.2
그는 최근 영국군 전사자가 급증한 것은 제대로 된 전투장비가 부족하게 지급됐기 때문이라며, 국방 예산을 연거푸 삭감해온 노동당 정부를 비판했다.

그는	그/NP+는/JX
최근	최근/MAG
영국군	영국군/NNG
전사자가	전사자/NNG+가/JKS
급증한	급증/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
전투장비가	전투/NNG+장비/NNG+가/JKS
부족하게	부족/NNG+하/XSA+게/EC
지급됐기	지급/NNG+되/XSV+었/EP+기/ETN
때문이라며,	때문/NNB+이/VCP+라며/EC+,/SP
국방	국방/NNG
예산을	예산/NNG+을/JKO
연거푸	연거푸/MAG
삭감해온	삭감/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
노동당	노동당/NNP
정부를	정부/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.293.7.3
그러자 노동당 의원이자 국방부 정무차관인 케번 존스(Jones)가 다냇 장군에 대해 "호사스러운 연회를 즐기며 (20세기 초) 에드워드 7세 시절의 신사처럼 산다"고 비판하는 등 정치권의 비방이 이어졌다.

그러자	그러/VV+자/EC
노동당	노동당/NNP
의원이자	의원/NNG+이/VCP+자/EC
국방부	국방부/NNG
정무차관인	정무/NNG+차관/NNG+이/VCP+ㄴ/ETM
케번	케번/NNP
존스(Jones)가	존스/NNP+(/SS+Jones/SL+)/SS+가/JKS
다냇	다냇/NNP
장군에	장군/NNG+에/JKB
대해	대하/VV+아/EC
"호사스러운	"/SS+호사/NNG+스럽/XSA+ㄴ/ETM
연회를	연회/NNG+를/JKO
즐기며	즐기/VV+며/EC
(20세기	(/SS+20/SN+세기/NNG
초)	초/NNB+)/SS
에드워드	에드워드/NNP
7세	7/SN+세/NNB
시절의	시절/NNG+의/JKG
신사처럼	신사/NNG+처럼/JKB
산다"고	살/VV+ㄴ다/EF+"/SS+고/JKQ
비판하는	비판/NNG+하/XSV+는/ETM
등	등/NNB
정치권의	정치/NNG+권/XSN+의/JKG
비방이	비방/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.293.8.1
그런데 실상은 딴판이었다.

그런데	그런데/MAJ
실상은	실상/NNG+은/JX
딴판이었다.	딴판/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.293.8.2
다냇 총장이 지난 4년간 청구한 비용은 총 1만9291파운드(약 3950만원)였다.

다냇	다냇/NNP
총장이	총장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
4년간	4/SN+년/NNB+간/XSN
청구한	청구/NNG+하/XSV+ㄴ/ETM
비용은	비용/NNG+은/JX
총	총/MMA
1만9291파운드(약	1/SN+만/NR+9291/SN+파운드/NNB+(/SS+약/MMA
3950만원)였다.	3950/SN+만/NR+원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.293.8.3
반면 그를 비판한 존스 의원의 청구 금액은 작년 한 해에만 14만4841파운드(약 2억9670만원)였다.

반면	반면/NNG
그를	그/NP+를/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
존스	존스/NNP
의원의	의원/NNG+의/JKG
청구	청구/NNG
금액은	금액/NNG+은/JX
작년	작년/NNG
한	한/MMN
해에만	해/NNB+에/JKB+만/JX
14만4841파운드(약	14/SN+만/NR+4841/SN+파운드/NNB+(/SS+약/MMA
2억9670만원)였다.	2/SN+억/NR+9670/SN+만/NR+원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.293.8.4
다냇의 씀씀이를 비판하는 데 동참했던 다른 의원들의 흥청망청 나랏돈 쓰기도 고스란히 드러났다.

다냇의	다냇/NNP+의/JKG
씀씀이를	씀씀이/NNG+를/JKO
비판하는	비판/NNG+하/XSV+는/ETM
데	데/NNB
동참했던	동참/NNG+하/XSV+았/EP+던/ETM
다른	다른/MMD
의원들의	의원/NNG+들/XSN+의/JKG
흥청망청	흥청망청/MAG
나랏돈	나랏돈/NNG
쓰기도	쓰/VV+기/ETN+도/JX
고스란히	고스란히/MAG
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.293.8.5
뉴스오브더월드는 "다냇 장군의 씀씀이는 막대한 수당을 청구해온 의원들과 매우 대조적"이라고 비꼬았다.

뉴스오브더월드는	뉴스오브더월드/NNP+는/JX
"다냇	"/SS+다냇/NNP
장군의	장군/NNG+의/JKG
씀씀이는	씀씀이/NNG+는/JX
막대한	막대하/VA+ㄴ/ETM
수당을	수당/NNG+을/JKO
청구해온	청구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
의원들과	의원/NNG+들/XSN+과/JKB
매우	매우/MAG
대조적"이라고	대조/NNG+적/XSN+"/SS+이라고/JKQ
비꼬았다.	비꼬/VV+았/EP+다/EF+./SF


