# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.113
metadata : {}


# id : NWRW1800000054.113.1.1
"기부가 홈런보다 짜릿하네요"

"기부가	"/SS+기부/NNG+가/JKS
홈런보다	홈런/NNG+보다/JKB
올라오는	올라오/VV+는/ETM
길이었다.	길/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.113.4.5
"안동 영문고에서 야구 가르치고 강연도 했습니다.

"안동	"/SS+안동/NNP
영문고에서	영문고/NNP+에서/JKB
야구	야구/NNG
가르치고	가르치/VV+고/EC
강연도	강연/NNG+도/JX
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000054.113.4.6
피칭머신을 선물했는데 학생들이 어찌나 좋아하던지요."

피칭머신을	피칭/NNG+머신/NNG+을/JKO
선물했는데	선물/NNG+하/XSV+았/EP+는데/EC
학생들이	학생/NNG+들/XSN+이/JKS
어찌나	어찌나/MAG
좋아하던지요."	좋아하/VV+던지/EF+요/JX+./SF+"/SS


# id : NWRW1800000054.113.5.1
이 전 감독은 일주일에 3~4일씩 유소년·엘리트 야구부를 찾아가 아이들을 가르친다.

이	이/NNP
전	전/MMD
감독은	감독/NNG+은/JX
일주일에	일주일/NNG+에/JKB
3~4일씩	3/SN+~/SO+4/SN+일/NNB+씩/XSN
유소년·엘리트	유소년/NNG+·/SP+엘리트/NNG
야구부를	야구부/NNG+를/JKO
찾아가	찾아가/VV+아/EC
아이들을	아이/NNG+들/XSN+을/JKO
가르친다.	가르치/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.113.5.2
이제는 '기부 전문가'가 된 셈이다.

이제는	이제/NNG+는/JX
'기부	'/SS+기부/NNG
전문가'가	전문가/NNG+'/SS+가/JKC
된	되/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.113.5.3
지난 2년 반 동안 차로 10만㎞를 넘게 달리며 안 가본 곳이 없다.

지난	지나/VV+ㄴ/ETM
2년	2/SN+년/NNB
반	반/NNG
동안	동안/NNG
차로	차/NNG+로/JKB
10만㎞를	10/SN+만/NR+㎞/SW+를/JKO
넘게	넘/VV+게/EC
달리며	달리/VV+며/EC
안	안/MAG
가본	가/VV+아/EC+보/VX+ㄴ/ETM
곳이	곳/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.113.5.4
방문한 학교도 100여 곳이다.

방문한	방문/NNG+하/XSV+ㄴ/ETM
학교도	학교/NNG+도/JX
100여	100/SN+여/XSN
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.113.5.5
그는 "야구 시작하고 50여 년 동안 받기만 하고 살았다. 그렇게 받은 걸 이젠 누군가에게 되돌려주는 것"이라고 했다.

그는	그/NP+는/JX
"야구	"/SS+야구/NNG
시작하고	시작/NNG+하/XSV+고/EC
50여	50/SN+여/XSN
년	년/NNB
동안	동안/NNG
받기만	받/VV+기/ETN+만/JX
하고	하/VX+고/EC
살았다.	살/VV+았/EP+다/EF+./SF
그렇게	그렇/VA+게/EC
받은	받/VV+은/ETM
걸	거/NNB+ㄹ/JKO
이젠	이제/NNG+ㄴ/JX
누군가에게	누구/NP+이/VCP+ㄴ가/EF+에게/JKB
되돌려주는	되돌리/VV+어/EC+주/VX+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.113.5.6
이 전 감독은 본격적으로 재능 나눔, 기부 활동을 하기 위해 지난해 4월 자신의 별명(헐크)을 딴 비영리 사단법인 '헐크 파운데이션'을 설립했다.

이	이/NNP
전	전/MMD
감독은	감독/NNG+은/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
재능	재능/NNG
나눔,	나눔/NNG+,/SP
기부	기부/NNG
활동을	활동/NNG+을/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
지난해	지난해/NNG
4월	4/SN+월/NNB
자신의	자신/NNG+의/JKG
별명(헐크)을	별명/NNG+(/SS+헐크/NNP+)/SS+을/JKO
딴	따/VV+ㄴ/ETM
비영리	비/XPN+영리/NNG
사단법인	사단/NNG+법인/NNG
'헐크	'/SS+헐크/NNP
파운데이션'을	파운데이션/NNG+'/SS+을/JKO
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.113.6.1
평생 야구만 했던 사람이 하루아침에 왜 기부에 빠졌을까.

평생	평생/NNG
야구만	야구/NNG+만/JX
했던	하/VV+았/EP+던/ETM
사람이	사람/NNG+이/JKS
하루아침에	하루아침/NNG+에/JKB
왜	왜/MAG
기부에	기부/NNG+에/JKB
빠졌을까.	빠지/VV+었/EP+을까/EF+./SF


# id : NWRW1800000054.113.6.2
그는 메이저리그 시카고 화이트삭스 코치 시절(1999~2006) 경험을 말했다.

그는	그/NP+는/JX
메이저리그	메이저리그/NNG
시카고	시카고/NNP
화이트삭스	화이트삭스/NNP
코치	코치/NNG
시절(1999~2006)	시절/NNG+(/SS+1999/SN+~/SO+2006/SN+)/SS
경험을	경험/NNG+을/JKO
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.113.6.3
"그곳에선 선수들이 시즌 중에도 지역 보육원 등을 찾아가요.

"그곳에선	"/SS+그곳/NP+에서/JKB+ㄴ/JX
선수들이	선수/NNG+들/XSN+이/JKS
시즌	시즌/NNG
중에도	중/NNB+에/JKB+도/JX
지역	지역/NNG
보육원	보육원/NNG
등을	등/NNB+을/JKO
찾아가요.	찾아가/VV+아요/EF+./SF


# id : NWRW1800000054.113.6.4
돈만 내는 게 아닙니다.

돈만	돈/NNG+만/JX
내는	내/VV+는/ETM
게	거/NNB+이/JKC
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000054.113.6.5
직접 아이들을 만나 정을 나누죠.

직접	직접/MAG
아이들을	아이/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
정을	정/NNG+을/JKO
나누죠.	나누/VV+죠/EF+./SF


# id : NWRW1800000054.113.6.6
선수들이 행복해 보였습니다.

선수들이	선수/NNG+들/XSN+이/JKS
행복해	행복/NNG+하/XSA+아/EC
보였습니다.	보이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000054.113.6.7
성적보다 중요한 게 있다는 걸 그때 깨달았습니다."

성적보다	성적/NNG+보다/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
그때	그때/NNG
깨달았습니다."	깨닫/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000054.113.7.1
이 전 감독은 현역 시절 화끈한 세리머니와 쇼맨십으로 팬들을 사로잡았다.

이	이/NNP
전	전/MMD
감독은	감독/NNG+은/JX
현역	현역/NNG
시절	시절/NNG
화끈한	화끈/MAG+하/XSA+ㄴ/ETM
세리머니와	세리머니/NNG+와/JC
쇼맨십으로	쇼맨십/NNG+으로/JKB
팬들을	팬/NNG+들/XSN+을/JKO
사로잡았다.	사로잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.113.7.2
프로야구 일선을 떠나 기부 활동한다고 했을 때, 이런 이미지가 발목을 잡았다.

프로야구	프로/NNG+야구/NNG
일선을	일선/NNG+을/JKO
떠나	떠나/VV+아/EC
기부	기부/NNG
활동한다고	활동/NNG+하/XSV+ㄴ다고/EC
했을	하/VV+았/EP+을/ETM
때,	때/NNG+,/SP
이런	이런/MMD
이미지가	이미지/NNG+가/JKS
발목을	발목/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.113.7.3
특히 '다시 감독하고 싶어 이미지 관리하냐'는 냉대는 상처가 됐다.

특히	특히/MAG
'다시	'/SS+다시/MAG
감독하고	감독/NNG+하/XSV+고/EC
싶어	싶/VX+어/EC
이미지	이미지/NNG
관리하냐'는	관리/NNG+하/XSV+냐/EF+'/SS+는/ETM
냉대는	냉대/NNG+는/JX
상처가	상처/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.113.7.4
"한 병원 광고 출연료로 받은 돈 2억원을 기부금으로 내고, 또 다른 광고료로 피칭머신(1대 1000만원) 12대를 사서 학생들에게 전했죠.

"한	"/SS+한/MMN
병원	병원/NNG
광고	광고/NNG
출연료로	출연료/NNG+로/JKB
받은	받/VV+은/ETM
돈	돈/NNG
2억원을	2/SN+억/NR+원/NNB+을/JKO
기부금으로	기부금/NNG+으로/JKB
내고,	내/VV+고/EC+,/SP
또	또/MAG
다른	다른/MMD
광고료로	광고료/NNG+로/JKB
피칭머신(1대	피칭/NNG+머신/NNG+(/SS+1/SN+대/NNB
1000만원)	1000/SN+만/NR+원/NNB+)/SS
12대를	12/SN+대/NNB+를/JKO
사서	사/VV+아서/EC
학생들에게	학생/NNG+들/XSN+에게/JKB
전했죠.	전하/VV+았/EP+죠/EF+./SF


# id : NWRW1800000054.113.7.5
제가 먼저 움직이니 도움 주겠다는 분이 점점 늘어났어요."

제가	제/NP+가/JKS
먼저	먼저/MAG
움직이니	움직이/VV+니/EC
도움	도움/NNG
주겠다는	주/VV+겠/EP+다는/ETM
분이	분/NNB+이/JKS
점점	점점/MAG
늘어났어요."	늘어나/VV+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000054.113.8.1
그가 2013년 야구 불모지 라오스에 세운 최초의 야구단 '라오J브라더스'는 이제 160여 명 규모로 성장했다.

그가	그/NP+가/JKS
2013년	2013/SN+년/NNB
야구	야구/NNG
불모지	불모지/NNG
라오스에	라오스/NNP+에/JKB
세운	세우/VV+ㄴ/ETM
최초의	최초/NNG+의/JKG
야구단	야구단/NNG
'라오J브라더스'는	'/SS+라오J브라더스/NNP+'/SS+는/JX
이제	이제/MAG
160여	160/SN+여/XSN
명	명/NNB
규모로	규모/NNG+로/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.113.8.2
지금은 라오스에 외야 펜스를 갖춘 야구장 건립을 추진하고 있다.

지금은	지금/NNG+은/JX
라오스에	라오스/NNP+에/JKB
외야	외야/NNG
펜스를	펜스/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
야구장	야구장/NNG
건립을	건립/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.113.9.1
현재 고정 수입이 없는 그는 감독 시절보다 지출이 더 늘었다.

현재	현재/MAG
고정	고정/NNG
수입이	수입/NNG+이/JKS
없는	없/VA+는/ETM
그는	그/NP+는/JX
감독	감독/NNG
시절보다	시절/NNG+보다/JKB
지출이	지출/NNG+이/JKS
더	더/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.113.9.2
지방 출장을 가면 활동비는 모두 자비로 쓴다.

지방	지방/NNG
출장을	출장/NNG+을/JKO
가면	가/VV+면/EC
활동비는	활동비/NNG+는/JX
모두	모두/MAG
자비로	자비/NNG+로/JKB
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.113.9.3
이 전 감독은 "지금까지 적지 않게 벌었기에 아직 쓸 수 있는 여력이 있다. 가끔 강연 등으로 용돈 벌이 정도는 한다"고 했다.

이	이/NNP
전	전/MMD
감독은	감독/NNG+은/JX
"지금까지	"/SS+지금/NNG+까지/JX
적지	적/VA+지/EC
않게	않/VX+게/EC
벌었기에	벌/VV+었/EP+기에/EC
아직	아직/MAG
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여력이	여력/NNG+이/JKS
있다.	있/VA+다/EF+./SF
가끔	가끔/MAG
강연	강연/NNG
등으로	등/NNB+으로/JKB
용돈	용돈/NNG
벌이	벌이/NNG
정도는	정도/NNG+는/JX
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.113.9.4
금전 관리를 전담하는 아내 이신화(59)씨가 '힘닿는 데까지 함께해 보자'고 용기를 냈기에 가능한 일이었다.

금전	금전/NNG
관리를	관리/NNG+를/JKO
전담하는	전담/NNG+하/XSV+는/ETM
아내	아내/NNG
이신화(59)씨가	이신화/NNP+(/SS+59/SN+)/SS+씨/NNB+가/JKS
'힘닿는	'/SS+힘닿/VV+는/ETM
데까지	데/NNB+까지/JX
함께해	함께/MAG+하/XSV+아/EC
보자'고	보/VX+자/EF+'/SS+고/JKQ
용기를	용기/NNG+를/JKO
냈기에	내/VV+었/EP+기에/EC
가능한	가능/NNG+하/XSA+ㄴ/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.113.9.5
이 전 감독은 "감독직을 그만두고 해외 휴가 계획을 세우고 있을 때 '예전부터 약속했던 기부 활동을 바로 시작하라'고 다그쳤던 것도 아내다. 고맙고 또 미안하다"고 했다.

이	이/NNP
전	전/MMD
감독은	감독/NNG+은/JX
"감독직을	"/SS+감독직/NNG+을/JKO
그만두고	그만두/VV+고/EC
해외	해외/NNG
휴가	휴가/NNG
계획을	계획/NNG+을/JKO
세우고	세우/VV+고/EC
있을	있/VX+을/ETM
때	때/NNG
'예전부터	'/SS+예전/NNG+부터/JX
약속했던	약속/NNG+하/XSV+았/EP+던/ETM
기부	기부/NNG
활동을	활동/NNG+을/JKO
바로	바로/MAG
시작하라'고	시작/NNG+하/XSV+라/EF+'/SS+고/JKQ
다그쳤던	다그치/VV+었/EP+던/ETM
것도	것/NNB+도/JX
아내다.	아내/NNG+이/VCP+다/EF+./SF
고맙고	고맙/VA+고/EC
또	또/MAG
미안하다"고	미안/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.113.9.6
"치열한 승부 현장에서 평생 피 말려 봤지요.

"치열한	"/SS+치열/NNG+하/XSA+ㄴ/ETM
승부	승부/NNG
현장에서	현장/NNG+에서/JKB
평생	평생/NNG
피	피/NNG
말려	말리/VV+어/EC
봤지요.	보/VX+았/EP+지요/EF+./SF


# id : NWRW1800000054.113.9.7
나누는 맛에 푹 빠진 지금 삶이 그 어느 때보다 행복합니다."

나누는	나누/VV+는/ETM
맛에	맛/NNG+에/JKB
푹	푹/MAG
빠진	빠지/VV+ㄴ/ETM
지금	지금/MAG
삶이	삶/NNG+이/JKS
그	그/MMD
어느	어느/MMD
때보다	때/NNG+보다/JKB
행복합니다."	행복/NNG+하/XSA+ㅂ니다/EF+./SF+"/SS


