# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.451
metadata : {}


# id : NWRW1800000028.451.1.1
하천준설 오염기준 /4대강 끝낸뒤 ‘입안’

하천준설	하천/NNG+준설/NNG
보	보/NNG
건설을	건설/NNG+을/JKO
내년도	내년도/NNG
상반기까지	상반기/NNG+까지/JX
마치겠다고	마치/VV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
점을	점/NNG+을/JKO
고려하면,	고려/NNG+하/XSV+면/EC+,/SP
사업이	사업/NNG+이/JKS
다	다/MAG
끝난	끝나/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
환경	환경/NNG
기준을	기준/NNG+을/JKO
갖추는	갖추/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.451.5.1
지금까지 4대강 준설 사업은 강바닥 퇴적토 오염도가 하천 생태계나 수질오염에 어떤 영향을 미치는지 명확한 평가 기준이 없는 채 강행되고 있다.

지금까지	지금/NNG+까지/JX
4대강	4/SN+대/NNG+강/NNG
준설	준설/NNG
사업은	사업/NNG+은/JX
강바닥	강바닥/NNG
퇴적토	퇴적토/NNG
오염도가	오염도/NNG+가/JKS
하천	하천/NNG
생태계나	생태/NNG+계/XSN+나/JC
수질오염에	수질/NNG+오염/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
미치는지	미치/VV+는지/EF
명확한	명확하/VA+ㄴ/ETM
평가	평가/NNG
기준이	기준/NNG+이/JKS
없는	없/VA+는/ETM
채	채/NNB
강행되고	강행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.451.5.2
이에 대해 국토부 쪽은 “토양환경보전법상 ‘토양오염 우려 기준’(토양기준)을 활용해 올해도 강바닥 퇴적토의 오염도를 분기별, 구간별로 조사했고, 퍼낸 흙을 농지에 매립한 뒤에도 정밀 조사를 하고 있다”고 밝혔지만, 토양 기준은 육상 토양에 적용하는 잣대여서 강바닥 퇴적토의 영향을 조사하기에는 적절하지 않다는 게 환경 전문가들의 지적이다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국토부	국토부/NNG
쪽은	쪽/NNB+은/JX
“토양환경보전법상	“/SS+토양/NNG+환경/NNG+보전법/NNG+상/XSN
‘토양오염	‘/SS+토양/NNG+오염/NNG
우려	우려/NNG
기준’(토양기준)을	기준/NNG+’/SS+(/SS+토양/NNG+기준/NNG+)/SS+을/JKO
활용해	활용/NNG+하/XSV+아/EC
올해도	올해/NNG+도/JX
강바닥	강바닥/NNG
퇴적토의	퇴적토/NNG+의/JKG
오염도를	오염도/NNG+를/JKO
분기별,	분기/NNG+별/XSN+,/SP
구간별로	구간/NNG+별/XSN+로/JKB
조사했고,	조사/NNG+하/XSV+았/EP+고/EC+,/SP
퍼낸	퍼내/VV+ㄴ/ETM
흙을	흙/NNG+을/JKO
농지에	농지/NNG+에/JKB
매립한	매립/NNG+하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
정밀	정밀/NNG
조사를	조사/NNG+를/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
토양	토양/NNG
기준은	기준/NNG+은/JX
육상	육상/NNG
토양에	토양/NNG+에/JKB
적용하는	적용/NNG+하/XSV+는/ETM
잣대여서	잣대/NNG+이/VCP+어서/EC
영향을	영향/NNG+을/JKO
조사하기에는	조사/NNG+하/XSV+기에/EC+는/JX
적절하지	적절하/VA+지/EC
않다는	않/VX+다는/ETM
게	거/NNB+이/JKS
환경	환경/NNG
전문가들의	전문가/NNG+들/XSN+의/JKG
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.451.5.3
특히 준설 과정에서 벌어질 오염 확산에 대한 평가는 더더욱 어려운 상황이다.

특히	특히/MAG
준설	준설/NNG
과정에서	과정/NNG+에서/JKB
벌어질	벌어지/VV+ㄹ/ETM
오염	오염/NNG
확산에	확산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가는	평가/NNG+는/JX
더더욱	더더욱/MAG
어려운	어렵/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.451.6.1
이와 관련해 이동수 서울대 환경대학원 교수는 ‘토양기준’에 대해 “4대강 사업이 합리적 의사결정 과정을 따른다면 하천 퇴적물 관리기준과 함께 준설이 가져올 실제 환경영향을 살피고 준설 사업의 타당성을 따질 수 있는 기준을 먼저 마련해야 한다”며 “지금은 사업 추진은 당연한 것으로 정해놓고 나머지를 끼워맞추는 식으로 일이 진행되고 있다”고 지적했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
이동수	이동수/NNP
서울대	서울대/NNP
환경대학원	환경/NNG+대학원/NNG
교수는	교수/NNG+는/JX
‘토양기준’에	‘/SS+토양/NNG+기준/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
“4대강	“/SS+4/SN+대/NNG+강/NNG
사업이	사업/NNG+이/JKS
합리적	합리/NNG+적/XSN
의사결정	의사/NNG+결정/NNG
과정을	과정/NNG+을/JKO
따른다면	따르/VV+ㄴ다면/EC
하천	하천/NNG
퇴적물	퇴적물/NNG
관리기준과	관리/NNG+기준/NNG+과/JKB
함께	함께/MAG
준설이	준설/NNG+이/JKS
가져올	가져오/VV+ㄹ/ETM
실제	실제/NNG
환경영향을	환경/NNG+영향/NNG+을/JKO
살피고	살피/VV+고/EC
준설	준설/NNG
사업의	사업/NNG+의/JKG
타당성을	타당성/NNG+을/JKO
따질	따지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기준을	기준/NNG+을/JKO
먼저	먼저/MAG
마련해야	마련/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“지금은	“/SS+지금/NNG+은/JX
사업	사업/NNG
추진은	추진/NNG+은/JX
당연한	당연/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
정해놓고	정하/VV+아/EC+놓/VX+고/EC
나머지를	나머지/NNG+를/JKO
끼워맞추는	끼우/VV+어/EC+맞추/VV+는/ETM
식으로	식/NNB+으로/JKB
일이	일/NNG+이/JKS
진행되고	진행/NNG+되/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.451.7.1
국토부 관계자는 “토양기준을 쓰는 것은 준설토를 육상의 농지나 하천 제방 성토 등에 활용하기 때문에 이용 관점에서 평가 기준으로 쓰는 성격이 짙다”면서도 “현재로서는 퇴적물 관리기준이 없어서 일단 토양기준으로 강바닥 퇴적토를 살피고 준설 과정에서 수질오염은 별도의 하천수질 감시로 대응하고 있다”고 밝혔다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
“토양기준을	“/SS+토양/NNG+기준/NNG+을/JKO
쓰는	쓰/VV+는/ETM
것은	것/NNB+은/JX
준설토를	준설토/NNG+를/JKO
육상의	육상/NNG+의/JKG
농지나	농지/NNG+나/JC
하천	하천/NNG
제방	제방/NNG
성토	성토/NNG
등에	등/NNB+에/JKB
활용하기	활용/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
이용	이용/NNG
관점에서	관점/NNG+에서/JKB
평가	평가/NNG
기준으로	기준/NNG+으로/JKB
성격이	성격/NNG+이/JKS
짙다”면서도	짙/VA+다/EF+”/SS+면서/EC+도/JX
“현재로서는	“/SS+현재/NNG+로서/JKB+는/JX
퇴적물	퇴적물/NNG
관리기준이	관리/NNG+기준/NNG+이/JKS
없어서	없/VA+어서/EC
일단	일단/MAG
토양기준으로	토양/NNG+기준/NNG+으로/JKB
강바닥	강바닥/NNG
퇴적토를	퇴적토/NNG+를/JKO
살피고	살피/VV+고/EC
준설	준설/NNG
과정에서	과정/NNG+에서/JKB
수질오염은	수질/NNG+오염/NNG+은/JX
별도의	별도/NNG+의/JKG
하천수질	하천/NNG+수질/NNG
감시로	감시/NNG+로/JKB
대응하고	대응/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


