# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.57
metadata : {}


# id : NWRW1800000028.57.1.1
한나라 보좌진 “우리가 ‘사노’냐”

한나라	한나라/NNP
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.57.4.7
하지만 그 뒤 이 약속은 유야무야, 감감무소식이 됐다.

하지만	하지만/MAJ
그	그/MMD
뒤	뒤/NNG
이	이/MMD
약속은	약속/NNG+은/JX
유야무야,	유야무야/NNG+,/SP
감감무소식이	감감무소식/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.57.5.1
기다리다 못한 보좌진들은 당헌·당규 개정 막바지 절차인 국회의원·당원협의회 위원장 연석회의가 열린 이날 성명을 냈다.

기다리다	기다리/VV+다/EC
못한	못하/VX+ㄴ/ETM
보좌진들은	보좌진/NNG+들/XSN+은/JX
당헌·당규	당헌/NNG+·/SP+당규/NNG
개정	개정/NNG
막바지	막바지/NNG
절차인	절차/NNG+이/VCP+ㄴ/ETM
국회의원·당원협의회	국회/NNG+의원/NNG+·/SP+당원/NNG+협의회/NNG
위원장	위원장/NNG
연석회의가	연석회의/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
이날	이날/NNG
성명을	성명/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.57.5.2
“옷이 찢어지고 피를 흘리면서까지 도왔던 보좌진의 도움이 없었다면 미디어법을 통과시키기는 어려웠을 것이다.

“옷이	“/SS+옷/NNG+이/JKS
찢어지고	찢어지/VV+고/EC
피를	피/NNG+를/JKO
흘리면서까지	흘리/VV+면서/EC+까지/JX
도왔던	돕/VV+았/EP+던/ETM
보좌진의	보좌진/NNG+의/JKG
도움이	도움/NNG+이/JKS
없었다면	없/VA+었/EP+다면/EC
미디어법을	미디어법/NNG+을/JKO
통과시키기는	통과/NNG+시키/XSV+기/ETN+는/JX
어려웠을	어렵/VA+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.57.5.3
전당대회 대의원에 보좌진 몫을 포함해 달라.”

전당대회	전당/NNG+대회/NNG
대의원에	대의원/NNG+에/JKB
보좌진	보좌진/NNG
몫을	몫/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
달라.”	달/VX+라/EF+./SF+”/SS


# id : NWRW1800000028.57.5.4
이들은 항의 연판장을 돌리는 방안까지 검토했지만, 당 지도부를 자극할까 봐 일단 접었다.

이들은	이/NP+들/XSN+은/JX
항의	항의/NNG
연판장을	연판장/NNG+을/JKO
돌리는	돌리/VV+는/ETM
방안까지	방안/NNG+까지/JX
검토했지만,	검토/NNG+하/XSV+았/EP+지만/EC+,/SP
당	당/NNG
지도부를	지도부/NNG+를/JKO
자극할까	자극/NNG+하/XSV+ㄹ까/EF
봐	보/VX+아/EC
일단	일단/MAG
접었다.	접/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.57.6.1
그러나 이날 연석회의에서 이 안건은 상정되지 않았다.

그러나	그러나/MAJ
이날	이날/NNG
연석회의에서	연석회의/NNG+에서/JKB
이	이/MMD
안건은	안건/NNG+은/JX
상정되지	상정/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.57.6.2
정병국 사무총장은 <한겨레>와의 통화에서 “의원들과 앞으로 협의해 볼 문제”라고만 말했다.

정병국	정병국/NNP
사무총장은	사무총장/NNG+은/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“의원들과	“/SS+의원/NNG+들/XSN+과/JKB
앞으로	앞/NNG+으로/JKB
협의해	협의/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
문제”라고만	문제/NNG+”/SS+라고/JKQ+만/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.57.6.3
한 보좌관은 “약속 위반이다. 이러면 적극적이고 자발적인 참여는 기대하지 말아야 한다”고 말했다.

한	한/MMN
보좌관은	보좌관/NNG+은/JX
“약속	“/SS+약속/NNG
위반이다.	위반/NNG+이/VCP+다/EF+./SF
이러면	이러/VV+면/EC
적극적이고	적극/NNG+적/XSN+이/VCP+고/EC
자발적인	자발/NNG+적/XSN+이/VCP+ㄴ/ETM
참여는	참여/NNG+는/JX
기대하지	기대/NNG+하/XSV+지/EC
말아야	말/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


