# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.416
metadata : {}


# id : NWRW1800000048.416.1.1
주한미군, 살아있는 ‘양성세균’ 실험 계획했나

주한미군,	주한/NNG+미군/NNG+,/SP
한국에	한국/NNP+에/JKB
배치된	배치/NNG+되/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
동일하게	동일/NNG+하/XSA+게/EC
주피터의	주피터/NNG+의/JKG
센서들을	센서/NNG+들/XSN+을/JKO
설치했다”면서	설치/NNG+하/XSV+았/EP+다/EF+”/SS+면서/EC
“생물작용제와	“/SS+생물/NNG+작용제/NNG+와/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
특성을	특성/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
양성	양성/NNG
세균(benign	세균/NNG+(/SS+benign/SL
microbes)들이	microbes/SL+)/SS+들/XSN+이/JKS
생물무기	생물/NNG+무기/NNG
공격과	공격/NNG+과/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
여러	여러/MMN
시나리오에	시나리오/NNG+에/JKB
따라	따르/VV+아/EC
살포됐다.	살포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.416.8.2
한국에서의 작전 실험에서 재현하기 위해 각 시나리오는 전자적으로 기록됐다”고 전했다.

한국에서의	한국/NNP+에서/JKB+의/JKG
작전	작전/NNG
실험에서	실험/NNG+에서/JKB
재현하기	재현/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
각	각/MMD
시나리오는	시나리오/NNG+는/JX
전자적으로	전자/NNG+적/XSN+으로/JKB
기록됐다”고	기록/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.416.9.1
양성 세균이란 대장균 등 사람의 몸 속에 살면서 병을 일으키지 않고 공생하는 미생물을 말한다.

양성	양성/NNG
세균이란	세균/NNG+이란/JX
대장균	대장균/NNG
등	등/NNB
사람의	사람/NNG+의/JKG
몸	몸/NNG
속에	속/NNG+에/JKB
살면서	살/VV+면서/EC
병을	병/NNG+을/JKO
일으키지	일으키/VV+지/EC
않고	않/VX+고/EC
공생하는	공생/NNG+하/XSV+는/ETM
미생물을	미생물/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.416.9.2
김 실장은 “미군이 미국에서처럼 한국에서도 인체에 무해한 양성 세균들을 공중에 뿌려 ‘주피터 프로그램’(JUPITR·연합 주한미군 포털 및 통합위협 인식)의 하나인 환경 평가 감식기(AED)로 감지할 수 있는지 실험을 해보려 한 것”이라고 지적했다.

김	김/NNP
실장은	실장/NNG+은/JX
“미군이	“/SS+미군/NNG+이/JKS
미국에서처럼	미국/NNP+에서/JKB+처럼/JKB
한국에서도	한국/NNP+에서/JKB+도/JX
인체에	인체/NNG+에/JKB
무해한	무해/NNG+하/XSA+ㄴ/ETM
양성	양성/NNG
세균들을	세균/NNG+들/XSN+을/JKO
공중에	공중/NNG+에/JKB
뿌려	뿌리/VV+어/EC
‘주피터	‘/SS+주피터/NNG
프로그램’(JUPITR·연합	프로그램/NNG+’/SS+(/SS+JUPITR/SL+·/SP+연합/NNG
주한미군	주한/NNG+미군/NNG
포털	포털/NNG
및	및/MAG
통합위협	통합/NNG+위협/NNG
인식)의	인식/NNG+)/SS+의/JKG
하나인	하나/NR+이/VCP+ㄴ/ETM
환경	환경/NNG
평가	평가/NNG
감식기(AED)로	감식기/NNG+(/SS+AED/SL+)/SS+로/JKB
감지할	감지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EC
실험을	실험/NNG+을/JKO
해보려	하/VV+아/EC+보/VX+려/EC
한	하/VX+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.416.9.3
이후 탄저균 등 실제 독성을 지닌 세균도 비활성 상태로 야외 실험을 벌이려 했을 가능성도 배제할 수 없는 만큼, 이를 분명히 확인해야 한다는 주장이다.

이후	이후/NNG
탄저균	탄저균/NNG
등	등/NNB
실제	실제/NNG
독성을	독성/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
세균도	세균/NNG+도/JX
비활성	비/XPN+활성/NNG
상태로	상태/NNG+로/JKB
야외	야외/NNG
실험을	실험/NNG+을/JKO
벌이려	벌이/VV+려/EC
했을	하/VX+았/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
만큼,	만큼/NNB+,/SP
이를	이/NP+를/JKO
분명히	분명히/MAG
확인해야	확인/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.416.10.1
권은희·최재천 새정치민주연합 의원과 서기호 정의당 의원, 탄저균 불법 반입 규탄 시민사회대책회의 공동주최로 열린 이날 토론회에서 이미현 참여연대 평화군축센터 팀장은 “미군의 탄저균 실험이 정말 이번이 처음인지, 오산만 아니라 다른 기지에서도 실험을 진행한 것은 아닌지, 탄저균만 아니라 다른 생물작용제도 반입한 것은 아닌지 등의 의혹은 아직 풀리지 않았다”면서 “한국 정부는 한미 합동조사단의 조사 결과를 투명하게 공개해야 하고, 여러 의혹도 꼼꼼하게 검증해야 한다”고 말했다.

권은희·최재천	권은희/NNP+·/SP+최재천/NNP
새정치민주연합	새정치민주연합/NNP
의원과	의원/NNG+과/JC
서기호	서기호/NNP
정의당	정의당/NNP
의원,	의원/NNG+,/SP
탄저균	탄저균/NNG
불법	불법/NNG
반입	반입/NNG
규탄	규탄/NNG
시민사회대책회의	시민/NNG+사회/NNG+대책/NNG+회의/NNG
공동주최로	공동/NNG+주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
이날	이날/NNG
토론회에서	토론회/NNG+에서/JKB
이미현	이미현/NNP
참여연대	참여연대/NNP
평화군축센터	평화/NNG+군축/NNG+센터/NNG
팀장은	팀장/NNG+은/JX
“미군의	“/SS+미군/NNG+의/JKG
실험이	실험/NNG+이/JKS
정말	정말/MAG
이번이	이번/NNG+이/JKS
처음인지,	처음/NNG+이/VCP+ㄴ지/EC+,/SP
오산만	오산/NNP+만/JX
아니라	아니/VCN+라/EC
다른	다른/MMD
기지에서도	기지/NNG+에서/JKB+도/JX
실험을	실험/NNG+을/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아닌지,	아니/VCN+ㄴ지/EC+,/SP
탄저균만	탄저균/NNG+만/JX
생물작용제도	생물/NNG+작용제/NNG+도/JX
반입한	반입/NNG+하/XSV+ㄴ/ETM
아닌지	아니/VCN+ㄴ지/EC
등의	등/NNB+의/JKG
의혹은	의혹/NNG+은/JX
아직	아직/MAG
풀리지	풀리/VV+지/EC
않았다”면서	않/VX+았/EP+다/EF+”/SS+면서/EC
“한국	“/SS+한국/NNP
정부는	정부/NNG+는/JX
한미	한미/NNP
합동조사단의	합동/NNG+조사단/NNG+의/JKG
조사	조사/NNG
결과를	결과/NNG+를/JKO
투명하게	투명/NNG+하/XSA+게/EC
공개해야	공개/NNG+하/XSV+아야/EC
하고,	하/VX+고/EC+,/SP
여러	여러/MMN
의혹도	의혹/NNG+도/JX
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
검증해야	검증/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.416.11.1
정욱식 평화네트워크 대표는 “미군의 탄저균 반입이 국제협약인 생물무기금지협약을 위반한 것으로 보인다”면서 “한미 양국이 협약을 철저히 준수하는 것만이 북한에 더욱 강력한 국제적 제약을 가할 수 있는 유일한 방법”이라고 지적했다.

정욱식	정욱식/NNP
평화네트워크	평화네트워크/NNP
대표는	대표/NNG+는/JX
“미군의	“/SS+미군/NNG+의/JKG
탄저균	탄저균/NNG
반입이	반입/NNG+이/JKS
국제협약인	국제/NNG+협약/NNG+이/VCP+ㄴ/ETM
생물무기금지협약을	생물/NNG+무기/NNG+금지/NNG+협약/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”면서	보이/VV+ㄴ다/EF+”/SS+면서/EC
“한미	“/SS+한미/NNP
양국이	양국/NNG+이/JKS
협약을	협약/NNG+을/JKO
철저히	철저히/MAG
준수하는	준수/NNG+하/XSV+는/ETM
것만이	것/NNB+만/JX+이/JKS
북한에	북한/NNP+에/JKB
더욱	더욱/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
국제적	국제/NNG+적/XSN
제약을	제약/NNG+을/JKO
가할	가하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
방법”이라고	방법/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


