# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.230
metadata : {}


# id : NWRW1800000024.230.1.1
‘한국적 발레’ 세계무대 선보이는 꿈

‘한국적	‘/SS+한국/NNP+적/XSN
것뿐입니다.”	것/NNB+뿐/JX+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000024.230.3.1
세계 무대로 가장 높이 도약한 한국 발레리노 김용걸(36)씨가 지도자로서 새 길을 나선다.

세계	세계/NNG
무대로	무대/NNG+로/JKB
가장	가장/MAG
높이	높이/MAG
도약한	도약/NNG+하/XSV+ㄴ/ETM
한국	한국/NNP
발레리노	발레리노/NNG
김용걸(36)씨가	김용걸/NNP+(/SS+36/SN+)/SS+씨/NNB+가/JKS
지도자로서	지도자/NNG+로서/JKB
새	새/MMA
길을	길/NNG+을/JKO
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.230.3.2
오는 9월 한국예술종합학교 무용학과 교수로 부임할 예정인 그가 30일 파리에서 서면 인터뷰에 답했다.

오는	오/VV+는/ETM
9월	9/SN+월/NNB
한국예술종합학교	한국예술종합학교/NNP
무용학과	무용학과/NNG
교수로	교수/NNG+로/JKB
부임할	부임/NNG+하/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
그가	그/NP+가/JKS
30일	30/SN+일/NNB
파리에서	파리/NNP+에서/JKB
서면	서면/NNG
인터뷰에	인터뷰/NNG+에/JKB
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.230.3.3
“몸이 허락할 때까지 학생들과 뛰며 얘기하고 공유하고 싶어 학교로 갑니다.”

“몸이	“/SS+몸/NNG+이/JKS
허락할	허락/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
학생들과	학생/NNG+들/XSN+과/JKB
뛰며	뛰/VV+며/EC
얘기하고	얘기/NNG+하/XSV+고/EC
공유하고	공유/NNG+하/XSV+고/EC
싶어	싶/VX+어/EC
학교로	학교/NNG+로/JKB
갑니다.”	가/VV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000024.230.4.1
국립발레단의 수석 발레리노로 활동하던 그는 2000년 남자 무용수로는 늦은 나이인 27살에 세계 5대 발레단의 하나로 꼽히는 파리오페라발레단의 문을 두드렸다.

국립발레단의	국립발레단/NNP+의/JKG
수석	수석/NNG
발레리노로	발레리노/NNG+로/JKB
활동하던	활동/NNG+하/XSV+던/ETM
그는	그/NP+는/JX
2000년	2000/SN+년/NNB
남자	남자/NNG
무용수로는	무용수/NNG+로/JKB+는/JX
늦은	늦/VA+은/ETM
나이인	나이/NNG+이/VCP+ㄴ/ETM
27살에	27/SN+살/NNB+에/JKB
세계	세계/NNG
5대	5/SN+대/NNG
발레단의	발레단/NNG+의/JKG
하나로	하나/NR+로/JKB
꼽히는	꼽히/VV+는/ETM
파리오페라발레단의	파리오페라발레단/NNP+의/JKG
문을	문/NNG+을/JKO
두드렸다.	두드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.230.4.2
다섯달의 연습생 생활을 거쳐 46 대 1의 오디션 경쟁을 뚫고 동양인 무용수로는 처음 입단했다.

다섯달의	다섯/NR+달/NNB+의/JKG
연습생	연습/NNG+생/XSN
생활을	생활/NNG+을/JKO
거쳐	거치/VV+어/EC
46	46/SN
대	대/NNB
1의	1/SN+의/JKG
오디션	오디션/NNG
경쟁을	경쟁/NNG+을/JKO
뚫고	뚫/VV+고/EC
동양인	동양인/NNG
무용수로는	무용수/NNG+로/JKB+는/JX
처음	처음/NNG
입단했다.	입단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.230.4.3
5년 뒤 그는 단 한 명만 승급되는 쉬제 시험에 통과해 또 한번 첫 동양인 솔리스트 기록을 세웠다.

5년	5/SN+년/NNB
뒤	뒤/NNG
그는	그/NP+는/JX
단	단/MMA
한	한/MMN
명만	명/NNB+만/JX
승급되는	승급/NNG+되/XSV+는/ETM
쉬제	쉬제/NNG
시험에	시험/NNG+에/JKB
통과해	통과/NNG+하/XSV+아/EC
또	또/MAG
한번	한/MMN+번/NNB
첫	첫/MMN
동양인	동양인/NNG
솔리스트	솔리스트/NNG
기록을	기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.230.4.4
1671년 루이 14세가 설립한 파리오페라발레단은 세계 최고의 역사와 함께 ‘순혈주의’의 전통이 강하기로 유명하다.

1671년	1671/SN+년/NNB
루이	루이/NNP
14세가	14/SN+세/NNB+가/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
파리오페라발레단은	파리오페라발레단/NNP+은/JX
세계	세계/NNG
최고의	최고/NNG+의/JKG
역사와	역사/NNG+와/JKB
함께	함께/MAG
‘순혈주의’의	‘/SS+순혈주의/NNG+’/SS+의/JKG
전통이	전통/NNG+이/JKS
강하기로	강하/VA+기/ETN+로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000024.230.5.1
“국가를 대표하는 예술의 가치가 얼마나 소중한지를 인정하고 지원하고 있는 프랑스의 문화적인 분위기가 가장 부러웠다”는 그는 “파리 생활을 접어야만 하는 서운함과 이른 감이 없지 않지만 2000년 파리행을 결심할 때처럼 이번에도 제 심장의 두근거림을 느낀다”고 털어놓았다.

“국가를	“/SS+국가/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
예술의	예술/NNG+의/JKG
가치가	가치/NNG+가/JKS
얼마나	얼마나/MAG
소중한지를	소중하/VA+ㄴ지/EF+를/JKO
인정하고	인정/NNG+하/XSV+고/EC
지원하고	지원/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
프랑스의	프랑스/NNP+의/JKG
문화적인	문화/NNG+적/XSN+이/VCP+ㄴ/ETM
분위기가	분위기/NNG+가/JKS
가장	가장/MAG
부러웠다”는	부럽/VA+었/EP+다/EF+”/SS+는/ETM
그는	그/NP+는/JX
“파리	“/SS+파리/NNP
생활을	생활/NNG+을/JKO
접어야만	접/VV+어야/EC+만/JX
하는	하/VX+는/ETM
서운함과	서운하/VA+ㅁ/ETN+과/JC
이른	이르/VA+ㄴ/ETM
감이	감/NNG+이/JKS
없지	없/VA+지/EC
않지만	않/VX+지만/EC
2000년	2000/SN+년/NNB
파리행을	파리행/NNG+을/JKO
결심할	결심/NNG+하/XSV+ㄹ/ETM
때처럼	때/NNG+처럼/JKB
이번에도	이번/NNG+에/JKB+도/JX
제	저/NP+의/JKG
심장의	심장/NNG+의/JKG
두근거림을	두근거림/NNG+을/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.230.6.1
요즘 그의 고민은 장기적인 안목으로 한국 실정에 맞는 발레교육 스타일과 그에 맞는 시스템을 개발하는 것이다.

요즘	요즘/NNG
그의	그/NP+의/JKG
고민은	고민/NNG+은/JX
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
안목으로	안목/NNG+으로/JKB
한국	한국/NNP
실정에	실정/NNG+에/JKB
맞는	맞/VV+는/ETM
발레교육	발레/NNG+교육/NNG
스타일과	스타일/NNG+과/JC
그에	그/NP+에/JKB
시스템을	시스템/NNG+을/JKO
개발하는	개발/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.230.6.2
한국 발레만의 장점을 살린 작품을 유럽에서 멋지게 선보이고 싶은 것도 지도자로서 그의 꿈이다.

한국	한국/NNP
발레만의	발레/NNG+만/JX+의/JKG
장점을	장점/NNG+을/JKO
살린	살리/VV+ㄴ/ETM
작품을	작품/NNG+을/JKO
유럽에서	유럽/NNP+에서/JKB
멋지게	멋지/VA+게/EC
선보이고	선보이/VV+고/EC
싶은	싶/VX+은/ETM
것도	것/NNB+도/JX
지도자로서	지도자/NNG+로서/JKB
그의	그/NP+의/JKG
꿈이다.	꿈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.230.7.1
그는 앞으로도 강의와 함께 꾸준히 무대에 설 계획이다.

그는	그/NP+는/JX
앞으로도	앞/NNG+으로/JKB+도/JX
강의와	강의/NNG+와/JKB
함께	함께/MAG
꾸준히	꾸준히/MAG
무대에	무대/NNG+에/JKB
설	서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.230.7.2
우선 귀국 기념으로 외국에서 활동하고 있는 동료·후배들과 함께 갈라공연 ‘김용걸과 친구들’을 꾸민다.

우선	우선/MAG
귀국	귀국/NNG
기념으로	기념/NNG+으로/JKB
외국에서	외국/NNG+에서/JKB
활동하고	활동/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
동료·후배들과	동료/NNG+·/SP+후배/NNG+들/XSN+과/JKB
함께	함께/MAG
갈라공연	갈라/NNG+공연/NNG
‘김용걸과	‘/SS+김용걸/NNP+과/JC
친구들’을	친구/NNG+들/XSN+’/SS+을/JKO
꾸민다.	꾸미/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.230.7.3
파리오페라발레단 동료인 솔리스트 오헬리아 벨레를 비롯해 ‘포스트 강수진’으로 불리는 슈투트가르트발레단의 강효정과 알렉산더 존스, 미국 컴플렉션스발레단의 조주환, 미국 트리샤브라운무용단의 정현진, 영국 러셀말리판트무용단의 김경신, 싱가포르댄스시어터의 박나리, 유니버설발레단의 주역 강예나와 이현준 등이 함께 무대에 선다.

파리오페라발레단	파리오페라발레단/NNP
동료인	동료/NNG+이/VCP+ㄴ/ETM
솔리스트	솔리스트/NNG
오헬리아	오헬리아/NNP
벨레를	벨레/NNP+를/JKO
비롯해	비롯하/VV+아/EC
‘포스트	‘/SS+포스트/NNG
강수진’으로	강수진/NNP+’/SS+으로/JKB
불리는	불리/VV+는/ETM
슈투트가르트발레단의	슈투트가르트발레단/NNP+의/JKG
강효정과	강효정/NNP+과/JC
알렉산더	알렉산더/NNP
존스,	존스/NNP+,/SP
미국	미국/NNP
컴플렉션스발레단의	컴플렉션스발레단/NNP+의/JKG
조주환,	조주환/NNP+,/SP
트리샤브라운무용단의	트리샤브라운무용단/NNP+의/JKG
정현진,	정현진/NNP+,/SP
영국	영국/NNP
러셀말리판트무용단의	러셀말리판트무용단/NNP+의/JKG
김경신,	김경신/NNP+,/SP
싱가포르댄스시어터의	싱가포르댄스시어터/NNP+의/JKG
박나리,	박나리/NNP+,/SP
유니버설발레단의	유니버설발레단/NNP+의/JKG
주역	주역/NNG
강예나와	강예나/NNP+와/JC
이현준	이현준/NNP
등이	등/NNB+이/JKS
함께	함께/MAG
무대에	무대/NNG+에/JKB
선다.	서/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.230.8.1
그는 “외국에서 자신과 싸우고 있는 젊은 한국 무용수들이 어렵게 갈고닦은 자신만의 기량을 따뜻한 고국에서 선보일 수 있는 좋은 기회이자 떨리는 순간”이라며 “관객들의 따뜻한 관심을 부탁드린다”고 말했다.

그는	그/NP+는/JX
“외국에서	“/SS+외국/NNG+에서/JKB
자신과	자신/NNG+과/JKB
싸우고	싸우/VV+고/EC
있는	있/VA+는/ETM
젊은	젊/VA+은/ETM
한국	한국/NNP
무용수들이	무용수/NNG+들/XSN+이/JKS
어렵게	어렵/VA+게/EC
갈고닦은	갈고닦/VV+은/ETM
자신만의	자신/NNG+만/JX+의/JKG
기량을	기량/NNG+을/JKO
따뜻한	따뜻하/VA+ㄴ/ETM
고국에서	고국/NNG+에서/JKB
선보일	선보이/VV+ㄹ/ETM
수	수/NNB
좋은	좋/VA+은/ETM
기회이자	기회/NNG+이/VCP+자/EC
떨리는	떨리/VV+는/ETM
순간”이라며	순간/NNG+”/SS+이/VCP+라며/EC
“관객들의	“/SS+관객/NNG+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
부탁드린다”고	부탁/NNG+드리/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.230.8.2
그는 9월 국립발레단의 <차이코프스키>에서도 주역으로 나선다.

그는	그/NP+는/JX
9월	9/SN+월/NNB
국립발레단의	국립발레단/NNP+의/JKG
<차이코프스키>에서도	</SS+차이코프스키/NNP+>/SS+에서/JKB+도/JX
주역으로	주역/NNG+으로/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.230.8.3
(02)3674-2210.

(02)3674-2210.	(/SS+02/SN+)/SS+3674/SN+-/SO+2210/SN+./SF


