# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.80
metadata : {}


# id : NWRW1800000026.80.1.1
우즈, 꽃피는 4월엔 돌아온다?

우즈,	우즈/NNP+,/SP
크다"며	크/VA+다/EF+"/SS+며/EC
"우즈가	"/SS+우즈/NNP+가/JKS
이미	이미/MAG
골프연습을	골프/NNG+연습/NNG+을/JKO
재개한	재개/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.80.3.3
시즌 첫 메이저 대회인 마스터스는 4월 8일 조지아주 오거스타 내셔널골프장에서 개막한다.

시즌	시즌/NNG
첫	첫/MMN
메이저	메이저/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
마스터스는	마스터스/NNG+는/JX
4월	4/SN+월/NNB
8일	8/SN+일/NNB
조지아주	조지아주/NNP
오거스타	오거스타/NNP
내셔널골프장에서	내셔널/NNG+골프장/NNG+에서/JKB
개막한다.	개막/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.80.3.4
우즈는 메이저 대회 14승을 기록 중이다.

우즈는	우즈/NNP+는/JX
메이저	메이저/NNG
대회	대회/NNG
14승을	14/SN+승/NNB+을/JKO
기록	기록/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.80.4.1
AP통신은 우즈 측근의 말을 빌려 "애리조나주에서 1주일간의 가족 상담치료를 받고 돌아온 우즈가 골프 연습과 체력 훈련 등 일상적인 생활을 하고 있다"고 보도했다.

AP통신은	AP통신/NNP+은/JX
우즈	우즈/NNP
측근의	측근/NNG+의/JKG
말을	말/NNG+을/JKO
빌려	빌리/VV+어/EC
"애리조나주에서	"/SS+애리조나주/NNP+에서/JKB
1주일간의	1/SN+주일/NNB+간/XSN+의/JKG
가족	가족/NNG
상담치료를	상담/NNG+치료/NNG+를/JKO
받고	받/VV+고/EC
돌아온	돌아오/VV+ㄴ/ETM
우즈가	우즈/NNP+가/JKS
골프	골프/NNG
연습과	연습/NNG+과/JC
체력	체력/NNG
훈련	훈련/NNG
등	등/NNB
일상적인	일상/NNG+적/XSN+이/VCP+ㄴ/ETM
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.80.4.2
우즈는 지난달 28일 올랜도 인근에 있는 집으로 돌아와 아일워스골프장의 연습장에서 골프 연습을 하는 것으로 알려졌다.

우즈는	우즈/NNP+는/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
올랜도	올랜도/NNP
인근에	인근/NNG+에/JKB
있는	있/VA+는/ETM
집으로	집/NNG+으로/JKB
돌아와	돌아오/VV+아/EC
아일워스골프장의	아일워스골프장/NNP+의/JKG
연습장에서	연습장/NNG+에서/JKB
골프	골프/NNG
연습을	연습/NNG+을/JKO
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.80.5.1
그러나 지난달 18일 사죄 회견 이후에도 우즈의 이미지 반전은 쉽지 않은 모양이다.

그러나	그러나/MAJ
지난달	지난달/NNG
18일	18/SN+일/NNB
사죄	사죄/NNG
회견	회견/NNG
이후에도	이후/NNG+에/JKB+도/JX
우즈의	우즈/NNP+의/JKG
이미지	이미지/NNG
반전은	반전/NNG+은/JX
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.80.5.2
최근 동물보호단체인 PETA는 우즈의 사진과 함께 "지나친 섹스는 해롭다"는 글을 적은 대형 홍보 간판을 만들어 애완동물 피임수술 권장 캠페인을 벌일 예정인 것으로 알려졌다.

최근	최근/MAG
동물보호단체인	동물/NNG+보호/NNG+단체/NNG+이/VCP+ㄴ/ETM
PETA는	PETA/SL+는/JX
우즈의	우즈/NNP+의/JKG
사진과	사진/NNG+과/JKB
함께	함께/MAG
"지나친	"/SS+지나치/VA+ㄴ/ETM
섹스는	섹스/NNG+는/JX
해롭다"는	해/NNG+롭/XSA+다/EF+"/SS+는/ETM
글을	글/NNG+을/JKO
적은	적/VV+은/ETM
대형	대형/NNG
홍보	홍보/NNG
간판을	간판/NNG+을/JKO
만들어	만들/VV+어/EC
애완동물	애완동물/NNG
피임수술	피임/NNG+수술/NNG
권장	권장/NNG
캠페인을	캠페인/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.80.5.3
이에 대해 우즈측은 강력한 경고 서한을 보냈다고 한다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
우즈측은	우즈/NNP+측/NNB+은/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
경고	경고/NNG
서한을	서한/NNG+을/JKO
보냈다고	보내/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


