# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.367
metadata : {}


# id : NWRW1800000041.367.1.1
朴경정 “檢조사 당당하게 임할 것”

朴경정	朴/SH+경정/NNG
정윤기	정윤기/NNP
변호사(56)가	변호사/NNG+(/SS+56/SN+)/SS+가/JKS
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.367.5.3
정 변호사는 이날 오후 서울 서초구 서초동 자신의 변호사 사무실에서 기자들과 만나 “박 경정은 4일 오전 9시 30분에 검찰에 출석해 조사를 받을 것”이라며 “포토라인에도 서겠다. 당당하게 임하기로 했다”고 밝혔다.

정	정/NNP
변호사는	변호사/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
서울	서울/NNP
서초구	서초구/NNP
서초동	서초동/NNP
자신의	자신/NNG+의/JKG
변호사	변호사/NNG
사무실에서	사무실/NNG+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“박	“/SS+박/NNP
경정은	경정/NNG+은/JX
4일	4/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
검찰에	검찰/NNG+에/JKB
출석해	출석/NNG+하/XSV+아/EC
조사를	조사/NNG+를/JKO
받을	받/VV+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“포토라인에도	“/SS+포토/NNG+라인/NNG+에/JKB+도/JX
서겠다.	서/VV+겠/EP+다/EF+./SF
당당하게	당당/MAG+하/XSA+게/EC
임하기로	임하/VV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.367.5.4
이어 문건 유출자가 박 경정이 아닌 제3자일 가능성에 대해 “박 경정이 ‘짚이는 데가 있다’고 말했는데 검찰 조사 때 말할 예정”이라고 덧붙였다.

이어	이어/MAG
문건	문건/NNG
유출자가	유출자/NNG+가/JKS
박	박/NNP
경정이	경정/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
제3자일	제3자/NNG+이/VCP+ㄹ/ETM
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
“박	“/SS+박/NNP
‘짚이는	‘/SS+짚이/VV+는/ETM
데가	데/NNB+가/JKS
있다’고	있/VA+다/EF+’/SS+고/JKQ
말했는데	말/NNG+하/XSV+았/EP+는데/EC
검찰	검찰/NNG
조사	조사/NNG
때	때/NNG
말할	말/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.367.6.1
박 경정은 4일에는 우선 명예훼손 혐의를 수사하는 서울중앙지검 형사1부에 출석해 조사를 받을 것으로 알려졌다.

박	박/NNP
경정은	경정/NNG+은/JX
4일에는	4/SN+일/NNB+에/JKB+는/JX
우선	우선/MAG
명예훼손	명예/NNG+훼손/NNG
혐의를	혐의/NNG+를/JKO
수사하는	수사/NNG+하/XSV+는/ETM
서울중앙지검	서울중앙지검/NNP
형사1부에	형사/NNG+1/SN+부/NNG+에/JKB
출석해	출석/NNG+하/XSV+아/EC
조사를	조사/NNG+를/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.367.6.2
이 문건의 작성 경위와 신빙성에 대해 먼저 조사받는다는 뜻이다.

이	이/MMD
문건의	문건/NNG+의/JKG
작성	작성/NNG
경위와	경위/NNG+와/JC
신빙성에	신빙/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
먼저	먼저/MAG
조사받는다는	조사/NNG+받/XSV+는다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


