# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.9
metadata : {}


# id : NWRW1800000024.9.1.1
프랑스도 ‘방송장악’ 논란

프랑스도	프랑스/NNP+도/JX
독점하는	독점/NNG+하/XSV+는/ETM
결과를	결과/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.9.6.1
사회당도 반발에 합세했다.

사회당도	사회당/NNP+도/JX
반발에	반발/NNG+에/JKB
합세했다.	합세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.9.6.2
이들은 사르코지가 광고 폐지와 함께 공영방송 사장을 대통령이 직접 임명하는 방안을 추진하는 것을 크게 비판하고 있다.

이들은	이/NP+들/XSN+은/JX
사르코지가	사르코지/NNP+가/JKS
광고	광고/NNG
폐지와	폐지/NNG+와/JKB
함께	함께/MAG
공영방송	공영/NNG+방송/NNG
사장을	사장/NNG+을/JKO
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
임명하는	임명/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
크게	크/VA+게/EC
비판하고	비판/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.9.6.3
이들은 공영방송 사장 임명권이 대통령에게로 넘어가면 방송의 독립성이 훼손될 것이라며, 대통령과 상·하 양원 의장의 추천을 거쳐 임명되는 9명의 최고시청각위원회(CSA) 위원들이 선임하는 기존 방식이 유지돼야 한다고 주장했다.

이들은	이/NP+들/XSN+은/JX
공영방송	공영/NNG+방송/NNG
사장	사장/NNG
임명권이	임명/NNG+권/XSN+이/JKS
대통령에게로	대통령/NNG+에게/JKB+로/JKB
넘어가면	넘어가/VV+면/EC
방송의	방송/NNG+의/JKG
독립성이	독립/NNG+성/XSN+이/JKS
훼손될	훼손/NNG+되/XSV+ㄹ/ETM
것이라며,	것/NNB+이/VCP+라며/EC+,/SP
대통령과	대통령/NNG+과/JC
상·하	상·하/NNG
양원	양원/NNG
의장의	의장/NNG+의/JKG
추천을	추천/NNG+을/JKO
거쳐	거치/VV+어/EC
임명되는	임명/NNG+되/XSV+는/ETM
9명의	9/SN+명/NNB+의/JKG
최고시청각위원회(CSA)	최고/NNG+시청각/NNG+위원회/NNG+(/SS+CSA/SL+)/SS
위원들이	위원/NNG+들/XSN+이/JKS
선임하는	선임/NNG+하/XSV+는/ETM
기존	기존/NNG
방식이	방식/NNG+이/JKS
유지돼야	유지/NNG+되/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


