# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.177
metadata : {}


# id : NWRW1800000026.177.1.1
[6·2 국민의 선택] 화제의 기초단체장_황주홍 강진군수 당선자;정당공천 폐지 주장… 민주당 텃밭서 승전보

[6·2	[/SS+6/SN+·/SP+2/SN
새로운	새롭/VA+ㄴ/ETM
바람을	바람/NNG+을/JKO
불어넣었다는	불어넣/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.177.4.2
2006년 재선에 이어 이번에 삼선에 성공했다.

2006년	2006/SN+년/NNB
재선에	재선/NNG+에/JKB
이어	잇/VV+어/EC
이번에	이번/NNG+에/JKB
삼선에	삼선/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.177.5.1
평소 '단체장의 정당공천 제도가 정치부패의 온상'이라는 지론을 펼쳐온 그는 작년부터 전국 시장·군수·구청장협의회 정당공천폐지 특별위원장과 '기초지방선거 정당공천폐지를 위한 국민운동본부' 상임대표로 활동하며 일찌감치 무소속 출마를 선언했다.

평소	평소/NNG
'단체장의	'/SS+단체장/NNG+의/JKG
정당공천	정당/NNG+공천/NNG
제도가	제도/NNG+가/JKS
정치부패의	정치/NNG+부패/NNG+의/JKG
온상'이라는	온상/NNG+'/SS+이/VCP+라는/ETM
지론을	지론/NNG+을/JKO
펼쳐온	펼치/VV+어/EC+오/VX+ㄴ/ETM
그는	그/NP+는/JX
작년부터	작년/NNG+부터/JX
전국	전국/NNG
시장·군수·구청장협의회	시장/NNG+·/SP+군수/NNG+·/SP+구청장/NNG+협의회/NNG
정당공천폐지	정당/NNG+공천/NNG+폐지/NNG
특별위원장과	특별/NNG+위원장/NNG+과/JC
'기초지방선거	'/SS+기초/NNG+지방/NNG+선거/NNG
정당공천폐지를	정당/NNG+공천/NNG+폐지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
국민운동본부'	국민운동/NNG+본부/NNG+'/SS
상임대표로	상임/NNG+대표/NNG+로/JKB
활동하며	활동/NNG+하/XSV+며/EC
일찌감치	일찌감치/MAG
무소속	무/XPN+소속/NNG
출마를	출마/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.177.5.2
"민주당 옷을 입으면 절대 유리한 지역에서 일부러 '무소속'을 선택한 것은 탄탄대로 대신 외롭고 험한 가시밭길을 걷는 일이나 다름없지만, 어렵게 결단했습니다"

"민주당	"/SS+민주당/NNP
옷을	옷/NNG+을/JKO
입으면	입/VV+으면/EC
절대	절대/MAG
유리한	유리/NNG+하/XSA+ㄴ/ETM
지역에서	지역/NNG+에서/JKB
일부러	일부러/MAG
'무소속'을	'/SS+무/XPN+소속/NNG+'/SS+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
탄탄대로	탄탄대로/NNG
대신	대신/NNG
외롭고	외롭/VA+고/EC
험한	험하/VA+ㄴ/ETM
가시밭길을	가시밭길/NNG+을/JKO
걷는	걷/VV+는/ETM
일이나	일/NNG+이나/JX
다름없지만,	다름없/VA+지만/EC+,/SP
어렵게	어렵/VA+게/EC
결단했습니다"	결단/NNG+하/XSV+았/EP+습니다/EF+"/SS


# id : NWRW1800000026.177.6.1
그는 오래전부터 "이번 지방선거에서는 민주당 소속 현직 군수가 '프리미엄'을 버리고 정치적 신념에 따라 무소속 출마를 선택한 강진의 선거결과를 주목해야 한다"고 말해 왔다.

그는	그/NP+는/JX
오래전부터	오래전/NNG+부터/JX
"이번	"/SS+이번/NNG
지방선거에서는	지방/NNG+선거/NNG+에서/JKB+는/JX
민주당	민주당/NNP
소속	소속/NNG
현직	현직/NNG
군수가	군수/NNG+가/JKS
'프리미엄'을	'/SS+프리미엄/NNG+'/SS+을/JKO
버리고	버리/VV+고/EC
정치적	정치/NNG+적/XSN
신념에	신념/NNG+에/JKB
따라	따르/VV+아/EC
무소속	무/XPN+소속/NNG
출마를	출마/NNG+를/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
강진의	강진/NNP+의/JKG
선거결과를	선거/NNG+결과/NNG+를/JKO
주목해야	주목/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.177.7.1
"군민들께서 위대한 선택으로 기초단체장의 정당공천이 폐지돼야 한다는 저의 주장에 동의해주셨습니다."

"군민들께서	"/SS+군민/NNG+들/XSN+께서/JKS
위대한	위대하/VA+ㄴ/ETM
선택으로	선택/NNG+으로/JKB
기초단체장의	기초/NNG+단체장/NNG+의/JKG
정당공천이	정당/NNG+공천/NNG+이/JKS
폐지돼야	폐지/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
저의	저/NP+의/JKG
주장에	주장/NNG+에/JKB
동의해주셨습니다."	동의/NNG+하/XSV+아/EC+주/VX+시/EP+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000026.177.7.2
그는 "무소속 단체장으로서 오직 강진군과 군민만을 위해 분골쇄신하겠다"고 말했다.

그는	그/NP+는/JX
"무소속	"/SS+무/XPN+소속/NNG
단체장으로서	단체장/NNG+으로서/JKB
오직	오직/MAG
강진군과	강진군/NNP+과/JC
군민만을	군민/NNG+만/JX+을/JKO
위해	위하/VV+아/EC
분골쇄신하겠다"고	분골쇄신/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


