# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.167
metadata : {}


# id : NWRW1800000054.167.1.1
백악관 홈피까지 번진 '탄핵 댓글 전쟁'

백악관	백악관/NNP
하지	하/VV+지/EC
마라.	말/VX+아라/EF+./SF


# id : NWRW1800000054.167.3.4
쪽팔린다'는 답글을 단 것이다.

쪽팔린다'는	쪽팔리/VV+ㄴ다/EF+'/SS+는/ETM
답글을	답글/NNG+을/JKO
단	달/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.167.3.5
이후 양측이 '너 같은 박사모(박근혜를 사랑하는 모임)들은 양심과 체면을 버린 거냐' '탄핵은 종북 좌파들의 음모다' 같은 한국어와 영어로 된 상호 비방과 욕설을 경쟁적으로 올렸다.

이후	이후/NNG
양측이	양측/NNG+이/JKS
'너	'/SS+너/NP
같은	같/VA+은/ETM
박사모(박근혜를	박사모/NNP+(/SS+박근혜/NNP+를/JKO
사랑하는	사랑/NNG+하/XSV+는/ETM
모임)들은	모임/NNG+)/SS+들/XSN+은/JX
양심과	양심/NNG+과/JC
체면을	체면/NNG+을/JKO
버린	버리/VV+ㄴ/ETM
거냐'	거/NNB+이/VCP+냐/EF+'/SS
'탄핵은	'/SS+탄핵/NNG+은/JX
종북	종북/NNG
좌파들의	좌파/NNG+들/XSN+의/JKG
음모다'	음모/NNG+이/VCP+다/EF+'/SS
한국어와	한국어/NNP+와/JC
영어로	영어/NNP+로/JKB
된	되/VV+ㄴ/ETM
상호	상호/NNG
비방과	비방/NNG+과/JC
욕설을	욕설/NNG+을/JKO
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.167.3.6
한국 대학에서 유학 중인 미국인 에밀리(여·24)씨는 "전 세계인이 관심 있게 지켜보는 뉴스에서 한국어로 된 욕설을 섞어가며 싸우는 것을 보니 안타깝고 창피했다"고 했다.

한국	한국/NNP
대학에서	대학/NNG+에서/JKB
유학	유학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
미국인	미국인/NNG
에밀리(여·24)씨는	에밀리/NNP+(/SS+여/NNG+·/SP+24/SN+)/SS+씨/NNB+는/JX
"전	"/SS+전/MMN
세계인이	세계인/NNG+이/JKS
관심	관심/NNG
있게	있/VA+게/EC
지켜보는	지켜보/VV+는/ETM
뉴스에서	뉴스/NNG+에서/JKB
한국어로	한국어/NNP+로/JKB
된	되/VV+ㄴ/ETM
욕설을	욕설/NNG+을/JKO
섞어가며	섞/VV+어/EC+가/VX+며/EC
싸우는	싸우/VV+는/ETM
것을	것/NNB+을/JKO
보니	보/VV+니/EC
안타깝고	안타깝/VA+고/EC
창피했다"고	창피/NNG+하/XSA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.167.4.1
같은 날 탄핵 찬반 집회 상황을 실시간으로 보도한 미국 워싱턴포스트(WP) 사이트도 볼썽사나운 댓글 싸움으로 도배가 됐다.

같은	같/VA+은/ETM
날	날/NNG
탄핵	탄핵/NNG
찬반	찬반/NNG
집회	집회/NNG
상황을	상황/NNG+을/JKO
실시간으로	실시간/NNG+으로/JKB
보도한	보도/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
워싱턴포스트(WP)	워싱턴포스트/NNP+(/SS+WP/SL+)/SS
사이트도	사이트/NNG+도/JX
볼썽사나운	볼썽사납/VA+ㄴ/ETM
댓글	댓글/NNG
싸움으로	싸움/NNG+으로/JKB
도배가	도배/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.167.4.2
탄핵을 반대하는 태극기 집회 기사에 대해 일부 네티즌이 '저들은 대통령에게 돈을 받고 거리에 나온 5%에 불과하다'는 댓글을 달자, 다른 네티즌들이 탄핵 찬성 진영을 비판하며 '북한이 간첩을 심는 데 성공했다'는 영어 댓글을 달았다.

탄핵을	탄핵/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
태극기	태극기/NNG
집회	집회/NNG
기사에	기사/NNG+에/JKB
대해	대하/VV+아/EC
일부	일부/NNG
네티즌이	네티즌/NNG+이/JKS
'저들은	'/SS+저/NP+들/XSN+은/JX
대통령에게	대통령/NNG+에게/JKB
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
거리에	거리/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
5%에	5/SN+%/SW+에/JKB
불과하다'는	불과/MAG+하/XSA+다/EF+'/SS+는/ETM
댓글을	댓글/NNG+을/JKO
달자,	달/VV+자/EC+,/SP
다른	다른/MMD
네티즌들이	네티즌/NNG+들/XSN+이/JKS
탄핵	탄핵/NNG
찬성	찬성/NNG
진영을	진영/NNG+을/JKO
비판하며	비판/NNG+하/XSV+며/EC
'북한이	'/SS+북한/NNP+이/JKS
간첩을	간첩/NNG+을/JKO
심는	심/VV+는/ETM
데	데/NNB
성공했다'는	성공/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
영어	영어/NNP
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.167.4.3
보다 못한 외국 네티즌들이 '집안싸움은 다른 곳에서 하라'며 '이들을 차단(block)할 수 없냐'고 WP 사이트 운영자에게 항의할 정도였다.

보다	보/VV+다/EC
못한	못/MAG+하/XSA+ㄴ/ETM
외국	외국/NNG
네티즌들이	네티즌/NNG+들/XSN+이/JKS
'집안싸움은	'/SS+집안싸움/NNG+은/JX
다른	다른/MMD
곳에서	곳/NNG+에서/JKB
하라'며	하/VV+라/EF+'/SS+며/EC
'이들을	'/SS+이/NP+들/XSN+을/JKO
차단(block)할	차단/NNG+(/SS+block/SL+)/SS+하/XSV+ㄹ/ETM
수	수/NNB
없냐'고	없/VA+냐/EF+'/SS+고/JKQ
WP	WP/SL
사이트	사이트/NNG
운영자에게	운영자/NNG+에게/JKB
항의할	항의/NNG+하/XSV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.167.5.1
박 전 대통령 탄핵 이후 한국 소식을 전하는 외신 사이트에서 한국 네티즌들이 진흙탕 싸움을 벌이고 있다.

박	박/NNP
전	전/MMD
대통령	대통령/NNG
탄핵	탄핵/NNG
이후	이후/NNG
한국	한국/NNP
소식을	소식/NNG+을/JKO
전하는	전하/VV+는/ETM
외신	외신/NNG
사이트에서	사이트/NNG+에서/JKB
네티즌들이	네티즌/NNG+들/XSN+이/JKS
진흙탕	진흙탕/NNG
싸움을	싸움/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.167.5.2
일부 네티즌은 한국 사정을 잘 알지 못하는 외국 네티즌에게 가짜 뉴스를 사실처럼 전하기도 한다.

일부	일부/NNG
네티즌은	네티즌/NNG+은/JX
한국	한국/NNP
사정을	사정/NNG+을/JKO
잘	잘/MAG
알지	알/VV+지/EC
못하는	못하/VX+는/ETM
외국	외국/NNG
네티즌에게	네티즌/NNG+에게/JKB
가짜	가짜/NNG
뉴스를	뉴스/NNG+를/JKO
사실처럼	사실/NNG+처럼/JKB
전하기도	전하/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.167.5.3
지난 15일 영국 공영방송 BBC가 '박 전 대통령이 진돗개를 청와대에 놔두고 떠났다'는 기사를 보도하자, 한 네티즌이 '박근혜가 강아지를 놔두고 간 것은 놀랍지 않다.

지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
영국	영국/NNP
공영방송	공영/NNG+방송/NNG
BBC가	BBC/SL+가/JKS
'박	'/SS+박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
진돗개를	진돗개/NNG+를/JKO
청와대에	청와대/NNP+에/JKB
놔두고	놔두/VV+고/EC
떠났다'는	떠나/VV+았/EP+다/EF+'/SS+는/ETM
기사를	기사/NNG+를/JKO
보도하자,	보도/NNG+하/XSV+자/EC+,/SP
한	한/MMN
네티즌이	네티즌/NNG+이/JKS
'박근혜가	'/SS+박근혜/NNP+가/JKS
강아지를	강아지/NNG+를/JKO
간	가/VV+ㄴ/ETM
것은	것/NNB+은/JX
놀랍지	놀랍/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.167.5.4
476명을 실은 세월호가 바다에 빠졌을 때 아무것도 하지 않았기 때문'이라는 영어 댓글을 달았다.

476명을	476/SN+명/NNB+을/JKO
실은	싣/VV+은/ETM
세월호가	세월호/NNP+가/JKS
바다에	바다/NNG+에/JKB
빠졌을	빠지/VV+었/EP+을/ETM
때	때/NNG
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문'이라는	때문/NNB+'/SS+이/VCP+라는/ETM
영어	영어/NNP
댓글을	댓글/NNG+을/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.167.5.5
'세월호 사고 당시 해역에 미국 군함도 있었는데, 박근혜가 도움을 거절했다'는 허위 주장도 이어졌다.

'세월호	'/SS+세월호/NNP
사고	사고/NNG
당시	당시/NNG
해역에	해역/NNG+에/JKB
미국	미국/NNP
군함도	군함/NNG+도/JX
있었는데,	있/VA+었/EP+는데/EC+,/SP
박근혜가	박근혜/NNP+가/JKS
도움을	도움/NNG+을/JKO
거절했다'는	거절/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
허위	허위/NNG
주장도	주장/NNG+도/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.167.6.1
이를 본 외국 네티즌들은 '대통령이 뭐라고 한마디라도 했으면 모두 살렸을 텐데'라며 사실인 것처럼 받아들였다.

이를	이/NP+를/JKO
본	보/VV+ㄴ/ETM
외국	외국/NNG
네티즌들은	네티즌/NNG+들/XSN+은/JX
'대통령이	'/SS+대통령/NNG+이/JKS
뭐라고	뭐/NP+이/VCP+라고/EC
한마디라도	한마디/NNG+이/VCP+라도/EC
했으면	하/VV+았/EP+으면/EC
모두	모두/MAG
살렸을	살리/VV+었/EP+을/ETM
텐데'라며	터/NNB+이/VCP+ㄴ데/EC+'/SS+이/VCP+라며/EC
사실인	사실/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.167.6.2
미국인 재러드 레니(30)씨는 "영어로 마치 사실인 것처럼 단정적인 표현을 사용해 나도 정말인 줄 알았다"며 "한국 뉴스를 평소에 보지 못했던 사람이 보면 박 전 대통령에 대해 오해할 소지가 크다"고 말했다.

미국인	미국인/NNG
재러드	재러드/NNP
레니(30)씨는	레니/NNP+(/SS+30/SN+)/SS+씨/NNB+는/JX
"영어로	"/SS+영어/NNP+로/JKB
마치	마치/MAG
사실인	사실/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
단정적인	단정/NNG+적/XSN+이/VCP+ㄴ/ETM
표현을	표현/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
나도	나/NP+도/JX
정말인	정말/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
알았다"며	알/VV+았/EP+다/EF+"/SS+며/EC
"한국	"/SS+한국/NNP
뉴스를	뉴스/NNG+를/JKO
평소에	평소/NNG+에/JKB
보지	보/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
사람이	사람/NNG+이/JKS
보면	보/VV+면/EC
박	박/NNP
전	전/MMD
대통령에	대통령/NNG+에/JKB
대해	대하/VV+아/EC
오해할	오해/NNG+하/XSV+ㄹ/ETM
소지가	소지/NNG+가/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.167.7.1
인신 공격도 난무하고 있다.

인신	인신/NNG
공격도	공격/NNG+도/JX
난무하고	난무/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.167.7.2
탄핵 소식을 다룬 영국 주간지 이코노미스트 기사에 '박 전 대통령이 세월호 참사로 아이들 300여 명의 목숨을 앗아갔다'는 댓글이 달리자, 반대쪽에서 '문재인은 머저리(idiot)'라고 한 것이다.

탄핵	탄핵/NNG
소식을	소식/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
영국	영국/NNP
주간지	주간지/NNG
이코노미스트	이코노미스트/NNP
기사에	기사/NNG+에/JKB
'박	'/SS+박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
세월호	세월호/NNP
참사로	참사/NNG+로/JKB
아이들	아이/NNG+들/XSN
300여	300/SN+여/XSN
명의	명/NNB+의/JKG
목숨을	목숨/NNG+을/JKO
앗아갔다'는	앗/VV+아/EC+가/VX+았/EP+다/EF+'/SS+는/ETM
댓글이	댓글/NNG+이/JKS
달리자,	달리/VV+자/EC+,/SP
반대쪽에서	반대쪽/NNG+에서/JKB
'문재인은	'/SS+문재인/NNP+은/JX
머저리(idiot)'라고	머저리/NNG+(/SS+idiot/SL+)/SS+'/SS+라고/JKQ
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.167.7.3
영어로 시작된 이들의 싸움은 한국어 막말로 끝났다.

영어로	영어/NNP+로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
싸움은	싸움/NNG+은/JX
한국어	한국어/NNP
막말로	막말/NNG+로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.167.8.1
탄핵 찬반 진영 간 싸움은 미국 백악관 홈페이지로도 번졌다.

탄핵	탄핵/NNG
찬반	찬반/NNG
진영	진영/NNG
간	간/NNB
싸움은	싸움/NNG+은/JX
미국	미국/NNP
백악관	백악관/NNP
홈페이지로도	홈페이지/NNG+로/JKB+도/JX
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.167.8.2
탄핵 반대를 주장하는 단체 회원은 지난달부터 백악관 시민청원 사이트에서 '박근혜는 정당한 대통령이고 탄핵당해서는 안 된다'는 서명운동을 벌이고 있다.

탄핵	탄핵/NNG
반대를	반대/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
단체	단체/NNG
회원은	회원/NNG+은/JX
지난달부터	지난달/NNG+부터/JX
백악관	백악관/NNP
시민청원	시민/NNG+청원/NNG
사이트에서	사이트/NNG+에서/JKB
'박근혜는	'/SS+박근혜/NNP+는/JX
정당한	정당하/VA+ㄴ/ETM
대통령이고	대통령/NNG+이/VCP+고/EC
탄핵당해서는	탄핵/NNG+당하/XSV+아서/EC+는/JX
안	안/MAG
된다'는	되/VV+ㄴ다/EF+'/SS+는/ETM
서명운동을	서명/NNG+운동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.167.8.3
19일까지 9000명 넘게 이 청원에 서명했다.

19일까지	19/SN+일/NNB+까지/JX
9000명	9000/SN+명/NNB
넘게	넘/VV+게/EC
이	이/MMD
청원에	청원/NNG+에/JKB
서명했다.	서명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.167.8.4
10만 명 이상이 서명할 경우 백악관은 60일 이내에 공식 입장을 표명해야 한다.

10만	10/SN+만/NR
명	명/NNB
이상이	이상/NNG+이/JKS
서명할	서명/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
백악관은	백악관/NNP+은/JX
60일	60/SN+일/NNB
이내에	이내/NNG+에/JKB
공식	공식/NNG
입장을	입장/NNG+을/JKO
표명해야	표명/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.167.8.5
구정우 성균관대 사회학과 교수는 "외신 사이트에서까지 상호 비방과 욕설을 주고받는 것은 국익에 전혀 도움 되지 않는 나라 망신일 뿐"이라며 "양측이 흥분을 가라앉히고 분열과 갈등을 멈춰야 한다"고 말했다.

구정우	구정우/NNP
성균관대	성균관대/NNP
사회학과	사회학과/NNG
교수는	교수/NNG+는/JX
"외신	"/SS+외신/NNG
사이트에서까지	사이트/NNG+에서/JKB+까지/JX
상호	상호/NNG
비방과	비방/NNG+과/JC
욕설을	욕설/NNG+을/JKO
주고받는	주고받/VV+는/ETM
것은	것/NNB+은/JX
국익에	국익/NNG+에/JKB
전혀	전혀/MAG
도움	도움/NNG
되지	되/XSV+지/EC
않는	않/VX+는/ETM
나라	나라/NNG
망신일	망신/NNG+이/VCP+ㄹ/ETM
뿐"이라며	뿐/NNB+"/SS+이/VCP+라며/EC
"양측이	"/SS+양측/NNG+이/JKS
흥분을	흥분/NNG+을/JKO
가라앉히고	가라앉히/VV+고/EC
분열과	분열/NNG+과/JC
갈등을	갈등/NNG+을/JKO
멈춰야	멈추/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


