# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.152
metadata : {}


# id : NWRW1800000028.152.1.1
박지원, 민주 새 원내대표에 선출

박지원,	박지원/NNP+,/SP
있다”며	있/VX+다/EF+”/SS+며/EC
“(집단지도체제를	“/SS+(/SS+집단/NNG+지도/NNG+체제/NNG+를/JKO
도입하는)	도입/NNG+하/XSV+는/ETM+)/SS
당헌·당규	당헌/NNG+·/SP+당규/NNG
개정과	개정/NNG+과/JC
지역을	지역/NNG+을/JKO
안배한	안배/NNG+하/XSV+ㄴ/ETM
최고위원	최고/NNG+위원/NNG
배정으로	배정/NNG+으로/JKB
분란	분란/NNG
소지를	소지/NNG+를/JKO
없애겠다”고	없애/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.152.4.1
박 원내대표는 당 대변인과 정책위의장, 문화관광부 장관, 대통령 비서실장 등 당·정·청의 요직을 두루 거쳤다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
당	당/NNG
대변인과	대변인/NNG+과/JC
정책위의장,	정책위/NNG+의장/NNG+,/SP
문화관광부	문화/NNG+관광부/NNG
장관,	장관/NNG+,/SP
대통령	대통령/NNG
비서실장	비서실장/NNG
등	등/NNB
당·정·청의	당·정·청/NNG+의/JKG
요직을	요직/NNG+을/JKO
두루	두루/MAG
거쳤다.	거치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.152.4.2
부지런하고 친화력과 순발력이 뛰어나다는 평가를 받는다.

부지런하고	부지런/NNG+하/XSA+고/EC
친화력과	친화력/NNG+과/JC
순발력이	순발력/NNG+이/JKS
뛰어나다는	뛰어나/VA+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000028.152.4.3
그러나 당 안에선 기대와 우려가 교차한다.

그러나	그러나/MAJ
당	당/NNG
안에선	안/NNG+에서/JKB+ㄴ/JX
기대와	기대/NNG+와/JC
우려가	우려/NNG+가/JKS
교차한다.	교차/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.152.4.4
당의 한 관계자는 “지역과 선수, 계파를 떠나 고른 지지를 받고 있는 만큼, 최근 공천갈등으로 날카로워진 주류-비주류 갈등을 봉합하는 데 역할을 할 것”이라고 내다봤다.

당의	당/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“지역과	“/SS+지역/NNG+과/JC
선수,	선수/NNG+,/SP
계파를	계파/NNG+를/JKO
떠나	떠나/VV+아/EC
고른	고르/VA+ㄴ/ETM
지지를	지지/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
만큼,	만큼/NNB+,/SP
최근	최근/MAG
공천갈등으로	공천/NNG+갈등/NNG+으로/JKB
날카로워진	날카롭/VA+어/EC+지/VX+ㄴ/ETM
주류-비주류	주류/NNG+-/SO+비/XPN+주류/NNG
갈등을	갈등/NNG+을/JKO
봉합하는	봉합/NNG+하/XSV+는/ETM
데	데/NNB
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.152.4.5
반면 비주류 쪽의 한 초선 의원은 “정세균 대표 등 당권파의 지원을 받아 당선됐기 때문에 한계가 있을 것”이라고 말했다.

반면	반면/NNG
비주류	비/XPN+주류/NNG
쪽의	쪽/NNB+의/JKG
한	한/MMN
초선	초선/NNG
의원은	의원/NNG+은/JX
“정세균	“/SS+정세균/NNP
대표	대표/NNG
등	등/NNB
당권파의	당권파/NNG+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
당선됐기	당선/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
한계가	한계/NNG+가/JKS
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.152.5.1
이날 박 의원의 원내대표 당선으로 18대 국회의 3기 여야관계는 김영삼 전 대통령의 상도동계(김무성 한나라당 원내대표)와 김대중 전 대통령의 동교동계(박지원 민주당 원내대표)의 손에 달리게 됐다.

이날	이날/NNG
박	박/NNP
의원의	의원/NNG+의/JKG
원내대표	원내/NNG+대표/NNG
당선으로	당선/NNG+으로/JKB
18대	18/SN+대/NNB
국회의	국회/NNG+의/JKG
3기	3/SN+기/NNG
여야관계는	여야/NNG+관계/NNG+는/JX
김영삼	김영삼/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
상도동계(김무성	상도동/NNP+계/XSN+(/SS+김무성/NNP
한나라당	한나라당/NNP
원내대표)와	원내/NNG+대표/NNG+)/SS+와/JC
김대중	김대중/NNP
동교동계(박지원	동교동/NNP+계/XSN+(/SS+박지원/NNP
민주당	민주당/NNP
원내대표)의	원내/NNG+대표/NNG+)/SS+의/JKG
손에	손/NNG+에/JKB
달리게	달리/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.152.5.2
정치권에선 이들이 평생 다른 진영에 몸담아 왔으나, 정치를 오래 했고, 기본적으로 대화주의자들이며, 사석에서는 김 원내대표가 박 원내대표를 ‘형님’이라 부르는 등 막역한 사이라는 점 등을 들어 막힌 여야관계에 물꼬가 트일 것이란 기대가 있다.

정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
이들이	이/NP+들/XSN+이/JKS
평생	평생/NNG
다른	다르/VA+ㄴ/ETM
진영에	진영/NNG+에/JKB
몸담아	몸담/VV+아/EC
왔으나,	오/VX+았/EP+으나/EC+,/SP
정치를	정치/NNG+를/JKO
오래	오래/MAG
했고,	하/VV+았/EP+고/EC+,/SP
기본적으로	기본/NNG+적/XSN+으로/JKB
대화주의자들이며,	대화주의자/NNG+들/XSN+이/VCP+며/EC+,/SP
사석에서는	사석/NNG+에서/JKB+는/JX
김	김/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
박	박/NNP
원내대표를	원내/NNG+대표/NNG+를/JKO
‘형님’이라	‘/SS+형/NNG+님/XSN+’/SS+이/VCP+라/EF
부르는	부르/VV+는/ETM
등	등/NNB
막역한	막역하/VA+ㄴ/ETM
사이라는	사이/NNG+이/VCP+라는/ETM
점	점/NNG
등을	등/NNB+을/JKO
들어	들/VV+어/EC
막힌	막히/VV+ㄴ/ETM
여야관계에	여야/NNG+관계/NNG+에/JKB
물꼬가	물꼬/NNG+가/JKS
트일	트이/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
기대가	기대/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.152.5.3
박 대표도 이날 기자간담회에서 “과거 (김 원내대표가) 내무부 차관을 할 때 내가 민주당 대변인으로 있으면서 가까워졌다”며 “최근에도 함께 식사를 하며 잘 해보자는 덕담을 나누기도 했다”고 말했다.

박	박/NNP
대표도	대표/NNG+도/JX
이날	이날/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“과거	“/SS+과거/NNG
(김	(/SS+김/NNP
원내대표가)	원내/NNG+대표/NNG+가/JKS+)/SS
내무부	내무부/NNG
차관을	차관/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
내가	내/NP+가/JKS
민주당	민주당/NNP
대변인으로	대변인/NNG+으로/JKB
있으면서	있/VA+으면서/EC
가까워졌다”며	가깝/VA+어/EC+지/VX+었/EP+다/EF+”/SS+며/EC
“최근에도	“/SS+최근/NNG+에/JKB+도/JX
함께	함께/MAG
식사를	식사/NNG+를/JKO
하며	하/VV+며/EC
잘	잘/MAG
해보자는	하/VV+아/EC+보/VX+자는/ETM
덕담을	덕담/NNG+을/JKO
나누기도	나누/VV+기/ETN+도/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.152.5.4
김 원내대표도 <한겨레>와 전화통화에서 “서로 신뢰가 있는 박지원 의원이 파트너가 된 것을 기쁘게 생각한다”며 “오랜 세월 국정의 중심에 있었고 정치를 잘 아는 분이라서 서로 대화가 잘될 것”이란 기대감을 나타냈다.

김	김/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
전화통화에서	전화/NNG+통화/NNG+에서/JKB
“서로	“/SS+서로/MAG
신뢰가	신뢰/NNG+가/JKS
있는	있/VA+는/ETM
박지원	박지원/NNP
의원이	의원/NNG+이/JKS
파트너가	파트너/NNG+가/JKC
된	되/VV+ㄴ/ETM
것을	것/NNB+을/JKO
기쁘게	기쁘/VA+게/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“오랜	“/SS+오랜/MMA
세월	세월/NNG
국정의	국정/NNG+의/JKG
중심에	중심/NNG+에/JKB
있었고	있/VA+었/EP+고/EC
정치를	정치/NNG+를/JKO
잘	잘/MAG
아는	알/VV+는/ETM
분이라서	분/NNB+이/VCP+라서/EC
서로	서로/MAG
대화가	대화/NNG+가/JKS
잘될	잘/MAG+되/XSV+ㄹ/ETM
것”이란	것/NNB+”/SS+이/VCP+란/ETM
기대감을	기대감/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


