# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.369
metadata : {}


# id : NWRW1800000054.369.1.1
韓·美·日, 대북 제재 '패키지 충격요법' 만든다

韓·美·日,	韓/SH+·/SP+美/SH+·/SP+日/SH+,/SP
북한은	북한/NNP+은/JX
인민군	인민군/NNG
창건	창건/NNG
85주년	85/SN+주년/NNB
기념일(25일)과	기념일/NNG+(/SS+25/SN+일/NNB+)/SS+과/JC
유엔	유엔/NNP
안보리의	안보리/NNG+의/JKG
'북핵	'/SS+북핵/NNG
비확산	비/XPN+확산/NNG
회의'(28일)	회의/NNG+'/SS+(/SS+28/SN+일/NNB+)/SS
등을	등/NNB+을/JKO
계기로	계기/NNG+로/JKB
6차	6/SN+차/NNB
핵실험이나	핵/NNG+실험/NNG+이나/JC
미사일	미사일/NNG
도발에	도발/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.369.5.1
◇"제재 패키지로 '충격요법'"

◇"제재	◇/SW+"/SS+제재/NNG
패키지로	패키지/NNG+로/JKB
'충격요법'"	'/SS+충격/NNG+요법/NNG+'/SS+"/SS


# id : NWRW1800000054.369.6.1
한·미·일 3국은 25일 일본 도쿄에서 6자회담 수석대표 간 회동을 갖는다.

한·미·일	한·미·일/NNP
3국은	3국/NNG+은/JX
25일	25/SN+일/NNB
일본	일본/NNP
도쿄에서	도쿄/NNP+에서/JKB
6자회담	6/SN+자/NNB+회담/NNG
수석대표	수석대표/NNG
간	간/NNB
회동을	회동/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000054.369.6.2
이어 28일 미국 뉴욕 유엔본부에서 열릴 안보리 각료회의를 계기로 3국 외교장관 회담도 열 방침이다.

이어	이어/MAG
28일	28/SN+일/NNB
미국	미국/NNP
뉴욕	뉴욕/NNP
유엔본부에서	유엔/NNP+본부/NNG+에서/JKB
열릴	열리/VV+ㄹ/ETM
안보리	안보리/NNG
각료회의를	각료/NNG+회의/NNG+를/JKO
계기로	계기/NNG+로/JKB
3국	3국/NNG
외교장관	외교/NNG+장관/NNG
회담도	회담/NNG+도/JX
열	열/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.369.7.1
외교부 당국자는 25일 "북한이 추가 도발할 경우 '충격요법'을 포함한 징벌적 조치를 시행하기 위해 구체적 방안을 협의할 예정"이라며 "한·미·일 3국이 '충격요법'을 논의하는 것 자체가 북한의 도발을 억지(抑止)하는 강력한 메시지가 될 수 있다"고 말했다.

외교부	외교부/NNG
당국자는	당국자/NNG+는/JX
25일	25/SN+일/NNB
"북한이	"/SS+북한/NNP+이/JKS
추가	추가/NNG
도발할	도발/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
'충격요법'을	'/SS+충격/NNG+요법/NNG+'/SS+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
징벌적	징벌/NNG+적/XSN
조치를	조치/NNG+를/JKO
시행하기	시행/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
구체적	구체/NNG+적/XSN
방안을	방안/NNG+을/JKO
협의할	협의/NNG+하/XSV+ㄹ/ETM
예정"이라며	예정/NNG+"/SS+이/VCP+라며/EC
"한·미·일	"/SS+한·미·일/NNP
3국이	3국/NNG+이/JKS
논의하는	논의/NNG+하/XSV+는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
북한의	북한/NNP+의/JKG
도발을	도발/NNG+을/JKO
억지(抑止)하는	억지/NNG+(/SS+抑止/SH+)/SS+하/VV+는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
메시지가	메시지/NNG+가/JKS
될	되/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.369.8.1
또 다른 외교부 당국자는 "북한이 추가 도발하면 징벌적 조치를 취한다는 데는 중국의 동의가 이미 있었다"면서 "미국의 테러 지원국 지정과 세컨더리 보이콧(2차 제재)처럼 한·미·일 차원의 독자적 조치도 검토되고 있지만 중국을 통한 '돈줄 죄기'가 주된 내용"이라고 했다.

또	또/MAG
다른	다른/MMD
외교부	외교부/NNG
당국자는	당국자/NNG+는/JX
"북한이	"/SS+북한/NNP+이/JKS
추가	추가/NNG
도발하면	도발/NNG+하/XSV+면/EC
징벌적	징벌/NNG+적/XSN
조치를	조치/NNG+를/JKO
취한다는	취하/VV+ㄴ다는/ETM
데는	데/NNB+는/JX
중국의	중국/NNP+의/JKG
동의가	동의/NNG+가/JKS
이미	이미/MAG
있었다"면서	있/VV+었/EP+다/EF+"/SS+면서/EC
"미국의	"/SS+미국/NNP+의/JKG
테러	테러/NNG
지원국	지원국/NNG
지정과	지정/NNG+과/JC
세컨더리	세컨더리/NNG
보이콧(2차	보이콧/NNG+(/SS+2/SN+차/NNB
제재)처럼	제재/NNG+)/SS+처럼/JKB
한·미·일	한·미·일/NNP
차원의	차원/NNG+의/JKG
독자적	독자/NNG+적/XSN
조치도	조치/NNG+도/JX
검토되고	검토/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
중국을	중국/NNP+을/JKO
통한	통하/VV+ㄴ/ETM
'돈줄	'/SS+돈줄/NNG
죄기'가	죄/VV+기/ETN+'/SS+가/JKS
주된	주/NNG+되/XSV+ㄴ/ETM
내용"이라고	내용/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.369.9.1
미국은 그동안 여러 채널로, 북한이 추가 도발할 경우 ▲원유 공급을 중단하고 ▲석탄·철광석 등에 대해 완전 금수 조치를 취해야 한다고 중국에 요구해 왔다.

미국은	미국/NNP+은/JX
그동안	그동안/NNG
여러	여러/MMN
채널로,	채널/NNG+로/JKB+,/SP
북한이	북한/NNP+이/JKS
추가	추가/NNG
도발할	도발/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
▲원유	▲/SW+원유/NNG
공급을	공급/NNG+을/JKO
중단하고	중단/NNG+하/XSV+고/EC
▲석탄·철광석	▲/SW+석탄/NNG+·/SP+철광석/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
완전	완전/NNG
금수	금수/NNG
조치를	조치/NNG+를/JKO
취해야	취하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
중국에	중국/NNP+에/JKB
요구해	요구/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.369.9.2
이에 더해 ▲중국 내 북한 노동자 송환 ▲북·중 임가공 교역 중단 ▲북·중 어업 조업권 거래 취소 등도 '충격요법 패키지'에 포함하는 방안이 논의되고 있다.

이에	이/NP+에/JKB
더해	더/MAG+하/XSV+아/EC
▲중국	▲/SW+중국/NNP
내	내/NNB
북한	북한/NNP
노동자	노동자/NNG
송환	송환/NNG
▲북·중	▲/SW+북·중/NNP
임가공	임가공/NNG
교역	교역/NNG
중단	중단/NNG
어업	어업/NNG
조업권	조업/NNG+권/XSN
거래	거래/NNG
취소	취소/NNG
등도	등/NNB+도/JX
'충격요법	'/SS+충격/NNG+요법/NNG
패키지'에	패키지/NNG+'/SS+에/JKB
포함하는	포함/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
논의되고	논의/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.369.10.1
그럼에도 북한이 도발에 나서면 안보리 차원에서도 한 단계 높은 제재가 불가피하다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
북한이	북한/NNP+이/JKS
도발에	도발/NNG+에/JKB
나서면	나서/VV+면/EC
안보리	안보리/NNG
차원에서도	차원/NNG+에서/JKB+도/JX
한	한/MMN
단계	단계/NNG
높은	높/VA+은/ETM
제재가	제재/NNG+가/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000054.369.10.2
유엔 회원국의 고려항공 취항 집단 거부, 북한 선박 수시 검색, 유엔 회원국 자격정지 등도 추가 조치로 거론된다.

유엔	유엔/NNP
회원국의	회원국/NNG+의/JKG
고려항공	고려항공/NNP
취항	취항/NNG
집단	집단/NNG
거부,	거부/NNG+,/SP
북한	북한/NNP
선박	선박/NNG
수시	수시/NNG
검색,	검색/NNG+,/SP
회원국	회원국/NNG
자격정지	자격/NNG+정지/NNG
등도	등/NNB+도/JX
추가	추가/NNG
조치로	조치/NNG+로/JKB
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.369.10.3
그러나 안보리 차원의 제재는 중국뿐만 아니라 러시아도 동의해야 한다는 점에서 한계가 있을 것으로 예상된다.

그러나	그러나/MAJ
안보리	안보리/NNG
차원의	차원/NNG+의/JKG
제재는	제재/NNG+는/JX
중국뿐만	중국/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
러시아도	러시아/NNP+도/JX
동의해야	동의/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
한계가	한계/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.369.11.1
◇트럼프, 아베·시진핑과 연쇄 통화

◇트럼프,	◇/SW+트럼프/NNP+,/SP
아베·시진핑과	아베/NNP+·/SP+시진핑/NNP+과/JKB
연쇄	연쇄/NNG
통화	통화/NNG


# id : NWRW1800000054.369.12.1
도널드 트럼프 미 대통령이 24일 이례적으로 시진핑(習近平) 중국 국가주석, 아베 신조(安倍晋三) 일본 총리와 잇달아 통화한 것도 북한의 추가 도발을 용납하지 않겠다는 '분명한 경고'로 풀이된다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미	미/NNP
대통령이	대통령/NNG+이/JKS
24일	24/SN+일/NNB
이례적으로	이례/NNG+적/XSN+으로/JKB
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석,	국가주석/NNG+,/SP
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리와	총리/NNG+와/JKB
잇달아	잇달/VV+아/EC
통화한	통화/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
북한의	북한/NNP+의/JKG
추가	추가/NNG
도발을	도발/NNG+을/JKO
용납하지	용납/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
'분명한	'/SS+분명/MAG+하/XSA+ㄴ/ETM
경고'로	경고/NNG+'/SS+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.369.13.1
특히 미국의 핵추진 항공모함 칼빈슨 전단과 일본의 호위함들이 서태평양에서 공동 훈련을 하고 있고, 중국 공군 전폭기가 비상대기하고 있다는 보도가 나오는 상황에서 미·중, 미·일 정상이 연쇄 통화를 한 것은 '군사 옵션'의 가능성까지 염두에 둔 것으로 보인다.

특히	특히/MAG
미국의	미국/NNP+의/JKG
핵추진	핵/NNG+추진/NNG
항공모함	항공/NNG+모함/NNG
칼빈슨	칼빈슨/NNP
전단과	전단/NNG+과/JC
일본의	일본/NNP+의/JKG
호위함들이	호위함/NNG+들/XSN+이/JKS
서태평양에서	서태평양/NNP+에서/JKB
공동	공동/NNG
훈련을	훈련/NNG+을/JKO
하고	하/VV+고/EC
있고,	있/VX+고/EC+,/SP
중국	중국/NNP
공군	공군/NNG
전폭기가	전폭기/NNG+가/JKS
비상대기하고	비상/NNG+대기/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
보도가	보도/NNG+가/JKS
나오는	나오/VV+는/ETM
상황에서	상황/NNG+에서/JKB
미·중,	미/NNP+·/SP+중/NNP+,/SP
미·일	미/NNP+·/SP+일/NNP
정상이	정상/NNG+이/JKS
연쇄	연쇄/NNG
통화를	통화/NNG+를/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
'군사	'/SS+군사/NNG
옵션'의	옵션/NNG+'/SS+의/JKG
가능성까지	가능/NNG+성/XSN+까지/JX
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.369.14.1
아베 총리는 통화 후 기자들을 만나 트럼프 대통령에게 "모든 대북 선택지가 테이블 위에 있다는 것을 말과 행동으로 보여준 자세를 높이 평가한다"고 말했다고 전했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
통화	통화/NNG
후	후/NNG
기자들을	기자/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
트럼프	트럼프/NNP
대통령에게	대통령/NNG+에게/JKB
"모든	"/SS+모든/MMN
대북	대북/NNG
선택지가	선택지/NNG+가/JKS
테이블	테이블/NNG
위에	위/NNG+에/JKB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
말과	말/NNG+과/JC
행동으로	행동/NNG+으로/JKB
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
자세를	자세/NNG+를/JKO
높이	높이/MAG
평가한다"고	평가/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.369.14.2
중국 관영 환구시보도 최근 북한에 6차 핵실험 시 대북 원유 제공 중단 또는 축소를 경고한 데 이어 "미국이 북한 핵 시설을 '외과수술식'으로 타격해도 이를 묵인할 것"이라는 내용의 사설을 실었다.

중국	중국/NNP
관영	관영/NNG
환구시보도	환구시보/NNP+도/JX
최근	최근/MAG
북한에	북한/NNP+에/JKB
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
시	시/NNB
대북	대북/NNG
원유	원유/NNG
제공	제공/NNG
중단	중단/NNG
또는	또는/MAG
축소를	축소/NNG+를/JKO
경고한	경고/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
"미국이	"/SS+미국/NNP+이/JKS
북한	북한/NNP
핵	핵/NNG
시설을	시설/NNG+을/JKO
'외과수술식'으로	'/SS+외과/NNG+수술식/NNG+'/SS+으로/JKB
타격해도	타격/NNG+하/XSV+아도/EC
이를	이/NP+를/JKO
묵인할	묵인/NNG+하/XSV+ㄹ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
내용의	내용/NNG+의/JKG
사설을	사설/NNG+을/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.369.15.1
중국 관영 CCTV에 따르면 시 주석은 트럼프 대통령과의 통화에서 "(한반도 문제에) 관련된 나라들은 긴장을 고조시키는 일은 피해야 한다"면서도 "각 나라가 자기가 책임져야 할 일에 대해 책임을 져야 한다"고 했다.

중국	중국/NNP
관영	관영/NNG
CCTV에	CCTV/SL+에/JKB
따르면	따르/VV+면/EC
시	시/NNP
주석은	주석/NNG+은/JX
트럼프	트럼프/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
"(한반도	"/SS+(/SS+한반도/NNP
문제에)	문제/NNG+에/JKB+)/SS
관련된	관련/NNG+되/XSV+ㄴ/ETM
나라들은	나라/NNG+들/XSN+은/JX
긴장을	긴장/NNG+을/JKO
고조시키는	고조/NNG+시키/XSV+는/ETM
일은	일/NNG+은/JX
피해야	피하/VV+아야/EC
한다"면서도	하/VX+ㄴ다/EF+"/SS+면서/EC+도/JX
"각	"/SS+각/MMD
나라가	나라/NNG+가/JKS
자기가	자기/NP+가/JKS
책임져야	책임지/VV+어야/EC
할	하/VX+ㄹ/ETM
일에	일/NNG+에/JKB
대해	대하/VV+아/EC
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.369.15.2
이는 북한의 추가 도발이 있을 경우 중국이 이에 대한 '책임'을 묻겠다는 뜻으로 풀이된다.

이는	이/NP+는/JX
북한의	북한/NNP+의/JKG
추가	추가/NNG
도발이	도발/NNG+이/JKS
있을	있/VA+을/ETM
경우	경우/NNG
중국이	중국/NNP+이/JKS
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
'책임'을	'/SS+책임/NNG+'/SS+을/JKO
묻겠다는	묻/VV+겠/EP+다는/ETM
뜻으로	뜻/NNG+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


