# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.159
metadata : {}


# id : NWRW1800000054.159.1.1
한국GM노조, 3000만원 받고 '정규직 장사'

한국GM노조,	한국/NNP+GM/SL+노조/NNG+,/SP
천장에	천장/NNG+에/JKB
4억원,	4/SN+억/NR+원/NNB+,/SP
자동차에	자동차/NNG+에/JKB
5000만원의	5000/SN+만/NR+원/NNB+의/JKG
현금다발을	현금/NNG+다발/NNG+을/JKO
숨겨두었다가	숨기/VV+어/EC+두/VX+었/EP+다가/EC
검찰에	검찰/NNG+에/JKB
적발되기도	적발/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.159.7.4
정씨는 취업 장사를 통해 2500만원, 회사의 각종 행사나 명절 때 행사용품이나 선물용품 납품을 빌미로 업체로부터 뒷돈을 받는 '납품 비리'를 통해 5억6000만원을 챙긴 혐의를 받고 있다.

정씨는	정/NNP+씨/NNB+는/JX
취업	취업/NNG
장사를	장사/NNG+를/JKO
통해	통하/VV+아/EC
2500만원,	2500/SN+만/NR+원/NNB+,/SP
회사의	회사/NNG+의/JKG
각종	각종/NNG
행사나	행사/NNG+나/JC
명절	명절/NNG
때	때/NNG
행사용품이나	행사용품/NNG+이나/JC
선물용품	선물용품/NNG
납품을	납품/NNG+을/JKO
빌미로	빌미/NNG+로/JKB
업체로부터	업체/NNG+로부터/JKB
뒷돈을	뒷돈/NNG+을/JKO
받는	받/VV+는/ETM
'납품	'/SS+납품/NNG
비리'를	비리/NNG+'/SS+를/JKO
5억6000만원을	5/SN+억/NR+6000/SN+만/NR+원/NNB+을/JKO
챙긴	챙기/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.159.8.1
전모(58)씨 등 노사 부문 전·현직 부사장 2명과 오모(45) 상무는 응시자들의 성적을 조작해 합격시키도록 지시한 혐의(업무방해)로 기소됐다.

전모(58)씨	전/NNP+모/NP+(/SS+58/SN+)/SS+씨/NNB
등	등/NNB
노사	노사/NNG
부문	부문/NNG
전·현직	전·현직/NNG
부사장	부사장/NNG
2명과	2/SN+명/NNB+과/JC
오모(45)	오/NNP+모/NP+(/SS+45/SN+)/SS
상무는	상무/NNG+는/JX
응시자들의	응시자/NNG+들/XSN+의/JKG
성적을	성적/NNG+을/JKO
조작해	조작/NNG+하/XSV+아/EC
합격시키도록	합격/NNG+시키/XSV+도록/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
혐의(업무방해)로	혐의/NNG+(/SS+업무/NNG+방해/NNG+)/SS+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.159.8.2
이들은 "노조와 원만한 관계를 유지하기 위해 청탁을 받아들였다"고 진술했다고 한다.

이들은	이/NP+들/XSN+은/JX
"노조와	"/SS+노조/NNG+와/JKB
원만한	원만하/VA+ㄴ/ETM
관계를	관계/NNG+를/JKO
유지하기	유지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
청탁을	청탁/NNG+을/JKO
받아들였다"고	받아들이/VV+었/EP+다/EF+"/SS+고/JKQ
진술했다고	진술/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.159.8.3
한편 검찰은 이날 이 회사의 각종 행사나 명절 때 행사용품이나 선물용품 납품을 빌미로 납품 업자로부터 뒷돈을 받은 혐의로 전·현직 노조 간부와 업체 대표 등 13명을 함께 재판에 넘겼다.

한편	한편/MAG
검찰은	검찰/NNG+은/JX
이날	이날/NNG
이	이/MMD
회사의	회사/NNG+의/JKG
각종	각종/NNG
행사나	행사/NNG+나/JC
명절	명절/NNG
때	때/NNG
행사용품이나	행사용품/NNG+이나/JC
선물용품	선물용품/NNG
납품을	납품/NNG+을/JKO
빌미로	빌미/NNG+로/JKB
납품	납품/NNG
업자로부터	업자/NNG+로부터/JKB
뒷돈을	뒷돈/NNG+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
전·현직	전·현직/NNG
노조	노조/NNG
간부와	간부/NNG+와/JC
업체	업체/NNG
대표	대표/NNG
등	등/NNB
13명을	13/SN+명/NNB+을/JKO
함께	함께/MAG
재판에	재판/NNG+에/JKB
넘겼다.	넘기/VV+었/EP+다/EF+./SF


