# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.61
metadata : {}


# id : NWRW1800000049.61.1.1
‘티파티 대모’ 강경보수 페일린, 美보훈장관 후보로

‘티파티	‘/SS+티파티/NNP
“트럼프는	“/SS+트럼프/NNP+는/JX
퇴역	퇴역/NNG
군인을	군인/NNG+을/JKO
우선시하는	우선/NNG+시/XSN+하/XSV+는/ETM
최고사령관”이라며	최고/NNG+사령관/NNG+”/SS+이/VCP+라며/EC
“큰	“/SS+크/VA+ㄴ/ETM
정부가	정부/NNG+가/JKS
정답이	정답/NNG+이/JKS
아니라는	아니/VCN+라는/ETM
점을	점/NNG+을/JKO
이해하는	이해/NNG+하/XSV+는/ETM
민간	민간/NNG
친화적	친화/NNG+적/XSN
인물”이라고	인물/NNG+”/SS+이라고/JKQ
찬사를	찬사/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.61.4.1
페일린은 작은 정부를 강조하는 공화당 내 강경 그룹 티파티(Tea Party)의 대표 인사로 2008년 공화당 대선 후보 존 매케인 상원의원의 러닝메이트였다.

페일린은	페일린/NNP+은/JX
작은	작/VA+은/ETM
정부를	정부/NNG+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
공화당	공화당/NNP
내	내/NNB
강경	강경/NNG
그룹	그룹/NNG
티파티(Tea	티파티/NNP+(/SS+Tea/SL
Party)의	Party/SL+)/SS+의/JKG
대표	대표/NNG
인사로	인사/NNG+로/JKB
2008년	2008/SN+년/NNB
대선	대선/NNG
후보	후보/NNG
존	존/NNP
매케인	매케인/NNP
상원의원의	상원/NNG+의원/NNG+의/JKG
러닝메이트였다.	러닝메이트/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.61.4.2
그가 보훈부 장관으로 임명되면 퇴역 군인들이 민간에서 진료를 받을 수 있도록 유도하는 친(親)시장 정책을 펼칠 것으로 보인다.

그가	그/NP+가/JKS
보훈부	보훈부/NNG
장관으로	장관/NNG+으로/JKB
임명되면	임명/NNG+되/XSV+면/EC
퇴역	퇴역/NNG
군인들이	군인/NNG+들/XSN+이/JKS
민간에서	민간/NNG+에서/JKB
진료를	진료/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
유도하는	유도/NNG+하/XSV+는/ETM
친(親)시장	친/XPN+(/SS+親/SH+)/SS+시장/NNG
정책을	정책/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.61.5.1
페일린은 1월 일찌감치 트럼프 지지를 선언했다.

페일린은	페일린/NNP+은/JX
1월	1/SN+월/NNB
일찌감치	일찌감치/MAG
트럼프	트럼프/NNP
지지를	지지/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.61.5.2
트럼프가 10월 “유명인은 여성에게 뭐든 할 수 있다”고 말한 내용이 담긴 ‘음담패설 영상’이 폭로됐을 때도 트럼프를 적극 변호했다.

트럼프가	트럼프/NNP+가/JKS
10월	10/SN+월/NNB
“유명인은	“/SS+유명인/NNG+은/JX
여성에게	여성/NNG+에게/JKB
뭐든	뭐/NP+든/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘음담패설	‘/SS+음담패설/NNG
영상’이	영상/NNG+’/SS+이/JKS
폭로됐을	폭로/NNG+되/XSV+었/EP+을/ETM
때도	때/NNG+도/JX
트럼프를	트럼프/NNP+를/JKO
적극	적극/NNG
변호했다.	변호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.61.5.3
트럼프의 발언에 대해 “역겹고 부끄럽다”면서도 “할리우드 바람둥이들이 사석에서 나눈 내용”이라며 확대 해석을 피해야 한다고 주장했다.

트럼프의	트럼프/NNP+의/JKG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“역겹고	“/SS+역겹/VA+고/EC
부끄럽다”면서도	부끄럽/VA+다/EF+”/SS+면서/EC+도/JX
“할리우드	“/SS+할리우드/NNP
바람둥이들이	바람둥이/NNG+들/XSN+이/JKS
사석에서	사석/NNG+에서/JKB
나눈	나누/VV+ㄴ/ETM
내용”이라며	내용/NNG+”/SS+이/VCP+라며/EC
확대	확대/NNG
해석을	해석/NNG+을/JKO
피해야	피하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.61.5.4
또 “(트럼프는) 더 위대한 미국을 만들 튼튼한 계획과 비전을 제안한다”고 강조했다.

또	또/MAG
“(트럼프는)	“/SS+(/SS+트럼프/NNP+는/JX+)/SS
더	더/MAG
위대한	위대하/VA+ㄴ/ETM
미국을	미국/NNP+을/JKO
만들	만들/VV+ㄹ/ETM
튼튼한	튼튼하/VA+ㄴ/ETM
계획과	계획/NNG+과/JC
비전을	비전/NNG+을/JKO
제안한다”고	제안/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.61.5.5
트럼프가 지난해 7월 “(매케인은) 전쟁 용사가 아니다”고 말해 맹비난을 당했을 때도 페일린은 “자유를 지키기 위해 싸운 사람은 모두 용사”라며 “트럼프도 어떤 면에선 용사”라고 트럼프를 옹호했다.

트럼프가	트럼프/NNP+가/JKS
지난해	지난해/NNG
7월	7/SN+월/NNB
“(매케인은)	“/SS+(/SS+매케인/NNP+은/JX+)/SS
전쟁	전쟁/NNG
용사가	용사/NNG+가/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
맹비난을	맹비난/NNG+을/JKO
당했을	당하/VV+았/EP+을/ETM
때도	때/NNG+도/JX
페일린은	페일린/NNP+은/JX
“자유를	“/SS+자유/NNG+를/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
싸운	싸우/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
모두	모두/MAG
용사”라며	용사/NNG+”/SS+이/VCP+라며/EC
“트럼프도	“/SS+트럼프/NNP+도/JX
어떤	어떤/MMD
면에선	면/NNG+에서/JKB+ㄴ/JX
용사”라고	용사/NNG+”/SS+라고/JKQ
트럼프를	트럼프/NNP+를/JKO
옹호했다.	옹호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.61.6.1
16개에 이르는 미 정보기관을 총괄하는 국가정보국장(DNI)에는 댄 코츠 연방 상원의원이 거론되고 있다고 정치전문 매체 폴리티코가 보도했다.

16개에	16/SN+개/NNB+에/JKB
이르는	이르/VV+는/ETM
미	미/NNP
정보기관을	정보기관/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
국가정보국장(DNI)에는	국가/NNG+정보국장/NNG+(/SS+DNI/SL+)/SS+에/JKB+는/JX
댄	댄/NNP
코츠	코츠/NNP
연방	연방/NNG
상원의원이	상원/NNG+의원/NNG+이/JKS
거론되고	거론/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
정치전문	정치/NNG+전문/NNG
매체	매체/NNG
폴리티코가	폴리티코/NNP+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.61.6.2
코츠는 이날 뉴욕 맨해튼 트럼프타워를 방문했다.

코츠는	코츠/NNP+는/JX
이날	이날/NNG
뉴욕	뉴욕/NNP
맨해튼	맨해튼/NNP
트럼프타워를	트럼프타워/NNP+를/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.61.6.3
상원 정보위원회에서 활동 중인 코츠는 조지 W 부시 행정부에서 주독일 미국대사를 지냈다.

상원	상원/NNG
정보위원회에서	정보/NNG+위원회/NNG+에서/JKB
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
코츠는	코츠/NNP+는/JX
조지	조지/NNP
W	W/SL
부시	부시/NNP
행정부에서	행정부/NNG+에서/JKB
주독일	주독일/NNG
미국대사를	미국/NNP+대사/NNG+를/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.61.6.4
코츠의 지역구는 인디애나 주로 현직 인디애나 주지사인 마이크 펜스 부통령 당선인과 같이 골프를 즐길 정도로 가깝다.

코츠의	코츠/NNP+의/JKG
지역구는	지역구/NNG+는/JX
인디애나	인디애나/NNP
주로	주/NNG+로/JKB
현직	현직/NNG
주지사인	주지사/NNG+이/VCP+ㄴ/ETM
마이크	마이크/NNP
펜스	펜스/NNP
부통령	부통령/NNG
당선인과	당선인/NNG+과/JKB
같이	같이/MAG
골프를	골프/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000049.61.6.5
트럼프의 ‘음담패설 영상’이 공개됐을 땐 “매우 부적절하다”고 비판했지만 지지를 거두지는 않았다.

트럼프의	트럼프/NNP+의/JKG
‘음담패설	‘/SS+음담패설/NNG
영상’이	영상/NNG+’/SS+이/JKS
공개됐을	공개/NNG+되/XSV+었/EP+을/ETM
땐	때/NNG+ㄴ/JX
“매우	“/SS+매우/MAG
부적절하다”고	부적절하/VA+다/EF+”/SS+고/JKQ
비판했지만	비판/NNG+하/XSV+았/EP+지만/EC
지지를	지지/NNG+를/JKO
거두지는	거두/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


