# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.63
metadata : {}


# id : NWRW1800000054.63.1.1
"쌀알·크리스털로 만든 불상 보셨나요?"

"쌀알·크리스털로	"/SS+쌀알/NNG+·/SP+크리스털/NNG+로/JKB
작품들이다.	작품/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.63.4.2
이 사찰은 세계 각국의 불상이 야외에 즐비해 평소에도 '불교 테마파크'로 불리는 곳.

이	이/MMD
사찰은	사찰/NNG+은/JX
세계	세계/NNG
각국의	각국/NNG+의/JKG
불상이	불상/NNG+이/JKS
야외에	야외/NNG+에/JKB
즐비해	즐비하/VA+아/EC
평소에도	평소/NNG+에/JKB+도/JX
'불교	'/SS+불교/NNG
테마파크'로	테마파크/NNG+'/SS+로/JKB
불리는	불리/VV+는/ETM
곳.	곳/NNG+./SF


# id : NWRW1800000054.63.4.3
매일 아침 인천공항에서 직행해 찾아오는 동남아 관광객들로 늘 붐빈다.

매일	매일/MAG
아침	아침/NNG
인천공항에서	인천공항/NNP+에서/JKB
직행해	직행/NNG+하/XSV+아/EC
찾아오는	찾아오/VV+는/ETM
동남아	동남아/NNP
관광객들로	관광객/NNG+들/XSN+로/JKB
늘	늘/MAG
붐빈다.	붐비/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.63.4.4
외국인 방문객이 연간 30만명, 태국인만 20만명 정도 찾는 명소다.

외국인	외국인/NNG
방문객이	방문객/NNG+이/JKS
연간	연간/NNG
30만명,	30/SN+만/NR+명/NNB+,/SP
태국인만	태국인/NNG+만/JX
20만명	20/SN+만/NR+명/NNB
정도	정도/NNG
찾는	찾/VV+는/ETM
명소다.	명소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.63.4.5
주지 해곡 스님이 지난 40여 년간 동남아 각국 불교 종단과 교류하면서 기증받거나 수집한 작품들로 꾸며진 박물관은 이 사찰에 새 볼거리를 제공한다.

주지	주지/NNG
해곡	해곡/NNP
스님이	스님/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
40여	40/SN+여/XSN
년간	년/NNB+간/XSN
동남아	동남아/NNP
각국	각국/NNG
불교	불교/NNG
종단과	종단/NNG+과/JKB
교류하면서	교류/NNG+하/XSV+면서/EC
기증받거나	기증/NNG+받/XSV+거나/EC
수집한	수집/NNG+하/XSV+ㄴ/ETM
작품들로	작품/NNG+들/XSN+로/JKB
꾸며진	꾸미/VV+어/EC+지/VX+ㄴ/ETM
박물관은	박물관/NNG+은/JX
이	이/MMD
사찰에	사찰/NNG+에/JKB
새	새/MMA
볼거리를	볼거리/NNG+를/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.63.5.1
입구에 들어서면 동굴처럼 꾸민 공간에서 동남아 부처님이 관람객을 맞는다.

입구에	입구/NNG+에/JKB
들어서면	들어서/VV+면/EC
동굴처럼	동굴/NNG+처럼/JKB
꾸민	꾸미/VV+ㄴ/ETM
공간에서	공간/NNG+에서/JKB
동남아	동남아/NNP
부처님이	부처/NNP+님/XSN+이/JKS
관람객을	관람객/NNG+을/JKO
맞는다.	맞/VV+는다/EF+./SF


# id : NWRW1800000054.63.5.2
인도네시아 화산석으로 만든 불상이다.

인도네시아	인도네시아/NNP
화산석으로	화산석/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
불상이다.	불상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.63.5.3
이어서 태국, 인도, 네팔 등의 불상과 티베트 불교 불화(佛畵)인 탕카가 벽에 죽 걸려 있다.

이어서	잇/VV+어서/EC
태국,	태국/NNP+,/SP
인도,	인도/NNP+,/SP
네팔	네팔/NNP
등의	등/NNB+의/JKG
불상과	불상/NNG+과/JC
티베트	티베트/NNP
불교	불교/NNG
불화(佛畵)인	불화/NNG+(/SS+佛畵/SH+)/SS+이/VCP+ㄴ/ETM
탕카가	탕카/NNG+가/JKS
벽에	벽/NNG+에/JKB
죽	죽/MAG
걸려	걸리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.63.6.1
스리랑카에서 가져온 패엽경(貝葉經)은 그 옛날 부처님 제자들이 나뭇잎에 어떻게 경전을 기록해 휴대했는지 실물로 보여준다.

스리랑카에서	스리랑카/NNP+에서/JKB
가져온	가져오/VV+ㄴ/ETM
패엽경(貝葉經)은	패엽경/NNG+(/SS+貝葉經/SH+)/SS+은/JX
그	그/MMD
옛날	옛날/NNG
부처님	부처/NNP+님/XSN
제자들이	제자/NNG+들/XSN+이/JKS
나뭇잎에	나뭇잎/NNG+에/JKB
어떻게	어떻/VA+게/EC
경전을	경전/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
휴대했는지	휴대/NNG+하/XSV+았/EP+는지/EC
실물로	실물/NNG+로/JKB
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.63.6.2
동판이나 대나무에 새긴 경전, 대만에서 들여온 상아에 깨알같이 작은 글씨로 금강경을 새긴 '상아 금강경'도 있다.

동판이나	동판/NNG+이나/JC
대나무에	대나무/NNG+에/JKB
새긴	새기/VV+ㄴ/ETM
경전,	경전/NNG+,/SP
대만에서	대만/NNP+에서/JKB
들여온	들여오/VV+ㄴ/ETM
상아에	상아/NNG+에/JKB
깨알같이	깨알/NNG+같이/MAG
작은	작/VA+은/ETM
글씨로	글씨/NNG+로/JKB
금강경을	금강경/NNG+을/JKO
'상아	'/SS+상아/NNG
금강경'도	금강경/NNG+'/SS+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.63.6.3
인골(人骨) 2개를 이어붙여 만든 북과 사람 정강이뼈로 만든 홀(笏·지팡이)을 비롯해 티베트 불교 풍습을 볼 수 있는 유물들도 있다.

인골(人骨)	인골/NNG+(/SS+人骨/SH+)/SS
2개를	2/SN+개/NNB+를/JKO
이어붙여	이어/MAG+붙이/VV+어/EC
만든	만들/VV+ㄴ/ETM
북과	북/NNG+과/JC
사람	사람/NNG
정강이뼈로	정강이뼈/NNG+로/JKB
홀(笏·지팡이)을	홀/NNG+(/SS+笏/SH+·/SP+지팡이/NNG+)/SS+을/JKO
비롯해	비롯하/VV+아/EC
티베트	티베트/NNP
불교	불교/NNG
풍습을	풍습/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유물들도	유물/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.63.7.1
100여 평에 이르는 전시장 막바지에 만나게 되는 '사유상'은 전시 작품의 백미다.

100여	100/SN+여/XSN
평에	평/NNB+에/JKB
이르는	이르/VV+는/ETM
전시장	전시장/NNG
막바지에	막바지/NNG+에/JKB
만나게	만나/VV+게/EC
되는	되/VV+는/ETM
'사유상'은	'/SS+사유상/NNG+'/SS+은/JX
전시	전시/NNG
작품의	작품/NNG+의/JKG
백미다.	백미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.63.7.2
우리나라 반가사유상이 의자에 앉아 한쪽 다리를 꼰 모습이라면 티베트에선 온 이 사유상은 바닥에 앉아 한쪽 무릎을 세워 양손을 포개 얹고 고개를 외로 꼰 모습.

우리나라	우리나라/NNG
반가사유상이	반가/NNG+사유상/NNG+이/JKS
의자에	의자/NNG+에/JKB
앉아	앉/VV+아/EC
한쪽	한쪽/NNG
다리를	다리/NNG+를/JKO
꼰	꼬/VV+ㄴ/ETM
모습이라면	모습/NNG+이/VCP+라면/EC
티베트에선	티베트/NNP+에서/JKB+ㄴ/JX
온	오/VV+ㄴ/ETM
이	이/MMD
사유상은	사유상/NNG+은/JX
바닥에	바닥/NNG+에/JKB
무릎을	무릎/NNG+을/JKO
세워	세우/VV+어/EC
양손을	양손/NNG+을/JKO
포개	포개/VV+어/EC
얹고	얹/VV+고/EC
고개를	고개/NNG+를/JKO
외로	외로/MAG
모습.	모습/NNG+./SF


# id : NWRW1800000054.63.7.3
사유상의 편안한 표정을 보고 있노라면 관람객의 얼굴도 펴진다.

사유상의	사유상/NNG+의/JKG
편안한	편안/NNG+하/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
보고	보/VV+고/EC
있노라면	있/VX+노라면/EC
관람객의	관람객/NNG+의/JKG
얼굴도	얼굴/NNG+도/JX
펴진다.	펴지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.63.8.1
전체적으로 크고 작은 불상이 70여 점, 대형 탕카가 10여 점 전시되고 있다.

전체적으로	전체/NNG+적/XSN+으로/JKB
크고	크/VA+고/EC
작은	작/VA+은/ETM
불상이	불상/NNG+이/JKS
70여	70/SN+여/XSN
점,	점/NNB+,/SP
대형	대형/NNG
탕카가	탕카/NNG+가/JKS
10여	10/SN+여/XSN
점	점/NNB
전시되고	전시/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.63.8.2
박물관 뒤편 대형 에메랄드 불상 3점을 모신 공간에도 소형 불상 수백 점이 선보이고 있다.

박물관	박물관/NNG
뒤편	뒤편/NNG
대형	대형/NNG
에메랄드	에메랄드/NNG
불상	불상/NNG
3점을	3/SN+점/NNB+을/JKO
모신	모시/VV+ㄴ/ETM
공간에도	공간/NNG+에/JKB+도/JX
소형	소형/NNG
수백	수백/NR
점이	점/NNB+이/JKS
선보이고	선보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.63.9.1
해곡 스님은 "40여년간 정성껏 모아온 성보(聖寶)들은 현지에 가서도 한자리에서 한꺼번에 보기 어려운 작품들"이라고 말했다.

해곡	해곡/NNP
스님은	스님/NNG+은/JX
"40여년간	"/SS+40/SN+여/XSN+년/NNB+간/XSN
정성껏	정성껏/MAG
모아온	모으/VV+아/EC+오/VX+ㄴ/ETM
성보(聖寶)들은	성보/NNG+(/SS+聖寶/SH+)/SS+들/XSN+은/JX
현지에	현지/NNG+에/JKB
가서도	가/VV+아서/EC+도/JX
한자리에서	한자리/NNG+에서/JKB
한꺼번에	한꺼번에/MAG
보기	보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
작품들"이라고	작품/NNG+들/XSN+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.63.9.2
박물관은 토·일요일과 공휴일 오전 11시~오후 4시 개관하며 평일에는 단체 관람객만 받는다.

박물관은	박물관/NNG+은/JX
토·일요일과	토/NNG+·/SP+일요일/NNG+과/JC
공휴일	공휴일/NNG
오전	오전/NNG
11시~오후	11/SN+시/NNB+~/SO+오후/NNG
4시	4/SN+시/NNB
개관하며	개관/NNG+하/XSV+며/EC
평일에는	평일/NNG+에/JKB+는/JX
단체	단체/NNG
관람객만	관람객/NNG+만/JX
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000054.63.9.3
관람료는 성인 8000원, 65세 이상·학생 5000원.

관람료는	관람료/NNG+는/JX
성인	성인/NNG
8000원,	8000/SN+원/NNB+,/SP
65세	65/SN+세/NNB
이상·학생	이상/NNG+·/SP+학생/NNG
5000원.	5000/SN+원/NNB+./SF


