# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.86
metadata : {}


# id : NWRW1800000033.86.1.1
“佛 탈세 잡는 장관이 해외 탈세” 파문

“佛	“/SS+佛/SH
뒤집혔다.	뒤집히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.86.5.1
4일 르몽드의 퇴직 기자들이 모여 만든 인터넷 뉴스사이트 메디아파르는 카위자크 장관이 스위스 최대은행 UBS의 제네바 지점에서 개설된 미신고 계좌를 오랫동안 갖고 있었다고 폭로했다.

4일	4/SN+일/NNB
르몽드의	르몽드/NNP+의/JKG
퇴직	퇴직/NNG
기자들이	기자/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
만든	만들/VV+ㄴ/ETM
인터넷	인터넷/NNG
뉴스사이트	뉴스/NNG+사이트/NNG
메디아파르는	메디아파르/NNG+는/JX
카위자크	카위자크/NNP
장관이	장관/NNG+이/JKS
스위스	스위스/NNP
최대은행	최대/NNG+은행/NNG
UBS의	UBS/SL+의/JKG
제네바	제네바/NNP
지점에서	지점/NNG+에서/JKB
개설된	개설/NNG+되/XSV+ㄴ/ETM
미신고	미/XPN+신고/NNG
계좌를	계좌/NNG+를/JKO
오랫동안	오랫동안/NNG
갖고	갖/VV+고/EC
있었다고	있/VX+었/EP+다고/EC
폭로했다.	폭로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.5.2
카위자크 장관이 2010년 초 하원 재무위원장이 되기 직전 스위스에 몰래 가서 이 계좌를 폐쇄하고 예금을 UBS 싱가포르 지점 계좌로 옮겼다는 것.

카위자크	카위자크/NNP
장관이	장관/NNG+이/JKS
2010년	2010/SN+년/NNB
초	초/NNB
하원	하원/NNG
재무위원장이	재무/NNG+위원장/NNG+이/JKC
되기	되/VV+기/ETN
직전	직전/NNG
스위스에	스위스/NNP+에/JKB
몰래	몰래/MAG
가서	가/VV+아서/EC
이	이/MMD
계좌를	계좌/NNG+를/JKO
폐쇄하고	폐쇄/NNG+하/XSV+고/EC
예금을	예금/NNG+을/JKO
UBS	UBS/SL
싱가포르	싱가포르/NNP
지점	지점/NNG
계좌로	계좌/NNG+로/JKB
옮겼다는	옮기/VV+었/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.86.5.3
카위자크 장관이 1994년 파리의 아파트를 620만 프랑에 구입했을 때 이 중 400만 프랑은 스위스 계좌가 출처였다고 메디아파르는 보도했다.

카위자크	카위자크/NNP
장관이	장관/NNG+이/JKS
1994년	1994/SN+년/NNB
파리의	파리/NNP+의/JKG
아파트를	아파트/NNG+를/JKO
620만	620/SN+만/NR
프랑에	프랑/NNB+에/JKB
구입했을	구입/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
이	이/NP
중	중/NNB
400만	400/SN+만/NR
프랑은	프랑/NNB+은/JX
스위스	스위스/NNP
계좌가	계좌/NNG+가/JKS
출처였다고	출처/NNG+이/VCP+었/EP+다고/EC
메디아파르는	메디아파르/NNG+는/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.6.1
그런데 이 기사의 출처는 지방 세무서에 근무했던 퇴직 세무공무원 레미 가르니에 씨가 2008년 6월 작성해 법원에 제출한 자료였다.

그런데	그런데/MAJ
이	이/MMD
기사의	기사/NNG+의/JKG
출처는	출처/NNG+는/JX
지방	지방/NNG
세무서에	세무서/NNG+에/JKB
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
퇴직	퇴직/NNG
세무공무원	세무/NNG+공무원/NNG
레미	레미/NNP
가르니에	가르니에/NNP
씨가	씨/NNB+가/JKS
2008년	2008/SN+년/NNB
6월	6/SN+월/NNB
작성해	작성/NNG+하/XSV+아/EC
법원에	법원/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료였다.	자료/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.86.6.2
국세청에 의해 “명백한 이유 없이 카위자크의 세금 관련 자료를 열람했다”는 이유로 고소당한 가르니에 씨가 법원에 낸 소명 자료였던 것.

국세청에	국세청/NNG+에/JKB
의해	의하/VV+아/EC
“명백한	“/SS+명백하/VA+ㄴ/ETM
이유	이유/NNG
없이	없이/MAG
카위자크의	카위자크/NNP+의/JKG
세금	세금/NNG
관련	관련/NNG
자료를	자료/NNG+를/JKO
열람했다”는	열람/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
이유로	이유/NNG+로/JKB
고소당한	고소/NNG+당하/XSV+ㄴ/ETM
가르니에	가르니에/NNP
씨가	씨/NNB+가/JKS
법원에	법원/NNG+에/JKB
낸	내/VV+ㄴ/ETM
소명	소명/NNG
자료였던	자료/NNG+이/VCP+었/EP+던/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.86.7.1
가르니에 씨는 ‘형사 콜롬보’라는 별명이 있을 만큼 최고의 능력을 인정받던 2000년대 초 카위자크 장관의 지역구에 있는 한 조합에 45만 유로의 세금 추징 조치를 내렸다.

가르니에	가르니에/NNP
씨는	씨/NNB+는/JX
‘형사	‘/SS+형사/NNG
콜롬보’라는	콜롬보/NNP+’/SS+이/VCP+라는/ETM
별명이	별명/NNG+이/JKS
있을	있/VA+을/ETM
만큼	만큼/NNB
최고의	최고/NNG+의/JKG
능력을	능력/NNG+을/JKO
인정받던	인정/NNG+받/XSV+던/ETM
2000년대	2000/SN+년대/NNB
초	초/NNB
카위자크	카위자크/NNP
장관의	장관/NNG+의/JKG
지역구에	지역구/NNG+에/JKB
있는	있/VA+는/ETM
한	한/MMN
조합에	조합/NNG+에/JKB
45만	45/SN+만/NR
유로의	유로/NNB+의/JKG
세금	세금/NNG
추징	추징/NNG
조치를	조치/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.86.7.2
그러나 카위자크의 개입으로 이 조치가 취소됐으며 이후 그는 계속 한직으로만 돌았다.

그러나	그러나/MAJ
카위자크의	카위자크/NNP+의/JKG
개입으로	개입/NNG+으로/JKB
이	이/MMD
조치가	조치/NNG+가/JKS
취소됐으며	취소/NNG+되/XSV+었/EP+으며/EC
이후	이후/NNG
그는	그/NP+는/JX
계속	계속/MAG
한직으로만	한직/NNG+으로/JKB+만/JX
돌았다.	돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.7.3
그러던 중 2008년 카위자크의 스위스 비밀계좌에 대한 정보를 입수했고 개인 납세 현황 파악차 세무자료와 함께 심층 조사를 벌였다.

그러던	그러/VV+던/ETM
중	중/NNB
2008년	2008/SN+년/NNB
카위자크의	카위자크/NNP+의/JKG
스위스	스위스/NNP
비밀계좌에	비밀/NNG+계좌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
입수했고	입수/NNG+하/XSV+았/EP+고/EC
개인	개인/NNG
납세	납세/NNG
현황	현황/NNG
파악차	파악/NNG+차/NNB
세무자료와	세무/NNG+자료/NNG+와/JKB
함께	함께/MAG
심층	심층/NNG
조사를	조사/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.86.7.4
그의 전직 동료들은 “가르니에는 기업 담당 세무공무원으로 타의 추종을 불허하는 프로페셔널이었다”고 말했다.

그의	그/NP+의/JKG
전직	전직/NNG
동료들은	동료/NNG+들/XSN+은/JX
“가르니에는	“/SS+가르니에/NNP+는/JX
기업	기업/NNG
담당	담당/NNG
세무공무원으로	세무/NNG+공무원/NNG+으로/JKB
타의	타/NNG+의/JKG
추종을	추종/NNG+을/JKO
불허하는	불허/NNG+하/XSV+는/ETM
프로페셔널이었다”고	프로페셔널/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.8.1
이날 보도가 나오자 카위자크 장관은 즉각 부인했다.

이날	이날/NNG
보도가	보도/NNG+가/JKS
나오자	나오/VV+자/EC
카위자크	카위자크/NNP
장관은	장관/NNG+은/JX
즉각	즉각/MAG
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.8.2
그러자 메디아파르는 6일 한발 더 나아갔다.

그러자	그러/VV+자/EC
메디아파르는	메디아파르/NNG+는/JX
6일	6/SN+일/NNB
한발	한발/MAG
더	더/MAG
나아갔다.	나아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.8.3
카위자크 장관이 2000년 말 재산관리인과 나눈 휴대전화 통화 내용 녹취록과 음성을 공개했다.

카위자크	카위자크/NNP
장관이	장관/NNG+이/JKS
2000년	2000/SN+년/NNB
말	말/NNB
재산관리인과	재산/NNG+관리인/NNG+과/JKB
나눈	나누/VV+ㄴ/ETM
휴대전화	휴대/NNG+전화/NNG
통화	통화/NNG
내용	내용/NNG
녹취록과	녹취록/NNG+과/JC
음성을	음성/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.9.1
“UBS에 계좌가 있다는 게 정말 마음에 걸려.

“UBS에	“/SS+UBS/SL+에/JKB
계좌가	계좌/NNG+가/JKS
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
정말	정말/MAG
마음에	마음/NNG+에/JKB
걸려.	걸리/VV+어/EF+./SF


# id : NWRW1800000033.86.9.2
거기에 계좌를 연 건 잘못한 거야.

거기에	거기/NP+에/JKB
계좌를	계좌/NNG+를/JKO
연	열/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
거야.	거/NNB+이/VCP+야/EF+./SF


# id : NWRW1800000033.86.9.3
UBS는 비밀이 잘 지켜지는 은행이 아니잖아.

UBS는	UBS/SL+는/JX
비밀이	비밀/NNG+이/JKS
잘	잘/MAG
지켜지는	지키/VV+어/EC+지/VX+는/ETM
은행이	은행/NNG+이/JKC
아니잖아.	아니/VCN+잖아/EF+./SF


# id : NWRW1800000033.86.9.4
그 계좌를 폐쇄하려면 제네바에 가야 한다니 말이야.

그	그/MMD
계좌를	계좌/NNG+를/JKO
폐쇄하려면	폐쇄/NNG+하/XSV+려면/EC
제네바에	제네바/NNP+에/JKB
가야	가/VV+아야/EC
한다니	하/VX+ㄴ다니/EC
말이야.	말/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000033.86.9.5
위임장으로는 안 돼?

위임장으로는	위임장/NNG+으로/JKB+는/JX
안	안/MAG
돼?	되/VV+어/EF+?/SF


# id : NWRW1800000033.86.9.6
서류만 왔다 갔다 하면 되는 것 아냐?”

서류만	서류/NNG+만/JX
왔다	오/VV+았/EP+다/EC
갔다	가/VV+았/EP+다/EC
하면	하/VX+면/EC
되는	되/VV+는/ETM
것	것/NNB
아냐?”	아니/VCN+야/EF+?/SF+”/SS


# id : NWRW1800000033.86.10.1
카위자크 장관의 발언 내용이 적나라하게 소개됐다.

카위자크	카위자크/NNP
장관의	장관/NNG+의/JKG
발언	발언/NNG
내용이	내용/NNG+이/JKS
적나라하게	적나라하/VA+게/EC
소개됐다.	소개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.86.10.2
메디아파르는 또 UBS에서 카위자크의 장관의 계좌를 담당하던 은행 직원 이름까지 입수했으며 많은 추가 증언과 증거 서류가 있다고 밝혔다.

메디아파르는	메디아파르/NNG+는/JX
또	또/MAG
UBS에서	UBS/SL+에서/JKB
카위자크의	카위자크/NNP+의/JKG
장관의	장관/NNG+의/JKG
계좌를	계좌/NNG+를/JKO
담당하던	담당/NNG+하/XSV+던/ETM
은행	은행/NNG
직원	직원/NNG
이름까지	이름/NNG+까지/JX
입수했으며	입수/NNG+하/XSV+았/EP+으며/EC
많은	많/VA+은/ETM
추가	추가/NNG
증언과	증언/NNG+과/JC
증거	증거/NNG
서류가	서류/NNG+가/JKS
있다고	있/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.86.11.1
카위자크 장관은 “녹음 음성은 내 것이 아니며 거짓 기사로 명예가 훼손됐다”며 형사 소송을 제기하겠다고 말했다.

카위자크	카위자크/NNP
장관은	장관/NNG+은/JX
“녹음	“/SS+녹음/NNG
음성은	음성/NNG+은/JX
내	나/NP+의/JKG
것이	것/NNB+이/JKC
아니며	아니/VCN+며/EC
거짓	거짓/NNG
기사로	기사/NNG+로/JKB
명예가	명예/NNG+가/JKS
훼손됐다”며	훼손/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
형사	형사/NNG
소송을	소송/NNG+을/JKO
제기하겠다고	제기/NNG+하/XSV+겠/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.11.2
사임할 의사가 없다는 것도 명백히 했다.

사임할	사임/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
없다는	없/VA+다는/ETM
것도	것/NNB+도/JX
명백히	명백히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.11.3
또 1994년 구입한 파리 아파트의 자금 출처를 자신의 블로그에 공개했다.

또	또/MAG
1994년	1994/SN+년/NNB
구입한	구입/NNG+하/XSV+ㄴ/ETM
파리	파리/NNP
아파트의	아파트/NNG+의/JKG
자금	자금/NNG
출처를	출처/NNG+를/JKO
자신의	자신/NNG+의/JKG
블로그에	블로그/NNG+에/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.12.1
하지만 르피가로 등은 “카위자크 장관의 음성이 맞는 것 같다”며 그가 결백을 입증하기 위해 자신이 수장으로 있는 세무당국에 조사를 명령해야 하는 상황에 직면할 것으로 예상했다.

하지만	하지만/MAJ
르피가로	르피가로/NNP
등은	등/NNB+은/JX
“카위자크	“/SS+카위자크/NNP
장관의	장관/NNG+의/JKG
음성이	음성/NNG+이/JKS
맞는	맞/VV+는/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
그가	그/NP+가/JKS
결백을	결백/NNG+을/JKO
입증하기	입증/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자신이	자신/NNG+이/JKS
수장으로	수장/NNG+으로/JKB
있는	있/VA+는/ETM
세무당국에	세무/NNG+당국/NNG+에/JKB
조사를	조사/NNG+를/JKO
명령해야	명령/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
상황에	상황/NNG+에/JKB
직면할	직면/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.86.12.2
소송전과 별개로 사회당 유력 정치인들의 금전 도덕성 문제로 비화될 가능성이 크다고 프랑스 언론은 보고 있다.

소송전과	소송전/NNG+과/JKB
별개로	별개/NNG+로/JKB
사회당	사회당/NNP
유력	유력/NNG
정치인들의	정치인/NNG+들/XSN+의/JKG
금전	금전/NNG
도덕성	도덕/NNG+성/XSN
문제로	문제/NNG+로/JKB
비화될	비화/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
프랑스	프랑스/NNP
언론은	언론/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


