# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.20
metadata : {}


# id : NWRW1800000054.20.1.1
[월드 톡톡] 어떻게 들고 갔을까?

[월드	[/SS+월드/NNG
경찰은 "범인들이 금화를 녹여서 사용할 가능성이 크다"고 말했다.

경찰은	경찰/NNG+은/JX
"범인들이	"/SS+범인/NNG+들/XSN+이/JKS
금화를	금화/NNG+를/JKO
녹여서	녹이/VV+어서/EC
사용할	사용/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.20.6.1
보데 박물관은 유네스코 세계문화유산으로 지정된 베를린의 '박물관 섬(Museumsinsel)' 내 5개 박물관 중 한 곳이며, 세계에서 가장 많은 동전을 소장하고 있다.

보데	보데/NNP
박물관은	박물관/NNG+은/JX
유네스코	유네스코/NNP
세계문화유산으로	세계/NNG+문화유산/NNG+으로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
베를린의	베를린/NNP+의/JKG
'박물관	'/SS+박물관/NNG
섬(Museumsinsel)'	섬/NNG+(/SS+Museumsinsel/SL+)/SS+'/SS
내	내/NNB
5개	5/SN+개/NNB
박물관	박물관/NNG
중	중/NNB
한	한/MMN
곳이며,	곳/NNG+이/VCP+며/EC+,/SP
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
많은	많/VA+은/ETM
동전을	동전/NNG+을/JKO
소장하고	소장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.20.6.2
고대 그리스 동전 10만개 등 총 54만개의 동전을 갖고 있다.

고대	고대/NNG
그리스	그리스/NNP
동전	동전/NNG
10만개	10/SN+만/NR+개/NNB
등	등/NNB
총	총/MMA
54만개의	54/SN+만/NR+개/NNB+의/JKG
동전을	동전/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.20.6.3
박물관 측은 "큰 단풍잎 금화 외에 다른 동전들은 도난당하지 않았다"고 밝혔다.

박물관	박물관/NNG
측은	측/NNB+은/JX
"큰	"/SS+크/VA+ㄴ/ETM
단풍잎	단풍잎/NNG
금화	금화/NNG
외에	외/NNB+에/JKB
다른	다른/MMD
동전들은	동전/NNG+들/XSN+은/JX
도난당하지	도난/NNG+당하/XSV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


