# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.334
metadata : {}


# id : NWRW1800000046.334.1.1
[리콴유 장례식] 18개국 頂上급 인사들 대거 참석… 리콴유 장례식, 弔問 외교 무대로

[리콴유	[/SS+리콴유/NNP

# id : NWRW1800000046.334.5.4
그는 최근 총선에서 승리한 베냐민 네타냐후 총리가 모디 총리의 이스라엘 방문을 기대하고 있다고 전했다.

그는	그/NP+는/JX
최근	최근/MAG
총선에서	총선/NNG+에서/JKB
승리한	승리/NNG+하/XSV+ㄴ/ETM
베냐민	베냐민/NNP
네타냐후	네타냐후/NNP
총리가	총리/NNG+가/JKS
모디	모디/NNP
총리의	총리/NNG+의/JKG
이스라엘	이스라엘/NNP
방문을	방문/NNG+을/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.334.5.5
인도 정부는 "모디 총리의 구체적 방문 일정은 양국 간 외교 채널 협의를 통해 확정할 것"이라고 밝혔다.

인도	인도/NNP
정부는	정부/NNG+는/JX
"모디	"/SS+모디/NNP
총리의	총리/NNG+의/JKG
구체적	구체/NNG+적/XSN
방문	방문/NNG
일정은	일정/NNG+은/JX
양국	양국/NNG
간	간/NNB
외교	외교/NNG
채널	채널/NNG
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
확정할	확정/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.334.6.1
대만 왕보(旺報)는 "리콴유 전 총리의 장례식이 서로 껄끄러운 관계에 있는 지도자들을 불러모았다"고 전했다.

대만	대만/NNP
왕보(旺報)는	왕보/NNP+(/SS+旺報/SH+)/SS+는/JX
"리콴유	"/SS+리콴유/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
장례식이	장례식/NNG+이/JKS
서로	서로/MAG
껄끄러운	껄끄럽/VA+ㄴ/ETM
관계에	관계/NNG+에/JKB
있는	있/VA+는/ETM
지도자들을	지도자/NNG+들/XSN+을/JKO
불러모았다"고	부르/VV+어/EC+모으/VV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.334.6.2
'하나의 중국'을 내세우는 중국의 리위안차오 부주석과 독립국 대만을 강조하는 쑤전창 대만 전 행정원장(총리)이 리 전 총리 29일 장례 행사에 참석한 상황을 묘사한 것이다.

'하나의	'/SS+하나/NR+의/JKG
중국'을	중국/NNP+'/SS+을/JKO
내세우는	내세우/VV+는/ETM
중국의	중국/NNP+의/JKG
리위안차오	리위안차오/NNP
부주석과	부주석/NNG+과/JC
독립국	독립국/NNG
대만을	대만/NNP+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
쑤전창	쑤전창/NNP
대만	대만/NNP
전	전/MMD
행정원장(총리)이	행정원장/NNG+(/SS+총리/NNG+)/SS+이/JKS
리	리/NNP
총리	총리/NNG
29일	29/SN+일/NNB
장례	장례/NNG
행사에	행사/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
상황을	상황/NNG+을/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.334.7.1
앞서 마잉주 대만 총통은 지난 24일 싱가포르 이스타나 대통령궁 총리공관을 방문해 개인 자격으로 조문을 마치고 대만으로 돌아갔다.

앞서	앞서/MAG
마잉주	마잉주/NNP
대만	대만/NNP
총통은	총통/NNG+은/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
싱가포르	싱가포르/NNP
이스타나	이스타나/NNP
대통령궁	대통령/NNG+궁/NNG
총리공관을	총리/NNG+공관/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
개인	개인/NNG
자격으로	자격/NNG+으로/JKB
조문을	조문/NNG+을/JKO
마치고	마치/VV+고/EC
대만으로	대만/NNP+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.334.7.2
대만문화대 뉴쩌쉰 교수는 "마잉주 총통이 서둘러 싱가포르를 방문해 조문한 것은 국장에서 중국 지도자와의 만남을 피하기 위한 것"이라고 말했다.

대만문화대	대만문화대/NNP
뉴쩌쉰	뉴쩌쉰/NNP
교수는	교수/NNG+는/JX
"마잉주	"/SS+마잉주/NNP
총통이	총통/NNG+이/JKS
서둘러	서두르/VV+어/EC
싱가포르를	싱가포르/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
조문한	조문/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
국장에서	국장/NNG+에서/JKB
중국	중국/NNP
지도자와의	지도자/NNG+와/JKB+의/JKG
만남을	만남/NNG+을/JKO
피하기	피하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.334.7.3
리위안차오 중국 부주석과 미얀마 테인 세인 대통령과의 만남이 성사될지도 관심을 모았다.

리위안차오	리위안차오/NNP
중국	중국/NNP
부주석과	부주석/NNG+과/JC
미얀마	미얀마/NNP
테인	테인/NNP
세인	세인/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
만남이	만남/NNG+이/JKS
성사될지도	성사/NNG+되/XSV+ㄹ지/EF+도/JX
관심을	관심/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.334.7.4
최근 미얀마 반군이 "미얀마와 분리하고, 중국과 통합되길 원한다"고 밝혀 미얀마와 중국 국경의 군사적 긴장이 커졌기 때문이다.

최근	최근/MAG
미얀마	미얀마/NNP
반군이	반군/NNG+이/JKS
"미얀마와	"/SS+미얀마/NNP+와/JKB
분리하고,	분리/NNG+하/XSV+고/EC+,/SP
중국과	중국/NNP+과/JKB
통합되길	통합/NNG+되/XSV+기/ETN+ㄹ/JKO
원한다"고	원/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혀	밝히/VV+어/EC
미얀마와	미얀마/NNP+와/JC
중국	중국/NNP
국경의	국경/NNG+의/JKG
군사적	군사/NNG+적/XSN
긴장이	긴장/NNG+이/JKS
커졌기	커지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.334.7.5
하지만 이날 장례 행사에서 양국 인사 간 회동은 이뤄지지 않았다.

하지만	하지만/MAJ
이날	이날/NNG
장례	장례/NNG
행사에서	행사/NNG+에서/JKB
양국	양국/NNG
인사	인사/NNG
간	간/NNB
회동은	회동/NNG+은/JX
이뤄지지	이뤄지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


