# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.90
metadata : {}


# id : NWRW1800000049.90.1.1
[RIO 2016 ‘10-10’ 노리는 한국]올림픽 정식 종목 변천사

[RIO	[/SS+RIO/SL
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.90.4.1
처음부터 이렇게 많았던 건 아니다.

처음부터	처음/NNG+부터/JX
이렇게	이렇/VA+게/EC
많았던	많/VA+았/EP+던/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.90.4.2
1896년 제1회 아테네 올림픽이 열렸을 때 정식 종목은 레슬링 사격 사이클 수영 역도 육상 체조 테니스 펜싱 등 9개였다.

1896년	1896/SN+년/NNB
제1회	제/XPN+1/SN+회/NNB
아테네	아테네/NNP
올림픽이	올림픽/NNG+이/JKS
열렸을	열리/VV+었/EP+을/ETM
때	때/NNG
정식	정식/NNG
종목은	종목/NNG+은/JX
레슬링	레슬링/NNG
사격	사격/NNG
사이클	사이클/NNG
수영	수영/NNG
역도	역도/NNG
육상	육상/NNG
체조	체조/NNG
테니스	테니스/NNG
펜싱	펜싱/NNG
등	등/NNB
9개였다.	9/SN+개/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.90.4.3
그 뒤로 올림픽이 열릴 때마다 개최국은 자기 나라가 유리한 종목은 넣고 불리한 종목은 빼면서 종목 수를 조정했다.

그	그/MMD
뒤로	뒤/NNG+로/JKB
올림픽이	올림픽/NNG+이/JKS
열릴	열리/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
개최국은	개최국/NNG+은/JX
자기	자기/NNG
나라가	나라/NNG+가/JKS
유리한	유리/NNG+하/XSA+ㄴ/ETM
종목은	종목/NNG+은/JX
넣고	넣/VV+고/EC
불리한	불리/NNG+하/XSA+ㄴ/ETM
빼면서	빼/VV+면서/EC
종목	종목/NNG
수를	수/NNG+를/JKO
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.90.5.1
제3회 올림픽이 유럽을 벗어나 처음으로 미국의 세인트루이스에서 열렸을 때 미국은 자신들이 잘 못하는 바스크 펠로타, 크리켓 같은 종목을 제외하고 라크로스와 로크, 복싱처럼 유리한 종목을 넣었다.

제3회	제/XPN+3/SN+회/NNB
올림픽이	올림픽/NNG+이/JKS
유럽을	유럽/NNP+을/JKO
벗어나	벗어나/VV+아/EC
처음으로	처음/NNG+으로/JKB
미국의	미국/NNP+의/JKG
세인트루이스에서	세인트루이스/NNP+에서/JKB
열렸을	열리/VV+었/EP+을/ETM
때	때/NNG
미국은	미국/NNP+은/JX
자신들이	자신/NNG+들/XSN+이/JKS
잘	잘/MAG
못하는	못/MAG+하/XSV+는/ETM
바스크	바스크/NNP
펠로타,	펠로타/NNG+,/SP
크리켓	크리켓/NNG
같은	같/VA+은/ETM
종목을	종목/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
라크로스와	라크로스/NNG+와/JC
로크,	로크/NNG+,/SP
복싱처럼	복싱/NNG+처럼/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.90.5.2
1964년 도쿄 대회 때 유도가 정식 종목이 된 것도 개최국 일본이 유도 종주국이기 때문이었다.

1964년	1964/SN+년/NNB
도쿄	도쿄/NNP
대회	대회/NNG
때	때/NNG
유도가	유도/NNG+가/JKS
정식	정식/NNG
종목이	종목/NNG+이/JKC
된	되/VV+ㄴ/ETM
것도	것/NNB+도/JX
개최국	개최국/NNG
일본이	일본/NNP+이/JKS
유도	유도/NNG
종주국이기	종주국/NNG+이/VCP+기/ETN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.90.5.3
한국도 1988년 서울 올림픽을 개최했을 때 태권도를 시범 종목으로 채택했다.

한국도	한국/NNP+도/JX
1988년	1988/SN+년/NNB
서울	서울/NNP
올림픽을	올림픽/NNG+을/JKO
개최했을	개최/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
태권도를	태권도/NNG+를/JKO
시범	시범/NNG
종목으로	종목/NNG+으로/JKB
채택했다.	채택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.90.5.4
이는 2000년 시드니 올림픽 때 태권도가 정식 종목이 되는 디딤돌이 됐다.

이는	이/NP+는/JX
2000년	2000/SN+년/NNB
시드니	시드니/NNP
올림픽	올림픽/NNG
때	때/NNG
태권도가	태권도/NNG+가/JKS
정식	정식/NNG
종목이	종목/NNG+이/JKC
되는	되/VV+는/ETM
디딤돌이	디딤돌/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.90.6.1
올림픽 때마다 종목 변동이 심해지자 국제올림픽위원회(IOC)는 결단을 내렸다.

올림픽	올림픽/NNG
때마다	때/NNG+마다/JX
종목	종목/NNG
변동이	변동/NNG+이/JKS
심해지자	심하/VA+아/EC+지/VX+자/EC
국제올림픽위원회(IOC)는	국제올림픽위원회/NNP+(/SS+IOC/SL+)/SS+는/JX
결단을	결단/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.90.6.2
IOC는 1989년 총회에서 △전 세계적으로 퍼져 있고 △남녀 모두 참가할 수 있는 종목만 정식 종목으로 채택할 수 있도록 결의했다.

IOC는	IOC/SL+는/JX
1989년	1989/SN+년/NNB
총회에서	총회/NNG+에서/JKB
△전	△/SW+전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
퍼져	퍼지/VV+어/EC
있고	있/VX+고/EC
△남녀	△/SW+남녀/NNG
모두	모두/MAG
참가할	참가/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
종목만	종목/NNG+만/JX
정식	정식/NNG
종목으로	종목/NNG+으로/JKB
채택할	채택/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
결의했다.	결의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.90.6.3
이 조항을 처음 적용한 1992년 바르셀로나 올림픽 때는 서울 때보다 정식 종목 수가 2개 줄어 25개가 됐다.

이	이/MMD
조항을	조항/NNG+을/JKO
처음	처음/NNG
적용한	적용/NNG+하/XSV+ㄴ/ETM
1992년	1992/SN+년/NNB
바르셀로나	바르셀로나/NNP
올림픽	올림픽/NNG
때는	때/NNG+는/JX
서울	서울/NNP
때보다	때/NNG+보다/JKB
정식	정식/NNG
종목	종목/NNG
수가	수/NNG+가/JKS
2개	2/SN+개/NNB
줄어	줄/VV+어/EC
25개가	25/SN+개/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.90.7.1
명시적인 기준은 없지만 정식 종목 채택에 있어 중요한 또 한 가지 기준은 바로 상업성이다.

명시적인	명시/NNG+적/XSN+이/VCP+ㄴ/ETM
기준은	기준/NNG+은/JX
없지만	없/VA+지만/EC
정식	정식/NNG
종목	종목/NNG
채택에	채택/NNG+에/JKB
있어	있/VA+어/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
또	또/MAG
한	한/MMN
가지	가지/NNB
바로	바로/MAG
상업성이다.	상업/NNG+성/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000049.90.7.2
올림픽 원년부터 정식 종목이었던 레슬링이 2013년 퇴출 위기에 몰렸던 것도 지루하다는 비판에 따른 것이었다.

올림픽	올림픽/NNG
원년부터	원년/NNG+부터/JX
정식	정식/NNG
종목이었던	종목/NNG+이/VCP+었/EP+던/ETM
레슬링이	레슬링/NNG+이/JKS
2013년	2013/SN+년/NNB
퇴출	퇴출/NNG
위기에	위기/NNG+에/JKB
몰렸던	몰리/VV+었/EP+던/ETM
것도	것/NNB+도/JX
지루하다는	지루하/VA+다는/ETM
비판에	비판/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.90.7.3
세계레슬링연맹(FILA)에서는 곧바로 세트제 폐지, 패시브(파르테르) 규칙 강화를 골자로 하는 생존 전략을 마련했다.

세계레슬링연맹(FILA)에서는	세계레슬링연맹/NNP+(/SS+FILA/SL+)/SS+에서/JKB+는/JX
곧바로	곧바로/MAG
세트제	세트/NNG+제/XSN
폐지,	폐지/NNG+,/SP
패시브(파르테르)	패시브/NNG+(/SS+파르테르/NNG+)/SS
규칙	규칙/NNG
강화를	강화/NNG+를/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
생존	생존/NNG
전략을	전략/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.90.7.4
일단 레슬링은 2024년(개최지 미정) 올림픽까지 살아남게 됐다.

일단	일단/MAG
레슬링은	레슬링/NNG+은/JX
2024년(개최지	2024/SN+년/NNB+(/SS+개최지/NNG
미정)	미정/NNG+)/SS
올림픽까지	올림픽/NNG+까지/JX
살아남게	살아남/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.90.8.1
IOC는 올림픽 개혁안 ‘어젠다 2020’을 마련하면서 올림픽에서 영원히 빠지지 않는 25개 종목을 핵심 종목으로 지정했다.

IOC는	IOC/SL+는/JX
올림픽	올림픽/NNG
개혁안	개혁안/NNG
‘어젠다	‘/SS+어젠다/NNG
2020’을	2020/SN+’/SS+을/JKO
마련하면서	마련/NNG+하/XSV+면서/EC
올림픽에서	올림픽/NNG+에서/JKB
영원히	영원히/MAG
빠지지	빠지/VV+지/EC
않는	않/VX+는/ETM
25개	25/SN+개/NNB
종목을	종목/NNG+을/JKO
핵심	핵심/NNG
종목으로	종목/NNG+으로/JKB
지정했다.	지정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.90.8.2
태권도도 당초 이 명단에서 빠질 것이란 전망이 우세했지만 우여곡절 끝에 살아남았다.

태권도도	태권도/NNG+도/JX
당초	당초/NNG
이	이/MMD
명단에서	명단/NNG+에서/JKB
빠질	빠지/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이	전망/NNG+이/JKS
우세했지만	우세/NNG+하/XSA+았/EP+지만/EC
우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
살아남았다.	살아남/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.90.8.3
위기의식을 느낀 세계태권도연맹(WTF)은 리우 올림픽 때부터 도복 바지에 색상을 넣을 수 있도록 하는 등 관중 몰입도를 높일 방안을 마련했다.

위기의식을	위기의식/NNG+을/JKO
느낀	느끼/VV+ㄴ/ETM
세계태권도연맹(WTF)은	세계태권도연맹/NNP+(/SS+WTF/SL+)/SS+은/JX
리우	리우/NNP
올림픽	올림픽/NNG
때부터	때/NNG+부터/JX
도복	도복/NNG
바지에	바지/NNG+에/JKB
색상을	색상/NNG+을/JKO
넣을	넣/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
등	등/NNB
관중	관중/NNG
몰입도를	몰입도/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
방안을	방안/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.90.9.1
국제사격연맹(ISSF)에서 리우 올림픽 결선 경기 때 경쾌한 음악을 틀기로 한 것도 같은 이유다.

국제사격연맹(ISSF)에서	국제사격연맹/NNP+(/SS+ISSF/SL+)/SS+에서/JKB
리우	리우/NNP
올림픽	올림픽/NNG
결선	결선/NNG
경기	경기/NNG
때	때/NNG
경쾌한	경쾌하/VA+ㄴ/ETM
음악을	음악/NNG+을/JKO
틀기로	틀/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
같은	같/VA+은/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.90.9.2
국제배구연맹(FIVB)도 전·후반제 도입을 비롯해 경기 시간을 줄일 수 있도록 승부 결정 방식을 바꾸려 하고 있다.

국제배구연맹(FIVB)도	국제배구연맹/NNP+(/SS+FIVB/SL+)/SS+도/JX
전·후반제	전·후반제/NNG
도입을	도입/NNG+을/JKO
비롯해	비롯하/VV+아/EC
경기	경기/NNG
시간을	시간/NNG+을/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
승부	승부/NNG
결정	결정/NNG
방식을	방식/NNG+을/JKO
바꾸려	바꾸/VV+려/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.90.9.3
경기 시간을 줄이고 TV 중계 때 광고를 많이 넣을 수 있도록 하기 위해서다.

경기	경기/NNG
시간을	시간/NNG+을/JKO
줄이고	줄이/VV+고/EC
TV	TV/SL
중계	중계/NNG
때	때/NNG
광고를	광고/NNG+를/JKO
많이	많이/MAG
넣을	넣/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
하기	하/VX+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.90.9.4
리우에서 92년 만에 다시 올림픽 정식 종목이 된 럭비도 전·후반 각 40분을 소화하는 15인제 대신 15분(전·후반 각 7분, 휴식시간 1분) 안에 모든 승부가 끝나는 7인제를 채택하며 이 같은 흐름에 동참했다.

리우에서	리우/NNP+에서/JKB
92년	92/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
올림픽	올림픽/NNG
정식	정식/NNG
종목이	종목/NNG+이/JKC
된	되/VV+ㄴ/ETM
럭비도	럭비/NNG+도/JX
전·후반	전·후반/NNG
각	각/MMD
40분을	40/SN+분/NNB+을/JKO
소화하는	소화/NNG+하/XSV+는/ETM
15인제	15/SN+인/NNG+제/XSN
대신	대신/NNG
15분(전·후반	15/SN+분/NNB+(/SS+전·후반/NNG
7분,	7/SN+분/NNB+,/SP
휴식시간	휴식/NNG+시간/NNG
1분)	1/SN+분/NNB+)/SS
안에	안/NNG+에/JKB
모든	모든/MMN
승부가	승부/NNG+가/JKS
끝나는	끝나/VV+는/ETM
7인제를	7/SN+인제/NNG+를/JKO
채택하며	채택/NNG+하/XSV+며/EC
이	이/NP
같은	같/VA+은/ETM
흐름에	흐름/NNG+에/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


