# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.403
metadata : {}


# id : NWRW1800000040.403.1.1
유로파이터쪽 “차기전투기 입찰때 계약위반 안해” 반발

유로파이터쪽	유로파이터/NNP+쪽/NNB
쟁점이	쟁점/NNG+이/JKC
된	되/VV+ㄴ/ETM
복좌기(2명이	복좌기/NNG+(/SS+2/SN+명/NNB+이/JKS
타는	타/VV+는/ETM
전투기)와	전투기/NNG+)/SS+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“협상	“/SS+협상/NNG
과정에서	과정/NNG+에서/JKB
한국	한국/NNP
당국이	당국/NNG+이/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
복좌기	복좌기/NNG
대수가	대수/NNG+가/JKS
과도하다는	과도/NNG+하/XSA+다는/ETM
입장을	입장/NNG+을/JKO
밝혀왔고,	밝히/VV+어/EC+오/VX+았/EP+고/EC+,/SP
15대	15/SN+대/NNB
복좌기를	복좌기/NNG+를/JKO
약속한	약속/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.403.5.2
또 한국이 요구한 ‘무장 체계 통합’과 관련해서도 “유로파이터는 개발이 완료된 전투기로서, 고려해야 할 무기 체계 개발비가 없다.

또	또/MAG
한국이	한국/NNP+이/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
‘무장	‘/SS+무장/NNG
체계	체계/NNG
통합’과	통합/NNG+’/SS+과/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
“유로파이터는	“/SS+유로파이터/NNP+는/JX
개발이	개발/NNG+이/JKS
완료된	완료/NNG+되/XSV+ㄴ/ETM
전투기로서,	전투기/NNG+로서/JKB+,/SP
고려해야	고려/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
무기	무기/NNG
개발비가	개발비/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.403.5.3
방사청이 요구한 추가 성능에 따른 비용을 유로파이터에 부담하라는 것은 적절하지 못하다”고 반박했다.

방사청이	방사청/NNG+이/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
추가	추가/NNG
성능에	성능/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
비용을	비용/NNG+을/JKO
유로파이터에	유로파이터/NNP+에/JKB
부담하라는	부담/NNG+하/XSV+라는/ETM
것은	것/NNB+은/JX
적절하지	적절하/VA+지/EC
못하다”고	못하/VX+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.403.6.1
셰러 본부장은 “방사청과 재협상할 기회가 주어진다면 언제라도 건설적인 논의를 할 준비가 돼 있다”고 밝혀, 앞으로도 이 사업의 기종 경쟁에 계속 참여할 뜻이 있음을 분명히 했다.

셰러	셰러/NNP
본부장은	본부장/NNG+은/JX
“방사청과	“/SS+방사청/NNG+과/JKB
재협상할	재/XPN+협상/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKS
주어진다면	주어지/VV+ㄴ다면/EC
언제라도	언제/NP+이/VCP+라도/EC
건설적인	건설/NNG+적/XSN+이/VCP+ㄴ/ETM
논의를	논의/NNG+를/JKO
할	하/VV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혀,	밝히/VV+어/EC+,/SP
앞으로도	앞/NNG+으로/JKB+도/JX
이	이/MMD
사업의	사업/NNG+의/JKG
기종	기종/NNG
경쟁에	경쟁/NNG+에/JKB
계속	계속/MAG
참여할	참여/NNG+하/XSV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
있음을	있/VA+음/ETN+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.403.6.2
유럽항산의 국내 에이전트 회사의 한 관계자도 “복좌기 대수 등에 대해 본사와 협의한 뒤 다시 방사청과 협상할 것”이라고 밝혔다.

유럽항산의	유럽항산/NNP+의/JKG
국내	국내/NNG
에이전트	에이전트/NNG
회사의	회사/NNG+의/JKG
한	한/MMN
관계자도	관계자/NNG+도/JX
“복좌기	“/SS+복좌기/NNG
대수	대수/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
본사와	본사/NNG+와/JKB
협의한	협의/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
방사청과	방사청/NNG+과/JKB
협상할	협상/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.403.7.1
이에 대해 방위사업청의 김연환 항공기사업부장은 “방사청은 이 기종이 탈락했다는 표현을 쓴 적이 없다”면서도 “최종 입찰에서 총사업비를 초과한 경우는 차기 전투기로 선정될 수 없다”고 말해 유로파이터가 사업자로 선정될 수 없음을 재확인했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
방위사업청의	방위/NNG+사업청/NNG+의/JKG
김연환	김연환/NNP
항공기사업부장은	항공기/NNG+사업부장/NNG+은/JX
“방사청은	“/SS+방사청/NNG+은/JX
이	이/MMD
기종이	기종/NNG+이/JKS
탈락했다는	탈락/NNG+하/XSV+았/EP+다는/ETM
표현을	표현/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”면서도	없/VA+다/EF+”/SS+면서/EC+도/JX
“최종	“/SS+최종/NNG
입찰에서	입찰/NNG+에서/JKB
총사업비를	총/MMA+사업비/NNG+를/JKO
초과한	초과/NNG+하/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
차기	차기/NNG
전투기로	전투기/NNG+로/JKB
선정될	선정/NNG+되/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
유로파이터가	유로파이터/NNP+가/JKS
사업자로	사업자/NNG+로/JKB
없음을	없/VA+음/ETN+을/JKO
재확인했다.	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF


