# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.68
metadata : {}


# id : NWRW1800000030.68.1.1
"난 바둑 배우러 템플스테이 간다"

"난	"/SS+나/NP+ㄴ/JX
주옥같은 옛 글을 가려뽑은 수심보경(修心寶鏡)을 교재로 전문 강사들에게 한문을 배울 뿐 아니라, 공동체 생활 속에 예불·참선·명상·다도(茶道) 등을 다양하게 체험할 수 있는 기회다.

주옥같은	주옥같/VA+은/ETM
옛	옛/MMA
글을	글/NNG+을/JKO
가려뽑은	가리/VV+어/EC+뽑/VV+은/ETM
수심보경(修心寶鏡)을	수심보경/NNG+(/SS+修心寶鏡/SH+)/SS+을/JKO
교재로	교재/NNG+로/JKB
전문	전문/NNG
강사들에게	강사/NNG+들/XSN+에게/JKB
한문을	한문/NNG+을/JKO
배울	배우/VV+ㄹ/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
공동체	공동체/NNG
생활	생활/NNG
속에	속/NNG+에/JKB
예불·참선·명상·다도(茶道)	예불/NNG+·/SP+참선/NNG+·/SP+명상/NNG+·/SP+다도/NNG+(/SS+茶道/SH+)/SS
등을	등/NNB+을/JKO
다양하게	다양/NNG+하/XSA+게/EC
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회다.	기회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.68.8.1
서울 길상사는 올 어린이 여름 수련회를 영어 불교교육 프로그램 '헬로우 붓다(Hello Budda)'와 체험 놀이 등으로 구성된 초등학생 템플스테이 프로그램으로 꾸몄다.

서울	서울/NNP
길상사는	길상사/NNP+는/JX
올	올/NNG
어린이	어린이/NNG
여름	여름/NNG
수련회를	수련회/NNG+를/JKO
영어	영어/NNP
불교교육	불교/NNG+교육/NNG
프로그램	프로그램/NNG
'헬로우	'/SS+헬로우/NNG
붓다(Hello	붓다/NNP+(/SS+Hello/SL
Budda)'와	Budda/SL+)/SS+'/SS+와/JC
체험	체험/NNG
놀이	놀이/NNG
등으로	등/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
초등학생	초등학생/NNG
템플스테이	템플스테이/NNG
프로그램으로	프로그램/NNG+으로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.68.9.1
강원도 인제 백담사는 외국인들을 위해 '한국 DMZ 평화생명동산 외국인 템플스테이'를 운영한다.

강원도	강원도/NNP
인제	인제/NNP
백담사는	백담사/NNP+는/JX
외국인들을	외국인/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
'한국	'/SS+한국/NNP
DMZ	DMZ/SL
평화생명동산	평화/NNG+생명/NNG+동산/NNG
외국인	외국인/NNG
템플스테이'를	템플스테이/NNG+'/SS+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.68.9.2
또 전북 익산 숭림사는 사찰 체험과 함께 블루베리 수확기를 맞아 블루베리 케이크 만들기 등을 체험해볼 수 있는 '블루베리 축제 템플스테이'를 준비했다.

또	또/MAG
전북	전북/NNP
익산	익산/NNP
숭림사는	숭림사/NNP+는/JX
사찰	사찰/NNG
체험과	체험/NNG+과/JKB
함께	함께/MAG
블루베리	블루베리/NNG
수확기를	수확기/NNG+를/JKO
맞아	맞/VV+아/EC
케이크	케이크/NNG
만들기	만들/VV+기/ETN
등을	등/NNB+을/JKO
체험해볼	체험/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'블루베리	'/SS+블루베리/NNG
축제	축제/NNG
템플스테이'를	템플스테이/NNG+'/SS+를/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.68.10.1
한국불교문화사업단 홈페이지(www.teplestay.com)를 통해 다양한 사찰별 프로그램을 확인할 수 있다.

한국불교문화사업단	한국불교문화사업단/NNP
홈페이지(www.teplestay.com)를	홈페이지/NNG+(/SS+www/SL+./SP+teplestay/SL+./SP+com/SL+)/SS+를/JKO
통해	통하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
사찰별	사찰/NNG+별/XSN
프로그램을	프로그램/NNG+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


