# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.349
metadata : {}


# id : NWRW1800000053.349.1.1
“여름휴가 농어촌으로” 문재인 대통령, 캠페인 제안

“여름휴가	“/SS+여름휴가/NNG
계획이라고	계획/NNG+이/VCP+라고/EC
말씀하셨고,	말씀/NNG+하/XSV+시/EP+었/EP+고/EC+,/SP
7월	7/SN+월/NNB
휴가철을	휴가철/NNG+을/JKO
맞이해	맞이하/VV+아/EC
국내	국내/NNG
관광을	관광/NNG+을/JKO
활성화한다면	활성/NNG+화/XSN+하/XSV+ㄴ다면/EC
내수를	내수/NNG+를/JKO
살릴	살리/VV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
좋은	좋/VA+은/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“농촌에서	“/SS+농촌/NNG+에서/JKB
여름휴가를	여름휴가/NNG+를/JKO
보내는	보내/VV+는/ETM
분위기를	분위기/NNG+를/JKO
조성하는	조성/NNG+하/XSV+는/ETM
데	데/NNB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
협조를	협조/NNG+를/JKO
부탁드린다”고	부탁/NNG+드리/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.349.5.1
김 장관의 제안에 문 대통령은 “농촌 관광이라는 아주 좋은 제안을 해 주셨다”고 화답했다.

김	김/NNP
장관의	장관/NNG+의/JKG
제안에	제안/NNG+에/JKB
문	문/NNP
대통령은	대통령/NNG+은/JX
“농촌	“/SS+농촌/NNG
관광이라는	관광/NNG+이/VCP+라는/ETM
아주	아주/MAG
좋은	좋/VA+은/ETM
제안을	제안/NNG+을/JKO
해	하/VV+아/EC
주셨다”고	주/VX+시/EP+었/EP+다/EF+”/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.349.5.2
이어 “나도 연차 휴가를 모두 활용할 계획이라고 말씀드렸는데, 장관님들도 그렇게 하시고 공무원들도 연차를 다 사용할 수 있도록 그렇게 분위기를 조성하고 독려해 달라”며 “중국인 관광객이 급감했는데 이번 여름은 해외여행 대신 국내에서, 그리고 우리 농어촌에서 여름휴가를 보내자는 대국민 캠페인을 한번 벌여 보자”라고 강조했다.

이어	이어/MAG
“나도	“/SS+나/NP+도/JX
연차	연차/NNG
휴가를	휴가/NNG+를/JKO
모두	모두/MAG
활용할	활용/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
말씀드렸는데,	말씀/NNG+드리/VV+었/EP+는데/EC+,/SP
장관님들도	장관/NNG+님/XSN+들/XSN+도/JX
그렇게	그렇/VA+게/EC
하시고	하/VV+시/EP+고/EC
공무원들도	공무원/NNG+들/XSN+도/JX
연차를	연차/NNG+를/JKO
다	다/MAG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
분위기를	분위기/NNG+를/JKO
조성하고	조성/NNG+하/XSV+고/EC
독려해	독려/NNG+하/XSV+아/EC
달라”며	달/VX+라/EF+”/SS+며/EC
“중국인	“/SS+중국인/NNG
관광객이	관광객/NNG+이/JKS
급감했는데	급감/NNG+하/XSV+았/EP+는데/EC
이번	이번/NNG
여름은	여름/NNG+은/JX
해외여행	해외여행/NNG
대신	대신/NNG
국내에서,	국내/NNG+에서/JKB+,/SP
그리고	그리고/MAJ
우리	우리/NP
농어촌에서	농어촌/NNG+에서/JKB
여름휴가를	여름휴가/NNG+를/JKO
보내자는	보내/VV+자는/ETM
대국민	대국민/NNG
캠페인을	캠페인/NNG+을/JKO
한번	한번/MAG
벌여	벌이/VV+어/EC
보자”라고	보/VX+자/EF+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.349.6.1
한국관광공사 등에 따르면 올해 외국인 관광객은 지난해 대비 약 469만 명이나 감소할 것으로 전망된다.

한국관광공사	한국관광공사/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
외국인	외국인/NNG
관광객은	관광객/NNG+은/JX
지난해	지난해/NNG
대비	대비/NNG
약	약/MMA
469만	469/SN+만/NR
명이나	명/NNB+이나/JX
감소할	감소/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.349.6.2
관광 관련 시장도 2015년 메르스(MERS·중동호흡기증후군) 때보다 무려 5분의 1로 위축될 것으로 보인다.

관광	관광/NNG
관련	관련/NNG
시장도	시장/NNG+도/JX
2015년	2015/SN+년/NNB
메르스(MERS·중동호흡기증후군)	메르스/NNG+(/SS+MERS/SL+·/SP+중동/NNP+호흡기/NNG+증후군/NNG+)/SS
때보다	때/NNG+보다/JKB
무려	무려/MAG
5분의	5/SN+분/XSN+의/JKG
1로	1/SN+로/JKB
위축될	위축/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.349.6.3
이에 따라 한국관광공사와 지방자치단체, 지방관광공사는 이날 서울 중구 한국프레스센터에서 ‘한국 관광산업 복합위기 극복 대책 회의’를 열었다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한국관광공사와	한국관광공사/NNP+와/JC
지방자치단체,	지방/NNG+자치/NNG+단체/NNG+,/SP
지방관광공사는	지방/NNG+관광공사/NNP+는/JX
이날	이날/NNG
서울	서울/NNP
중구	중구/NNP
한국프레스센터에서	한국프레스센터/NNP+에서/JKB
‘한국	‘/SS+한국/NNP
관광산업	관광/NNG+산업/NNG
복합위기	복합/NNG+위기/NNG
극복	극복/NNG
대책	대책/NNG
회의’를	회의/NNG+’/SS+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.349.7.1
방한 외국인 관광객 감소 폭은 중국이 사드(THAAD·고고도미사일방어체계) 배치 보복으로 금한령(禁韓令)을 내린 이후 3월 11.2%(지난해 같은 기간 대비), 4월 26.8%, 5월 34.5%로 계속 커지고 있다.

방한	방한/NNG
외국인	외국인/NNG
관광객	관광객/NNG
감소	감소/NNG
폭은	폭/NNG+은/JX
중국이	중국/NNP+이/JKS
사드(THAAD·고고도미사일방어체계)	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+)/SS
배치	배치/NNG
보복으로	보복/NNG+으로/JKB
금한령(禁韓令)을	금한령/NNG+(/SS+禁韓令/SH+)/SS+을/JKO
내린	내리/VV+ㄴ/ETM
이후	이후/NNG
3월	3/SN+월/NNB
11.2%(지난해	11/SN+./SP+2/SN+%/SW+(/SS+지난해/NNG
같은	같/VA+은/ETM
기간	기간/NNG
대비),	대비/NNG+)/SS+,/SP
4월	4/SN+월/NNB
26.8%,	26/SN+./SP+8/SN+%/SW+,/SP
5월	5/SN+월/NNB
34.5%로	34/SN+./SP+5/SN+%/SW+로/JKB
계속	계속/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.349.7.2
특히 5월 방한 외국인 관광객은 97만7889명으로, 월별 관광객 규모가 100만 명 미만으로 떨어진 것은 메르스 사태가 있었던 2015년 7월(63만 명) 이후 처음이다.

특히	특히/MAG
5월	5/SN+월/NNB
방한	방한/NNG
외국인	외국인/NNG
관광객은	관광객/NNG+은/JX
97만7889명으로,	97/SN+만/NR+7889/SN+명/NNB+으로/JKB+,/SP
월별	월/NNG+별/XSN
관광객	관광객/NNG
규모가	규모/NNG+가/JKS
100만	100/SN+만/NR
명	명/NNB
미만으로	미만/NNG+으로/JKB
떨어진	떨어지/VV+ㄴ/ETM
것은	것/NNB+은/JX
메르스	메르스/NNG
사태가	사태/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
2015년	2015/SN+년/NNB
7월(63만	7/SN+월/NNB+(/SS+63/SN+만/NR
명)	명/NNB+)/SS
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.349.8.1
중국인 관광객은 64.1% 줄었고 일본인 관광객도 10.8% 감소했다.

중국인	중국인/NNG
관광객은	관광객/NNG+은/JX
64.1%	64/SN+./SP+1/SN+%/SW
줄었고	줄/VV+었/EP+고/EC
일본인	일본인/NNG
관광객도	관광객/NNG+도/JX
10.8%	10/SN+./SP+8/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.349.8.2
동남아시아에서도 인도네시아 필리핀 등 주요국 관광객이 모두 감소했다.

동남아시아에서도	동남아시아/NNP+에서/JKB+도/JX
인도네시아	인도네시아/NNP
필리핀	필리핀/NNP
등	등/NNB
주요국	주요국/NNG
관광객이	관광객/NNG+이/JKS
모두	모두/MAG
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.349.9.1
정창수 관광공사 사장은 “내국인이 찾지 않는 관광지에는 외국인도 오지 않는다”며 “내실을 다져 관광시장 체질을 개선해야 한다”고 말했다.

정창수	정창수/NNP
관광공사	관광공사/NNP
사장은	사장/NNG+은/JX
“내국인이	“/SS+내국인/NNG+이/JKS
찾지	찾/VV+지/EC
않는	않/VX+는/ETM
관광지에는	관광지/NNG+에/JKB+는/JX
외국인도	외국인/NNG+도/JX
오지	오/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“내실을	“/SS+내실/NNG+을/JKO
다져	다지/VV+어/EC
관광시장	관광/NNG+시장/NNG
체질을	체질/NNG+을/JKO
개선해야	개선/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.349.9.2
여기에 관광공사는 마이스(MICE·기업회의 포상관광 컨벤션 전시회)와 의료관광 등 고부가가치 관광산업 육성에 집중한다는 계획이다.

여기에	여기/NP+에/JKB
관광공사는	관광공사/NNP+는/JX
마이스(MICE·기업회의	마이스/NNG+(/SS+MICE/SL+·/SP+기업/NNG+회의/NNG
포상관광	포상/NNG+관광/NNG
컨벤션	컨벤션/NNG
전시회)와	전시회/NNG+)/SS+와/JC
의료관광	의료/NNG+관광/NNG
등	등/NNB
고부가가치	고/XPN+부가/NNG+가치/NNG
관광산업	관광/NNG+산업/NNG
육성에	육성/NNG+에/JKB
집중한다는	집중/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


