# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.204
metadata : {}


# id : NWRW1800000021.204.1.1
부시와 찍은 사진으로 인맥 과시… 日 기업인 6억 엔대 사기행각

부시와	부시/NNP+와/JKB
# id : NWRW1800000021.204.3.3
신문은 이 용의자에게 어렵지 않게 투자자금이 몰린 이유는 그가 사진을 활용해 인맥을 과시한 것을 꼽았다.

신문은	신문/NNG+은/JX
이	이/MMD
용의자에게	용의자/NNG+에게/JKB
어렵지	어렵/VA+지/EC
않게	않/VX+게/EC
투자자금이	투자/NNG+자금/NNG+이/JKS
몰린	몰리/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
그가	그/NP+가/JKS
사진을	사진/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
인맥을	인맥/NNG+을/JKO
과시한	과시/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.204.3.4
이 사진이 합성된 것인지 진짜인지는 아직 밝혀지지 않았다.

이	이/MMD
사진이	사진/NNG+이/JKS
합성된	합성/NNG+되/XSV+ㄴ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
진짜인지는	진짜/NNG+이/VCP+ㄴ지/EF+는/JX
아직	아직/MAG
밝혀지지	밝혀지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.204.3.5
한편 용의자는 체포 직전 “사기가 아니라 빌린 것일 뿐”이라며 “곧 갚을 예정”이라고 말했다.

한편	한편/MAG
용의자는	용의자/NNG+는/JX
체포	체포/NNG
직전	직전/NNG
“사기가	“/SS+사기/NNG+가/JKC
아니라	아니/VCN+라/EC
빌린	빌리/VV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐”이라며	뿐/NNB+”/SS+이/VCP+라며/EC
“곧	“/SS+곧/MAG
갚을	갚/VV+을/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


