# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.287
metadata : {}


# id : NWRW1800000054.287.1.1
[기자의 視角] 필리핀의 황당한 살인면허

[기자의	[/SS+기자/NNG+의/JKG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.287.2.7
지씨 아내의 심경을 생각하니 피가 끓었다.

지씨	지/NNP+씨/NNB
아내의	아내/NNG+의/JKG
심경을	심경/NNG+을/JKO
생각하니	생각/NNG+하/XSV+니/EC
피가	피/NNG+가/JKS
끓었다.	끓/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.287.3.1
그런데 로널드 델라로사 필리핀 경찰청장이 16일 현지 기자들에게 의외의 말을 했다.

그런데	그런데/MAJ
로널드	로널드/NNP
델라로사	델라로사/NNP
필리핀	필리핀/NNP
경찰청장이	경찰청장/NNG+이/JKS
16일	16/SN+일/NNB
현지	현지/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
의외의	의외/NNG+의/JKG
말을	말/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.287.3.2
그는 주범 리키 이사벨 경사가 "숨진 지씨의 은행카드로 현금을 인출했다"고 비난하면서도 가담한 현직 경찰관 두 명에 대해서는 "가장 죄가 적다(the least guilty)"고 두둔했다.

그는	그/NP+는/JX
주범	주범/NNG
리키	리키/NNP
이사벨	이사벨/NNP
경사가	경사/NNG+가/JKS
"숨진	"/SS+숨지/VV+ㄴ/ETM
지씨의	지/NNP+씨/NNB+의/JKG
은행카드로	은행/NNG+카드/NNG+로/JKB
현금을	현금/NNG+을/JKO
인출했다"고	인출/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
비난하면서도	비난/NNG+하/XSV+면서/EC+도/JX
가담한	가담/NNG+하/XSV+ㄴ/ETM
현직	현직/NNG
경찰관	경찰관/NNG
두	두/MMN
명에	명/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"가장	"/SS+가장/MAG
죄가	죄/NNG+가/JKS
적다(the	적/VA+다/EF+(/SS+the/SL
least	least/SL
guilty)"고	guilty/SL+)/SS+"/SS+고/JKQ
두둔했다.	두둔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.287.3.3
델라로사 청장은 "그 두 명은 적법한 작전에 참여하는 것으로 속았다"며 "증인으로 세우겠다"고 했다.

델라로사	델라로사/NNP
청장은	청장/NNG+은/JX
"그	"/SS+그/MMD
두	두/MMN
명은	명/NNB+은/JX
적법한	적법/NNG+하/XSA+ㄴ/ETM
작전에	작전/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
속았다"며	속/VV+았/EP+다/EF+"/SS+며/EC
"증인으로	"/SS+증인/NNG+으로/JKB
세우겠다"고	세우/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.287.4.1
무고한 외국인을 마약 혐의자로 몰아 납치하고, 그 외국인이 살해당하는 것까지 지켜본 경찰관들이 어떻게 적법한 작전 중인 것으로 속을 수 있는가.

무고한	무고하/VA+ㄴ/ETM
외국인을	외국인/NNG+을/JKO
마약	마약/NNG
혐의자로	혐의자/NNG+로/JKB
몰아	몰/VV+아/EC
납치하고,	납치/NNG+하/XSV+고/EC+,/SP
그	그/MMD
외국인이	외국인/NNG+이/JKS
살해당하는	살해/NNG+당하/XSV+는/ETM
것까지	것/NNB+까지/JX
지켜본	지켜보/VV+ㄴ/ETM
경찰관들이	경찰관/NNG+들/XSN+이/JKS
어떻게	어떻/VA+게/EC
적법한	적법/NNG+하/XSA+ㄴ/ETM
작전	작전/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
속을	속/VV+을/ETM
수	수/NNB
있는가.	있/VA+는가/EF+./SF


# id : NWRW1800000054.287.4.2
그 배경에는 작년 6월 말 취임한 로드리고 두테르테 대통령이 최대 역점 사업으로 진행 중인 '마약과의 전쟁'이 있었다.

그	그/MMD
배경에는	배경/NNG+에/JKB+는/JX
작년	작년/NNG
6월	6/SN+월/NNB
말	말/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
로드리고	로드리고/NNP
두테르테	두테르테/NNP
대통령이	대통령/NNG+이/JKS
최대	최대/NNG
역점	역점/NNG
사업으로	사업/NNG+으로/JKB
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
'마약과의	'/SS+마약/NNG+과/JKB+의/JKG
전쟁'이	전쟁/NNG+'/SS+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.287.4.3
28년 동안 필리핀 남부 다바오 시장을 지내면서 1000명 넘는 범죄자를 재판 없이 처형한 두테르테 대통령은 당선 후 "마약상을 죽여도 좋다"고 했다.

28년	28/SN+년/NNB
동안	동안/NNG
필리핀	필리핀/NNP
남부	남부/NNG
다바오	다바오/NNP
시장을	시장/NNG+을/JKO
지내면서	지내/VV+면서/EC
1000명	1000/SN+명/NNB
넘는	넘/VV+는/ETM
범죄자를	범죄자/NNG+를/JKO
재판	재판/NNG
없이	없이/MAG
처형한	처형/NNG+하/XSV+ㄴ/ETM
두테르테	두테르테/NNP
대통령은	대통령/NNG+은/JX
당선	당선/NNG
후	후/NNG
"마약상을	"/SS+마약상/NNG+을/JKO
죽여도	죽이/VV+어도/EC
좋다"고	좋/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.287.4.4
마약 단속 경찰관들에게 즉결처분권을 준 것이다.

마약	마약/NNG
단속	단속/NNG
경찰관들에게	경찰관/NNG+들/XSN+에게/JKB
즉결처분권을	즉결/NNG+처분/NNG+권/XSN+을/JKO
준	주/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.287.4.5
이후 지금까지 6000명 넘게 사살됐다고 한다.

이후	이후/NNG
지금까지	지금/NNG+까지/JX
6000명	6000/SN+명/NNB
넘게	넘/VV+게/EC
사살됐다고	사살/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.287.4.6
지씨 사건의 공범이 된 두 경찰관은 평소처럼 마약 단속을 나가는 줄 알고 주범을 따라갔다가 지씨가 납치·살해되는 걸 목격했지만 그게 범죄란 인식조차 없었다는 얘기다.

지씨	지/NNP+씨/NNB
사건의	사건/NNG+의/JKG
공범이	공범/NNG+이/JKC
된	되/VV+ㄴ/ETM
두	두/MMN
경찰관은	경찰관/NNG+은/JX
평소처럼	평소/NNG+처럼/JKB
마약	마약/NNG
단속을	단속/NNG+을/JKO
나가는	나가/VV+는/ETM
줄	줄/NNB
알고	알/VV+고/EC
주범을	주범/NNG+을/JKO
따라갔다가	따라가/VV+았/EP+다가/EC
지씨가	지/NNP+씨/NNB+가/JKS
납치·살해되는	납치/NNG+·/SP+살해/NNG+되/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
목격했지만	목격/NNG+하/XSV+았/EP+지만/EC
그게	그거/NP+이/JKS
범죄란	범죄/NNG+란/JX
인식조차	인식/NNG+조차/JX
없었다는	없/VA+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.287.4.7
지씨 사건에 대해 필리핀 언론은 "부패한 경찰관들이 마약과의 전쟁을 어떻게 악용하는지 보여줬다"고 지적했다.

지씨	지/NNP+씨/NNB
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
필리핀	필리핀/NNP
언론은	언론/NNG+은/JX
"부패한	"/SS+부패/NNG+하/XSV+ㄴ/ETM
경찰관들이	경찰관/NNG+들/XSN+이/JKS
마약과의	마약/NNG+과/JKB+의/JKG
전쟁을	전쟁/NNG+을/JKO
어떻게	어떻/VA+게/EC
악용하는지	악용/NNG+하/XSV+는지/EC
보여줬다"고	보이/VV+어/EC+주/VX+었/EP+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.287.5.1
필리핀 경찰이 무고한 한국인을 마약 혐의자로 몰아 납치한 게 처음도 아니다.

필리핀	필리핀/NNP
경찰이	경찰/NNG+이/JKS
무고한	무고하/VA+ㄴ/ETM
한국인을	한국인/NNG+을/JKO
마약	마약/NNG
혐의자로	혐의자/NNG+로/JKB
몰아	몰/VV+아/EC
납치한	납치/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
처음도	처음/NNG+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.287.5.2
2012년 2월에도 한국인 여행 가이드와 공모한 필리핀 경찰관 10명이 한국인 관광객 4명을 납치·억류한 뒤 몸값 2400만원을 받고 7시간 만에 풀어준 일이 있다.

2012년	2012/SN+년/NNB
2월에도	2/SN+월/NNB+에/JKB+도/JX
한국인	한국인/NNG
여행	여행/NNG
가이드와	가이드/NNG+와/JKB
공모한	공모/NNG+하/XSV+ㄴ/ETM
필리핀	필리핀/NNP
경찰관	경찰관/NNG
10명이	10/SN+명/NNB+이/JKS
관광객	관광객/NNG
4명을	4/SN+명/NNB+을/JKO
납치·억류한	납치/NNG+·/SP+억류/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
몸값	몸값/NNG
2400만원을	2400/SN+만/NR+원/NNB+을/JKO
받고	받/VV+고/EC
7시간	7/SN+시간/NNB
만에	만/NNB+에/JKB
풀어준	풀/VV+어/EC+주/VX+ㄴ/ETM
일이	일/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.287.5.3
당시 이들은 "돈을 내지 않으면 마약 소지 혐의를 뒤집어씌우겠다"고 피해자들을 협박했지만, 그 이상 선을 넘지는 않았다.

당시	당시/NNG
이들은	이/NP+들/XSN+은/JX
"돈을	"/SS+돈/NNG+을/JKO
내지	내/VV+지/EC
않으면	않/VX+으면/EC
마약	마약/NNG
소지	소지/NNG
혐의를	혐의/NNG+를/JKO
뒤집어씌우겠다"고	뒤집어씌우/VV+겠/EP+다/EF+"/SS+고/JKQ
피해자들을	피해자/NNG+들/XSN+을/JKO
협박했지만,	협박/NNG+하/XSV+았/EP+지만/EC+,/SP
그	그/MMD
이상	이상/NNG
선을	선/NNG+을/JKO
넘지는	넘/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.287.6.1
두테르테 대통령이 마약 단속 경찰들에게 즉결처분권을 주지 않았다면 지씨가 몸값만 내고 풀려났을까.

두테르테	두테르테/NNP
대통령이	대통령/NNG+이/JKS
마약	마약/NNG
단속	단속/NNG
경찰들에게	경찰/NNG+들/XSN+에게/JKB
즉결처분권을	즉결/NNG+처분/NNG+권/XSN+을/JKO
주지	주/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
지씨가	지/NNP+씨/NNB+가/JKS
몸값만	몸값/NNG+만/JX
내고	내/VV+고/EC
풀려났을까.	풀려나/VV+았/EP+을까/EF+./SF


# id : NWRW1800000054.287.6.2
알 수 없는 일이다.

알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.287.6.3
그러나 한 가지는 분명하다.

그러나	그러나/MAJ
한	한/MMN
가지는	가지/NNB+는/JX
분명하다.	분명/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000054.287.6.4
날것의 감정을 여과 없이 정책에 반영하면 반드시 부작용이 뒤따른다는 사실이다.

날것의	날/XPN+것/NNB+의/JKG
감정을	감정/NNG+을/JKO
여과	여과/NNG
없이	없이/MAG
정책에	정책/NNG+에/JKB
반영하면	반영/NNG+하/XSV+면/EC
반드시	반드시/MAG
부작용이	부작용/NNG+이/JKS
뒤따른다는	뒤따르/VV+ㄴ다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.287.6.5
우리도 대선을 앞두고 감정을 자극하는 정책을 내걸어 박수를 유도하는 정치인은 없는지, 필리핀 사례를 타산지석 삼아 경계해야 한다.

우리도	우리/NP+도/JX
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
감정을	감정/NNG+을/JKO
자극하는	자극/NNG+하/XSV+는/ETM
정책을	정책/NNG+을/JKO
내걸어	내걸/VV+어/EC
박수를	박수/NNG+를/JKO
유도하는	유도/NNG+하/XSV+는/ETM
정치인은	정치인/NNG+은/JX
없는지,	없/VA+는지/EC+,/SP
필리핀	필리핀/NNP
사례를	사례/NNG+를/JKO
타산지석	타산지석/NNG
삼아	삼/VV+아/EC
경계해야	경계/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


