# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.31
metadata : {}


# id : NWRW1800000021.31.1.1
WEST… WASTE?

WEST…	WEST/SL+…/SE
프로그램에	프로그램/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
장모(23·중앙대	장/NNP+모/NP+(/SS+23/SN+·/SP+중앙대/NNP
4년)	4/SN+년/NNB+)/SS
씨는	씨/NNB+는/JX
“신청할	“/SS+신청/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
대한민국을	대한민국/NNP+을/JKO
대표해	대표/NNG+하/XSV+아/EC
나간다는	나가/VV+ㄴ다는/ETM
자부심이	자부심/NNG+이/JKS
있었는데	있/VA+었/EP+는데/EC
진행	진행/NNG
상황을	상황/NNG+을/JKO
보니	보/VV+니/EC
실망이	실망/NNG+이/JKS
크다”면서	크/VA+다/EF+”/SS+면서/EC
“외교통상부에	“/SS+외교/NNG+통상부/NNG+에/JKB
문의해도	문의/NNG+하/XSV+아도/EC
처음이라	처음/NNG+이/VCP+라/EC
시행착오가	시행착오/NNG+가/JKS
많다는	많/VA+다는/ETM
말뿐이고	말/NNG+뿐/JX+이/VCP+고/EC
아직	아직/MAG
오리엔테이션	오리엔테이션/NNG
한	한/MMN
번	번/NNB
열지	열/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
불만을	불만/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.31.8.1
학생들은 어학연수 기간 체류비로 1만2500달러를 먼저 마련해야 하지만 별도의 지원 체계가 마련돼 있지 않다.

학생들은	학생/NNG+들/XSN+은/JX
어학연수	어학연수/NNG
기간	기간/NNG
체류비로	체류비/NNG+로/JKB
1만2500달러를	1/SN+만/NR+2500/SN+달러/NNB+를/JKO
먼저	먼저/MAG
마련해야	마련/NNG+하/XSV+아야/EC
하지만	하/VX+지만/EC
별도의	별도/NNG+의/JKG
지원	지원/NNG
체계가	체계/NNG+가/JKS
마련돼	마련/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.31.8.2
학생들은 “이 비용을 전액 부담하려면 유학원을 이용해 어학연수를 다녀오는 것과 큰 차이가 없다”고 입을 모은다.

학생들은	학생/NNG+들/XSN+은/JX
“이	“/SS+이/MMD
비용을	비용/NNG+을/JKO
전액	전액/NNG
부담하려면	부담/NNG+하/XSV+려면/EC
유학원을	유학원/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
어학연수를	어학연수/NNG+를/JKO
다녀오는	다녀오/VV+는/ETM
것과	것/NNB+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
입을	입/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.31.9.1
유모(24·여·서울대 4학년) 씨는 “다른 어학연수 프로그램에 비해 인턴을 병행할 수 있다는 게 장점인데 인턴 취업에 대한 확신이 없어 불안하다”면서 “정부에서는 인턴 임금으로 체류비를 충당할 수 있을 것이란 말만 되풀이하고 있는데 취업이 안 되면 결국 시간낭비만 하는 것 아니냐”고 지적했다.

유모(24·여·서울대	유/NNP+모/NP+(/SS+24/SN+·/SP+여/NNG+·/SP+서울대/NNP
4학년)	4/SN+학년/NNG+)/SS
씨는	씨/NNB+는/JX
“다른	“/SS+다른/MMD
어학연수	어학연수/NNG
프로그램에	프로그램/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
인턴을	인턴/NNG+을/JKO
병행할	병행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
장점인데	장점/NNG+이/VCP+ㄴ데/EC
인턴	인턴/NNG
취업에	취업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확신이	확신/NNG+이/JKS
없어	없/VA+어/EC
불안하다”면서	불안/NNG+하/XSA+다/EF+”/SS+면서/EC
“정부에서는	“/SS+정부/NNG+에서/JKB+는/JX
임금으로	임금/NNG+으로/JKB
체류비를	체류비/NNG+를/JKO
충당할	충당/NNG+하/XSV+ㄹ/ETM
있을	있/VA+을/ETM
것이란	것/NNB+이/VCP+란/ETM
말만	말/NNG+만/JX
되풀이하고	되풀이/NNG+하/XSV+고/EC
있는데	있/VX+는데/EC
취업이	취업/NNG+이/JKS
안	안/MAG
되면	되/VV+면/EC
결국	결국/NNG
시간낭비만	시간/NNG+낭비/NNG+만/JX
하는	하/VV+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.31.9.2
이에 대해 외교부 관계자는 “인턴 배정 가능 인원을 생각해 325명을 선발한 것”이라며 “어학연수 5개월 중 취업박람회 등을 통해 일자리를 확정할 예정”이라고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
외교부	외교부/NNG
관계자는	관계자/NNG+는/JX
“인턴	“/SS+인턴/NNG
배정	배정/NNG
가능	가능/NNG
인원을	인원/NNG+을/JKO
생각해	생각/NNG+하/XSV+아/EC
325명을	325/SN+명/NNB+을/JKO
선발한	선발/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“어학연수	“/SS+어학연수/NNG
5개월	5/SN+개월/NNB
중	중/NNB
취업박람회	취업/NNG+박람회/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
일자리를	일자리/NNG+를/JKO
확정할	확정/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.31.10.1
이 기사의 취재에는 본보 대학생 인턴기자 김정(26·서강대 중국문화과 4학년), 송충만(24·서울시립대 도시행정학과 3학년) 씨가 참여했습니다.

이	이/MMD
기사의	기사/NNG+의/JKG
취재에는	취재/NNG+에/JKB+는/JX
본보	본보/NNG
대학생	대학/NNG+생/XSN
인턴기자	인턴/NNG+기자/NNG
김정(26·서강대	김정/NNP+(/SS+26/SN+·/SP+서강대/NNP
중국문화과	중국/NNP+문화과/NNG
4학년),	4/SN+학년/NNG+)/SS+,/SP
송충만(24·서울시립대	송충만/NNP+(/SS+24/SN+·/SP+서울시립대/NNP
도시행정학과	도시/NNG+행정학과/NNG
3학년)	3/SN+학년/NNG+)/SS
씨가	씨/NNB+가/JKS
참여했습니다.	참여/NNG+하/XSV+았/EP+습니다/EF+./SF


