# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.354
metadata : {}


# id : NWRW1800000044.354.1.1
정몽준, 막내아들 이어 부인까지 구설수

정몽준,	정몽준/NNP+,/SP
정 의원은 또 “아내의 발언에 오해가 있는 것 같다”며 “제 아내는 앞에서 사과하고 뒤에서 딴말을 하는 이중 얼굴을 할 수 있는 그런 사람이 아니다”라고 해명했다.

정	정/NNP
의원은	의원/NNG+은/JX
또	또/MAG
“아내의	“/SS+아내/NNG+의/JKG
발언에	발언/NNG+에/JKB
오해가	오해/NNG+가/JKS
있는	있/VA+는/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“제	“/SS+저/NP+의/JKG
아내는	아내/NNG+는/JX
앞에서	앞/NNG+에서/JKB
사과하고	사과/NNG+하/XSV+고/EC
뒤에서	뒤/NNG+에서/JKB
딴말을	딴/MMD+말/NNG+을/JKO
하는	하/VV+는/ETM
이중	이중/NNG
얼굴을	얼굴/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
그런	그런/MMD
사람이	사람/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.354.8.1
앞서 정 의원의 막내아들(19)은 지난달 18일 자신의 페이스북에 세월호 침몰 사고 이후 벌어진 실종자 가족들의 반응에 대해 “대통령에게 소리 지르고, 총리에게 물세례하고 … 국민이 미개하니까 국가도 미개한 것 아니겠냐”는 글을 올려 논란이 일었고, 정 의원이 공식 사과한 바 있다.

앞서	앞서/MAG
정	정/NNP
의원의	의원/NNG+의/JKG
막내아들(19)은	막내아들/NNG+(/SS+19/SN+)/SS+은/JX
지난달	지난달/NNG
18일	18/SN+일/NNB
자신의	자신/NNG+의/JKG
페이스북에	페이스북/NNP+에/JKB
세월호	세월호/NNP
침몰	침몰/NNG
사고	사고/NNG
이후	이후/NNG
벌어진	벌어지/VV+ㄴ/ETM
실종자	실종자/NNG
가족들의	가족/NNG+들/XSN+의/JKG
반응에	반응/NNG+에/JKB
대해	대하/VV+아/EC
“대통령에게	“/SS+대통령/NNG+에게/JKB
소리	소리/NNG
지르고,	지르/VV+고/EC+,/SP
총리에게	총리/NNG+에게/JKB
물세례하고	물세례/NNG+하/XSV+고/EC
…	…/SE
국민이	국민/NNG+이/JKS
미개하니까	미개/NNG+하/XSA+니까/EC
국가도	국가/NNG+도/JX
미개한	미개/NNG+하/XSA+ㄴ/ETM
것	것/NNB
아니겠냐”는	아니/VCN+겠/EP+냐/EF+”/SS+는/ETM
글을	글/NNG+을/JKO
올려	올리/VV+어/EC
논란이	논란/NNG+이/JKS
일었고,	일/VV+었/EP+고/EC+,/SP
의원이	의원/NNG+이/JKS
공식	공식/NNG
사과한	사과/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.354.9.1
설상가상으로 정 의원의 부인 김씨는 공직선거법 위반 혐의로 지난 9일 경찰에 고발당했다.

설상가상으로	설상가상/NNG+으로/JKB
정	정/NNP
의원의	의원/NNG+의/JKG
부인	부인/NNG
김씨는	김/NNP+씨/NNB+는/JX
공직선거법	공직/NNG+선거법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
경찰에	경찰/NNG+에/JKB
고발당했다.	고발/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.354.9.2
김씨는 새누리당 영등포 당협 사무실에서 대의원들에게 정 의원에 대한 지지를 호소하는 발언을 한 혐의를 사고 있다.

김씨는	김/NNP+씨/NNB+는/JX
새누리당	새누리당/NNP
영등포	영등포/NNP
당협	당협/NNG
사무실에서	사무실/NNG+에서/JKB
대의원들에게	대의원/NNG+들/XSN+에게/JKB
정	정/NNP
의원에	의원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지지를	지지/NNG+를/JKO
호소하는	호소/NNG+하/XSV+는/ETM
발언을	발언/NNG+을/JKO
한	하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.354.9.3
현행 공직선거법은 예비후보로 등록하지 않은 경선후보 배우자의 선거운동을 금지하고 있다.

현행	현행/NNG
공직선거법은	공직/NNG+선거법/NNG+은/JX
예비후보로	예비/NNG+후보/NNG+로/JKB
등록하지	등록/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
경선후보	경선/NNG+후보/NNG
배우자의	배우자/NNG+의/JKG
선거운동을	선거/NNG+운동/NNG+을/JKO
금지하고	금지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.354.9.4
정 의원은 아직 예비후보로 등록하지 않았다.

정	정/NNP
의원은	의원/NNG+은/JX
아직	아직/MAG
예비후보로	예비/NNG+후보/NNG+로/JKB
등록하지	등록/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


