# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.177
metadata : {}


# id : NWRW1800000038.177.1.1
'性접대' 윤중천씨에 로비 받은 혐의… 대우건설 압수수색

'性접대'	'/SS+性/SH+접대/NNG+'/SS
공사	공사/NNG
중	중/NNB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
규모였다.	규모/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.177.4.3
대우건설 측은 "당시 5개사 경쟁 입찰에서 최저가 낙찰된 것이고, 동인건설이 지역 협력 업체여서 문제가 없는 것으로 알고 있다"고 말했다.

대우건설	대우건설/NNP
측은	측/NNB+은/JX
"당시	"/SS+당시/NNG
5개사	5/SN+개사/NNB
경쟁	경쟁/NNG
입찰에서	입찰/NNG+에서/JKB
최저가	최저/NNG+가/XSN
낙찰된	낙찰/NNG+되/XSV+ㄴ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
동인건설이	동인건설/NNP+이/JKS
지역	지역/NNG
협력	협력/NNG
업체여서	업체/NNG+이/VCP+어서/EC
문제가	문제/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.177.4.4
그러나 대우건설 측은 당시 회사 고위 관계자가 윤씨가 수주하는 데 도움을 줬다는 첩보를 입수, 자체 감사를 벌이고 감사 결과를 사장에게 직접 보고한 것으로 알려져 있다.

그러나	그러나/MAJ
대우건설	대우건설/NNP
측은	측/NNB+은/JX
당시	당시/NNG
회사	회사/NNG
고위	고위/NNG
관계자가	관계자/NNG+가/JKS
윤씨가	윤/NNP+씨/NNB+가/JKS
수주하는	수주/NNG+하/XSV+는/ETM
데	데/NNB
도움을	도움/NNG+을/JKO
줬다는	주/VV+었/EP+다는/ETM
첩보를	첩보/NNG+를/JKO
입수,	입수/NNG+,/SP
자체	자체/NNG
감사를	감사/NNG+를/JKO
벌이고	벌이/VV+고/EC
감사	감사/NNG
결과를	결과/NNG+를/JKO
사장에게	사장/NNG+에게/JKB
직접	직접/MAG
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.177.5.1
한편 경찰은 윤씨로부터 성 접대를 받았다는 의혹을 받고 있는 김학의 전 법무 차관을 곧 소환하기로 하고 소환 일정을 조율하고 있다.

한편	한편/MAG
경찰은	경찰/NNG+은/JX
윤씨로부터	윤/NNP+씨/NNB+로부터/JKB
성	성/NNG
접대를	접대/NNG+를/JKO
받았다는	받/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
김학의	김학의/NNP
전	전/MMD
법무	법무/NNG
차관을	차관/NNG+을/JKO
곧	곧/MAG
소환하기로	소환/NNG+하/XSV+기/ETN+로/JKB
하고	하/VV+고/EC
소환	소환/NNG
일정을	일정/NNG+을/JKO
조율하고	조율/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.177.5.2
경찰은 김 전 차관이 윤씨의 강원도 원주 별장에서 다수의 여성으로부터 성 접대를 받고 윤씨가 고소된 사건을 무마해줬다는 혐의(알선수뢰)에 대해 조사할 방침이다.

경찰은	경찰/NNG+은/JX
김	김/NNP
전	전/MMD
차관이	차관/NNG+이/JKS
윤씨의	윤/NNP+씨/NNB+의/JKG
강원도	강원도/NNP
원주	원주/NNP
별장에서	별장/NNG+에서/JKB
다수의	다수/NNG+의/JKG
여성으로부터	여성/NNG+으로부터/JKB
성	성/NNG
접대를	접대/NNG+를/JKO
받고	받/VV+고/EC
윤씨가	윤/NNP+씨/NNB+가/JKS
고소된	고소/NNG+되/XSV+ㄴ/ETM
사건을	사건/NNG+을/JKO
무마해줬다는	무마/NNG+하/XSV+아/EC+주/VX+었/EP+다는/ETM
혐의(알선수뢰)에	혐의/NNG+(/SS+알선/NNG+수뢰/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.177.5.3
경찰은 성 접대에 동원됐다고 주장하는 다수의 여성으로부터 '강원도 별장뿐만 아니라 서울 역삼동의 술집과 오피스텔에서 윤씨의 강요에 의해 김 전 차관을 성 접대했다', '윤씨가 사업과 사건 관련 내용을 김 전 차관과 많이 상의했고 실제로 김 전 차관이 힘을 써줬다'는 등의 진술을 확보한 것으로 알려졌다.

경찰은	경찰/NNG+은/JX
성	성/NNG
접대에	접대/NNG+에/JKB
동원됐다고	동원/NNG+되/XSV+었/EP+다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
다수의	다수/NNG+의/JKG
여성으로부터	여성/NNG+으로부터/JKB
'강원도	'/SS+강원도/NNP
별장뿐만	별장/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
서울	서울/NNP
역삼동의	역삼동/NNP+의/JKG
술집과	술집/NNG+과/JC
오피스텔에서	오피스텔/NNG+에서/JKB
윤씨의	윤/NNP+씨/NNB+의/JKG
강요에	강요/NNG+에/JKB
의해	의하/VV+아/EC
김	김/NNP
전	전/MMD
차관을	차관/NNG+을/JKO
접대했다',	접대/NNG+하/XSV+았/EP+다/EF+'/SS+,/SP
'윤씨가	'/SS+윤/NNP+씨/NNB+가/JKS
사업과	사업/NNG+과/JC
사건	사건/NNG
관련	관련/NNG
내용을	내용/NNG+을/JKO
차관과	차관/NNG+과/JKB
많이	많이/MAG
상의했고	상의/NNG+하/XSV+았/EP+고/EC
실제로	실제로/MAG
차관이	차관/NNG+이/JKS
힘을	힘/NNG+을/JKO
써줬다'는	쓰/VV+어/EC+주/VX+었/EP+다/EF+'/SS+는/ETM
등의	등/NNB+의/JKG
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.177.5.4
윤씨는 2003년 분양한 서울 동대문구 용두동 한방천하 상가 개발비 70여억원을 횡령한 혐의로 세 차례 검찰 조사를 받았으나 모두 무혐의 처분되기도 했다.

윤씨는	윤/NNP+씨/NNB+는/JX
2003년	2003/SN+년/NNB
분양한	분양/NNG+하/XSV+ㄴ/ETM
서울	서울/NNP
동대문구	동대문구/NNP
용두동	용두동/NNP
한방천하	한방천하/NNP
상가	상가/NNG
개발비	개발비/NNG
70여억원을	70/SN+여/XSN+억/NR+원/NNB+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
세	세/MMN
차례	차례/NNG
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받았으나	받/VV+았/EP+으나/EC
모두	모두/MAG
무혐의	무/XPN+혐의/NNG
처분되기도	처분/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.177.6.1
경찰은 윤씨에 대한 조사는 마무리돼 윤씨를 추가로 소환할 계획은 없다고 밝혔다.

경찰은	경찰/NNG+은/JX
윤씨에	윤/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
조사는	조사/NNG+는/JX
마무리돼	마무리/NNG+되/XSV+어/EC
윤씨를	윤/NNP+씨/NNB+를/JKO
추가로	추가/NNG+로/JKB
소환할	소환/NNG+하/XSV+ㄹ/ETM
계획은	계획/NNG+은/JX
없다고	없/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.177.6.2
경찰 관계자는 "아직 윤씨 혐의에 대해 몇 가지 더 확인할 것들이 남아 바로 신병 처리는 하지 않았다"고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"아직	"/SS+아직/MAG
윤씨	윤/NNP+씨/NNB
혐의에	혐의/NNG+에/JKB
대해	대하/VV+아/EC
몇	몇/NR
가지	가지/NNB
더	더/MAG
확인할	확인/NNG+하/XSV+ㄹ/ETM
것들이	것/NNB+들/XSN+이/JKS
남아	남/VV+아/EC
바로	바로/MAG
신병	신병/NNG
처리는	처리/NNG+는/JX
하지	하/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


