# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.35
metadata : {}


# id : NWRW1800000024.35.1.1
벼랑끝 C&그룹

벼랑끝	벼랑/NNG+끝/NNG
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
그룹	그룹/NNG
차원에서도	차원/NNG+에서/JKB+도/JX
금융권	금융/NNG+권/XSN
자금	자금/NNG
조달은	조달/NNG+은/JX
쉽지	쉽/VA+지/EC
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.35.5.1
시앤그룹은 “해운업에만 매진하겠다”며 모기업 격인 시앤해운과 시앤상선 등 몇 개 기업을 제외한 모든 계열사를 시장에 내놓는 등 자구 노력을 하고 있다.

시앤그룹은	시앤그룹/NNP+은/JX
“해운업에만	“/SS+해운업/NNG+에/JKB+만/JX
매진하겠다”며	매진/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
모기업	모기업/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
시앤해운과	시앤해운/NNP+과/JC
시앤상선	시앤상선/NNP
등	등/NNB
몇	몇/NR
개	개/NNB
기업을	기업/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
계열사를	계열사/NNG+를/JKO
시장에	시장/NNG+에/JKB
내놓는	내놓/VV+는/ETM
자구	자구/NNG
노력을	노력/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.35.5.2
그러나 임갑표 그룹 수석부회장은 “금융위기 이전 가격의 10분의 1로 내놓았지만 사겠다는 사람이 없다”고 말했다.

그러나	그러나/MAJ
임갑표	임갑표/NNP
그룹	그룹/NNG
수석부회장은	수석/NNG+부회장/NNG+은/JX
“금융위기	“/SS+금융/NNG+위기/NNG
이전	이전/NNG
가격의	가격/NNG+의/JKG
10분의	10/SN+분/XSN+의/JKG
1로	1/SN+로/JKB
내놓았지만	내놓/VV+았/EP+지만/EC
사겠다는	사/VV+겠/EP+다는/ETM
사람이	사람/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.35.6.1
시앤중공업 채권단은 워크아웃 중단 결의를 애초 21일에서 30일로 미뤄놓은 상태다.

시앤중공업	시앤중공업/NNP
채권단은	채권단/NNG+은/JX
워크아웃	워크아웃/NNG
중단	중단/NNG
결의를	결의/NNG+를/JKO
애초	애초/NNG
21일에서	21/SN+일/NNB+에서/JKB
30일로	30/SN+일/NNB+로/JKB
미뤄놓은	미루/VV+어/EC+놓/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.35.6.2
최대 채권자인 메리츠화재가 시앤그룹의 자산 매각 방안이나 시앤중공업 인수자를 접촉하면서 연기를 요청한 것으로 알려졌다.

최대	최대/NNG
채권자인	채권자/NNG+이/VCP+ㄴ/ETM
메리츠화재가	메리츠화재/NNP+가/JKS
시앤그룹의	시앤그룹/NNP+의/JKG
자산	자산/NNG
매각	매각/NNG
방안이나	방안/NNG+이나/JC
시앤중공업	시앤중공업/NNP
인수자를	인수자/NNG+를/JKO
접촉하면서	접촉/NNG+하/XSV+면서/EC
연기를	연기/NNG+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.35.6.3
그러나 이런 방안이 여의치 않게 되면, 시앤중공업은 기업회생절차 개시 신청을 하는 수밖에 없을 것으로 보인다.

그러나	그러나/MAJ
이런	이런/MMD
방안이	방안/NNG+이/JKS
여의치	여의하/VA+지/EC
않게	않/VX+게/EC
되면,	되/VV+면/EC+,/SP
시앤중공업은	시앤중공업/NNP+은/JX
기업회생절차	기업/NNG+회생/NNG+절차/NNG
개시	개시/NNG
신청을	신청/NNG+을/JKO
하는	하/VV+는/ETM
수밖에	수/NNB+밖에/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


