# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.398
metadata : {}


# id : NWRW1800000049.398.1.1
야광조끼로 심야작업 어르신 지킨다

야광조끼로	야광/NNG+조끼/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
두	두/MMN
사람	사람/NNG
모두	모두/MAG
어두운	어둡/VA+ㄴ/ETM
색의	색/NNG+의/JKG
옷을	옷/NNG+을/JKO
입고	입/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.398.3.6
또 새벽이나 늦은 오후에 운전자가 피해자를 미처 보지 못해 일어난 사고였다.

또	또/MAG
새벽이나	새벽/NNG+이나/JC
늦은	늦/VA+은/ETM
오후에	오후/NNG+에/JKB
운전자가	운전자/NNG+가/JKS
피해자를	피해자/NNG+를/JKO
미처	미처/MAG
보지	보/VV+지/EC
못해	못하/VX+아/EC
일어난	일어나/VV+ㄴ/ETM
사고였다.	사고/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.398.4.1
동대문구에는 경동시장과 약령시장 등 전통시장 다섯 곳이 밀집해 있다.

동대문구에는	동대문구/NNP+에/JKB+는/JX
경동시장과	경동시장/NNP+과/JC
약령시장	약령시장/NNP
등	등/NNB
전통시장	전통/NNG+시장/NNG
다섯	다섯/NR
곳이	곳/NNG+이/JKS
밀집해	밀집/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.398.4.2
유동인구 중 노인층이 많다 보니 비슷한 사고가 끊이지 않는다.

유동인구	유동/NNG+인구/NNG
중	중/NNB
노인층이	노인/NNG+층/XSN+이/JKS
많다	많/VA+다/EF
보니	보/VX+니/EC
비슷한	비슷하/VA+ㄴ/ETM
사고가	사고/NNG+가/JKS
끊이지	끊이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.398.4.3
2012년부터 3년 동안 동대문구에서 노인 19명이 보행 도중 숨졌다.

2012년부터	2012/SN+년/NNB+부터/JX
3년	3/SN+년/NNB
동안	동안/NNG
동대문구에서	동대문구/NNP+에서/JKB
노인	노인/NNG
19명이	19/SN+명/NNB+이/JKS
보행	보행/NNG
도중	도중/NNG
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.398.4.4
서울에서 세 번째로 많은 수다.

서울에서	서울/NNP+에서/JKB
세	세/MMN
번째로	번/NNB+째/XSN+로/JKB
많은	많/VA+은/ETM
수다.	수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.398.4.5
또 올해 동대문구에서 발생한 교통사고 사망자 7명 중 3명이 노인 보행자다.

또	또/MAG
올해	올해/NNG
동대문구에서	동대문구/NNP+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
교통사고	교통사고/NNG
사망자	사망자/NNG
7명	7/SN+명/NNB
중	중/NNB
3명이	3/SN+명/NNB+이/JKS
노인	노인/NNG
보행자다.	보행자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.398.4.6
교통안전공단이 발표한 2015 교통문화지수에서 동대문구는 서울 25개 자치구 가운데 24위에 그쳤다.

교통안전공단이	교통안전공단/NNP+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
2015	2015/SN
교통문화지수에서	교통/NNG+문화/NNG+지수/NNG+에서/JKB
동대문구는	동대문구/NNP+는/JX
서울	서울/NNP
25개	25/SN+개/NNB
자치구	자치구/NNG
가운데	가운데/NNG
24위에	24/SN+위/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.398.4.7
전국 69개 자치구 중 64위로 교통사고 위험이 가장 높은 지역 중 하나다.

전국	전국/NNG
69개	69/SN+개/NNB
자치구	자치구/NNG
중	중/NNB
64위로	64/SN+위/NNB+로/JKB
교통사고	교통사고/NNG
위험이	위험/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
지역	지역/NNG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000049.398.4.8
특히 보행자 안전도와 직결되는 횡단보도 신호 준수 비율도 76.2%로 서울에서 꼴찌였다.

특히	특히/MAG
보행자	보행자/NNG
안전도와	안전도/NNG+와/JKB
직결되는	직결/NNG+되/XSV+는/ETM
횡단보도	횡단보도/NNG
신호	신호/NNG
준수	준수/NNG
비율도	비율/NNG+도/JX
76.2%로	76/SN+./SP+2/SN+%/SW+로/JKB
서울에서	서울/NNP+에서/JKB
꼴찌였다.	꼴찌/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.398.5.1
교통사고 사망자가 좀처럼 줄지 않자 경찰이 고심 끝에 떠올린 것은 바로 ‘반딧불이’.

교통사고	교통사고/NNG
사망자가	사망자/NNG+가/JKS
좀처럼	좀처럼/MAG
줄지	줄/VV+지/EC
않자	않/VX+자/EC
경찰이	경찰/NNG+이/JKS
고심	고심/NNG
끝에	끝/NNG+에/JKB
떠올린	떠올리/VV+ㄴ/ETM
것은	것/NNB+은/JX
바로	바로/MAG
‘반딧불이’.	‘/SS+반딧불이/NNG+’/SS+./SF


# id : NWRW1800000049.398.5.2
밤하늘에서 빛나는 반딧불이처럼 짙은 옷차림이나 어두운 밤에도 운전자가 보행자를 쉽게 볼 수 있게 하는 것이다.

밤하늘에서	밤하늘/NNG+에서/JKB
빛나는	빛나/VV+는/ETM
반딧불이처럼	반딧불이/NNG+처럼/JKB
짙은	짙/VA+은/ETM
옷차림이나	옷차림/NNG+이나/JC
어두운	어둡/VA+ㄴ/ETM
밤에도	밤/NNG+에/JKB+도/JX
운전자가	운전자/NNG+가/JKS
보행자를	보행자/NNG+를/JKO
쉽게	쉽/VA+게/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.398.5.3
이에 따라 동대문경찰서는 경동시장 상인회와 함께 야광조끼 300벌을 제작했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
동대문경찰서는	동대문경찰서/NNP+는/JX
경동시장	경동시장/NNP
상인회와	상인회/NNG+와/JKB
함께	함께/MAG
야광조끼	야광/NNG+조끼/NNG
300벌을	300/SN+벌/NNB+을/JKO
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.398.5.4
또 폐지 수집이나 배달에 쓰이는 리어카와 자전거에는 야광 스프레이를 뿌리고 반사 스티커도 부착했다.

또	또/MAG
폐지	폐지/NNG
수집이나	수집/NNG+이나/JC
배달에	배달/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
리어카와	리어카/NNG+와/JC
자전거에는	자전거/NNG+에/JKB+는/JX
야광	야광/NNG
스프레이를	스프레이/NNG+를/JKO
뿌리고	뿌리/VV+고/EC
반사	반사/NNG
스티커도	스티커/NNG+도/JX
부착했다.	부착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.398.6.1
야광조끼는 24일 심야에 도로 위에서 하역 작업을 하는 고령의 상인과 점포 직원들에게 전달됐다.

야광조끼는	야광/NNG+조끼/NNG+는/JX
24일	24/SN+일/NNB
심야에	심야/NNG+에/JKB
도로	도로/NNG
위에서	위/NNG+에서/JKB
하역	하역/NNG
작업을	작업/NNG+을/JKO
하는	하/VV+는/ETM
고령의	고령/NNG+의/JKG
상인과	상인/NNG+과/JC
점포	점포/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
전달됐다.	전달/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.398.6.2
항상 사고 위험에 가슴을 졸이던 상인들은 크게 반겼다.

항상	항상/MAG
사고	사고/NNG
위험에	위험/NNG+에/JKB
가슴을	가슴/NNG+을/JKO
졸이던	졸이/VV+던/ETM
상인들은	상인/NNG+들/XSN+은/JX
크게	크/VA+게/EC
반겼다.	반기/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.398.6.3
20년째 경동시장에서 건어물 가게를 운영하는 장점동 씨(65)는 “보통 오전 3∼4시에 하역 작업이 가장 많은데 과속 차량이 많아 늘 불안했다”며 “이제 안심하고 작업할 수 있게 돼 다행이다”고 말했다.

20년째	20/SN+년/NNB+째/XSN
경동시장에서	경동시장/NNP+에서/JKB
건어물	건어물/NNG
가게를	가게/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
장점동	장점동/NNP
씨(65)는	씨/NNB+(/SS+65/SN+)/SS+는/JX
“보통	“/SS+보통/MAG
오전	오전/NNG
3∼4시에	3/SN+∼/SO+4/SN+시/NNB+에/JKB
하역	하역/NNG
작업이	작업/NNG+이/JKS
가장	가장/MAG
많은데	많/VA+은데/EC
과속	과속/NNG
차량이	차량/NNG+이/JKS
많아	많/VA+아/EC
늘	늘/MAG
불안했다”며	불안/NNG+하/XSA+았/EP+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
안심하고	안심/NNG+하/XSV+고/EC
작업할	작업/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
다행이다”고	다행/NNG+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.398.6.4
김진홍 동대문서장은 “전통시장 상인과 손님의 90% 이상이 고령자라서 지역 특성에 맞는 보행자 대책이 필요했다”며 “향후 경동시장 주변 상가로도 확대할 계획”이라고 말했다.

김진홍	김진홍/NNP
동대문서장은	동대문/NNP+서장/NNG+은/JX
“전통시장	“/SS+전통/NNG+시장/NNG
상인과	상인/NNG+과/JC
손님의	손/NNG+님/XSN+의/JKG
90%	90/SN+%/SW
이상이	이상/NNG+이/JKS
고령자라서	고령자/NNG+이/VCP+라서/EC
지역	지역/NNG
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
보행자	보행자/NNG
대책이	대책/NNG+이/JKS
필요했다”며	필요/NNG+하/XSA+았/EP+다/EF+”/SS+며/EC
“향후	“/SS+향후/NNG
경동시장	경동시장/NNP
주변	주변/NNG
상가로도	상가/NNG+로/JKB+도/JX
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.398.7.1
전문가들은 도심에서 노인 교통사고를 줄이려면 전통시장 주변의 위험 요소를 철저히 관리해야 한다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
도심에서	도심/NNG+에서/JKB
노인	노인/NNG
교통사고를	교통사고/NNG+를/JKO
줄이려면	줄이/VV+려면/EC
전통시장	전통/NNG+시장/NNG
주변의	주변/NNG+의/JKG
위험	위험/NNG
요소를	요소/NNG+를/JKO
철저히	철저히/MAG
관리해야	관리/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.398.7.2
삼성교통안전문화연구소 장택영 수석연구원은 “전통시장 주변은 불법 주정차 차량 때문에 사고 위험이 높다”며 “각 자치단체가 주차 공간 확보와 단속에 좀 더 적극적으로 나서야 한다”고 강조했다.

삼성교통안전문화연구소	삼성교통안전문화연구소/NNP
장택영	장택영/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
“전통시장	“/SS+전통/NNG+시장/NNG
주변은	주변/NNG+은/JX
불법	불법/NNG
주정차	주정차/NNG
차량	차량/NNG
때문에	때문/NNB+에/JKB
사고	사고/NNG
위험이	위험/NNG+이/JKS
높다”며	높/VA+다/EF+”/SS+며/EC
“각	“/SS+각/MMD
자치단체가	자치/NNG+단체/NNG+가/JKS
주차	주차/NNG
공간	공간/NNG
확보와	확보/NNG+와/JC
단속에	단속/NNG+에/JKB
좀	좀/MAG
더	더/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
나서야	나서/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


