# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.241
metadata : {}


# id : NWRW1800000044.241.1.1
“의료민영화로 해석하는건 괴담” 복지장관, 부대사업 확대 옹호

“의료민영화로	“/SS+의료/NNG+민영/NNG+화/XSN+로/JKB
확대보다는	확대/NNG+보다/JKB+는/JX
의료산업	의료/NNG+산업/NNG
육성을	육성/NNG+을/JKO
지나치게	지나치/VA+게/EC
강조하는	강조/NNG+하/XSV+는/ETM
복지부를	복지부/NNG+를/JKO
빗대	빗대/VV+어/EC
‘보건의료산업부’라는	‘/SS+보건/NNG+의료/NNG+산업부/NNG+’/SS+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
나온다는	나오/VV+ㄴ다는/ETM
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
“의료법인	“/SS+의료/NNG+법인/NNG
부대사업	부대사업/NNG
규제를	규제/NNG+를/JKO
풀게	풀/VV+게/EC
되면	되/VV+면/EC
(의료서비스)	(/SS+의료/NNG+서비스/NNG+)/SS
공급자	공급자/NNG
입장을	입장/NNG+을/JKO
상당히	상당히/MAG
대변하는	대변/NNG+하/XSV+는/ETM
측면이	측면/NNG+이/JKS
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
부정하지는	부정/NNG+하/XSV+지/EC+는/JX
않겠다.	않/VX+겠/EP+다/EF+./SF


# id : NWRW1800000044.241.3.3
다만 의료산업 발전을 통해 의료서비스의 질이 높아지면 우리 국민이 1차적 혜택을 입는다는 점에서 의료산업 육성이 의료공공성을 훼손하는 건 아니라고 생각한다”고 말했다.

다만	다만/MAG
의료산업	의료/NNG+산업/NNG
발전을	발전/NNG+을/JKO
통해	통하/VV+아/EC
의료서비스의	의료/NNG+서비스/NNG+의/JKG
질이	질/NNG+이/JKS
높아지면	높아지/VV+면/EC
우리	우리/NP
국민이	국민/NNG+이/JKS
1차적	1/SN+차/NNB+적/XSN
혜택을	혜택/NNG+을/JKO
입는다는	입/VV+는다는/ETM
점에서	점/NNG+에서/JKB
육성이	육성/NNG+이/JKS
의료공공성을	의료/NNG+공공/NNG+성/XSN+을/JKO
훼손하는	훼손/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
아니라고	아니/VCN+라고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.241.4.1
유지현 보건의료노동조합 위원장은 문 장관 발언에 대해 “의료법인 부대사업 범위 확대가 결국 의료비 상승을 가져올 것이라는 많은 국민의 ‘의료 영리화 및 민영화’ 우려를 ‘괴담’으로 일축하는 담당 부처 책임자의 현실 인식은 유감”이라며 “제대로 된 복지부라면 의료기관이 국민의 건강과 목숨을 담보로 돈벌이에 나서도록 부추길 게 아니라, 서민을 위해 가뜩이나 높은 병원의 문턱을 좀더 낮춰주는 노력을 해야 한다”고 지적했다.

유지현	유지현/NNP
보건의료노동조합	보건/NNG+의료/NNG+노동조합/NNG
위원장은	위원장/NNG+은/JX
문	문/NNP
장관	장관/NNG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“의료법인	“/SS+의료/NNG+법인/NNG
부대사업	부대사업/NNG
범위	범위/NNG
확대가	확대/NNG+가/JKS
결국	결국/MAG
의료비	의료비/NNG
상승을	상승/NNG+을/JKO
가져올	가져오/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
많은	많/VA+은/ETM
국민의	국민/NNG+의/JKG
‘의료	‘/SS+의료/NNG
영리화	영리/NNG+화/XSN
및	및/MAG
민영화’	민영/NNG+화/XSN+’/SS
우려를	우려/NNG+를/JKO
‘괴담’으로	‘/SS+괴담/NNG+’/SS+으로/JKB
일축하는	일축/NNG+하/XSV+는/ETM
담당	담당/NNG
부처	부처/NNG
책임자의	책임자/NNG+의/JKG
현실	현실/NNG
인식은	인식/NNG+은/JX
유감”이라며	유감/NNG+”/SS+이/VCP+라며/EC
“제대로	“/SS+제대로/MAG
된	되/VV+ㄴ/ETM
복지부라면	복지부/NNG+이/VCP+라면/EC
의료기관이	의료/NNG+기관/NNG+이/JKS
건강과	건강/NNG+과/JC
목숨을	목숨/NNG+을/JKO
담보로	담보/NNG+로/JKB
돈벌이에	돈벌이/NNG+에/JKB
나서도록	나서/VV+도록/EC
부추길	부추기/VV+ㄹ/ETM
게	거/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
서민을	서민/NNG+을/JKO
위해	위하/VV+아/EC
가뜩이나	가뜩이나/MAG
높은	높/VA+은/ETM
병원의	병원/NNG+의/JKG
문턱을	문턱/NNG+을/JKO
좀더	좀/MAG+더/MAG
낮춰주는	낮추/VV+어/EC+주/VX+는/ETM
노력을	노력/NNG+을/JKO
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


