# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.229
metadata : {}


# id : NWRW1800000032.229.1.1
대법 “전교조 교사 명단 공개는 위법”

대법	대법/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.229.5.2
조 의원은 지난해 4월, 교육과학기술부로부터 전교조 교사 명단을 제출받은 뒤 법원의 공개금지 결정을 무시한 채 인터넷과 언론을 통해 공개하고, 법원의 공개금지 결정에 항고·재항고를 거듭하며 정당성을 주장해왔다.

조	조/NNP
의원은	의원/NNG+은/JX
지난해	지난해/NNG
4월,	4/SN+월/NNB+,/SP
교육과학기술부로부터	교육/NNG+과학/NNG+기술부/NNG+로부터/JKB
전교조	전교조/NNP
교사	교사/NNG
명단을	명단/NNG+을/JKO
제출받은	제출/NNG+받/XSV+은/ETM
뒤	뒤/NNG
법원의	법원/NNG+의/JKG
공개금지	공개/NNG+금지/NNG
결정을	결정/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
채	채/NNB
인터넷과	인터넷/NNG+과/JC
언론을	언론/NNG+을/JKO
통해	통하/VV+아/EC
공개하고,	공개/NNG+하/XSV+고/EC+,/SP
결정에	결정/NNG+에/JKB
항고·재항고를	항고/NNG+·/SP+재/XPN+항고/NNG+를/JKO
거듭하며	거듭/MAG+하/XSV+며/EC
정당성을	정당성/NNG+을/JKO
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.229.6.1
그러나 재판부는 결정문에서 “전교조에 가입한 교원들의 명단을 일반인에게 폭넓게 공개하는 것이, 그로 인해 발생하는 개인의 정보결정권과 단결권에 대한 침해를 정당화할 정도로 학생·학부모의 선택권, 알 권리를 위해 반드시 필요하거나 허용돼야 하는 행위라고 단정하기는 부족하다”고 밝혔다.

그러나	그러나/MAJ
재판부는	재판부/NNG+는/JX
결정문에서	결정문/NNG+에서/JKB
“전교조에	“/SS+전교조/NNP+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
교원들의	교원/NNG+들/XSN+의/JKG
명단을	명단/NNG+을/JKO
일반인에게	일반인/NNG+에게/JKB
폭넓게	폭넓/VA+게/EC
공개하는	공개/NNG+하/XSV+는/ETM
것이,	것/NNB+이/JKS+,/SP
그로	그/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
발생하는	발생/NNG+하/XSV+는/ETM
개인의	개인/NNG+의/JKG
정보결정권과	정보/NNG+결정/NNG+권/XSN+과/JC
단결권에	단결/NNG+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
침해를	침해/NNG+를/JKO
정당화할	정당화/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
학생·학부모의	학생/NNG+·/SP+학부모/NNG+의/JKG
선택권,	선택/NNG+권/XSN+,/SP
알	알/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
위해	위하/VV+아/EC
반드시	반드시/MAG
필요하거나	필요/NNG+하/XSA+거나/EC
허용돼야	허용/NNG+되/XSV+어야/EC
하는	하/VX+는/ETM
행위라고	행위/NNG+이/VCP+라고/EC
단정하기는	단정/NNG+하/XSV+기/ETN+는/JX
부족하다”고	부족/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.229.6.2
재판부는 이어 “원심의 판단이, 국민의 학습권, 알 권리, 사생활의 비밀과 자유, 단결권에 관한 법리를 오해하거나 이익형량에 관한 법리를 오인한 위법이 있다고 할 수 없다”고 판단했다.

재판부는	재판부/NNG+는/JX
이어	잇/VV+어/EC
“원심의	“/SS+원심/NNG+의/JKG
판단이,	판단/NNG+이/JKS+,/SP
국민의	국민/NNG+의/JKG
학습권,	학습/NNG+권/XSN+,/SP
알	알/VV+ㄹ/ETM
권리,	권리/NNG+,/SP
사생활의	사생활/NNG+의/JKG
비밀과	비밀/NNG+과/JC
자유,	자유/NNG+,/SP
단결권에	단결/NNG+권/XSN+에/JKB
관한	관하/VV+ㄴ/ETM
법리를	법리/NNG+를/JKO
오해하거나	오해/NNG+하/XSV+거나/EC
이익형량에	이익/NNG+형량/NNG+에/JKB
오인한	오인/NNG+하/XSV+ㄴ/ETM
위법이	위법/NNG+이/JKS
있다고	있/VA+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.229.7.1
또 재판부는 “조 의원이 직무 수행 과정에서 이 정보를 취득했다고 해도 이를 국회 외부에 공개하는 것은 별개의 행위이며, 이에 관한 별도의 절차나 근거 규정이 없는 한 이를 헌법기관인 국회의원으로서의 직무권한 행사라고 볼 수 없다”며 “국회의원이라고 하더라도 특별히 헌법과 법률에서 독자적인 권한으로 부여하고 있는 경우가 아니라면, 그 행위로 인하여 다른 사람들과의 사이에 발생한 민사상의 분쟁은 일반 개인들과 마찬가지로 민사소송·집행법의 적용 대상이 될 수 있다고 본 원심의 판단은 옳다”고 덧붙였다.

또	또/MAG
재판부는	재판부/NNG+는/JX
“조	“/SS+조/NNP
의원이	의원/NNG+이/JKS
직무	직무/NNG
수행	수행/NNG
과정에서	과정/NNG+에서/JKB
이	이/MMD
정보를	정보/NNG+를/JKO
취득했다고	취득/NNG+하/XSV+았/EP+다고/EC
해도	하/VV+아도/EC
이를	이/NP+를/JKO
국회	국회/NNG
외부에	외부/NNG+에/JKB
공개하는	공개/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
별개의	별개/NNG+의/JKG
행위이며,	행위/NNG+이/VCP+며/EC+,/SP
이에	이/NP+에/JKB
관한	관하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
절차나	절차/NNG+나/JC
근거	근거/NNG
규정이	규정/NNG+이/JKS
없는	없/VA+는/ETM
한	한/NNG
헌법기관인	헌법/NNG+기관/NNG+이/VCP+ㄴ/ETM
국회의원으로서의	국회/NNG+의원/NNG+으로서/JKB+의/JKG
직무권한	직무/NNG+권한/NNG
행사라고	행사/NNG+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“국회의원이라고	“/SS+국회/NNG+의원/NNG+이/VCP+라고/EC
하더라도	하/VV+더라도/EC
특별히	특별히/MAG
헌법과	헌법/NNG+과/JC
법률에서	법률/NNG+에서/JKB
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
권한으로	권한/NNG+으로/JKB
부여하고	부여/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
경우가	경우/NNG+가/JKC
아니라면,	아니/VCN+라면/EC+,/SP
그	그/MMD
행위로	행위/NNG+로/JKB
인하여	인/NNG+하/XSV+아/EC
다른	다른/MMD
사람들과의	사람/NNG+들/XSN+과/JKB+의/JKG
사이에	사이/NNG+에/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
민사상의	민사/NNG+상/XSN+의/JKG
분쟁은	분쟁/NNG+은/JX
일반	일반/NNG
개인들과	개인/NNG+들/XSN+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
민사소송·집행법의	민사/NNG+소송/NNG+·/SP+집행법/NNG+의/JKG
적용	적용/NNG
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
있다고	있/VA+다고/EC
본	보/VV+ㄴ/ETM
원심의	원심/NNG+의/JKG
판단은	판단/NNG+은/JX
옳다”고	옳/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.229.8.1
대법원이 최종적으로 전교조 가입 교사 명단 공개의 위법성을 확인함에 따라 전교조가 조 의원을 상대로 낸 손해배상 소송도 탄력을 받게 될 전망이다.

대법원이	대/XPN+법원/NNG+이/JKS
최종적으로	최종/NNG+적/XSN+으로/JKB
전교조	전교조/NNP
가입	가입/NNG
교사	교사/NNG
명단	명단/NNG
공개의	공개/NNG+의/JKG
위법성을	위법/NNG+성/XSN+을/JKO
확인함에	확인/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
전교조가	전교조/NNP+가/JKS
조	조/NNP
의원을	의원/NNG+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
손해배상	손해/NNG+배상/NNG
소송도	소송/NNG+도/JX
탄력을	탄력/NNG+을/JKO
받게	받/VV+게/EC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.229.8.2
지난해 4월 전교조 교사 3000명은 “국회의원이라는 직위와 언론의 자유를 남용해 교사 개인의 정보인권을 침해한 책임을 묻겠다”며 전교조 명단을 공개한 조 의원과 <동아일보>를 상대로 1인당 10만원씩 모두 3억원의 손해배상 청구소송을 냈다.

지난해	지난해/NNG
4월	4/SN+월/NNB
전교조	전교조/NNP
교사	교사/NNG
3000명은	3000/SN+명/NNB+은/JX
“국회의원이라는	“/SS+국회/NNG+의원/NNG+이/VCP+라는/ETM
직위와	직위/NNG+와/JC
언론의	언론/NNG+의/JKG
자유를	자유/NNG+를/JKO
남용해	남용/NNG+하/XSV+아/EC
개인의	개인/NNG+의/JKG
정보인권을	정보/NNG+인권/NNG+을/JKO
침해한	침해/NNG+하/XSV+ㄴ/ETM
책임을	책임/NNG+을/JKO
묻겠다”며	묻/VV+겠/EP+다/EF+”/SS+며/EC
명단을	명단/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
조	조/NNP
의원과	의원/NNG+과/JC
<동아일보>를	</SS+동아일보/NNP+>/SS+를/JKO
상대로	상대/NNG+로/JKB
1인당	1/SN+인/NNG+당/XSN
10만원씩	10/SN+만/NR+원/NNB+씩/XSN
모두	모두/MAG
3억원의	3/SN+억/NR+원/NNB+의/JKG
손해배상	손해/NNG+배상/NNG
청구소송을	청구/NNG+소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.229.8.3
전교조는 이와 별도로 조 의원의 명단 공개에 동참했던 의원 및 단체들을 제소할 것을 검토하고 있다.

전교조는	전교조/NNP+는/JX
이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
조	조/NNP
의원의	의원/NNG+의/JKG
명단	명단/NNG
공개에	공개/NNG+에/JKB
동참했던	동참/NNG+하/XSV+았/EP+던/ETM
의원	의원/NNG
및	및/MAG
단체들을	단체/NNG+들/XSN+을/JKO
제소할	제소/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


