# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.213
metadata : {}


# id : NWRW1800000052.213.1.1
EU 18개국은 이미 도입…주주·노동이사 반반 독일 대표적

EU	EU/SL
이에 유럽연합 27개 회원국 가운데 18국에서 노동조합 대표 또는 종업원 대표가 노동이사로 최고의사결정에 참여한다.

이에	이/NP+에/JKB
유럽연합	유럽연합/NNP
27개	27/SN+개/NNB
회원국	회원국/NNG
가운데	가운데/NNG
18국에서	18국/NNG+에서/JKB
노동조합	노동조합/NNG
대표	대표/NNG
또는	또는/MAG
종업원	종업원/NNG
대표가	대표/NNG+가/JKS
노동이사로	노동/NNG+이사/NNG+로/JKB
최고의사결정에	최고/NNG+의사/NNG+결정/NNG+에/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.213.7.1
독일은 ‘노동자 경영참여’의 대표적인 나라다.

독일은	독일/NNP+은/JX
‘노동자	‘/SS+노동자/NNG
경영참여’의	경영/NNG+참여/NNG+’/SS+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
나라다.	나라/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.213.7.2
독일 기업의 이사회는 기업을 경영하는 경영이사회와 경영이사회를 선출하고 감독하는 감독이사회로 나뉜다.

독일	독일/NNP
기업의	기업/NNG+의/JKG
이사회는	이사회/NNG+는/JX
기업을	기업/NNG+을/JKO
경영하는	경영/NNG+하/XSV+는/ETM
경영이사회와	경영/NNG+이사회/NNG+와/JC
경영이사회를	경영/NNG+이사회/NNG+를/JKO
선출하고	선출/NNG+하/XSV+고/EC
감독하는	감독/NNG+하/XSV+는/ETM
감독이사회로	감독/NNG+이사회/NNG+로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.213.7.3
이중 감독이사회는 주주총회에서 선출된 주주이사와 노동조합 등에서 추천한 노동이사가 같은 비율로 참여한다.

이중	이/NP+중/NNB
감독이사회는	감독/NNG+이사회/NNG+는/JX
주주총회에서	주주/NNG+총회/NNG+에서/JKB
선출된	선출/NNG+되/XSV+ㄴ/ETM
주주이사와	주주/NNG+이사/NNG+와/JC
노동조합	노동조합/NNG
등에서	등/NNB+에서/JKB
추천한	추천/NNG+하/XSV+ㄴ/ETM
노동이사가	노동/NNG+이사/NNG+가/JKS
같은	같/VA+은/ETM
비율로	비율/NNG+로/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.213.7.4
이 통로를 통해 노동이사는 최고 경영진의 선출 및 해임, 투자 계획 등 기업 전반의 주요 의사결정에 참여할 수 있다.

이	이/MMD
통로를	통로/NNG+를/JKO
통해	통하/VV+아/EC
노동이사는	노동/NNG+이사/NNG+는/JX
최고	최고/NNG
경영진의	경영진/NNG+의/JKG
선출	선출/NNG
및	및/MAG
해임,	해임/NNG+,/SP
투자	투자/NNG
계획	계획/NNG
등	등/NNB
기업	기업/NNG
전반의	전반/NNG+의/JKG
주요	주요/NNG
의사결정에	의사/NNG+결정/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.213.7.5
공기업과 500명 이상 민간기업에 도입돼있다.

공기업과	공기업/NNG+과/JC
500명	500/SN+명/NNB
이상	이상/NNG
민간기업에	민간/NNG+기업/NNG+에/JKB
도입돼있다.	도입/NNG+되/XSV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000052.213.7.6
특히 2008년 글로벌 금융 위기 때 노동시간을 단축하면서 고용을 유지한 것은 노동자의 지속적인 경영 참여 덕분이라는 평가가 지배적이다.

특히	특히/MAG
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융	금융/NNG
위기	위기/NNG
때	때/NNG
노동시간을	노동/NNG+시간/NNG+을/JKO
단축하면서	단축/NNG+하/XSV+면서/EC
고용을	고용/NNG+을/JKO
유지한	유지/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
노동자의	노동자/NNG+의/JKG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
경영	경영/NNG
참여	참여/NNG
덕분이라는	덕분/NNG+이/VCP+라는/ETM
평가가	평가/NNG+가/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000052.213.7.7
김철 사회공공연구원 연구실장은 “노조가 구체적인 경영정보를 공유하면서 경영진에 대한 이해와 신뢰가 커지고 노동자가 직접 경영에 참여하면서 회사에 대한 책임감을 더해져 경영 투명성이 제고된다”고 독일 노동이사제의 효과를 설명했다.

김철	김철/NNP
사회공공연구원	사회/NNG+공공/NNG+연구원/NNG
연구실장은	연구실장/NNG+은/JX
“노조가	“/SS+노조/NNG+가/JKS
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
경영정보를	경영/NNG+정보/NNG+를/JKO
공유하면서	공유/NNG+하/XSV+면서/EC
경영진에	경영진/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해와	이해/NNG+와/JC
신뢰가	신뢰/NNG+가/JKS
커지고	커지/VV+고/EC
노동자가	노동자/NNG+가/JKS
직접	직접/MAG
경영에	경영/NNG+에/JKB
참여하면서	참여/NNG+하/XSV+면서/EC
회사에	회사/NNG+에/JKB
책임감을	책임감/NNG+을/JKO
더해져	더/MAG+하/XSV+아/EC+지/VX+어/EC
경영	경영/NNG
투명성이	투명/NNG+성/XSN+이/JKS
제고된다”고	제고/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
독일	독일/NNP
노동이사제의	노동/NNG+이사/NNG+제/XSN+의/JKG
효과를	효과/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.8.1
서울시도 노동이사제 도입하는 이유로 사회 갈등 해소를 첫손에 꼽았다.

서울시도	서울시/NNP+도/JX
노동이사제	노동/NNG+이사/NNG+제/XSN
도입하는	도입/NNG+하/XSV+는/ETM
이유로	이유/NNG+로/JKB
사회	사회/NNG
갈등	갈등/NNG
해소를	해소/NNG+를/JKO
첫손에	첫손/NNG+에/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.8.2
박원순 서울시장은 10일 기자설명회에서 “근로자이사는 경영진이 현장의 목소리를 경영에 반영하도록 하는 역할을 할 것”이라고 소개했다.

박원순	박원순/NNP
서울시장은	서울시장/NNG+은/JX
10일	10/SN+일/NNB
기자설명회에서	기자/NNG+설명회/NNG+에서/JKB
“근로자이사는	“/SS+근로자/NNG+이사/NNG+는/JX
경영진이	경영진/NNG+이/JKS
현장의	현장/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
경영에	경영/NNG+에/JKB
반영하도록	반영/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.8.3
2013년 삼성경제연구소 발표에서 우리나라 갈등 수준은 OECD 27개국 중 2위였고 국민대통합위원회 조사에서는 노사갈등이 두 번째로 심각한 것으로 나왔다.

2013년	2013/SN+년/NNB
삼성경제연구소	삼성경제연구소/NNP
발표에서	발표/NNG+에서/JKB
우리나라	우리나라/NNG
갈등	갈등/NNG
수준은	수준/NNG+은/JX
OECD	OECD/SL
27개국	27/SN+개국/NNB
중	중/NNB
2위였고	2/SN+위/NNB+이/VCP+었/EP+고/EC
국민대통합위원회	국민/NNG+대/XPN+통합/NNG+위원회/NNG
조사에서는	조사/NNG+에서/JKB+는/JX
노사갈등이	노사/NNG+갈등/NNG+이/JKS
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
심각한	심각하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.9.1
박태주 서울모델협의회 위원장은 “공기업이 책임경영 체제를 확보하는데도 노동이사제가 일조할 것”이라며 “이해관계자인 근로자 대표가 이사회에 참여하고 의사결정 과정이 투명해지면 공기업에 대한 중앙정부의 부당한 간섭을 견제할 수 있다“고 말했다.

박태주	박태주/NNP
서울모델협의회	서울모델협의회/NNP
위원장은	위원장/NNG+은/JX
“공기업이	“/SS+공기업/NNG+이/JKS
책임경영	책임/NNG+경영/NNG
체제를	체제/NNG+를/JKO
확보하는데도	확보/NNG+하/XSV+는데/EC+도/JX
노동이사제가	노동/NNG+이사/NNG+제/XSN+가/JKS
일조할	일조/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이해관계자인	“/SS+이해관계자/NNG+이/VCP+ㄴ/ETM
근로자	근로자/NNG
대표가	대표/NNG+가/JKS
이사회에	이사회/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
의사결정	의사/NNG+결정/NNG
과정이	과정/NNG+이/JKS
투명해지면	투명/NNG+하/XSA+아/EC+지/VX+면/EC
공기업에	공기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중앙정부의	중앙/NNG+정부/NNG+의/JKG
부당한	부당/NNG+하/XSA+ㄴ/ETM
간섭을	간섭/NNG+을/JKO
견제할	견제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다“고	있/VA+다/EF+“/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.9.2
2004년 5월부터 3년간 현대증권 사외이사로 활동했던 하승수 변호사도 ”단 한 명이라도 노동자가 경영에 참여하면 잘못된 관행을 바로잡을 수 있는 길이 열린다“고 말했다.

2004년	2004/SN+년/NNB
5월부터	5/SN+월/NNB+부터/JX
3년간	3/SN+년/NNB+간/XSN
현대증권	현대증권/NNP
사외이사로	사외/NNG+이사/NNG+로/JKB
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
하승수	하승수/NNP
변호사도	변호사/NNG+도/JX
”단	”/SS+단/MMA
한	한/MMN
명이라도	명/NNB+이/VCP+라도/EC
노동자가	노동자/NNG+가/JKS
경영에	경영/NNG+에/JKB
참여하면	참여/NNG+하/XSV+면/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
관행을	관행/NNG+을/JKO
바로잡을	바로잡/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
길이	길/NNG+이/JKS
열린다“고	열리/VV+ㄴ다/EF+“/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.9.3
노동계는 노동이사제 도입에 원론적으로 찬성하면서도 “비상임 이사로 1~2명의 노동자가 이사회에 참여해서는 별 실효성이 없을 것”이라고 주장했다.

노동계는	노동/NNG+계/XSN+는/JX
노동이사제	노동/NNG+이사/NNG+제/XSN
도입에	도입/NNG+에/JKB
원론적으로	원론/NNG+적/XSN+으로/JKB
찬성하면서도	찬성/NNG+하/XSV+면서/EC+도/JX
“비상임	“/SS+비/XPN+상임/NNG
이사로	이사/NNG+로/JKB
1~2명의	1/SN+~/SO+2/SN+명/NNB+의/JKG
노동자가	노동자/NNG+가/JKS
이사회에	이사회/NNG+에/JKB
참여해서는	참여/NNG+하/XSV+아서/EC+는/JX
별	별/MMA
실효성이	실효/NNG+성/XSN+이/JKS
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.9.4
민주노총 남정수 교육선전실장은 “독일 노사공동결정제도처럼 노동자 대표가 과반수를 차지해야 노동자가 책임성 있게 의사결정에 참여할 수 있다”고 말했다.

민주노총	민주노총/NNP
남정수	남정수/NNP
교육선전실장은	교육/NNG+선전실장/NNG+은/JX
“독일	“/SS+독일/NNP
노사공동결정제도처럼	노사/NNG+공동/NNG+결정/NNG+제도/NNG+처럼/JKB
노동자	노동자/NNG
대표가	대표/NNG+가/JKS
과반수를	과반수/NNG+를/JKO
차지해야	차지/NNG+하/XSV+아야/EC
노동자가	노동자/NNG+가/JKS
책임성	책임/NNG+성/XSN
있게	있/VA+게/EC
의사결정에	의사/NNG+결정/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.9.5
한국노총 정문주 정문주 정책본부장는 “서울시 노동이사제는 지나치게 법을 엄격하게 해석해 노동자 대표가 반드시 노조를 탈퇴하도록 강제하고 있다”며 “노동자가 실질적으로 경영에 참여하고 의견을 개진하려면 보완이 필요하다”고 말했다.

한국노총	한국노총/NNP
정문주	정문주/NNP
정책본부장는	정책/NNG+본부장/NNG+는/JX
“서울시	“/SS+서울시/NNP
노동이사제는	노동/NNG+이사/NNG+제/XSN+는/JX
지나치게	지나치/VA+게/EC
법을	법/NNG+을/JKO
엄격하게	엄격/NNG+하/XSA+게/EC
해석해	해석/NNG+하/XSV+아/EC
노동자	노동자/NNG
대표가	대표/NNG+가/JKS
반드시	반드시/MAG
노조를	노조/NNG+를/JKO
탈퇴하도록	탈퇴/NNG+하/XSV+도록/EC
강제하고	강제/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“노동자가	“/SS+노동자/NNG+가/JKS
실질적으로	실질/NNG+적/XSN+으로/JKB
경영에	경영/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
의견을	의견/NNG+을/JKO
개진하려면	개진/NNG+하/XSV+려면/EC
보완이	보완/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.10.1
한국경영자총협회는 “위험하고 무모한 실험”이라고 즉각 철회할 것을 촉구했다.

한국경영자총협회는	한국경영자총협회/NNP+는/JX
“위험하고	“/SS+위험/NNG+하/XSA+고/EC
무모한	무모/NNG+하/XSA+ㄴ/ETM
실험”이라고	실험/NNG+”/SS+이라고/JKQ
즉각	즉각/MAG
철회할	철회/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.213.10.2
경총은 이날 성명을 내어 “근로자 이사와 경영진의 의견 대립으로 이사회가 신속한 의사결정을 할 수 없게 되고 손해는 주주들이 부담해야 할 것”이라고 비판했다.

경총은	경총/NNP+은/JX
이날	이날/NNG
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“근로자	“/SS+근로자/NNG
이사와	이사/NNG+와/JC
경영진의	경영진/NNG+의/JKG
의견	의견/NNG
대립으로	대립/NNG+으로/JKB
이사회가	이사회/NNG+가/JKS
신속한	신속/NNG+하/XSA+ㄴ/ETM
의사결정을	의사/NNG+결정/NNG+을/JKO
할	하/VX+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
되고	되/VV+고/EC
손해는	손해/NNG+는/JX
주주들이	주주/NNG+들/XSN+이/JKS
부담해야	부담/NNG+하/XSV+아야/EC
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


