# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.292
metadata : {}


# id : NWRW1800000032.292.1.1
‘성추행 당한 여학생 인격장애’ 2차피해 사실로 고대 의대생, 명예훼손 추가기소

‘성추행	‘/SS+성추행/NNG
못했다,	못하/VX+았/EP+다/EF+,/SP
그나마	그나마/MAG
(성추행	(/SS+성추행/NNG
사건	사건/NNG
당사자인)	당사자/NNG+이/VCP+ㄴ/ETM+)/SS
박○○,	박/NNP+○○/SW+,/SP
한○○,	한/NNP+○○/SW+,/SP
배○○가	배/NNP+○○/SW+가/JKS
피해자가	피해자/NNG+가/JKS
학교생활을	학교생활/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와줬다,	도와주/VV+었/EP+다/EF+,/SP
학우들	학우/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
인격장애가	인격/NNG+장애/NNG+가/JKS
있는	있/VA+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
얘기가	얘기/NNG+가/JKS
돌았다,	돌/VV+았/EP+다/EF+,/SP
이번에	이번/NNG+에/JKB
불거진	불거지/VV+ㄴ/ETM
강제추행	강제/NNG+추행/NNG
역시	역시/MAG
피해자의	피해자/NNG+의/JKG
인격장애적	인격/NNG+장애/NNG+적/XSN
성향	성향/NNG
때문에	때문/NNB+에/JKB
크게	크/VA+게/EC
부풀려진	부풀리/VV+어/EC+지/VX+ㄴ/ETM
것이	것/NNB+이/JKC
견해가	견해/NNG+가/JKS
매우	매우/MAG
우세하다,	우세/NNG+하/XSA+다/EF+,/SP
이	이/MMD
내용은	내용/NNG+은/JX
모두	모두/MAG
사실이며	사실/NNG+이/VCP+며/EC
법정에	법정/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
출석하여	출석/NNG+하/XSV+아/EC
증언할	증언/NNG+하/XSV+ㄹ/ETM
용의도	용의/NNG+도/JX
있다”는	있/VA+다/EF+”/SS+는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.292.8.1
배씨와 서씨는 이 문건을 고려대 의대 동기생 21명에게 돌렸다.

배씨와	배/NNP+씨/NNB+와/JC
서씨는	서/NNP+씨/NNB+는/JX
이	이/MMD
문건을	문건/NNG+을/JKO
고려대	고려대/NNP
의대	의대/NNG
동기생	동기/NNG+생/XSN
21명에게	21/SN+명/NNB+에게/JKB
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.292.8.2
이 문건을 받아든 의대생들은 내용에 동의해서가 아니라 “구속이 안 되게 도와달라”는 배씨와 서씨의 요청에 마지못해 서명날인을 해준 것으로 조사됐다.

이	이/MMD
문건을	문건/NNG+을/JKO
받아든	받/VV+아/EC+들/VV+ㄴ/ETM
의대생들은	의대/NNG+생/XSN+들/XSN+은/JX
내용에	내용/NNG+에/JKB
동의해서가	동의/NNG+하/XSV+아서/EC+가/JKC
아니라	아니/VCN+라/EC
“구속이	“/SS+구속/NNG+이/JKS
안	안/MAG
되게	되/VV+게/EC
도와달라”는	돕/VV+아/EC+달/VX+라/EF+”/SS+는/ETM
배씨와	배/NNP+씨/NNB+와/JC
서씨의	서/NNP+씨/NNB+의/JKG
요청에	요청/NNG+에/JKB
마지못해	마지못하/VA+아/EC
서명날인을	서명/NNG+날인/NNG+을/JKO
해준	하/VV+아/EC+주/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.292.8.3
검찰은 문건 내용 자체가 허위사실인데다 학생들에게 이런 내용의 문건을 돌려 읽혀 피해자가 마치 인격장애가 있는 것처럼 인식하게 한 행위 자체가 ‘명예훼손’에 해당한다고 판단했다.

검찰은	검찰/NNG+은/JX
문건	문건/NNG
내용	내용/NNG
자체가	자체/NNG+가/JKS
허위사실인데다	허위/NNG+사실/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX
학생들에게	학생/NNG+들/XSN+에게/JKB
이런	이런/MMD
내용의	내용/NNG+의/JKG
문건을	문건/NNG+을/JKO
돌려	돌리/VV+어/EC
읽혀	읽히/VV+어/EC
피해자가	피해자/NNG+가/JKS
마치	마치/MAG
인격장애가	인격/NNG+장애/NNG+가/JKS
있는	있/VA+는/ETM
것처럼	것/NNB+처럼/JKB
인식하게	인식/NNG+하/XSV+게/EC
한	하/VX+ㄴ/ETM
행위	행위/NNG
‘명예훼손’에	‘/SS+명예/NNG+훼손/NNG+’/SS+에/JKB
해당한다고	해당/NNG+하/XSV+ㄴ다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.292.9.1
또 명예훼손의 소지가 짙은 ‘사실확인서’를 작성하는 과정에 배씨의 변호사가 가담한 사실도 드러났다.

또	또/MAG
명예훼손의	명예/NNG+훼손/NNG+의/JKG
소지가	소지/NNG+가/JKS
짙은	짙/VA+은/ETM
‘사실확인서’를	‘/SS+사실/NNG+확인서/NNG+’/SS+를/JKO
작성하는	작성/NNG+하/XSV+는/ETM
과정에	과정/NNG+에/JKB
배씨의	배/NNP+씨/NNB+의/JKG
변호사가	변호사/NNG+가/JKS
가담한	가담/NNG+하/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.292.9.2
그러나 검찰은 “피해자가 변호사를 고소하지 않았고, 변호사가 배씨와 서씨의 말만 듣고 문건을 작성한 것으로 보인다”며 해당 변호사를 공모 혐의로 처벌하지는 않았다.

그러나	그러나/MAJ
검찰은	검찰/NNG+은/JX
“피해자가	“/SS+피해자/NNG+가/JKS
변호사를	변호사/NNG+를/JKO
고소하지	고소/NNG+하/XSV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
변호사가	변호사/NNG+가/JKS
배씨와	배/NNP+씨/NNB+와/JC
서씨의	서/NNP+씨/NNB+의/JKG
말만	말/NNG+만/JX
듣고	듣/VV+고/EC
문건을	문건/NNG+을/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
해당	해당/NNG
공모	공모/NNG
혐의로	혐의/NNG+로/JKB
처벌하지는	처벌/NNG+하/XSV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.292.10.1
고려대 의대 동기생인 배씨와 박아무개(23)씨, 한아무개(24)씨는 지난 5월 동기 여학생과 경기도 가평으로 여행을 갔다가 민박집에서 술에 취한 피해자를 집단 성추행한 혐의(특수강제추행) 등으로 구속 기소됐다.

고려대	고려대/NNP
의대	의대/NNG
동기생인	동기/NNG+생/XSN+이/VCP+ㄴ/ETM
배씨와	배/NNP+씨/NNB+와/JC
박아무개(23)씨,	박/NNP+아무개/NP+(/SS+23/SN+)/SS+씨/NNB+,/SP
한아무개(24)씨는	한/NNP+아무개/NP+(/SS+24/SN+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
동기	동기/NNG
여학생과	여학생/NNG+과/JKB
경기도	경기도/NNP
가평으로	가평/NNP+으로/JKB
여행을	여행/NNG+을/JKO
갔다가	가/VV+았/EP+다가/EC
민박집에서	민박집/NNG+에서/JKB
술에	술/NNG+에/JKB
취한	취하/VV+ㄴ/ETM
피해자를	피해자/NNG+를/JKO
집단	집단/NNG
성추행한	성추행/NNG+하/XSV+ㄴ/ETM
혐의(특수강제추행)	혐의/NNG+(/SS+특수/NNG+강제/NNG+추행/NNG+)/SS
등으로	등/NNB+으로/JKB
구속	구속/NNG
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.292.10.2
재판 과정에서 박씨와 한씨는 범행을 인정했지만, 배씨는 끝까지 부인하며 완전무죄를 주장했다.

재판	재판/NNG
과정에서	과정/NNG+에서/JKB
박씨와	박/NNP+씨/NNB+와/JC
한씨는	한/NNP+씨/NNB+는/JX
범행을	범행/NNG+을/JKO
인정했지만,	인정/NNG+하/XSV+았/EP+지만/EC+,/SP
배씨는	배/NNP+씨/NNB+는/JX
끝까지	끝/NNG+까지/JX
부인하며	부인/NNG+하/XSV+며/EC
완전무죄를	완전/NNG+무죄/NNG+를/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.292.10.3
그러나 1심 재판부는 박씨에게 징역 2년6월, 배씨와 한씨에게 각각 징역 1년6월의 실형을 선고하고, 이들의 신상정보를 3년 동안 공개하도록 했다.

그러나	그러나/MAJ
1심	1심/NNG
재판부는	재판부/NNG+는/JX
박씨에게	박/NNP+씨/NNB+에게/JKB
징역	징역/NNG
2년6월,	2/SN+년/NNB+6/SN+월/NNB+,/SP
배씨와	배/NNP+씨/NNB+와/JC
한씨에게	한/NNP+씨/NNB+에게/JKB
각각	각각/MAG
1년6월의	1/SN+년/NNB+6/SN+월/NNB+의/JKG
실형을	실형/NNG+을/JKO
선고하고,	선고/NNG+하/XSV+고/EC+,/SP
이들의	이/NP+들/XSN+의/JKG
신상정보를	신상/NNG+정보/NNG+를/JKO
3년	3/SN+년/NNB
동안	동안/NNG
공개하도록	공개/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.292.10.4
이들은 전원이 항소해 현재 서울고법에서 항소심이 진행되고 있다.

이들은	이/NP+들/XSN+은/JX
전원이	전원/NNG+이/JKS
항소해	항소/NNG+하/XSV+아/EC
현재	현재/MAG
서울고법에서	서울고법/NNP+에서/JKB
항소심이	항소심/NNG+이/JKS
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


