# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.63
metadata : {}


# id : NWRW1800000036.63.1.1
3개부문 쪼개진 삼성전자 이재용 부회장 ‘원톱 체제’

3개부문	3/SN+개/NNB+부문/NNG
디지털솔루션 부문에는 소프트웨어연구소가 신설됐다.

디지털솔루션	디지털/NNG+솔루션/NNG
부문에는	부문/NNG+에/JKB+는/JX
소프트웨어연구소가	소프트웨어/NNG+연구소/NNG+가/JKS
신설됐다.	신설/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.63.9.6
연구소는 차세대 소프트웨어 플랫폼과 임베디드 소프트웨어 선행개발 등을 총괄하게 된다.

연구소는	연구소/NNG+는/JX
차세대	차세대/NNG
소프트웨어	소프트웨어/NNG
플랫폼과	플랫폼/NNG+과/JC
임베디드	임베디드/NNG
선행개발	선행/NNG+개발/NNG
등을	등/NNB+을/JKO
총괄하게	총괄/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.63.10.1
이밖에 실험 운영해온 창의개발연구소는 창의개발센터 건립으로 이어졌고, 사내벤처 방식을 접목한 ‘시(C·크리에이티브)-랩(Lab)’을 신설했다.

이밖에	이/NP+밖/NNG+에/JKB
실험	실험/NNG
운영해온	운영/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
창의개발연구소는	창의/NNG+개발/NNG+연구소/NNG+는/JX
창의개발센터	창의개발센터/NNP
건립으로	건립/NNG+으로/JKB
이어졌고,	이어지/VV+었/EP+고/EC+,/SP
사내벤처	사내/NNG+벤처/NNG
방식을	방식/NNG+을/JKO
접목한	접목/NNG+하/XSV+ㄴ/ETM
‘시(C·크리에이티브)-랩(Lab)’을	‘/SS+시/NNG+(/SS+C/SL+·/SP+크리에이티브/NNG+)/SS+-/SO+랩/NNG+(/SS+Lab/SL+)/SS+’/SS+을/JKO
신설했다.	신설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.63.10.2
미국 뉴욕에 스타트업 인큐베이팅센터인 ‘액셀러레이터팀’, 환경경영을 위한 ‘에코시스템 인테그레이션팀’도 새로 만들었다.

미국	미국/NNP
뉴욕에	뉴욕/NNP+에/JKB
스타트업	스타트업/NNG
인큐베이팅센터인	인큐베이팅/NNG+센터/NNG+이/VCP+ㄴ/ETM
‘액셀러레이터팀’,	‘/SS+액셀러레이터/NNG+팀/NNG+’/SS+,/SP
환경경영을	환경/NNG+경영/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘에코시스템	‘/SS+에코/NNG+시스템/NNG
인테그레이션팀’도	인테그레이션/NNG+팀/NNG+’/SS+도/JX
새로	새로/MAG
만들었다.	만들/VV+었/EP+다/EF+./SF


