# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.206
metadata : {}


# id : NWRW1800000030.206.1.1
[제16회 LG배 세계기왕전] 아마의 壁

[제16회	[/SS+제/XPN+16/SN+회/NNB
이때 뛰어든 129에 백이 흔들린다.

이때	이때/NNG
뛰어든	뛰어들/VV+ㄴ/ETM
129에	129/SN+에/JKB
백이	백/NNG+이/JKS
흔들린다.	흔들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.206.5.6
사실 129로는 130으로 잇는 수가 온건했고 그것으로 형세가 나쁘지 않았다.

사실	사실/MAG
129로는	129/SN+로/JKB+는/JX
130으로	130/SN+으로/JKB
잇는	잇/VV+는/ETM
수가	수/NNB+가/JKS
온건했고	온건/NNG+하/XSA+았/EP+고/EC
그것으로	그것/NP+으로/JKB
형세가	형세/NNG+가/JKS
나쁘지	나쁘/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.206.6.1
백도 응수가 쉽지는 않다.

백도	백/NNG+도/JX
응수가	응수/NNG+가/JKS
쉽지는	쉽/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.206.6.2
한 예로 참고도 1이면 2이하 15까지가 예상되는 수순.

한	한/MMN
예로	예/NNG+로/JKB
참고도	참고도/NNG
1이면	1/SN+이/VCP+면/EC
2이하	2/SN+이하/NNG
15까지가	15/SN+까지/JX+가/JKS
예상되는	예상/NNG+되/XSV+는/ETM
수순.	수순/NNG+./SF


# id : NWRW1800000030.206.6.3
그런 뒤 20에 이르면 백의 중앙 3점이 잡힌다(13…6).

그런	그런/MMD
뒤	뒤/NNG
20에	20/SN+에/JKB
이르면	이르/VV+면/EC
백의	백/NNG+의/JKG
중앙	중앙/NNG
3점이	3/SN+점/NNB+이/JKS
잡힌다(13…6).	잡히/VV+ㄴ다/EF+(/SS+13/SN+…/SE+6/SN+)/SS+./SF


# id : NWRW1800000030.206.6.4
그걸 피해 백이 130으로 단수치면서 뜻하지 않던 변화가 또 이루어졌다.

그걸	그거/NP+ㄹ/JKO
피해	피하/VV+아/EC
백이	백/NNG+이/JKS
130으로	130/SN+으로/JKB
단수치면서	단수/NNG+치/VV+면서/EC
뜻하지	뜻/NNG+하/XSV+지/EC
않던	않/VX+던/ETM
변화가	변화/NNG+가/JKS
또	또/MAG
이루어졌다.	이루어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.206.6.5
136으론 '가'에 두어 잡으러 가는 강수도 있었으나 결행하지 못했다.

136으론	136/SN+으로/JKB+ㄴ/JX
'가'에	'/SS+가/NNG+'/SS+에/JKB
두어	두/VV+어/EC
잡으러	잡/VV+으러/EC
가는	가/VV+는/ETM
강수도	강수/NNG+도/JX
있었으나	있/VA+었/EP+으나/EC
결행하지	결행/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.206.6.6
결과적으로 하변 흑진과 좌하귀 백진이 동시에 깨졌지만 백의 피해가 더 큰 느낌.

결과적으로	결과/NNG+적/XSN+으로/JKB
하변	하변/NNG
흑진과	흑진/NNG+과/JC
좌하귀	좌하귀/NNG
백진이	백진/NNG+이/JKS
동시에	동시/NNG+에/JKB
깨졌지만	깨지/VV+었/EP+지만/EC
백의	백/NNG+의/JKG
피해가	피해/NNG+가/JKS
더	더/MAG
큰	크/VA+ㄴ/ETM
느낌.	느낌/NNG+./SF


