# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.121
metadata : {}


# id : NWRW1800000025.121.1.1
당진군수 고속도 추격전 끝 서울서 검거

당진군수	당진군수/NNG
곧바로	곧바로/MAG
잠적했다.	잠적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.121.3.4
검찰은 민 군수가 사용한 위조여권이 사진을 정교하게 오려붙여 만든 것으로 볼 때 위조 전문가가 만든 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
민	민/NNP
군수가	군수/NNG+가/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
위조여권이	위조/NNG+여권/NNG+이/JKS
사진을	사진/NNG+을/JKO
정교하게	정교하/VA+게/EC
오려붙여	오리/VV+어/EC+붙이/VV+어/EC
만든	만들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
위조	위조/NNG
전문가가	전문가/NNG+가/JKS
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.121.4.1
민 군수의 비자금을 관리해온 것으로 알려진 당진군청 공무원 오모 씨(45·여)는 24일 혼자 중국 칭다오(靑島)로 출국한 것으로 확인됐다.

민	민/NNP
군수의	군수/NNG+의/JKG
비자금을	비자금/NNG+을/JKO
관리해온	관리/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알리/VV+어/EC+지/VX+ㄴ/ETM
당진군청	당진군청/NNP
공무원	공무원/NNG
오모	오/NNP+모/NP
씨(45·여)는	씨/NNB+(/SS+45/SN+·/SP+여/NNG+)/SS+는/JX
24일	24/SN+일/NNB
혼자	혼자/MAG
중국	중국/NNP
칭다오(靑島)로	칭다오/NNP+(/SS+靑島/SH+)/SS+로/JKB
출국한	출국/NNG+하/XSV+ㄴ/ETM
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.121.5.1
감사원은 민 군수가 2005년부터 2008년까지 관급 공사 7건(102억 원 상당)을 따내게 해준 대가로 해당 건설업체로부터 3억 원 상당의 별장을 받아 챙긴 것으로 보고 있다.

감사원은	감사원/NNG+은/JX
민	민/NNP
군수가	군수/NNG+가/JKS
2005년부터	2005/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
관급	관급/NNG
공사	공사/NNG
7건(102억	7/SN+건/NNB+(/SS+102/SN+억/NR
원	원/NNB
상당)을	상당/NNG+)/SS+을/JKO
따내게	따내/VV+게/EC
해준	하/VX+아/EC+주/VX+ㄴ/ETM
대가로	대가/NNG+로/JKB
해당	해당/NNG
건설업체로부터	건설업체/NNG+로부터/JKB
3억	3/SN+억/NR
상당의	상당/NNG+의/JKG
별장을	별장/NNG+을/JKO
받아	받/VV+아/EC
챙긴	챙기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.121.5.2
민 군수는 이외에도 또 다른 건설업체에 특혜를 주고 친인척 명의로 3억4000만 원대 아파트를 받은 혐의로 검찰 수사를 받아왔다.

민	민/NNP
군수는	군수/NNG+는/JX
이외에도	이외/NNG+에/JKB+도/JX
또	또/MAG
다른	다른/MMD
건설업체에	건설업체/NNG+에/JKB
특혜를	특혜/NNG+를/JKO
주고	주/VV+고/EC
친인척	친인척/NNG
명의로	명의/NNG+로/JKB
3억4000만	3/SN+억/NR+4000/SN+만/NR
원대	원/NNB+대/XSN
아파트를	아파트/NNG+를/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.121.5.3
군청 공무원 오 씨를 통해 10억 원대의 비자금을 관리하는 등 뇌물수수와 직권 남용 혐의도 받고 있다.

군청	군청/NNG
공무원	공무원/NNG
오	오/NNP
씨를	씨/NNB+를/JKO
통해	통하/VV+아/EC
10억	10/SN+억/NR
원대의	원/NNB+대/XSN+의/JKG
비자금을	비자금/NNG+을/JKO
관리하는	관리/NNG+하/XSV+는/ETM
등	등/NNB
뇌물수수와	뇌물/NNG+수수/NNG+와/JC
직권	직권/NNG
남용	남용/NNG
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.121.5.4
검찰은 민 군수와 민 군수에게 뇌물을 준 것으로 보이는 건설업체 관계자 10여 명을 소환해 조사한 뒤 구속영장을 청구할 방침이다.

검찰은	검찰/NNG+은/JX
민	민/NNP
군수와	군수/NNG+와/JKB
군수에게	군수/NNG+에게/JKB
뇌물을	뇌물/NNG+을/JKO
준	주/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
건설업체	건설업체/NNG
관계자	관계자/NNG
10여	10/SN+여/XSN
명을	명/NNB+을/JKO
소환해	소환/NNG+하/XSV+아/EC
조사한	조사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
구속영장을	구속/NNG+영장/NNG+을/JKO
청구할	청구/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


