# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.342
metadata : {}


# id : NWRW1800000054.342.1.1
문재인은 경선후보 등록 늦추고 촛불 참석 '탄핵 집중'

문재인은	문재인/NNP+은/JX
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"2월	"/SS+2/SN+월/NNB
탄핵	탄핵/NNG
결정이	결정/NNG+이/JKS
무산됐고,	무산/NNG+되/XSV+었/EP+고/EC+,/SP
3월	3/SN+월/NNB
초	초/NNB
결정도	결정/NNG+도/JX
불투명하다"며	불/XPN+투명/NNG+하/XSA+다/EF+"/SS+며/EC
"이정미	"/SS+이정미/NNP
헌법재판관	헌법/NNG+재판관/NNG
퇴임(3월	퇴임/NNG+(/SS+3/SN+월/NNB
13일)	13/SN+일/NNB+)/SS
이전에	이전/NNG+에/JKB
안	안/MAG
내려지면	내려지/VV+면/EC
그	그/MMD
뒤는	뒤/NNG+는/JX
(정국이)	(/SS+정국/NNG+이/JKS+)/SS
아주	아주/MAG
혼미해질	혼미/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.342.5.1
그는 "박근혜 대통령이 탄핵 절차를 지연시키고 탄핵을 기각시키기 위해 갖은 노력을 다하는데, 저는 이게 단순히 박 대통령 개인 차원이 아니라 정권을 연장하려는 세력들의 조직적인 움직임으로 느낀다"고 했다.

그는	그/NP+는/JX
"박근혜	"/SS+박근혜/NNP
대통령이	대통령/NNG+이/JKS
탄핵	탄핵/NNG
절차를	절차/NNG+를/JKO
지연시키고	지연/NNG+시키/XSV+고/EC
탄핵을	탄핵/NNG+을/JKO
기각시키기	기각/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
갖은	갖은/MMN
노력을	노력/NNG+을/JKO
다하는데,	다/MAG+하/XSV+는데/EC+,/SP
저는	저/NP+는/JX
이게	이거/NP+이/JKS
단순히	단순히/MAG
박	박/NNP
대통령	대통령/NNG
개인	개인/NNG
차원이	차원/NNG+이/JKC
아니라	아니/VCN+라/EC
정권을	정권/NNG+을/JKO
연장하려는	연장/NNG+하/XSV+려는/ETM
세력들의	세력/NNG+들/XSN+의/JKG
조직적인	조직/NNG+적/XSN+이/VCP+ㄴ/ETM
움직임으로	움직임/NNG+으로/JKB
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.342.6.1
탄핵 압박을 위해 문 전 대표 측은 "10일 예정했던 당 경선 후보 등록을 13일로 미루고 11일 서울 광화문 광장에서 촛불을 들 것"이라고 했다.

탄핵	탄핵/NNG
압박을	압박/NNG+을/JKO
위해	위하/VV+아/EC
문	문/NNP
전	전/MMD
대표	대표/NNG
측은	측/NNB+은/JX
"10일	"/SS+10/SN+일/NNB
예정했던	예정/NNG+하/XSV+았/EP+던/ETM
당	당/NNG
경선	경선/NNG
후보	후보/NNG
등록을	등록/NNG+을/JKO
13일로	13/SN+일/NNB+로/JKB
미루고	미루/VV+고/EC
11일	11/SN+일/NNB
서울	서울/NNP
광화문	광화문/NNP
광장에서	광장/NNG+에서/JKB
촛불을	촛불/NNG+을/JKO
들	들/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.342.6.2
당초 문 전 대표는 10일 경선 예비후보에 등록한 뒤 11일 대구·경북, 12일 전북 전주를 방문할 예정이었지만, 11일 오전 일정을 뺀 나머지 계획을 전부 취소했다.

당초	당초/NNG
문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
10일	10/SN+일/NNB
경선	경선/NNG
예비후보에	예비/NNG+후보/NNG+에/JKB
등록한	등록/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
11일	11/SN+일/NNB
대구·경북,	대구/NNP+·/SP+경북/NNP+,/SP
12일	12/SN+일/NNB
전북	전북/NNP
전주를	전주/NNP+를/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
예정이었지만,	예정/NNG+이/VCP+었/EP+지만/EC+,/SP
오전	오전/NNG
일정을	일정/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
나머지	나머지/NNG
계획을	계획/NNG+을/JKO
전부	전부/MAG
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.342.6.3
이에 따라 다음 주 초 예정했던 대선 출마 선언과 캠프 구성원 발표도 연기될 것으로 알려졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
다음	다음/NNG
주	주/NNG
초	초/NNB
예정했던	예정/NNG+하/XSV+았/EP+던/ETM
대선	대선/NNG
출마	출마/NNG
선언과	선언/NNG+과/JC
캠프	캠프/NNG
구성원	구성원/NNG
발표도	발표/NNG+도/JX
연기될	연기/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.342.6.4
민주당과 문 전 대표는 11일 촛불 총동원령을 내렸다.

민주당과	민주당/NNP+과/JC
문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
11일	11/SN+일/NNB
촛불	촛불/NNG
총동원령을	총동원령/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.342.7.1
문 전 대표는 9일에도 공개 일정을 줄이고 자신의 싱크탱크인 '국민성장' 포럼에서 국민 안전 정책을 발표했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
9일에도	9/SN+일/NNB+에/JKB+도/JX
공개	공개/NNG
일정을	일정/NNG+을/JKO
줄이고	줄이/VV+고/EC
자신의	자신/NNG+의/JKG
싱크탱크인	싱크탱크/NNG+이/VCP+ㄴ/ETM
'국민성장'	'/SS+국민/NNG+성장/NNG+'/SS
포럼에서	포럼/NNG+에서/JKB
국민	국민/NNG
안전	안전/NNG
정책을	정책/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.342.7.2
그는 세월호 참사 유가족, 가습기 살균제 피해자 가족, 대구지하철 참사 희생자 가족 등을 초청했다.

그는	그/NP+는/JX
세월호	세월호/NNP
참사	참사/NNG
유가족,	유가족/NNG+,/SP
가습기	가습기/NNG
살균제	살균제/NNG
피해자	피해자/NNG
가족,	가족/NNG+,/SP
대구지하철	대구지하철/NNP
희생자	희생자/NNG
가족	가족/NNG
등을	등/NNB+을/JKO
초청했다.	초청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.342.7.3
문 전 대표는 "정권 교체와 함께 국가가 국민의 안전기본권을 책임지는 안전한 대한민국을 만들 것을 약속드린다"고 했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
"정권	"/SS+정권/NNG
교체와	교체/NNG+와/JKB
함께	함께/MAG
국가가	국가/NNG+가/JKS
국민의	국민/NNG+의/JKG
안전기본권을	안전/NNG+기본/NNG+권/XSN+을/JKO
책임지는	책임지/VV+는/ETM
안전한	안전/NNG+하/XSA+ㄴ/ETM
대한민국을	대한민국/NNP+을/JKO
만들	만들/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속드린다"고	약속/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.342.8.1
한편 작년 9월 서울 서교동 화재 현장에서 초인종을 눌러 이웃을 대피시키다가 정작 자신은 숨진 고(故) 안치범씨의 아버지 안광명씨가 문 전 대표 지지 의사를 밝혔다.

한편	한편/MAG
작년	작년/NNG
9월	9/SN+월/NNB
서울	서울/NNP
서교동	서교동/NNP
화재	화재/NNG
현장에서	현장/NNG+에서/JKB
초인종을	초인종/NNG+을/JKO
눌러	누르/VV+어/EC
이웃을	이웃/NNG+을/JKO
대피시키다가	대피/NNG+시키/XSV+다가/EC
정작	정작/MAG
자신은	자신/NNG+은/JX
숨진	숨지/VV+ㄴ/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
안치범씨의	안치범/NNP+씨/NNB+의/JKG
아버지	아버지/NNG
안광명씨가	안광명/NNP+씨/NNB+가/JKS
문	문/NNP
전	전/MMD
대표	대표/NNG
지지	지지/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.342.8.2
치범씨는 '초인종 의인'으로 불렸고, 문 전 대표는 안씨의 자택을 찾아 조문했었다.

치범씨는	치범/NNP+씨/NNB+는/JX
'초인종	'/SS+초인종/NNG
의인'으로	의인/NNG+'/SS+으로/JKB
불렸고,	불리/VV+었/EP+고/EC+,/SP
문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
안씨의	안/NNP+씨/NNB+의/JKG
자택을	자택/NNG+을/JKO
찾아	찾/VV+아/EC
조문했었다.	조문/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000054.342.8.3
안씨는 잘 뛰어달라는 의미로 생전 아들이 사놓고 한 번도 신지 않은 운동화를 문 전 대표에게 선물했다.

안씨는	안/NNP+씨/NNB+는/JX
잘	잘/MAG
뛰어달라는	뛰/VV+어/EC+달/VX+라는/ETM
의미로	의미/NNG+로/JKB
생전	생전/NNG
아들이	아들/NNG+이/JKS
사놓고	사/VV+아/EC+놓/VX+고/EC
한	한/MMN
번도	번/NNB+도/JX
신지	신/VV+지/EC
않은	않/VX+은/ETM
운동화를	운동화/NNG+를/JKO
문	문/NNP
전	전/MMD
대표에게	대표/NNG+에게/JKB
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


