# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.123
metadata : {}


# id : NWRW1800000033.123.1.1
[공연계 숨은 꽃]조명디자이너 김창기 씨

[공연계	[/SS+공연/NNG+계/XSN
조명이란 그냥 무대를 밝히거나 아니면 어둡게 하거나 둘 중 하나였죠.”

조명이란	조명/NNG+이란/JX
그냥	그냥/MAG
무대를	무대/NNG+를/JKO
밝히거나	밝히/VV+거나/EC
아니면	아니/VCN+면/EC
어둡게	어둡/VA+게/EC
하거나	하/VX+거나/EC
둘	둘/NR
중	중/NNB
하나였죠.”	하나/NR+이/VCP+었/EP+죠/EF+./SF+”/SS


# id : NWRW1800000033.123.7.1
그림자를 주요 표현 방식으로 사용한 ‘옛날 옛적에…’에서 조명은 무대에 명암을 주는 역할을 벗어나 장면마다 의미를 부여했다.

그림자를	그림자/NNG+를/JKO
주요	주요/NNG
표현	표현/NNG
방식으로	방식/NNG+으로/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
‘옛날	‘/SS+옛날/NNG
옛적에…’에서	옛적/NNG+에/JKB+…/SE+’/SS+에서/JKB
조명은	조명/NNG+은/JX
무대에	무대/NNG+에/JKB
명암을	명암/NNG+을/JKO
주는	주/VV+는/ETM
역할을	역할/NNG+을/JKO
벗어나	벗어나/VV+아/EC
장면마다	장면/NNG+마다/JX
의미를	의미/NNG+를/JKO
부여했다.	부여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.123.7.2
이 작품으로 극을 이해하는 ‘조명디자이너’로 인정받았고, 이후 국내를 대표하는 연출가들의 단골 파트너가 됐다.

이	이/MMD
작품으로	작품/NNG+으로/JKB
극을	극/NNG+을/JKO
이해하는	이해/NNG+하/XSV+는/ETM
‘조명디자이너’로	‘/SS+조명/NNG+디자이너/NNG+’/SS+로/JKB
인정받았고,	인정/NNG+받/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
국내를	국내/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
연출가들의	연출가/NNG+들/XSN+의/JKG
단골	단골/NNG
파트너가	파트너/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.123.8.1
올해 그가 조명디자인을 맡은 작품만 벌써 열 손가락을 꼽는다.

올해	올해/NNG
그가	그/NP+가/JKS
조명디자인을	조명/NNG+디자인/NNG+을/JKO
맡은	맡/VV+은/ETM
작품만	작품/NNG+만/JX
벌써	벌써/MAG
열	열/NR
손가락을	손가락/NNG+을/JKO
꼽는다.	꼽/VV+는다/EF+./SF


# id : NWRW1800000033.123.8.2
여수엑스포 해상무대에 올린 창작 뮤지컬 ‘바다의 소녀’, 국립극단이 제작하고 이윤택 씨가 연출한 ‘궁리’, 이성열 연출의 ‘과부들’, 정의신 작·연출의 ‘봄의 노래는 바다에 흐르고’, 박근형 연출의 ‘죽은 남자의 핸드폰’ 등이다.

여수엑스포	여수/NNP+엑스포/NNG
해상무대에	해상/NNG+무대/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
창작	창작/NNG
뮤지컬	뮤지컬/NNG
‘바다의	‘/SS+바다/NNG+의/JKG
소녀’,	소녀/NNG+’/SS+,/SP
국립극단이	국립극단/NNP+이/JKS
제작하고	제작/NNG+하/XSV+고/EC
이윤택	이윤택/NNP
씨가	씨/NNB+가/JKS
연출한	연출/NNG+하/XSV+ㄴ/ETM
‘궁리’,	‘/SS+궁리/NNG+’/SS+,/SP
이성열	이성열/NNP
연출의	연출/NNG+의/JKG
‘과부들’,	‘/SS+과부들/NNP+’/SS+,/SP
정의신	정의신/NNP
작·연출의	작/NNG+·/SP+연출/NNG+의/JKG
‘봄의	‘/SS+봄/NNG+의/JKG
노래는	노래/NNG+는/JX
바다에	바다/NNG+에/JKB
흐르고’,	흐르/VV+고/EC+’/SS+,/SP
박근형	박근형/NNP
‘죽은	‘/SS+죽/VV+은/ETM
남자의	남자/NNG+의/JKG
핸드폰’	핸드폰/NNG+’/SS
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.123.8.3
다음 달 18일부터 명동예술극장에서 공연하는 한태숙 연출의 ‘아워 타운’, 21일부터 예술의전당 자유소극장에서 공연하는 이성열 연출의 ‘여행’, 12월 국립극장에서 공연하는 중국 톈신신 연출의 ‘로미오와 줄리엣’도 그를 기다리고 있다.

다음	다음/NNG
달	달/NNG
18일부터	18/SN+일/NNB+부터/JX
명동예술극장에서	명동예술극장/NNP+에서/JKB
공연하는	공연/NNG+하/XSV+는/ETM
한태숙	한태숙/NNP
연출의	연출/NNG+의/JKG
‘아워	‘/SS+아워/NNP
타운’,	타운/NNP+’/SS+,/SP
21일부터	21/SN+일/NNB+부터/JX
예술의전당	예술의전당/NNP
자유소극장에서	자유소극장/NNP+에서/JKB
이성열	이성열/NNP
‘여행’,	‘/SS+여행/NNG+’/SS+,/SP
12월	12/SN+월/NNB
국립극장에서	국립극장/NNP+에서/JKB
중국	중국/NNP
톈신신	톈신신/NNP
‘로미오와	‘/SS+로미오/NNP+와/JC
줄리엣’도	줄리엣/NNP+’/SS+도/JX
그를	그/NP+를/JKO
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.123.9.1
김 씨가 한 해 많게는 15, 16편까지 작업할 수 있는 건 디자인에만 신경 쓰면 되기 때문.

김	김/NNP
씨가	씨/NNB+가/JKS
한	한/MMN
해	해/NNG
많게는	많/VA+게/EC+는/JX
15,	15/SN+,/SP
16편까지	16/SN+편/NNB+까지/JX
작업할	작업/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
건	거/NNB+ㄴ/JX
디자인에만	디자인/NNG+에/JKB+만/JX
신경	신경/NNG
쓰면	쓰/VV+면/EC
되기	되/VV+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000033.123.9.2
건축디자이너는 설계만 하고 집을 짓는 시공사는 따로 있듯 요즘은 공연 조명 분야도 분업화됐다.

건축디자이너는	건축/NNG+디자이너/NNG+는/JX
설계만	설계/NNG+만/JX
하고	하/VV+고/EC
집을	집/NNG+을/JKO
짓는	짓/VV+는/ETM
시공사는	시공사/NNG+는/JX
따로	따로/MAG
있듯	있/VA+듯/EC
요즘은	요즘/NNG+은/JX
공연	공연/NNG
조명	조명/NNG
분야도	분야/NNG+도/JX
분업화됐다.	분업/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.123.9.3
조명 설치하는 사람 따로, 공연 중 조명을 바꾸는 오퍼레이터도 따로 있다.

조명	조명/NNG
설치하는	설치/NNG+하/XSV+는/ETM
사람	사람/NNG
따로,	따로/MAG+,/SP
공연	공연/NNG
중	중/NNB
조명을	조명/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
오퍼레이터도	오퍼레이터/NNG+도/JX
따로	따로/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.123.9.4
기계도 좋아져 요즘은 조명 콘솔(조명 컨트롤러)에 미리 정보를 입력할 수 있기 때문에 예전엔 불가능했던 복잡한 조명의 구현이 가능해졌다.

기계도	기계/NNG+도/JX
좋아져	좋/VA+아/EC+지/VX+어/EC
요즘은	요즘/NNG+은/JX
조명	조명/NNG
콘솔(조명	콘솔/NNG+(/SS+조명/NNG
컨트롤러)에	컨트롤러/NNG+)/SS+에/JKB
미리	미리/MAG
정보를	정보/NNG+를/JKO
입력할	입력/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
예전엔	예전/NNG+에/JKB+ㄴ/JX
불가능했던	불/XPN+가능/NNG+하/XSA+았/EP+던/ETM
복잡한	복잡하/VA+ㄴ/ETM
조명의	조명/NNG+의/JKG
구현이	구현/NNG+이/JKS
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.123.10.1
“조명디자이너라고 하면 조명 기기와 함께 보내는 시간이 많을 것 같지만 사실 대본 분석에 가장 많은 노력을 기울입니다.

“조명디자이너라고	“/SS+조명/NNG+디자이너/NNG+이/VCP+라고/EC
하면	하/VV+면/EC
조명	조명/NNG
기기와	기기/NNG+와/JKB
함께	함께/MAG
보내는	보내/VV+는/ETM
시간이	시간/NNG+이/JKS
많을	많/VA+을/ETM
것	것/NNB
같지만	같/VA+지만/EC
사실	사실/MAG
대본	대본/NNG
분석에	분석/NNG+에/JKB
가장	가장/MAG
많은	많/VA+은/ETM
노력을	노력/NNG+을/JKO
기울입니다.	기울이/VV+ㅂ니다/EF+./SF


# id : NWRW1800000033.123.10.2
먼저 큰 그림을 그리고 연출가, 무대디자이너, 극작가, 의상디자이너와 의견을 교환하면서 장면 장면을 어떻게 갈 것인지 구체화합니다.”

먼저	먼저/MAG
큰	크/VA+ㄴ/ETM
그림을	그림/NNG+을/JKO
그리고	그리고/MAJ
연출가,	연출가/NNG+,/SP
무대디자이너,	무대/NNG+디자이너/NNG+,/SP
극작가,	극작가/NNG+,/SP
의상디자이너와	의상/NNG+디자이너/NNG+와/JKB
의견을	의견/NNG+을/JKO
교환하면서	교환/NNG+하/XSV+면서/EC
장면	장면/NNG
장면을	장면/NNG+을/JKO
어떻게	어떻/VA+게/EC
갈	가/VV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
구체화합니다.”	구체/NNG+화/XSN+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000033.123.11.1
그는 화려하고 인위적인 조명보다는 자연스러운 조명을 선호한다.

그는	그/NP+는/JX
화려하고	화려하/VA+고/EC
인위적인	인위/NNG+적/XSN+이/VCP+ㄴ/ETM
조명보다는	조명/NNG+보다/JKB+는/JX
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
조명을	조명/NNG+을/JKO
선호한다.	선호/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.123.11.2
그러다 보니 ‘심심하다’ ‘색깔을 좀더 많이 써야 하는 것 아니냐’는 항의도 종종 듣는다.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
‘심심하다’	‘/SS+심심하/VA+다/EF+’/SS
‘색깔을	‘/SS+색깔/NNG+을/JKO
좀더	좀/MAG+더/MAG
많이	많이/MAG
써야	쓰/VV+어야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐’는	아니/VCN+냐/EF+’/SS+는/ETM
항의도	항의/NNG+도/JX
종종	종종/MAG
듣는다.	듣/VV+는다/EF+./SF


# id : NWRW1800000033.123.12.1
“국내에선 조명은 밝고 화려해야 한다는 인식이 많아요.

“국내에선	“/SS+국내/NNG+에서/JKB+ㄴ/JX
조명은	조명/NNG+은/JX
밝고	밝/VA+고/EC
화려해야	화려하/VA+아야/EC
한다는	하/VX+ㄴ다는/ETM
인식이	인식/NNG+이/JKS
많아요.	많/VA+아요/EF+./SF


# id : NWRW1800000033.123.12.2
하지만 외국에선 자연스러우면서도 관객의 시선을 잘 컨트롤하는 조명을 선호합니다.”

하지만	하지만/MAJ
외국에선	외국/NNG+에서/JKB+ㄴ/JX
자연스러우면서도	자연/NNG+스럽/XSA+으면서/EC+도/JX
관객의	관객/NNG+의/JKG
시선을	시선/NNG+을/JKO
잘	잘/MAG
컨트롤하는	컨트롤/NNG+하/XSV+는/ETM
조명을	조명/NNG+을/JKO
선호합니다.”	선호/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000033.123.13.1
디자인의 세계에 끝은 없다.

디자인의	디자인/NNG+의/JKG
세계에	세계/NNG+에/JKB
끝은	끝/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.123.13.2
그는 작품 이해의 폭을 넓히기 위해 평소 심리학도 공부하고, 사회 현상을 다룬 소설책도 많이 읽는다.

그는	그/NP+는/JX
작품	작품/NNG
이해의	이해/NNG+의/JKG
폭을	폭/NNG+을/JKO
넓히기	넓히/VV+기/ETN
위해	위하/VV+아/EC
평소	평소/NNG
심리학도	심리학/NNG+도/JX
공부하고,	공부/NNG+하/XSV+고/EC+,/SP
사회	사회/NNG
현상을	현상/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
소설책도	소설책/NNG+도/JX
많이	많이/MAG
읽는다.	읽/VV+는다/EF+./SF


# id : NWRW1800000033.123.13.3
미술 작품을 보면서 상상력을 키우고, 색상이 주는 효과를 알기 위해 색채심리학도 공부한다.

미술	미술/NNG
작품을	작품/NNG+을/JKO
보면서	보/VV+면서/EC
상상력을	상상력/NNG+을/JKO
키우고,	키우/VV+고/EC+,/SP
색상이	색상/NNG+이/JKS
주는	주/VV+는/ETM
효과를	효과/NNG+를/JKO
알기	알/VV+기/ETN
위해	위하/VV+아/EC
색채심리학도	색채/NNG+심리학/NNG+도/JX
공부한다.	공부/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.123.14.1
들이는 노력에 비해 보수는 적은 편.

들이는	들이/VV+는/ETM
노력에	노력/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
보수는	보수/NNG+는/JX
적은	적/VA+은/ETM
편.	편/NNB+./SF


# id : NWRW1800000033.123.14.2
대극장 연극의 경우 한 작품에 300만∼400만 원, 뮤지컬은 500만 원 이상 받지만 소규모 연극은 적게는 30만 원도 받는다.

대극장	대/XPN+극장/NNG
연극의	연극/NNG+의/JKG
경우	경우/NNG
한	한/MMN
작품에	작품/NNG+에/JKB
300만∼400만	300/SN+만/NR+∼/SO+400/SN+만/NR
원,	원/NNB+,/SP
뮤지컬은	뮤지컬/NNG+은/JX
500만	500/SN+만/NR
원	원/NNB
이상	이상/NNG
받지만	받/VV+지만/EC
소규모	소/XPN+규모/NNG
연극은	연극/NNG+은/JX
적게는	적/VA+게/EC+는/JX
30만	30/SN+만/NR
원도	원/NNB+도/JX
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000033.123.14.3
연간 수입으로 따지면 평균 2000만∼3000만 원.

연간	연간/NNG
수입으로	수입/NNG+으로/JKB
따지면	따지/VV+면/EC
평균	평균/NNG
2000만∼3000만	2000/SN+만/NR+∼/SO+3000/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000033.123.14.4
이것도 국내 톱 디자이너로 꼽히는 3, 4명의 경우에만 그렇다.

이것도	이것/NP+도/JX
국내	국내/NNG
톱	톱/NNG
디자이너로	디자이너/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
3,	3/SN+,/SP
4명의	4/SN+명/NNB+의/JKG
경우에만	경우/NNG+에/JKB+만/JX
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000033.123.15.1
“예술가로 작품에 참여하고 있다는 만족감이 없으면 하기 어렵죠.

“예술가로	“/SS+예술가/NNG+로/JKB
작품에	작품/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
만족감이	만족감/NNG+이/JKS
없으면	없/VA+으면/EC
하기	하/VX+기/ETN
어렵죠.	어렵/VA+죠/EF+./SF


# id : NWRW1800000033.123.15.2
하지만 내가 작품에 의미를 만들고 있다고 생각하면 너무나 매력적인 직업입니다.”

하지만	하지만/MAJ
내가	내/NP+가/JKS
작품에	작품/NNG+에/JKB
의미를	의미/NNG+를/JKO
만들고	만들/VV+고/EC
있다고	있/VX+다고/EC
생각하면	생각/NNG+하/XSV+면/EC
너무나	너무나/MAG
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
직업입니다.”	직업/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


