# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.379
metadata : {}


# id : NWRW1800000052.379.1.1
북, 고강도 국제제재 맞서 ‘핵폭주’

북,	북/NNP+,/SP
명의로	명의/NNG+로/JKB
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“핵탄두의	“/SS+핵탄두/NNG+의/JKG
위력	위력/NNG
판정을	판정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
핵폭발	핵폭발/NNG
시험을	시험/NNG+을/JKO
단행했다”고	단행/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
<조선중앙텔레비전>	</SS+조선중앙텔레비전/NNP+>/SS
등이	등/NNB+이/JKS
일제히	일제히/MAG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.6.2
앞서 유럽지중해지진연구소는 이날 오전 “북한 지역 북위 41.19, 동경 129.05 지점에서 진도 5.3의 지진파가 오전 9시(북한시각) 정각 감지됐다”고 발표했다.

앞서	앞서/MAG
유럽지중해지진연구소는	유럽지중해지진연구소/NNP+는/JX
이날	이날/NNG
오전	오전/NNG
“북한	“/SS+북한/NNP
지역	지역/NNG
북위	북위/NNG
41.19,	41/SN+./SP+19/SN+,/SP
동경	동경/NNG
129.05	129/SN+./SP+05/SN
지점에서	지점/NNG+에서/JKB
진도	진도/NNP
5.3의	5/SN+./SP+3/SN+의/JKG
지진파가	지진파/NNG+가/JKS
9시(북한시각)	9/SN+시/NNB+(/SS+북한/NNP+시각/NNG+)/SS
정각	정각/NNG
감지됐다”고	감지/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.6.3
뒤이어 한국 기상청은 기자회견을 열어 “오전 9시30분1초에 북한 함경북도 길주군 풍계리 인근에서 5.04 규모의 지진이 발생한 것으로 분석됐다”고 밝혔다.

뒤이어	뒤잇/VV+어/EC
한국	한국/NNP
기상청은	기상청/NNG+은/JX
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“오전	“/SS+오전/NNG
9시30분1초에	9/SN+시/NNB+30/SN+분/NNB+1/SN+초/NNB+에/JKB
북한	북한/NNP
함경북도	함경북도/NNP
길주군	길주군/NNP
풍계리	풍계리/NNP
인근에서	인근/NNG+에서/JKB
5.04	5/SN+./SP+04/SN
규모의	규모/NNG+의/JKG
지진이	지진/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다”고	분석/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.379.6.4
문상균 국방부 대변인은 “이번 핵실험의 지진규모는 5.0으로 파악한다.

문상균	문상균/NNP
국방부	국방부/NNG
대변인은	대변인/NNG+은/JX
“이번	“/SS+이번/NNG
핵실험의	핵/NNG+실험/NNG+의/JKG
지진규모는	지진/NNG+규모/NNG+는/JX
5.0으로	5/SN+./SP+0/SN+으로/JKB
파악한다.	파악/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.379.6.5
폭발력이 대략 10kt에 이를 것으로 본다”고 말했다.

폭발력이	폭발력/NNG+이/JKS
대략	대략/MAG
10kt에	10/SN+kt/SW+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.6.6
4차 핵실험 때 폭발력은 6kt으로 추정됐다.

4차	4/SN+차/NNB
핵실험	핵/NNG+실험/NNG
때	때/NNG
폭발력은	폭발력/NNG+은/JX
6kt으로	6/SN+kt/SW+으로/JKB
추정됐다.	추정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.379.7.1
북한은 성명에서 “이번 핵시험에서는 전략탄도 로켓들에 장착할 수 있게 표준화, 규격화된 핵탄두의 구조와 동작 특성, 성능과 위력을 최종적으로 검토 확인했다”며 “핵탄두가 표준화, 규격화됨으로써 소형화, 경량화, 다종화된 보다 타격력이 높은 각종 핵탄두들을 마음먹은 대로 필요한 만큼 생산할 수 있게 됐다”고 주장했다.

북한은	북한/NNP+은/JX
성명에서	성명/NNG+에서/JKB
“이번	“/SS+이번/NNG
핵시험에서는	핵/NNG+시험/NNG+에서/JKB+는/JX
전략탄도	전략/NNG+탄도/NNG
로켓들에	로켓/NNG+들/XSN+에/JKB
장착할	장착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
표준화,	표준/NNG+화/XSN+,/SP
규격화된	규격/NNG+화/XSN+되/XSV+ㄴ/ETM
핵탄두의	핵탄두/NNG+의/JKG
구조와	구조/NNG+와/JC
동작	동작/NNG
특성,	특성/NNG+,/SP
성능과	성능/NNG+과/JC
위력을	위력/NNG+을/JKO
최종적으로	최종/NNG+적/XSN+으로/JKB
검토	검토/NNG
확인했다”며	확인/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“핵탄두가	“/SS+핵탄두/NNG+가/JKS
규격화됨으로써	규격/NNG+화/XSN+되/XSV+ㅁ/ETN+으로써/JKB
소형화,	소형/NNG+화/XSN+,/SP
경량화,	경량/NNG+화/XSN+,/SP
다종화된	다종/NNG+화/XSN+되/XSV+ㄴ/ETM
보다	보다/MAG
타격력이	타격력/NNG+이/JKS
높은	높/VA+은/ETM
각종	각종/NNG
핵탄두들을	핵탄두/NNG+들/XSN+을/JKO
마음먹은	마음먹/VV+은/ETM
대로	대로/NNB
필요한	필요/NNG+하/XSA+ㄴ/ETM
만큼	만큼/NNB
생산할	생산/NNG+하/XSV+ㄹ/ETM
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.8.1
북한의 5차 핵실험은 ‘초강수’로 풀이된다.

북한의	북한/NNP+의/JKG
5차	5/SN+차/NNB
핵실험은	핵/NNG+실험/NNG+은/JX
‘초강수’로	‘/SS+초/XPN+강수/NNG+’/SS+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.379.8.2
‘제재로는 우리를 막을 수 없다’는 메시지이자, ‘사드(고고도미사일방어) 체계 주한미군 배치’ 결정을 둘러싼 한·미·일 대 중·러의 갈등으로 동북아 정세에 균열이 심화하는 상황을 노린 ‘틈새 파고들기’의 측면도 있어 보인다.

‘제재로는	‘/SS+제재/NNG+로/JKB+는/JX
우리를	우리/NP+를/JKO
막을	막/VV+을/ETM
수	수/NNB
없다’는	없/VA+다/EF+’/SS+는/ETM
메시지이자,	메시지/NNG+이/VCP+자/EC+,/SP
‘사드(고고도미사일방어)	‘/SS+사드/NNG+(/SS+고/XPN+고도/NNG+미사일/NNG+방어/NNG+)/SS
체계	체계/NNG
주한미군	주한/NNG+미군/NNG
배치’	배치/NNG+’/SS
결정을	결정/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
한·미·일	한·미·일/NNP
대	대/NNB
중·러의	중/NNP+·/SP+러/NNP+의/JKG
갈등으로	갈등/NNG+으로/JKB
동북아	동북아/NNP
정세에	정세/NNG+에/JKB
균열이	균열/NNG+이/JKS
심화하는	심화/NNG+하/XSV+는/ETM
상황을	상황/NNG+을/JKO
노린	노리/VV+ㄴ/ETM
‘틈새	‘/SS+틈새/NNG
파고들기’의	파고들/VV+기/ETN+’/SS+의/JKG
측면도	측면/NNG+도/JX
있어	있/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.379.8.3
이날은 북한 정부 수립 68돌 기념일(9·9절)이기도 하다.

이날은	이날/NNG+은/JX
북한	북한/NNP
정부	정부/NNG
수립	수립/NNG
68돌	68/SN+돌/NNB
기념일(9·9절)이기도	기념일/NNG+(/SS+9·9절/NNG+)/SS+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000052.379.9.1
라오스를 공식 방문 중이던 박근혜 대통령은 일부 일정을 취소하고 4시간여 일찍 귀국해 밤 9시께 ‘안보상황 점검회의’를 소집했다.

라오스를	라오스/NNP+를/JKO
공식	공식/NNG
방문	방문/NNG
중이던	중/NNB+이/VCP+던/ETM
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
일부	일부/NNG
일정을	일정/NNG+을/JKO
취소하고	취소/NNG+하/XSV+고/EC
4시간여	4/SN+시간/NNB+여/XSN
일찍	일찍/MAG
귀국해	귀국/NNG+하/XSV+아/EC
밤	밤/NNG
9시께	9/SN+시/NNB+께/XSN
‘안보상황	‘/SS+안보/NNG+상황/NNG
점검회의’를	점검/NNG+회의/NNG+’/SS+를/JKO
소집했다.	소집/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.9.2
박 대통령은 황교안 국무총리와 외교·국방·통일부 장관, 합참의장, 국가안보실장, 대통령 비서실장 등이 참석한 가운데 핵실험 대책·영향 등을 점검했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
황교안	황교안/NNP
국무총리와	국무총리/NNG+와/JC
외교·국방·통일부	외교/NNG+·/SP+국방/NNG+·/SP+통일부/NNG
장관,	장관/NNG+,/SP
합참의장,	합참/NNG+의장/NNG+,/SP
국가안보실장,	국가/NNG+안보실장/NNG+,/SP
대통령	대통령/NNG
비서실장	비서실장/NNG
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
핵실험	핵/NNG+실험/NNG
대책·영향	대책/NNG+·/SP+영향/NNG
등을	등/NNB+을/JKO
점검했다.	점검/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.9.3
박 대통령은 이 자리에서 “김정은의 정신상태는 통제불능이라고 봐야 할 것”이라며 맹렬히 북한을 비난하고 “국내 불순세력이나 사회불안 조성자들에 대해 철저한 감시” 등을 강조했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
“김정은의	“/SS+김정은/NNP+의/JKG
정신상태는	정신/NNG+상태/NNG+는/JX
통제불능이라고	통제/NNG+불능/NNG+이/VCP+라고/EC
봐야	보/VV+아야/EC
할	하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
맹렬히	맹렬히/MAG
북한을	북한/NNP+을/JKO
비난하고	비난/NNG+하/XSV+고/EC
“국내	“/SS+국내/NNG
불순세력이나	불순/NNG+세력/NNG+이나/JC
사회불안	사회/NNG+불안/NNG
조성자들에	조성자/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
감시”	감시/NNG+”/SS
등을	등/NNB+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.9.4
박 대통령은 앞서 “(북한의 핵실험은) 김정은 정권의 광적인 무모함을 증명하는 것”이라며 “모든 수단을 다해 북한에 대한 압박을 강화해 나갈 것”이라고도 밝혔다.

박	박/NNP
대통령은	대통령/NNG+은/JX
앞서	앞서/MAG
“(북한의	“/SS+(/SS+북한/NNP+의/JKG
핵실험은)	핵/NNG+실험/NNG+은/JX+)/SS
김정은	김정은/NNP
정권의	정권/NNG+의/JKG
광적인	광/NNG+적/XSN+이/VCP+ㄴ/ETM
무모함을	무모/NNG+하/XSA+ㅁ/ETN+을/JKO
증명하는	증명/NNG+하/XSV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“모든	“/SS+모든/MMN
수단을	수단/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
압박을	압박/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라고도	것/NNB+”/SS+이라고/JKQ+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.379.10.1
버락 오바마 미국 대통령은 이날 “가장 강력한 용어로 북 핵실험을 규탄하며, 미국은 결코 북한을 핵보유국으로 인정할 수 없다”는 성명을 발표했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
“가장	“/SS+가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
용어로	용어/NNG+로/JKB
북	북/NNP
핵실험을	핵/NNG+실험/NNG+을/JKO
규탄하며,	규탄/NNG+하/XSV+며/EC+,/SP
미국은	미국/NNP+은/JX
결코	결코/MAG
북한을	북한/NNP+을/JKO
핵보유국으로	핵보유국/NNG+으로/JKB
인정할	인정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
성명을	성명/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.10.2
아울러 “사드 한국 배치 등 흔들림 없는 안보조처를 취하겠다”면서, 추가 대북제재도 경고했다.

아울러	아울러/MAG
“사드	“/SS+사드/NNG
한국	한국/NNP
배치	배치/NNG
등	등/NNB
흔들림	흔들리/VV+ㅁ/ETN
없는	없/VA+는/ETM
안보조처를	안보/NNG+조처/NNG+를/JKO
취하겠다”면서,	취하/VV+겠/EP+다/EF+”/SS+면서/EC+,/SP
추가	추가/NNG
대북제재도	대북/NNG+제재/NNG+도/JX
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.10.3
중국 외교부는 성명을 내어 “조선(북한)이 국제사회의 보편적인 반대에도 또다시 핵실험을 진행했다.

중국	중국/NNP
외교부는	외교부/NNG+는/JX
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“조선(북한)이	“/SS+조선/NNP+(/SS+북한/NNP+)/SS+이/JKS
국제사회의	국제/NNG+사회/NNG+의/JKG
보편적인	보편/NNG+적/XSN+이/VCP+ㄴ/ETM
반대에도	반대/NNG+에/JKB+도/JX
또다시	또다시/MAG
핵실험을	핵/NNG+실험/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.10.4
중국은 이에 견결한(단호한) 반대를 표시한다”면서도 “6자회담을 통해 관련 문제를 해결할 것을 견지한다”고 밝혔다.

중국은	중국/NNP+은/JX
이에	이/NP+에/JKB
견결한(단호한)	견결하/VA+ㄴ/ETM+(/SS+단호하/VA+ㄴ/ETM+)/SS
반대를	반대/NNG+를/JKO
표시한다”면서도	표시/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC+도/JX
“6자회담을	“/SS+6/SN+자/NNB+회담/NNG+을/JKO
통해	통하/VV+아/EC
관련	관련/NNG
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
견지한다”고	견지/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


