# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.396
metadata : {}


# id : NWRW1800000049.396.1.1
대형마트 허가前 골목상권 상생案 먼저 본다

대형마트	대형/NNG+마트/NNG
조사하고,	조사/NNG+하/XSV+고/EC+,/SP
이를	이/NP+를/JKO
기반으로	기반/NNG+으로/JKB
상생	상생/NNG
특별전담기구(TF)에서	특별/NNG+전담/NNG+기구/NNG+(/SS+TF/SL+)/SS+에서/JKB
조정안을	조정안/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
실제	실제/NNG
건축에	건축/NNG+에/JKB
반영하기로	반영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.396.5.1
상생TF에는 갈등 조정가, 유통 전문가 등이 참가하고 이해 당사자와 대면 회의도 갖는다.

상생TF에는	상생/NNG+TF/SL+에/JKB+는/JX
갈등	갈등/NNG
조정가,	조정가/NNG+,/SP
유통	유통/NNG
전문가	전문가/NNG
등이	등/NNB+이/JKS
참가하고	참가/NNG+하/XSV+고/EC
이해	이해/NNG
당사자와	당사자/NNG+와/JKB
대면	대면/NNG
회의도	회의/NNG+도/JX
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000049.396.5.2
앞서 서울 마포구 상암DMC롯데복합쇼핑몰 사업 추진 과정에서 지역 상인들이 반발하자 지난해 1월 서울시는 상권영향조사를 실시하고 7차례에 걸쳐 상생TF 회의를 진행하기도 했다.

앞서	앞서/MAG
서울	서울/NNP
마포구	마포구/NNP
상암DMC롯데복합쇼핑몰	상암DMC롯데복합쇼핑몰/NNP
사업	사업/NNG
추진	추진/NNG
과정에서	과정/NNG+에서/JKB
지역	지역/NNG
상인들이	상인/NNG+들/XSN+이/JKS
반발하자	반발/NNG+하/XSV+자/EC
지난해	지난해/NNG
1월	1/SN+월/NNB
서울시는	서울시/NNP+는/JX
상권영향조사를	상권/NNG+영향/NNG+조사/NNG+를/JKO
실시하고	실시/NNG+하/XSV+고/EC
7차례에	7/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
상생TF	상생/NNG+TF/SL
회의를	회의/NNG+를/JKO
진행하기도	진행/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.396.5.3
서울시 관계자는 “지역상인들이 거리로 뛰쳐나가는 등 갈등이 악화되기 전에 서울시가 갈등조정자로서 역할을 한 첫 사례”라며 “앞으로 갈등이 예상되는 다른 사업에도 상생협력 지원을 제공할 것”이라고 했다.

서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
“지역상인들이	“/SS+지역/NNG+상인/NNG+들/XSN+이/JKS
거리로	거리/NNG+로/JKB
뛰쳐나가는	뛰쳐나가/VV+는/ETM
등	등/NNB
갈등이	갈등/NNG+이/JKS
악화되기	악화/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
서울시가	서울시/NNP+가/JKS
갈등조정자로서	갈등/NNG+조정자/NNG+로서/JKB
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
첫	첫/MMN
사례”라며	사례/NNG+”/SS+이/VCP+라며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
다른	다른/MMD
사업에도	사업/NNG+에/JKB+도/JX
상생협력	상생/NNG+협력/NNG
지원을	지원/NNG+을/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.396.6.1
그러나 상생TF가 조정안을 논의하는 회의체일 뿐 강제 조정 권한이 없다는 점에서 한계가 있다는 지적도 나오고 있다.

그러나	그러나/MAJ
상생TF가	상생/NNG+TF/SL+가/JKS
조정안을	조정안/NNG+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
회의체일	회의체/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
강제	강제/NNG
조정	조정/NNG
권한이	권한/NNG+이/JKS
없다는	없/VA+다는/ETM
점에서	점/NNG+에서/JKB
한계가	한계/NNG+가/JKS
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.396.6.2
이에 대해 서울시 관계자는 “지역 상권과 대기업이 상생을 위한 논의의 장을 만든다는 데 의미가 있고 이를 이해한다면 기업에서도 적극 참여할 것”이라고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
“지역	“/SS+지역/NNG
상권과	상권/NNG+과/JC
대기업이	대/XPN+기업/NNG+이/JKS
상생을	상생/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
논의의	논의/NNG+의/JKG
장을	장/NNG+을/JKO
만든다는	만들/VV+ㄴ다는/ETM
데	데/NNB
의미가	의미/NNG+가/JKS
있고	있/VA+고/EC
이를	이/NP+를/JKO
이해한다면	이해/NNG+하/XSV+ㄴ다면/EC
기업에서도	기업/NNG+에서/JKB+도/JX
적극	적극/NNG
참여할	참여/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.396.7.1
서울시는 이날 ‘경제민주화 특별시, 서울’ 선언식을 열고 유통기업과 골목상권의 상생협력 지원 강화 방안 등 경제민주화 실천과제 16개를 제시했다.

서울시는	서울시/NNP+는/JX
이날	이날/NNG
‘경제민주화	‘/SS+경제/NNG+민주/NNG+화/XSN
특별시,	특별시/NNG+,/SP
서울’	서울/NNP+’/SS
선언식을	선언식/NNG+을/JKO
열고	열/VV+고/EC
유통기업과	유통/NNG+기업/NNG+과/JC
골목상권의	골목/NNG+상권/NNG+의/JKG
상생협력	상생/NNG+협력/NNG
지원	지원/NNG
강화	강화/NNG
방안	방안/NNG
등	등/NNB
경제민주화	경제/NNG+민주/NNG+화/XSN
실천과제	실천/NNG+과제/NNG
16개를	16/SN+개/NNB+를/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.396.7.2
박원순 서울시장은 “시민의 보호와 개인의 더 나은 삶, 공정하고 정의로운 사회를 위해 경제민주화 정책은 최우선적으로 추진할 것이며 서울시의 모든 역량을 집중하겠다”고 밝혔다.

박원순	박원순/NNP
서울시장은	서울시장/NNG+은/JX
“시민의	“/SS+시민/NNG+의/JKG
보호와	보호/NNG+와/JC
개인의	개인/NNG+의/JKG
더	더/MAG
나은	낫/VA+은/ETM
삶,	삶/NNG+,/SP
공정하고	공정/NNG+하/XSA+고/EC
정의로운	정의/NNG+롭/XSA+ㄴ/ETM
사회를	사회/NNG+를/JKO
위해	위하/VV+아/EC
경제민주화	경제/NNG+민주/NNG+화/XSN
정책은	정책/NNG+은/JX
최우선적으로	최/XPN+우선/NNG+적/XSN+으로/JKB
추진할	추진/NNG+하/XSV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
서울시의	서울시/NNP+의/JKG
모든	모든/MMN
역량을	역량/NNG+을/JKO
집중하겠다”고	집중/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


