# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.26
metadata : {}


# id : NWRW1800000033.26.1.1
현대·기아차 “수출-내수용 강판 차이 없다”

현대·기아차	현대/NNP+·/SP+기아차/NNP
# id : NWRW1800000033.26.5.1
현대차그룹은 31일 “2006년 말부터 차량 부식 방지를 위해 국내 판매 차량에도 수출용 차량과 동일하게 차체에 쓰이는 강판 가운데 아연도금 강판 비율을 70% 이상 적용하고 있다”고 밝혔다.

현대차그룹은	현대차그룹/NNP+은/JX
31일	31/SN+일/NNB
“2006년	“/SS+2006/SN+년/NNB
말부터	말/NNB+부터/JX
차량	차량/NNG
부식	부식/NNG
방지를	방지/NNG+를/JKO
위해	위하/VV+아/EC
국내	국내/NNG
판매	판매/NNG
차량에도	차량/NNG+에/JKB+도/JX
수출용	수출/NNG+용/XSN
차량과	차량/NNG+과/JKB
동일하게	동일/NNG+하/XSA+게/EC
차체에	차체/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
강판	강판/NNG
가운데	가운데/NNG
아연도금	아연/NNG+도금/NNG
비율을	비율/NNG+을/JKO
70%	70/SN+%/SW
이상	이상/NNG
적용하고	적용/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.26.5.2
아연도금 강판은 일반 강판에 아연을 입힌 것으로, 습기나 도로 제설 작업에 쓰이는 염화칼슘 등에 의해 차체가 부식되는 현상을 방지하는 기능을 갖추고 있다.

아연도금	아연/NNG+도금/NNG
강판은	강판/NNG+은/JX
일반	일반/NNG
강판에	강판/NNG+에/JKB
아연을	아연/NNG+을/JKO
입힌	입히/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
습기나	습기/NNG+나/JC
도로	도로/NNG
제설	제설/NNG
작업에	작업/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
염화칼슘	염화/NNG+칼슘/NNG
등에	등/NNB+에/JKB
의해	의하/VV+아/EC
차체가	차체/NNG+가/JKS
부식되는	부식/NNG+되/XSV+는/ETM
현상을	현상/NNG+을/JKO
방지하는	방지/NNG+하/XSV+는/ETM
기능을	기능/NNG+을/JKO
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.26.6.1
현대차그룹은 “2006년 말부터 ‘쏘나타’급 중형차 이상의 차량에 대해 아연도금 강판 비율을 70% 이상 적용해 왔다”며 “이후 지난해부터는 스포츠유틸리티차량(SUV)을 포함한 승용차 전 차종에 아연도금 강판 비율을 70% 이상 적용하고 있다”고 설명했다.

현대차그룹은	현대차그룹/NNP+은/JX
“2006년	“/SS+2006/SN+년/NNB
말부터	말/NNB+부터/JX
‘쏘나타’급	‘/SS+쏘나타/NNP+’/SS+급/NNG
중형차	중형차/NNG
이상의	이상/NNG+의/JKG
차량에	차량/NNG+에/JKB
대해	대하/VV+아/EC
아연도금	아연/NNG+도금/NNG
강판	강판/NNG
비율을	비율/NNG+을/JKO
70%	70/SN+%/SW
이상	이상/NNG
적용해	적용/NNG+하/XSV+아/EC
왔다”며	오/VX+았/EP+다/EF+”/SS+며/EC
“이후	“/SS+이후/NNG
지난해부터는	지난해/NNG+부터/JX+는/JX
스포츠유틸리티차량(SUV)을	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
승용차	승용차/NNG
전	전/MMN
차종에	차종/NNG+에/JKB
적용하고	적용/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.26.6.2
또 현대차그룹은 “한국은 적설량이 낮은 ‘방청(防靑·녹 방지) 무관지역’으로 분류되지만, 국내 소비자들의 만족도를 높이기 위해 ‘방청 가혹지역’인 미국, 유럽과 동일한 수준으로 아연도금 강판 비율을 적용하고 있다”고 덧붙였다.

또	또/MAG
현대차그룹은	현대차그룹/NNP+은/JX
“한국은	“/SS+한국/NNP+은/JX
적설량이	적설량/NNG+이/JKS
낮은	낮/VA+은/ETM
‘방청(防靑·녹	‘/SS+방청/NNG+(/SS+防靑/SH+·/SP+녹/NNG
방지)	방지/NNG+)/SS
무관지역’으로	무관/NNG+지역/NNG+’/SS+으로/JKB
분류되지만,	분류/NNG+되/XSV+지만/EC+,/SP
국내	국내/NNG
소비자들의	소비자/NNG+들/XSN+의/JKG
만족도를	만족도/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
‘방청	‘/SS+방청/NNG
가혹지역’인	가혹/NNG+지역/NNG+’/SS+이/VCP+ㄴ/ETM
미국,	미국/NNP+,/SP
유럽과	유럽/NNP+과/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
아연도금	아연/NNG+도금/NNG
강판	강판/NNG
비율을	비율/NNG+을/JKO
적용하고	적용/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.26.7.1
자동차 업체들은 통상 미국부식공업협회(NACE)가 작성한 전 세계 부식지도를 기준으로 방청 지역을 구분한다.

자동차	자동차/NNG
업체들은	업체/NNG+들/XSN+은/JX
통상	통상/MAG
미국부식공업협회(NACE)가	미국부식공업협회/NNP+(/SS+NACE/SL+)/SS+가/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
전	전/MMN
세계	세계/NNG
부식지도를	부식/NNG+지도/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
방청	방청/NNG
지역을	지역/NNG+을/JKO
구분한다.	구분/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.26.7.2
이 기준에 따르면 미국 뉴욕(252cm), 노르웨이 오슬로(900cm) 등 연간 평균 적설량이 많은 북미와 유럽 지역은 ‘방청 가혹 지역’으로 분류된다.

이	이/MMD
기준에	기준/NNG+에/JKB
따르면	따르/VV+면/EC
미국	미국/NNP
뉴욕(252cm),	뉴욕/NNP+(/SS+252/SN+cm/SW+)/SS+,/SP
노르웨이	노르웨이/NNP
오슬로(900cm)	오슬로/NNP+(/SS+900/SN+cm/SW+)/SS
등	등/NNB
연간	연간/NNG
평균	평균/NNG
적설량이	적설량/NNG+이/JKS
많은	많/VA+은/ETM
북미와	북미/NNP+와/JC
유럽	유럽/NNP
지역은	지역/NNG+은/JX
‘방청	‘/SS+방청/NNG
가혹	가혹/NNG
지역’으로	지역/NNG+’/SS+으로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.26.7.3
적설량이 50cm가 되지 않는 한국은 ‘방청 무관 지역’이다.

적설량이	적설량/NNG+이/JKS
50cm가	50/SN+cm/SW+가/JKC
되지	되/VV+지/EC
않는	않/VX+는/ETM
한국은	한국/NNP+은/JX
‘방청	‘/SS+방청/NNG
무관	무관/NNG
지역’이다.	지역/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.26.7.4
이 기준에 따라 자동차 업체들은 지역별로 아연도금 강판 사용 비중을 조절한다.

이	이/MMD
기준에	기준/NNG+에/JKB
따라	따르/VV+아/EC
자동차	자동차/NNG
업체들은	업체/NNG+들/XSN+은/JX
지역별로	지역/NNG+별/XSN+로/JKB
아연도금	아연/NNG+도금/NNG
강판	강판/NNG
사용	사용/NNG
비중을	비중/NNG+을/JKO
조절한다.	조절/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.26.7.5
업체들이 세계 전 지역에 동일한 아연도금 강판 비율을 적용하지 않는 것은 비용 때문이다.

업체들이	업체/NNG+들/XSN+이/JKS
세계	세계/NNG
전	전/MMN
지역에	지역/NNG+에/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
아연도금	아연/NNG+도금/NNG
강판	강판/NNG
비율을	비율/NNG+을/JKO
적용하지	적용/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
비용	비용/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.26.7.6
아연도금 강판은 일반 강판에 비해 10∼15% 비싸다.

아연도금	아연/NNG+도금/NNG
강판은	강판/NNG+은/JX
일반	일반/NNG
강판에	강판/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
10∼15%	10/SN+∼/SO+15/SN+%/SW
비싸다.	비싸/VA+다/EF+./SF


# id : NWRW1800000033.26.8.1
일부 자동차 동호회 인터넷 카페 등에서는 “현대·기아차가 내수용 차량에는 수출용과 다른 강판을 쓴다”는 문제가 꾸준히 제기됐다.

일부	일부/NNG
자동차	자동차/NNG
동호회	동호회/NNG
인터넷	인터넷/NNG
카페	카페/NNG
등에서는	등/NNB+에서/JKB+는/JX
“현대·기아차가	“/SS+현대/NNP+·/SP+기아차/NNP+가/JKS
내수용	내수/NNG+용/XSN
차량에는	차량/NNG+에/JKB+는/JX
수출용과	수출/NNG+용/XSN+과/JKB
다른	다르/VA+ㄴ/ETM
강판을	강판/NNG+을/JKO
쓴다”는	쓰/VV+ㄴ다/EF+”/SS+는/ETM
문제가	문제/NNG+가/JKS
꾸준히	꾸준히/MAG
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.26.8.2
아연도금 강판 비율뿐 아니라 강판의 두께, 강성(剛性)도 다르다는 것이다.

아연도금	아연/NNG+도금/NNG
강판	강판/NNG
비율뿐	비율/NNG+뿐/JX
아니라	아니/VCN+라/EC
강판의	강판/NNG+의/JKG
두께,	두께/NNG+,/SP
강성(剛性)도	강성/NNG+(/SS+剛性/SH+)/SS+도/JX
다르다는	다르/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.26.8.3
이 같은 문제 제기가 끊이지 않자 현대차그룹은 아예 지난해 9월 인터넷 파워블로거들과 자동차 동호회 회원들을 충남 아산공장으로 초청해 내수용 차량과 수출용 차량의 강판이 차이가 없다는 것을 직접 보여주기도 했다.

이	이/NP
같은	같/VA+은/ETM
문제	문제/NNG
제기가	제기/NNG+가/JKS
끊이지	끊이/VV+지/EC
않자	않/VX+자/EC
현대차그룹은	현대차그룹/NNP+은/JX
아예	아예/MAG
지난해	지난해/NNG
9월	9/SN+월/NNB
인터넷	인터넷/NNG
파워블로거들과	파워/NNG+블로거/NNG+들/XSN+과/JC
자동차	자동차/NNG
동호회	동호회/NNG
회원들을	회원/NNG+들/XSN+을/JKO
충남	충남/NNP
아산공장으로	아산/NNP+공장/NNG+으로/JKB
초청해	초청/NNG+하/XSV+아/EC
내수용	내수/NNG+용/XSN
차량과	차량/NNG+과/JC
수출용	수출/NNG+용/XSN
차량의	차량/NNG+의/JKG
강판이	강판/NNG+이/JKS
차이가	차이/NNG+가/JKS
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
직접	직접/MAG
보여주기도	보이/VV+어/EC+주/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.26.9.1
현대차그룹 관계자는 “여러 차종을 한 라인에서 동시에 생산하는 혼류(混流)생산 방식의 구조적 특성상 여러 강판을 쓰는 것은 불가능하다”며 “여기에 수출용과 내수용, 두 종류의 강판을 만들어 생산라인에 구분해 적용하면 오히려 생산비가 높아지기 때문에 그렇게 할 이유가 없다”고 설명했다.

현대차그룹	현대차그룹/NNP
관계자는	관계자/NNG+는/JX
“여러	“/SS+여러/MMN
차종을	차종/NNG+을/JKO
한	한/MMN
라인에서	라인/NNG+에서/JKB
동시에	동시/NNG+에/JKB
생산하는	생산/NNG+하/XSV+는/ETM
혼류(混流)생산	혼류/NNG+(/SS+混流/SH+)/SS+생산/NNG
방식의	방식/NNG+의/JKG
구조적	구조/NNG+적/XSN
특성상	특성/NNG+상/XSN
여러	여러/MMN
강판을	강판/NNG+을/JKO
쓰는	쓰/VV+는/ETM
것은	것/NNB+은/JX
불가능하다”며	불/XPN+가능/NNG+하/XSA+다/EF+”/SS+며/EC
“여기에	“/SS+여기/NP+에/JKB
수출용과	수출/NNG+용/XSN+과/JC
내수용,	내수/NNG+용/XSN+,/SP
두	두/MMN
종류의	종류/NNG+의/JKG
만들어	만들/VV+어/EC
생산라인에	생산/NNG+라인/NNG+에/JKB
구분해	구분/NNG+하/XSV+아/EC
적용하면	적용/NNG+하/XSV+면/EC
오히려	오히려/MAG
생산비가	생산비/NNG+가/JKS
높아지기	높아지/VV+기/ETN
때문에	때문/NNB+에/JKB
그렇게	그렇/VA+게/EC
할	하/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.26.9.2
아연도금 강판 비율을 낮춰 절감되는 원가보다 수출용과 내수용을 따로 구분해 생산하는 데 따른 비용이 더 든다는 것이다.

아연도금	아연/NNG+도금/NNG
강판	강판/NNG
비율을	비율/NNG+을/JKO
낮춰	낮추/VV+어/EC
절감되는	절감/NNG+되/XSV+는/ETM
원가보다	원가/NNG+보다/JKB
수출용과	수출/NNG+용/XSN+과/JC
내수용을	내수/NNG+용/XSN+을/JKO
따로	따로/MAG
구분해	구분/NNG+하/XSV+아/EC
생산하는	생산/NNG+하/XSV+는/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
비용이	비용/NNG+이/JKS
더	더/MAG
든다는	들/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.26.10.1
이 관계자는 “강판을 공급받을 때부터 수출용과 내수용을 구분하지 않는다”고 덧붙였다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“강판을	“/SS+강판/NNG+을/JKO
공급받을	공급/NNG+받/XSV+을/ETM
때부터	때/NNG+부터/JX
수출용과	수출/NNG+용/XSN+과/JC
내수용을	내수/NNG+용/XSN+을/JKO
구분하지	구분/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.26.10.2
현대차그룹은 계열사인 현대하이스코가 생산한 아연도금 강판을 사용하고 있다.

현대차그룹은	현대차그룹/NNP+은/JX
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
현대하이스코가	현대하이스코/NNP+가/JKS
생산한	생산/NNG+하/XSV+ㄴ/ETM
아연도금	아연/NNG+도금/NNG
강판을	강판/NNG+을/JKO
사용하고	사용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


