# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.111
metadata : {}


# id : NWRW1800000054.111.1.1
"동양화로 겉과 속 다른 사회 풍자했죠"

"동양화로	"/SS+동양화/NNG+로/JKB
보니	보/VX+니/EC
어느덧	어느덧/MAG
자신을	자신/NNG+을/JKO
드러내는	드러내/VV+는/ETM
트레이드	트레이드/NNG
마크가	마크/NNG+가/JKC
됐다고	되/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.111.6.3
소식을 알리는 소셜미디어 계정의 팔로어는 10만명이다.

소식을	소식/NNG+을/JKO
알리는	알리/VV+는/ETM
소셜미디어	소셜/NNG+미디어/NNG
계정의	계정/NNG+의/JKG
팔로어는	팔로어/NNG+는/JX
10만명이다.	10/SN+만/NR+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.111.6.4
작년 서울에서 열린 개인전에 총 6만7400여 명이 다녀갔다.

작년	작년/NNG
서울에서	서울/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
개인전에	개인전/NNG+에/JKB
총	총/MMA
6만7400여	6/SN+만/NR+7400/SN+여/XSN
명이	명/NNB+이/JKS
다녀갔다.	다녀가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.111.6.5
작품 '내숭' 시리즈가 인기몰이를 했다.

작품	작품/NNG
'내숭'	'/SS+내숭/NNP+'/SS
시리즈가	시리즈/NNG+가/JKS
인기몰이를	인기몰이/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.111.6.6
한복을 차려입은 여성이 단아한 의상과는 영 어울리지 않는 짓을 한다.

한복을	한복/NNG+을/JKO
차려입은	차려입/VV+은/ETM
여성이	여성/NNG+이/JKS
단아한	단아하/VA+ㄴ/ETM
의상과는	의상/NNG+과/JKB+는/JX
영	영/MAG
어울리지	어울리/VV+지/EC
않는	않/VX+는/ETM
짓을	짓/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.111.6.7
길거리 포장마차에서 떡볶이를 입에 우겨넣고, 다리를 훤히 내놓고 햄버거 배달 스쿠터를 탄다.

길거리	길거리/NNG
포장마차에서	포장마차/NNG+에서/JKB
떡볶이를	떡볶이/NNG+를/JKO
입에	입/NNG+에/JKB
우겨넣고,	우겨넣/VV+고/EC+,/SP
다리를	다리/NNG+를/JKO
훤히	훤히/MAG
내놓고	내놓/VV+고/EC
햄버거	햄버거/NNG
배달	배달/NNG
스쿠터를	스쿠터/NNG+를/JKO
탄다.	타/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.111.7.1
"내숭이란 게 겉과 속이 다른 거잖아요.

"내숭이란	"/SS+내숭/NNG+이/VCP+란/ETM
게	거/NNB+이/JKS
겉과	겉/NNG+과/JC
속이	속/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
거잖아요.	거/NNB+이/VCP+잖아/EF+요/JX+./SF


# id : NWRW1800000054.111.7.2
그런 순간을 포착한 그림을 관람객들이 깔깔 웃으면서 보세요." 전통 기법으로 친숙하고 이해하기 쉬운 그림을 그린다.

그런	그런/MMD
순간을	순간/NNG+을/JKO
포착한	포착/NNG+하/XSV+ㄴ/ETM
그림을	그림/NNG+을/JKO
관람객들이	관람객/NNG+들/XSN+이/JKS
깔깔	깔깔/MAG
웃으면서	웃/VV+으면서/EC
보세요."	보/VV+시/EP+어요/EF+./SF+"/SS
전통	전통/NNG
기법으로	기법/NNG+으로/JKB
친숙하고	친숙/NNG+하/XSA+고/EC
이해하기	이해/NNG+하/XSV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
그린다.	그리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.111.7.3
"어려운 미술은 저도 싫으니까요."

"어려운	"/SS+어렵/VA+ㄴ/ETM
미술은	미술/NNG+은/JX
저도	저/NP+도/JX
싫으니까요."	싫/VA+으니까/EC+요/JX+./SF+"/SS


# id : NWRW1800000054.111.8.1
선화예중·예고를 나와 서울대 동양화과를 졸업했다.

선화예중·예고를	선화예중·예고/NNP+를/JKO
나와	나오/VV+아/EC
서울대	서울대/NNP
동양화과를	동양화/NNG+과/NNG+를/JKO
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.111.8.2
"경쟁이 심해 누굴 인정하는 분위기가 아니었어요.

"경쟁이	"/SS+경쟁/NNG+이/JKS
심해	심하/VA+아/EC
누굴	누구/NP+ㄹ/JKO
인정하는	인정/NNG+하/XSV+는/ETM
분위기가	분위기/NNG+가/JKC
아니었어요.	아니/VCN+었/EP+어요/EF+./SF


# id : NWRW1800000054.111.8.3
여학생들끼리 명품 가방 들고 성형 얘기하는 '강남 문화'에 질리더군요." 고상한 옷 입고 고상하지 못한 짓 하는 속물적인 대학 친구를 비꼬는 그림을 그렸다.

여학생들끼리	여학생/NNG+들/XSN+끼리/XSN
명품	명품/NNG
가방	가방/NNG
들고	들/VV+고/EC
성형	성형/NNG
얘기하는	얘기/NNG+하/XSV+는/ETM
'강남	'/SS+강남/NNP
문화'에	문화/NNG+'/SS+에/JKB
질리더군요."	질리/VV+더군/EF+요/JX+./SF+"/SS
고상한	고상하/VA+ㄴ/ETM
옷	옷/NNG
입고	입/VV+고/EC
고상하지	고상하/VA+지/EC
못한	못하/VX+ㄴ/ETM
짓	짓/NNG
하는	하/VV+는/ETM
속물적인	속물/NNG+적/XSN+이/VCP+ㄴ/ETM
대학	대학/NNG
친구를	친구/NNG+를/JKO
비꼬는	비꼬/VV+는/ETM
그림을	그림/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.111.8.4
명품백 옆에 놓고 양은 냄비에 라면을 끓여 먹는 작품이었다.

명품백	명품/NNG+백/NNG
옆에	옆/NNG+에/JKB
놓고	놓/VV+고/EC
양은	양은/NNG
냄비에	냄비/NNG+에/JKB
라면을	라면/NNG+을/JKO
끓여	끓이/VV+어/EC
먹는	먹/VV+는/ETM
작품이었다.	작품/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.111.8.5
졸업전시회 작품으로 냈지만 "주제가 얕다"는 이유로 거절당했다.

졸업전시회	졸업/NNG+전시회/NNG
작품으로	작품/NNG+으로/JKB
냈지만	내/VV+었/EP+지만/EC
"주제가	"/SS+주제/NNG+가/JKS
얕다"는	얕/VA+다/EF+"/SS+는/ETM
이유로	이유/NNG+로/JKB
거절당했다.	거절/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.111.8.6
화가 나서 '화병(火病)'이란 제목의 화병(花甁)을 그려 졸업 심사를 통과했다.

화가	화/NNG+가/JKS
나서	나/VV+아서/EC
'화병(火病)'이란	'/SS+화병/NNG+(/SS+火病/SH+)/SS+'/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
화병(花甁)을	화병/NNG+(/SS+花甁/SH+)/SS+을/JKO
그려	그리/VV+어/EC
졸업	졸업/NNG
심사를	심사/NNG+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.111.9.1
젊은 미술인들의 축제 아시아프(ASY AAF)에 2009년부터 5년간 참여하며 대중에 이름을 알렸고 2013년 첫 개인전을 열었다.

젊은	젊/VA+은/ETM
미술인들의	미술인/NNG+들/XSN+의/JKG
축제	축제/NNG
아시아프(ASY	아시아프/NNP+(/SS+ASY/SL
AAF)에	AAF/SL+)/SS+에/JKB
2009년부터	2009/SN+년/NNB+부터/JX
5년간	5/SN+년/NNB+간/XSN
참여하며	참여/NNG+하/XSV+며/EC
대중에	대중/NNG+에/JKB
이름을	이름/NNG+을/JKO
알렸고	알리/VV+었/EP+고/EC
2013년	2013/SN+년/NNB
첫	첫/MMN
개인전을	개인전/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.111.9.2
졸업 심사에 떨어졌던 작품이 이제 가장 인기 있는 대표작이 됐다.

졸업	졸업/NNG
심사에	심사/NNG+에/JKB
떨어졌던	떨어지/VV+었/EP+던/ETM
작품이	작품/NNG+이/JKS
이제	이제/MAG
가장	가장/MAG
인기	인기/NNG
있는	있/VA+는/ETM
대표작이	대표작/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.111.9.3
"자취생도 작품을 살 수 있게 휴대폰 케이스나 액자로도 제 작품을 만들어요.

"자취생도	"/SS+자취/NNG+생/XSN+도/JX
작품을	작품/NNG+을/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
휴대폰	휴대폰/NNG
케이스나	케이스/NNG+나/JC
액자로도	액자/NNG+로/JKB+도/JX
제	저/NP+의/JKG
만들어요.	만들/VV+어요/EF+./SF


# id : NWRW1800000054.111.9.4
사람들 곁에서 사랑받는 '젊은 동양화' 쭉 그리고 싶어요."

사람들	사람/NNG+들/XSN
곁에서	곁/NNG+에서/JKB
사랑받는	사랑/NNG+받/XSV+는/ETM
'젊은	'/SS+젊/VA+은/ETM
동양화'	동양화/NNG+'/SS
쭉	쭉/MAG
그리고	그리/VV+고/EC
싶어요."	싶/VX+어요/EF+./SF+"/SS


