# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.350
metadata : {}


# id : NWRW1800000044.350.1.1
박대통령 지지율 급락해도 40%대

박대통령	박/NNP+대통령/NNG
이상과	이상/NNG+과/JC
대구·경북	대구/NNP+·/SP+경북/NNP
지역에서의	지역/NNG+에서/JKB+의/JKG
박	박/NNP
대통령	대통령/NNG
지지는	지지/NNG+는/JX
여전히	여전히/MAG
견고해,	견고하/VA+아/EC+,/SP
40%대의	40/SN+%/SW+대/XSN+의/JKG
지지율을	지지/NNG+율/XSN+을/JKO
떠받치고	떠받치/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.350.6.1
지난달 28~30일 여론조사 전문기관인 한국갤럽이 조사해 2일 발표한 ‘4월 5주차’ 조사 결과를 보면, 박 대통령이 직무를 ‘잘 수행하고 있다’고 평가한 이는 응답자의 48%로, 2주 전 조사 때(59%)보다 11%포인트 줄었다.

지난달	지난달/NNG
28~30일	28/SN+~/SO+30/SN+일/NNB
여론조사	여론/NNG+조사/NNG
전문기관인	전문/NNG+기관/NNG+이/VCP+ㄴ/ETM
한국갤럽이	한국갤럽/NNP+이/JKS
조사해	조사/NNG+하/XSV+아/EC
2일	2/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘4월	‘/SS+4/SN+월/NNB
5주차’	5/SN+주/NNB+차/NNB+’/SS
조사	조사/NNG
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
박	박/NNP
대통령이	대통령/NNG+이/JKS
직무를	직무/NNG+를/JKO
‘잘	‘/SS+잘/MAG
수행하고	수행/NNG+하/XSV+고/EC
있다’고	있/VX+다/EF+’/SS+고/JKQ
평가한	평가/NNG+하/XSV+ㄴ/ETM
이는	이/NNB+는/JX
응답자의	응답자/NNG+의/JKG
48%로,	48/SN+%/SW+로/JKB+,/SP
2주	2/SN+주/NNB
전	전/NNG
때(59%)보다	때/NNG+(/SS+59/SN+%/SW+)/SS+보다/JKB
11%포인트	11/SN+%포인트/NNG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.350.6.2
반면 ‘잘못하고 있다’는 응답은 40%로, 2주 전(28%)보다 12%포인트 늘었다.

반면	반면/NNG
‘잘못하고	‘/SS+잘못/MAG+하/XSV+고/EC
있다’는	있/VX+다/EF+’/SS+는/ETM
응답은	응답/NNG+은/JX
40%로,	40/SN+%/SW+로/JKB+,/SP
2주	2/SN+주/NNB
전(28%)보다	전/NNG+(/SS+28/SN+%/SW+)/SS+보다/JKB
12%포인트	12/SN+%포인트/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.350.6.3
연령별로는 특히 20대(37%→24%)와 30대(42%→28%) 젊은층 지지율이 20%대로 하락했다.

연령별로는	연령/NNG+별/XSN+로/JKB+는/JX
특히	특히/MAG
20대(37%→24%)와	20/SN+대/NNB+(/SS+37/SN+%/SW+→/SW+24/SN+%/SW+)/SS+와/JC
30대(42%→28%)	30/SN+대/NNB+(/SS+42/SN+%/SW+→/SW+28/SN+%/SW+)/SS
젊은층	젊/VA+은/ETM+층/NNG
지지율이	지지/NNG+율/XSN+이/JKS
20%대로	20/SN+%/SW+대/XSN+로/JKB
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.350.7.1
박 대통령의 지지율 하락은 세월호 참사와 관련한 박 대통령과 정부의 대응이 미흡(적절하지 못했다 82%)했다는 평가 때문으로 보인다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
지지율	지지/NNG+율/XSN
하락은	하락/NNG+은/JX
세월호	세월호/NNP
참사와	참사/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
대통령과	대통령/NNG+과/JC
정부의	정부/NNG+의/JKG
대응이	대응/NNG+이/JKS
미흡(적절하지	미흡/NNG+(/SS+적절하/VA+지/EC
못했다	못하/VX+았/EP+다/EF
82%)했다는	82/SN+%/SW+)/SS+하/XSA+았/EP+다는/ETM
평가	평가/NNG
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.350.7.2
휴대전화 임의걸기(RDD) 방식으로 전국 성인 1008명을 상대로 실시한 이 조사는 표본오차 ±3.1%포인트에 신뢰수준 95%였고, 응답률은 19%였다.

휴대전화	휴대/NNG+전화/NNG
임의걸기(RDD)	임의/NNG+걸/VV+기/ETN+(/SS+RDD/SL+)/SS
방식으로	방식/NNG+으로/JKB
전국	전국/NNG
성인	성인/NNG
1008명을	1008/SN+명/NNB+을/JKO
상대로	상대/NNG+로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
이	이/MMD
조사는	조사/NNG+는/JX
표본오차	표본/NNG+오차/NNG
±3.1%포인트에	±/SW+3/SN+./SP+1/SN+%포인트/NNG+에/JKB
신뢰수준	신뢰/NNG+수준/NNG
95%였고,	95/SN+%/SW+이/VCP+었/EP+고/EC+,/SP
응답률은	응답/NNG+률/XSN+은/JX
19%였다.	19/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.350.8.1
<문화일보>가 여론조사 전문기관 마크로밀엠브레인에 맡겨 지난달 30일 전국 19살 이상 1천명을 대상으로 실시해 이날 발표한 여론조사에서도 박 대통령 지지율은 한달 전(65.6%)보다 12.8%포인트 하락한 52.8%였다.

<문화일보>가	</SS+문화일보/NNP+>/SS+가/JKS
여론조사	여론/NNG+조사/NNG
전문기관	전문/NNG+기관/NNG
마크로밀엠브레인에	마크로밀엠브레인/NNP+에/JKB
맡겨	맡기/VV+어/EC
지난달	지난달/NNG
30일	30/SN+일/NNB
전국	전국/NNG
19살	19/SN+살/NNB
이상	이상/NNG
1천명을	1/SN+천/NR+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시해	실시/NNG+하/XSV+아/EC
이날	이날/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
여론조사에서도	여론/NNG+조사/NNG+에서/JKB+도/JX
박	박/NNP
대통령	대통령/NNG
지지율은	지지/NNG+율/XSN+은/JX
한달	한/MMN+달/NNB
전(65.6%)보다	전/NNG+(/SS+65/SN+./SP+6/SN+%/SW+)/SS+보다/JKB
12.8%포인트	12/SN+./SP+8/SN+%포인트/NNG
하락한	하락/NNG+하/XSV+ㄴ/ETM
52.8%였다.	52/SN+./SP+8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.350.8.2
이 조사는 유·무선 전화를 절반씩 섞어 임의걸기 방식으로 진행됐으며, 표본오차 ±3.1%포인트에 신뢰수준 95%였고, 응답률은 19.8%였다.

이	이/MMD
조사는	조사/NNG+는/JX
유·무선	유·무선/NNG
전화를	전화/NNG+를/JKO
절반씩	절반/NNG+씩/XSN
섞어	섞/VV+어/EC
임의걸기	임의/NNG+걸/VV+기/ETN
방식으로	방식/NNG+으로/JKB
진행됐으며,	진행/NNG+되/XSV+었/EP+으며/EC+,/SP
표본오차	표본/NNG+오차/NNG
±3.1%포인트에	±/SW+3/SN+./SP+1/SN+%포인트/NNG+에/JKB
신뢰수준	신뢰/NNG+수준/NNG
95%였고,	95/SN+%/SW+이/VCP+었/EP+고/EC+,/SP
응답률은	응답/NNG+률/XSN+은/JX
19.8%였다.	19/SN+./SP+8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.350.9.1
하지만 여전히 박 대통령의 지지율은 40%대 이상으로 견고했다.

하지만	하지만/MAJ
여전히	여전히/MAG
박	박/NNP
대통령의	대통령/NNG+의/JKG
지지율은	지지/NNG+율/XSN+은/JX
40%대	40/SN+%/SW+대/XSN
이상으로	이상/NNG+으로/JKB
견고했다.	견고하/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.350.9.2
어떤 상황에도 박 대통령을 지지하는 이른바 ‘콘크리트 지지층’이 두텁게 존재하기 때문이다.

어떤	어떤/MMD
상황에도	상황/NNG+에/JKB+도/JX
박	박/NNP
대통령을	대통령/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
이른바	이른바/MAG
‘콘크리트	‘/SS+콘크리트/NNG
지지층’이	지지/NNG+층/XSN+’/SS+이/JKS
두텁게	두텁/VA+게/EC
존재하기	존재/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.350.9.3
연령별로는 50대 이상(50대 64%, 60대 이상 77%), 지역별로는 대구·경북(69%)이 큰 역할을 하고 있다.

연령별로는	연령/NNG+별/XSN+로/JKB+는/JX
50대	50/SN+대/NNB
이상(50대	이상/NNG+(/SS+50/SN+대/NNB
64%,	64/SN+%/SW+,/SP
60대	60/SN+대/NNB
이상	이상/NNG
77%),	77/SN+%/SW+)/SS+,/SP
지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
대구·경북(69%)이	대구/NNP+·/SP+경북/NNP+(/SS+69/SN+%/SW+)/SS+이/JKS
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.350.9.4
허진재 한국갤럽 이사는 “박 대통령 지지율의 특징은 세대간 격차가 극심하다는 점”이라며 “50대 이상은 박 대통령을 어렸을 때부터 봐오면서 동질감을 느끼기 때문”이라고 말했다.

허진재	허진재/NNP
한국갤럽	한국갤럽/NNP
이사는	이사/NNG+는/JX
“박	“/SS+박/NNP
대통령	대통령/NNG
지지율의	지지/NNG+율/XSN+의/JKG
특징은	특징/NNG+은/JX
세대간	세대/NNG+간/NNB
격차가	격차/NNG+가/JKS
극심하다는	극심하/VA+다는/ETM
점”이라며	점/NNG+”/SS+이/VCP+라며/EC
“50대	“/SS+50/SN+대/NNB
이상은	이상/NNG+은/JX
박	박/NNP
대통령을	대통령/NNG+을/JKO
어렸을	어리/VA+었/EP+을/ETM
때부터	때/NNG+부터/JX
봐오면서	보/VV+아/EC+오/VX+면서/EC
동질감을	동질감/NNG+을/JKO
느끼기	느끼/VV+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


