# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.270
metadata : {}


# id : NWRW1800000022.270.1.1
'레스토랑 혹평' 유명한 英 요리사 램지 정작 자신의 레스토랑들은 파산 직전

'레스토랑	'/SS+레스토랑/NNG
# id : NWRW1800000022.270.3.1
미슐랭 가이드에서 별 셋을 받기도 한 램지는 전 세계 20곳에서 레스토랑을 운영해왔다.

미슐랭	미슐랭/NNP
가이드에서	가이드/NNG+에서/JKB
별	별/NNG
셋을	셋/NR+을/JKO
받기도	받/VV+기/ETN+도/JX
한	하/VX+ㄴ/ETM
램지는	램지/NNP+는/JX
전	전/MMN
세계	세계/NNG
20곳에서	20/SN+곳/NNG+에서/JKB
레스토랑을	레스토랑/NNG+을/JKO
운영해왔다.	운영/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.270.3.2
그중 로스앤젤레스·뉴욕·파리·프라하 등 4곳이 작년 50만파운드(약 10억원)의 적자를 냈고, 결국 빚이 1050만파운드(약 216억원)까지 늘어났다.

그중	그중/NNG
로스앤젤레스·뉴욕·파리·프라하	로스앤젤레스/NNP+·/SP+뉴욕/NNP+·/SP+파리/NNP+·/SP+프라하/NNP
등	등/NNB
4곳이	4/SN+곳/NNG+이/JKS
작년	작년/NNG
50만파운드(약	50/SN+만/NR+파운드/NNB+(/SS+약/MMA
10억원)의	10/SN+억/NR+원/NNB+)/SS+의/JKG
적자를	적자/NNG+를/JKO
냈고,	내/VV+었/EP+고/EC+,/SP
결국	결국/MAG
빚이	빚/NNG+이/JKS
1050만파운드(약	1050/SN+만/NR+파운드/NNB+(/SS+약/MMA
216억원)까지	216/SN+억/NR+원/NNB+)/SS+까지/JX
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.270.3.3
은행측은 램지가 대주주로 있는 '고든 램지 홀딩스'에 파산 신청을 권유한 상태다.

은행측은	은행/NNG+측/NNB+은/JX
램지가	램지/NNP+가/JKS
대주주로	대/XPN+주주/NNG+로/JKB
있는	있/VA+는/ETM
'고든	'/SS+고든/NNP
램지	램지/NNP
홀딩스'에	홀딩스/NNP+'/SS+에/JKB
파산	파산/NNG
신청을	신청/NNG+을/JKO
권유한	권유/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.270.3.4
램지는 빚을 갚기 위해 페라리 자동차를 팔았고 런던에 있는 수백만달러짜리 집도 처분할 것을 고려하고 있다.

램지는	램지/NNP+는/JX
빚을	빚/NNG+을/JKO
갚기	갚/VV+기/ETN
위해	위하/VV+아/EC
페라리	페라리/NNP
자동차를	자동차/NNG+를/JKO
팔았고	팔/VV+았/EP+고/EC
런던에	런던/NNP+에/JKB
있는	있/VA+는/ETM
수백만달러짜리	수백만/NR+달러/NNB+짜리/XSN
집도	집/NNG+도/JX
처분할	처분/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
고려하고	고려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.270.4.1
램지는 그간 엄청난 수입을 벌어들였고, 그만큼 써왔다.

램지는	램지/NNP+는/JX
그간	그/NP+간/XSN
엄청난	엄청나/VA+ㄴ/ETM
수입을	수입/NNG+을/JKO
벌어들였고,	벌어들이/VV+었/EP+고/EC+,/SP
그만큼	그만큼/MAG
써왔다.	쓰/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.270.4.2
그는 '키친 나이트매어', '헬스 키친(Hell's Kit chen)' 등 리얼리티 쇼에 출연해 인기를 끌면서, 출연료와 출판 수익으로만 연간 1000만파운드(약 200억원)를 벌어들였다.

그는	그/NP+는/JX
'키친	'/SS+키친/NNG
나이트매어',	나이트매어/NNG+'/SS+,/SP
'헬스	'/SS+헬스/NNG
키친(Hell's	키친/NNG+(/SS+Hell/SL+'/SS+s/SL
Kit	Kit/SL
chen)'	chen/SL+)/SS+'/SS
등	등/NNB
리얼리티	리얼리티/NNG
쇼에	쇼/NNG+에/JKB
출연해	출연/NNG+하/XSV+아/EC
인기를	인기/NNG+를/JKO
끌면서,	끌/VV+면서/EC+,/SP
출연료와	출연료/NNG+와/JC
출판	출판/NNG
수익으로만	수익/NNG+으로/JKB+만/JX
연간	연간/NNG
1000만파운드(약	1000/SN+만/NR+파운드/NNB+(/SS+약/MMA
200억원)를	200/SN+억/NR+원/NNB+)/SS+를/JKO
벌어들였다.	벌어들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.270.4.3
이 중 1200만파운드(약 246억원)를 다시 레스토랑 설립에 쏟아 부어 2005년에만 케이프타운 등 17곳에 새로운 레스토랑을 열었다.

이	이/MMD
중	중/NNB
1200만파운드(약	1200/SN+만/NR+파운드/NNB+(/SS+약/MMA
246억원)를	246/SN+억/NR+원/NNB+)/SS+를/JKO
다시	다시/MAG
레스토랑	레스토랑/NNG
설립에	설립/NNG+에/JKB
쏟아	쏟/VV+아/EC
부어	붓/VV+어/EC
2005년에만	2005/SN+년/NNB+에/JKB+만/JX
케이프타운	케이프타운/NNP
등	등/NNB
17곳에	17/SN+곳/NNG+에/JKB
새로운	새롭/VA+ㄴ/ETM
레스토랑을	레스토랑/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.270.4.4
페라리 자동차와 침실이 8개인 영국의 고급 주택도 샀다.

페라리	페라리/NNP
자동차와	자동차/NNG+와/JC
침실이	침실/NNG+이/JKS
8개인	8/SN+개/NNB+이/VCP+ㄴ/ETM
영국의	영국/NNP+의/JKG
고급	고급/NNG
주택도	주택/NNG+도/JX
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.270.5.1
그러나 작년부터 램지의 레스토랑들이 흔들리기 시작했다.

그러나	그러나/MAJ
작년부터	작년/NNG+부터/JX
램지의	램지/NNP+의/JKG
레스토랑들이	레스토랑/NNG+들/XSN+이/JKS
흔들리기	흔들리/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.270.5.2
경기불황에 사람들은 외식을 피했고, 레스토랑 손님이 급격히 줄었다.

경기불황에	경기/NNG+불황/NNG+에/JKB
사람들은	사람/NNG+들/XSN+은/JX
외식을	외식/NNG+을/JKO
피했고,	피하/VV+았/EP+고/EC+,/SP
레스토랑	레스토랑/NNG
손님이	손/NNG+님/XSN+이/JKS
급격히	급격히/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.270.5.3
램지는 레스토랑 운영 시간을 줄여 인건비를 아끼고, 저렴한 재료를 사용하는 등 불황에 대처하기 위해 노력했지만, 커져가는 손실을 막을 수 없었다.

램지는	램지/NNP+는/JX
레스토랑	레스토랑/NNG
운영	운영/NNG
시간을	시간/NNG+을/JKO
줄여	줄이/VV+어/EC
인건비를	인건비/NNG+를/JKO
아끼고,	아끼/VV+고/EC+,/SP
저렴한	저렴하/VA+ㄴ/ETM
재료를	재료/NNG+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
등	등/NNB
불황에	불황/NNG+에/JKB
대처하기	대처/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
노력했지만,	노력/NNG+하/XSV+았/EP+지만/EC+,/SP
커져가는	커지/VV+어/EC+가/VX+는/ETM
손실을	손실/NNG+을/JKO
막을	막/VV+을/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


