# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.389
metadata : {}


# id : NWRW1800000029.389.1.1
“박원순 해외 100여곳 다녀… 여행경비 어디서 조달했나”

“박원순	“/SS+박원순/NNP
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.389.4.2
박 후보가 최근 펴낸 ‘세상을 바꾸는 천 개의 직업’에서 “나는 1년에 3∼4개월은 외국에서 지낸다.

박	박/NNP
후보가	후보/NNG+가/JKS
최근	최근/MAG
펴낸	펴내/VV+ㄴ/ETM
‘세상을	‘/SS+세상/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
천	천/NR
개의	개/NNB+의/JKG
직업’에서	직업/NNG+’/SS+에서/JKB
“나는	“/SS+나/NP+는/JX
1년에	1/SN+년/NNB+에/JKB
3∼4개월은	3/SN+∼/SO+4/SN+개월/NNB+은/JX
외국에서	외국/NNG+에서/JKB
지낸다.	지내/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.389.4.3
가끔 초청 기관에서 숙소를 마련해줄 때도 있지만 대부분은 호텔에 짐을 푼다”고 적은 것을 근거로 들었다.

가끔	가끔/MAG
초청	초청/NNG
기관에서	기관/NNG+에서/JKB
숙소를	숙소/NNG+를/JKO
마련해줄	마련/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
때도	때/NNG+도/JX
있지만	있/VA+지만/EC
대부분은	대/XPN+부분/NNG+은/JX
호텔에	호텔/NNG+에/JKB
짐을	짐/NNG+을/JKO
푼다”고	풀/VV+ㄴ다/EF+”/SS+고/JKQ
적은	적/VA+은/ETM
것을	것/NNB+을/JKO
근거로	근거/NNG+로/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.389.4.4
한나라당 김기현 대변인은 “박 후보는 100여 개의 외국 도시를 여행했다는 풍문이 돌 정도”라면서 “한 번에 적게는 수백만 원에서 많게는 수천만 원에 이르는 경비를 어디에서 조달했느냐”고 해명을 촉구했다.

한나라당	한나라당/NNP
김기현	김기현/NNP
대변인은	대변인/NNG+은/JX
“박	“/SS+박/NNP
후보는	후보/NNG+는/JX
100여	100/SN+여/XSN
개의	개/NNB+의/JKG
외국	외국/NNG
도시를	도시/NNG+를/JKO
여행했다는	여행/NNG+하/XSV+았/EP+다는/ETM
풍문이	풍문/NNG+이/JKS
돌	돌/VV+ㄹ/ETM
정도”라면서	정도/NNG+”/SS+이/VCP+라면서/EC
“한	“/SS+한/MMN
번에	번/NNB+에/JKB
적게는	적/VA+게/EC+는/JX
수백만	수백만/NR
원에서	원/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
수천만	수천만/NR
원에	원/NNB+에/JKB
이르는	이르/VV+는/ETM
경비를	경비/NNG+를/JKO
어디에서	어디/NP+에서/JKB
조달했느냐”고	조달/NNG+하/XSV+았/EP+느냐/EF+”/SS+고/JKQ
해명을	해명/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.389.4.5
홍준표 대표는 최고위원회의에서 “그것도 협찬으로 충당했다면 그야말로 협찬 인생을 산 것”이라고 공격했다.

홍준표	홍준표/NNP
대표는	대표/NNG+는/JX
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“그것도	“/SS+그것/NP+도/JX
협찬으로	협찬/NNG+으로/JKB
충당했다면	충당/NNG+하/XSV+았/EP+다면/EC
그야말로	그야말로/MAG
협찬	협찬/NNG
인생을	인생/NNG+을/JKO
산	살/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
공격했다.	공격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.389.4.6
박 후보 측 우상호 대변인은 “공무로 간 것도 있고 사적인 것도 있다”며 “대응할 가치가 없다”고 맞받아쳤다.

박	박/NNP
후보	후보/NNG
측	측/NNB
우상호	우상호/NNP
대변인은	대변인/NNG+은/JX
“공무로	“/SS+공무/NNG+로/JKB
간	가/VV+ㄴ/ETM
것도	것/NNB+도/JX
있고	있/VA+고/EC
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
있다”며	있/VA+다/EF+”/SS+며/EC
“대응할	“/SS+대응/NNG+하/XSV+ㄹ/ETM
가치가	가치/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
맞받아쳤다.	맞받아치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.389.5.1
무소속 강용석 의원은 국회에서 기자회견을 열어 “박 후보가 2004∼2005년 스탠퍼드대에 머문 7개월 동안 P사로부터 체류비용으로 6000만 원을 지원받았다는 제보가 있다”면서 “아름다운재단 입금 현황을 보니 2004년 11월 P사가 6000만 원을 입금한 걸로 나와 있다.

무소속	무/XPN+소속/NNG
강용석	강용석/NNP
의원은	의원/NNG+은/JX
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“박	“/SS+박/NNP
후보가	후보/NNG+가/JKS
2004∼2005년	2004/SN+∼/SO+2005/SN+년/NNB
스탠퍼드대에	스탠퍼드대/NNP+에/JKB
머문	머물/VV+ㄴ/ETM
7개월	7/SN+개월/NNB
동안	동안/NNG
P사로부터	P/SL+사/NNG+로부터/JKB
체류비용으로	체류/NNG+비용/NNG+으로/JKB
6000만	6000/SN+만/NR
원을	원/NNB+을/JKO
지원받았다는	지원/NNG+받/XSV+았/EP+다는/ETM
제보가	제보/NNG+가/JKS
있다”면서	있/VA+다/EF+”/SS+면서/EC
“아름다운재단	“/SS+아름다운재단/NNP
입금	입금/NNG
현황을	현황/NNG+을/JKO
보니	보/VV+니/EC
2004년	2004/SN+년/NNB
11월	11/SN+월/NNB
P사가	P/SL+사/NNG+가/JKS
입금한	입금/NNG+하/XSV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.389.5.2
이게 사실이라면 범죄에 가까운 행위”라고 주장했다.

이게	이거/NP+이/JKS
사실이라면	사실/NNG+이/VCP+라면/EC
범죄에	범죄/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
행위”라고	행위/NNG+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.389.6.1
P사 측은 “스탠퍼드대에 ‘○○(P사명) 펠로’라는 인재육성 후원금을 내고 있지만 한국인은 지금껏 수상한 적이 없다”고 밝혔다.

P사	P/SL+사/NNG
측은	측/NNB+은/JX
“스탠퍼드대에	“/SS+스탠퍼드대/NNP+에/JKB
‘○○(P사명)	‘/SS+○○/SW+(/SS+P/SL+사명/NNG+)/SS
펠로’라는	펠로/NNG+’/SS+이/VCP+라는/ETM
인재육성	인재/NNG+육성/NNG
후원금을	후원금/NNG+을/JKO
내고	내/VV+고/EC
있지만	있/VX+지만/EC
한국인은	한국인/NNG+은/JX
지금껏	지금껏/MAG
수상한	수상/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.389.6.2
우 대변인은 “스탠퍼드대가 초청을 하고 월 1만 달러씩 지원해줘 객원교수로 생활했고 그것으로 생활비를 충당하고도 남았다고 한다”고 밝혔다.

우	우/NNP
대변인은	대변인/NNG+은/JX
“스탠퍼드대가	“/SS+스탠퍼드대/NNP+가/JKS
초청을	초청/NNG+을/JKO
하고	하/VV+고/EC
월	월/NNG
1만	1/SN+만/NR
달러씩	달러/NNB+씩/XSN
지원해줘	지원/NNG+하/XSV+아/EC+주/VX+어/EC
객원교수로	객원/NNG+교수/NNG+로/JKB
생활했고	생활/NNG+하/XSV+았/EP+고/EC
그것으로	그것/NP+으로/JKB
생활비를	생활비/NNG+를/JKO
충당하고도	충당/NNG+하/XSV+고/EC+도/JX
남았다고	남/VV+았/EP+다고/EC
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.389.7.1
한나라당은 박 후보의 학력 허위 기재 의혹에 대해서도 공세를 이어갔다.

한나라당은	한나라당/NNP+은/JX
박	박/NNP
후보의	후보/NNG+의/JKG
학력	학력/NNG
허위	허위/NNG
기재	기재/NNG
의혹에	의혹/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
공세를	공세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.389.7.2
나경원 후보 선대위원회는 박 후보의 선거 벽보와 공보물에 ‘서울대 문리과대학 사회과학계열 입학, 제적’이라고 기재된 부분에 대해 서울시선거관리위원회에 이의 제기를 신청했다.

나경원	나경원/NNP
후보	후보/NNG
선대위원회는	선대/NNG+위원회/NNG+는/JX
박	박/NNP
후보의	후보/NNG+의/JKG
선거	선거/NNG
벽보와	벽보/NNG+와/JC
공보물에	공보물/NNG+에/JKB
‘서울대	‘/SS+서울대/NNP
문리과대학	문리과/NNG+대학/NNG
사회과학계열	사회/NNG+과학/NNG+계열/NNG
입학,	입학/NNG+,/SP
제적’이라고	제적/NNG+’/SS+이라고/JKQ
기재된	기재/NNG+되/XSV+ㄴ/ETM
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
서울시선거관리위원회에	서울시선거관리위원회/NNP+에/JKB
이의	이의/NNG
제기를	제기/NNG+를/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.389.7.3
당시 서울대에 문리과대학이 없었으므로 허위 사실이고 ‘제적’이 아니라 ‘제명’이 정확한 표현이라는 것.

당시	당시/NNG
서울대에	서울대/NNP+에/JKB
문리과대학이	문리과/NNG+대학/NNG+이/JKS
없었으므로	없/VA+었/EP+으므로/EC
허위	허위/NNG
사실이고	사실/NNG+이/VCP+고/EC
‘제적’이	‘/SS+제적/NNG+’/SS+이/JKC
아니라	아니/VCN+라/EC
‘제명’이	‘/SS+제명/NNG+’/SS+이/JKS
정확한	정확/NNG+하/XSA+ㄴ/ETM
표현이라는	표현/NNG+이/VCP+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.389.7.4
서울시선관위는 중앙선관위의 수정 지시가 내려오면 벽보와 투표소에 해당 내용을 공지할 방침이라고 밝혔다.

서울시선관위는	서울시선관위/NNP+는/JX
중앙선관위의	중앙/NNG+선관위/NNG+의/JKG
수정	수정/NNG
지시가	지시/NNG+가/JKS
내려오면	내려오/VV+면/EC
벽보와	벽보/NNG+와/JC
투표소에	투표소/NNG+에/JKB
해당	해당/NNG
내용을	내용/NNG+을/JKO
공지할	공지/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.389.8.1
박 후보 측의 ‘역공’에 대해서도 법적 대응에 나섰다.

박	박/NNP
후보	후보/NNG
측의	측/NNB+의/JKG
‘역공’에	‘/SS+역공/NNG+’/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
법적	법/NNG+적/XSN
대응에	대응/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.389.8.2
나 후보는 이날 부친이 운영하는 학교재단의 감사대상 배제 청탁 의혹을 제기한 민주당 정봉주 전 의원을 공직선거법상 허위 사실 유포 혐의로 서울지방경찰청에 고발했다.

나	나/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
부친이	부친/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
학교재단의	학교/NNG+재단/NNG+의/JKG
감사대상	감사/NNG+대상/NNG
배제	배제/NNG
청탁	청탁/NNG
의혹을	의혹/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
민주당	민주당/NNP
정봉주	정봉주/NNP
전	전/MMD
의원을	의원/NNG+을/JKO
공직선거법상	공직/NNG+선거법/NNG+상/XSN
허위	허위/NNG
사실	사실/NNG
유포	유포/NNG
혐의로	혐의/NNG+로/JKB
서울지방경찰청에	서울지방경찰청/NNP+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


