# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.170
metadata : {}


# id : NWRW1800000030.170.1.1
죽어서야 고향에 돌아온 조 하사

죽어서야	죽/VV+어서/EC+야/JX
# id : NWRW1800000030.170.5.5
어둠이 깊어지자 총성과 포성이 다시 대관령 일대를 뒤덮었다.

어둠이	어둠/NNG+이/JKS
깊어지자	깊어지/VV+자/EC
총성과	총성/NNG+과/JC
포성이	포성/NNG+이/JKS
다시	다시/MAG
대관령	대관령/NNP
일대를	일대/NNG+를/JKO
뒤덮었다.	뒤덮/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.170.5.6
조명탄이 하늘을 뒤덮어 낮처럼 밝았다.

조명탄이	조명탄/NNG+이/JKS
하늘을	하늘/NNG+을/JKO
뒤덮어	뒤덮/VV+어/EC
낮처럼	낮/NNG+처럼/JKB
밝았다.	밝/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.170.6.1
이 전투에서 조 일병과 정 일병은 함께 전사했다.

이	이/MMD
전투에서	전투/NNG+에서/JKB
조	조/NNP
일병과	일병/NNG+과/JKB
정	정/NNP
일병은	일병/NNG+은/JX
함께	함께/MAG
전사했다.	전사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.6.2
전사 확인 직후 하사로 추서됐고, 1954년 화랑무공훈장을 받았다.

전사	전사/NNG
확인	확인/NNG
직후	직후/NNG
하사로	하사/NNG+로/JKB
추서됐고,	추서/NNG+되/XSV+었/EP+고/EC+,/SP
1954년	1954/SN+년/NNB
화랑무공훈장을	화랑/NNG+무공/NNG+훈장/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.6.3
둘의 유해는 전사 60년 만인 지난 5월 강원도 평창 대관령에서 국군유해발군감식단과 제36보병사단이 발굴했다.

둘의	둘/NR+의/JKG
유해는	유해/NNG+는/JX
전사	전사/NNG
60년	60/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
강원도	강원도/NNP
평창	평창/NNP
대관령에서	대관령/NNP+에서/JKB
국군유해발군감식단과	국군/NNG+유해/NNG+발군/NNG+감식단/NNG+과/JC
제36보병사단이	제/XPN+36/SN+보병/NNG+사단/NNG+이/JKS
발굴했다.	발굴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.7.1
8일 오후 2시쯤 부산 연제구 거제2동 조 하사의 막내동생 조용백(73)씨 집에 윤영진 육군 53사단 부사단장과 박신한 국방부 유해발굴감식단장, 오진영 부산보훈청장이 방문했다.

8일	8/SN+일/NNB
오후	오후/NNG
2시쯤	2/SN+시/NNB+쯤/XSN
부산	부산/NNP
연제구	연제구/NNP
거제2동	거제2동/NNP
조	조/NNP
하사의	하사/NNG+의/JKG
막내동생	막내동생/NNG
조용백(73)씨	조용백/NNP+(/SS+73/SN+)/SS+씨/NNB
집에	집/NNG+에/JKB
윤영진	윤영진/NNP
육군	육군/NNG
53사단	53/SN+사단/NNG
부사단장과	부사단장/NNG+과/JC
박신한	박신한/NNP
국방부	국방부/NNG
유해발굴감식단장,	유해/NNG+발굴/NNG+감식단장/NNG+,/SP
오진영	오진영/NNP
부산보훈청장이	부산보훈청장/NNG+이/JKS
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.8.1
조 하사의 유품과 위로패를 전하기 위해서다.

조	조/NNP
하사의	하사/NNG+의/JKG
유품과	유품/NNG+과/JC
위로패를	위로/NNG+패/NNG+를/JKO
전하기	전하/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000030.170.8.2
전사한 지 60년 만에 추석을 앞두고 유품으로 귀향한 것이다.

전사한	전사/NNG+하/XSV+ㄴ/ETM
지	지/NNB
60년	60/SN+년/NNB
만에	만/NNB+에/JKB
추석을	추석/NNG+을/JKO
앞두고	앞두/VV+고/EC
유품으로	유품/NNG+으로/JKB
귀향한	귀향/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.170.9.1
"고인이 목에 걸었던 인식표(군번이 적힌 명찰)와 군장 멜빵고리, 고인의 관을 덮었던 태극기를 유품으로 전합니다."

"고인이	"/SS+고인/NNG+이/JKS
목에	목/NNG+에/JKB
걸었던	걸/VV+었/EP+던/ETM
인식표(군번이	인식표/NNG+(/SS+군번/NNG+이/JKS
적힌	적히/VV+ㄴ/ETM
명찰)와	명찰/NNG+)/SS+와/JC
군장	군장/NNG
멜빵고리,	멜빵/NNG+고리/NNG+,/SP
고인의	고인/NNG+의/JKG
관을	관/NNG+을/JKO
덮었던	덮/VV+었/EP+던/ETM
태극기를	태극기/NNG+를/JKO
유품으로	유품/NNG+으로/JKB
전합니다."	전하/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000030.170.10.1
'K1137835'.

'K1137835'.	'/SS+K/SL+1137835/SN+'/SS+./SF


# id : NWRW1800000030.170.10.2
절반 정도 녹이 슨 인식표에는 이름도 없이 군번만 쓸쓸했다.

절반	절반/NNG
정도	정도/NNG
녹이	녹/NNG+이/JKS
슨	슬/VV+ㄴ/ETM
인식표에는	인식표/NNG+에/JKB+는/JX
이름도	이름/NNG+도/JX
없이	없이/MAG
군번만	군번/NNG+만/JX
쓸쓸했다.	쓸쓸하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.170.10.3
머리가 하얗게 센 동생은 눈물만 글썽였다.

머리가	머리/NNG+가/JKS
하얗게	하얗/VA+게/EC
센	세/VV+ㄴ/ETM
동생은	동생/NNG+은/JX
눈물만	눈물/NNG+만/JX
글썽였다.	글썽이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.170.11.1
동생 조씨는 "당시 추석을 얼마 앞두고 입대한 뒤 돌아오지 못한 셋째 형님이 이렇게나마 돌아왔다"며 "이번 추석은 정말 의미가 깊다"고 말했다.

동생	동생/NNG
조씨는	조/NNP+씨/NNB+는/JX
"당시	"/SS+당시/NNG
추석을	추석/NNG+을/JKO
얼마	얼마/NNG
앞두고	앞두/VV+고/EC
입대한	입대/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
돌아오지	돌아오/VV+지/EC
못한	못하/VX+ㄴ/ETM
셋째	셋째/NR
형님이	형/NNG+님/XSN+이/JKS
이렇게나마	이렇/VA+게/EC+나마/JX
돌아왔다"며	돌아오/VV+았/EP+다/EF+"/SS+며/EC
"이번	"/SS+이번/NNG
추석은	추석/NNG+은/JX
정말	정말/MAG
의미가	의미/NNG+가/JKS
깊다"고	깊/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.12.1
동생 조씨는 60여년 전 열세 살 무렵 "산에 나무하러 간다"고 나가던 형님의 모습이 가장 기억에 남는다고 했다.

동생	동생/NNG
조씨는	조/NNP+씨/NNB+는/JX
60여년	60/SN+여/XSN+년/NNB
전	전/NNG
열세	열세/MMN
살	살/NNB
무렵	무렵/NNB
"산에	"/SS+산/NNG+에/JKB
나무하러	나무/NNG+하/XSV+러/EC
간다"고	가/VV+ㄴ다/EF+"/SS+고/JKQ
나가던	나가/VV+던/ETM
형님의	형/NNG+님/XSN+의/JKG
모습이	모습/NNG+이/JKS
가장	가장/MAG
기억에	기억/NNG+에/JKB
남는다고	남/VV+는다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.13.1
장(長)조카 조현제(66)씨는 "5남3녀 중 특히 효자로 알려진 작은아버지를 할머니께서 평생 가슴에 묻고 사시다 돌아가셨는데 이제 조금이라도 편안해하실 것 같다"고 말했다.

장(長)조카	장/NA+(/SS+長/SH+)/SS+조카/NNG
조현제(66)씨는	조현제/NNP+(/SS+66/SN+)/SS+씨/NNB+는/JX
"5남3녀	"/SS+5/SN+남/NNG+3/SN+녀/NNG
중	중/NNB
특히	특히/MAG
효자로	효자/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
작은아버지를	작은아버지/NNG+를/JKO
할머니께서	할머니/NNG+께서/JKS
평생	평생/NNG
가슴에	가슴/NNG+에/JKB
묻고	묻/VV+고/EC
사시다	살/VV+시/EP+다/EC
돌아가셨는데	돌아가/VV+시/EP+었/EP+는데/EC
이제	이제/MAG
조금이라도	조금/NNG+이/VCP+라도/EC
편안해하실	편안/NNG+하/XSA+아/EC+하/VX+시/EP+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.14.1
가족들은 이번 추석에 모이면 조 하사 유해를 경남 창녕 가족묘지에 안장해 자주 찾아갈 것인지, 국립대전현충원에 안장해 예우받게 할 것인지 의논할 예정이다.

가족들은	가족/NNG+들/XSN+은/JX
이번	이번/NNG
추석에	추석/NNG+에/JKB
모이면	모이/VV+면/EC
조	조/NNP
하사	하사/NNG
유해를	유해/NNG+를/JKO
경남	경남/NNP
창녕	창녕/NNP
가족묘지에	가족/NNG+묘지/NNG+에/JKB
안장해	안장/NNG+하/XSV+아/EC
자주	자주/MAG
찾아갈	찾아가/VV+ㄹ/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EC+,/SP
국립대전현충원에	국립대전현충원/NNP+에/JKB
예우받게	예우/NNG+받/XSV+게/EC
할	하/VX+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
의논할	의논/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.170.14.2
이날 국방부 유해발굴감식단은 정우상 하사의 유품도 경남 양산 유족들에게 전달했다.

이날	이날/NNG
국방부	국방부/NNG
유해발굴감식단은	유해/NNG+발굴/NNG+감식단/NNG+은/JX
정우상	정우상/NNP
하사의	하사/NNG+의/JKG
유품도	유품/NNG+도/JX
경남	경남/NNP
양산	양산/NNP
유족들에게	유족/NNG+들/XSN+에게/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


