# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.85
metadata : {}


# id : NWRW1800000037.85.1.1
[대덕연구단지 40년]자갈 던지며 수류탄 연구… ‘TDX개발 못하면 처벌’ 혈서 쓰기도

[대덕연구단지	[/SS+대덕연구단지/NNP
“그럼	“/SS+그럼/MAJ
왜	왜/MAG
미군은	미군/NNG+은/JX
‘고구마형’이냐”는	‘/SS+고구마/NNG+형/XSN+’/SS+이/VCP+냐/EF+”/SS+는/JX
의문이	의문/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.85.5.6
그러나 ‘원시적인’ 실험 결과는 컴퓨터 시뮬레이션만큼이나 정확했고 놀라웠다.

그러나	그러나/MAJ
‘원시적인’	‘/SS+원시/NNG+적/XSN+이/VCP+ㄴ/ETM+’/SS
실험	실험/NNG
결과는	결과/NNG+는/JX
컴퓨터	컴퓨터/NNG
시뮬레이션만큼이나	시뮬레이션/NNG+만큼/JKB+이나/JX
정확했고	정확/NNG+하/XSA+았/EP+고/EC
놀라웠다.	놀랍/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.85.5.7
당시 미군이 수류탄을 사과형으로 교체 중이었다는 사실이 나중에 밝혀졌기 때문이다.

당시	당시/NNG
미군이	미군/NNG+이/JKS
수류탄을	수류탄/NNG+을/JKO
사과형으로	사과/NNG+형/XSN+으로/JKB
교체	교체/NNG
중이었다는	중/NNB+이/VCP+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
나중에	나중/NNG+에/JKB
밝혀졌기	밝혀지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.85.5.8
당시 정부의 수류탄 개발비가 쌀 67가마니(가마니당 7500원) 값인 50만 원이었을 적 얘기다.

당시	당시/NNG
정부의	정부/NNG+의/JKG
수류탄	수류탄/NNG
개발비가	개발비/NNG+가/JKS
쌀	쌀/NNG
67가마니(가마니당	67/SN+가마니/NNG+(/SS+가마니/NNG+당/XSN
7500원)	7500/SN+원/NNB+)/SS
값인	값/NNG+이/VCP+ㄴ/ETM
50만	50/SN+만/NR
원이었을	원/NNB+이/VCP+었/EP+을/ETM
적	적/NNB
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.85.6.1
‘맨땅에 헤딩’하는 식으로 기본화기(수류탄, 기관총, 박격포) 국산화 사업(일명 ‘번개사업’)을 이룬 과정은 한 실장이 원자력연구원장에 오른 뒤 쓴 저서 ‘수류탄에서 원자로까지’에 등장한다.

‘맨땅에	‘/SS+맨/XPN+땅/NNG+에/JKB
헤딩’하는	헤딩/NNG+’/SS+하/VV+는/ETM
식으로	식/NNB+으로/JKB
기본화기(수류탄,	기본/NNG+화기/NNG+(/SS+수류탄/NNG+,/SP
기관총,	기관총/NNG+,/SP
박격포)	박격포/NNG+)/SS
국산화	국산/NNG+화/XSN
사업(일명	사업/NNG+(/SS+일명/NNG
‘번개사업’)을	‘/SS+번개/NNG+사업/NNG+’/SS+)/SS+을/JKO
이룬	이루/VV+ㄴ/ETM
과정은	과정/NNG+은/JX
한	한/NNP
실장이	실장/NNG+이/JKS
원자력연구원장에	원자력/NNG+연구원장/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
뒤	뒤/NNG
쓴	쓰/VV+ㄴ/ETM
저서	저서/NNG
‘수류탄에서	‘/SS+수류탄/NNG+에서/JKB
원자로까지’에	원자로/NNG+까지/JX+’/SS+에/JKB
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.85.6.2
박정희 전 대통령은 신응균 국방과학연구소장이 기본화기를 국산화하기가 어렵다고 보고하자 “미군이 철수를 시작했다.

박정희	박정희/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
신응균	신응균/NNP
국방과학연구소장이	국방/NNG+과학/NNG+연구소장/NNG+이/JKS
기본화기를	기본/NNG+화기/NNG+를/JKO
국산화하기가	국산/NNG+화/XSN+하/XSV+기/ETN+가/JKS
어렵다고	어렵/VA+다고/EC
보고하자	보고/NNG+하/XSV+자/EC
“미군이	“/SS+미군/NNG+이/JKS
철수를	철수/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.85.6.3
전쟁이 발발하면 모두 죽는 위기 상황에서 ‘된다.

전쟁이	전쟁/NNG+이/JKS
발발하면	발발/NNG+하/XSV+면/EC
모두	모두/MAG
죽는	죽/VV+는/ETM
위기	위기/NNG
상황에서	상황/NNG+에서/JKB
‘된다.	‘/SS+되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.85.6.4
안 된다’ 따질 수 없으니 무조건 만들라”며 화를 냈다고 한다.

안	안/MAG
된다’	되/VV+ㄴ다/EF+’/SS
따질	따지/VV+ㄹ/ETM
수	수/NNB
없으니	없/VA+으니/EC
무조건	무/XPN+조건/NNG
만들라”며	만들/VV+라/EF+”/SS+며/EC
화를	화/NNG+를/JKO
냈다고	내/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.85.6.5
대통령은 ‘불가능’이라는 말을 용납하지 않았고 과학자들도 애국심과 사명감으로 난관을 넘었다.

대통령은	대통령/NNG+은/JX
‘불가능’이라는	‘/SS+불/XPN+가능/NNG+’/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
용납하지	용납/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
과학자들도	과학자/NNG+들/XSN+도/JX
애국심과	애국심/NNG+과/JC
사명감으로	사명감/NNG+으로/JKB
난관을	난관/NNG+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.85.7.1
1986년 12월 14일, 영광원자력발전소(현 한빛원전) 3, 4호기 원자로 계통설계를 맡은 미국의 컴버스천 엔지니어링사로 기술을 배우러 떠나는 원자력연구원 공동설계팀 환송식장.

1986년	1986/SN+년/NNB
12월	12/SN+월/NNB
14일,	14/SN+일/NNB+,/SP
영광원자력발전소(현	영광원자력발전소/NNP+(/SS+현/MMD
한빛원전)	한빛원전/NNP+)/SS
3,	3/SN+,/SP
4호기	4/SN+호기/NNB
원자로	원자로/NNG
계통설계를	계통/NNG+설계/NNG+를/JKO
맡은	맡/VV+은/ETM
미국의	미국/NNP+의/JKG
컴버스천	컴버스천/NNP
엔지니어링사로	엔지니어링사/NNG+로/JKB
기술을	기술/NNG+을/JKO
배우러	배우/VV+러/EC
떠나는	떠나/VV+는/ETM
원자력연구원	원자력연구원/NNP
공동설계팀	공동/NNG+설계/NNG+팀/NNG
환송식장.	환송/NNG+식장/NNG+./SF


# id : NWRW1800000037.85.7.2
때아닌 ‘대한민국 만세’가 울려 퍼졌다.

때아닌	때/NNG+아니/VCN+ㄴ/ETM
‘대한민국	‘/SS+대한민국/NNP
만세’가	만세/IC+’/SS+가/JKS
울려	울리/VV+어/EC
퍼졌다.	퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.85.7.3
한 원장은 “한국형 원자로(경수로)의 탄생은 전적으로 여러분 손에 달렸다.

한	한/NNP
원장은	원장/NNG+은/JX
“한국형	“/SS+한국/NNP+형/XSN
원자로(경수로)의	원자로/NNG+(/SS+경수로/NNG+)/SS+의/JKG
탄생은	탄생/NNG+은/JX
전적으로	전적/NNG+으로/JKB
여러분	여러분/NP
손에	손/NNG+에/JKB
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.85.7.4
실패하면 아예 돌아오지 마라”라며 만세 삼창을 선창했다.

실패하면	실패/NNG+하/XSV+면/EC
아예	아예/MAG
돌아오지	돌아오/VV+지/EC
마라”라며	말/VX+아라/EF+”/SS+라며/EC
만세	만세/NNG
삼창을	삼창/NNG+을/JKO
선창했다.	선창/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.85.8.1
1982년 초 당시 최순달 한국전자통신연구소장은 이른바 ‘TDX(시분할 전자교환기) 혈서’를 정부에 보냈다.

1982년	1982/SN+년/NNB
초	초/NNB
당시	당시/NNG
최순달	최순달/NNP
한국전자통신연구소장은	한국전자통신연구소장/NNG+은/JX
이른바	이른바/MAG
‘TDX(시분할	‘/SS+TDX/SL+(/SS+시분할/NNG
전자교환기)	전자/NNG+교환기/NNG+)/SS
혈서’를	혈서/NNG+’/SS+를/JKO
정부에	정부/NNG+에/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.85.8.2
‘연구원 일동은 신명을 바쳐 TDX 개발에 최선을 다하되 실패하면 어떤 처벌도 달게 받겠다’는 배수진의 각서였다.

‘연구원	‘/SS+연구원/NNG
일동은	일동/NNG+은/JX
신명을	신명/NNG+을/JKO
바쳐	바치/VV+어/EC
TDX	TDX/SL
개발에	개발/NNG+에/JKB
최선을	최선/NNG+을/JKO
다하되	다/MAG+하/XSV+되/EC
실패하면	실패/NNG+하/XSV+면/EC
어떤	어떤/MMD
처벌도	처벌/NNG+도/JX
달게	달/VA+게/EC
받겠다’는	받/VV+겠/EP+다/EF+’/SS+는/ETM
배수진의	배수진/NNG+의/JKG
각서였다.	각서/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.85.8.3
그 시절에 천문학적인 액수인 240억 원의 연구개발비를 받기 위해서는 정부에 확신을 심어줘야만 했다.

그	그/MMD
시절에	시절/NNG+에/JKB
천문학적인	천문학/NNG+적/XSN+이/VCP+ㄴ/ETM
액수인	액수/NNG+이/VCP+ㄴ/ETM
240억	240/SN+억/NR
원의	원/NNB+의/JKG
연구개발비를	연구/NNG+개발비/NNG+를/JKO
받기	받/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
정부에	정부/NNG+에/JKB
확신을	확신/NNG+을/JKO
심어줘야만	심/VV+어/EC+주/VX+어야/EC+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.85.8.4
연구원은 3년 만에 TDX 개발에 성공해 교환기 부족에 따른 전화 적체를 말끔히 해소했다.

연구원은	연구원/NNG+은/JX
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
TDX	TDX/SL
개발에	개발/NNG+에/JKB
성공해	성공/NNG+하/XSV+아/EC
교환기	교환기/NNG
부족에	부족/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
전화	전화/NNG
적체를	적체/NNG+를/JKO
말끔히	말끔히/MAG
해소했다.	해소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.85.8.5
이로써 한국은 통신 선진국에 진입했다.

이로써	이/NP+로써/JKB
한국은	한국/NNP+은/JX
통신	통신/NNG
선진국에	선진국/NNG+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


