# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.261
metadata : {}


# id : NWRW1800000025.261.1.1
李특임장관, 민주 원내대표단과 ‘화기애애 만찬’

李특임장관,	李/SH+특임/NNG+장관/NNG+,/SP
원내수석부대표와	원내/NNG+수석/NNG+부대표/NNG+와/JC
전혜숙	전혜숙/NNP
김희철	김희철/NNP
홍영표	홍영표/NNP
원내부대표,	원내/NNG+부대표/NNG+,/SP
전현희	전현희/NNP
대변인	대변인/NNG
등이	등/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.261.4.1
박 원내대표는 이 장관에게 △적극적인 대북 쌀 지원 △국회 4대강 검증특위 구성 △대기업슈퍼마켓(SSM) 관련 법안 처리 △정부조직법 개편 △장애인고용공단 이사장 교체 △청와대 비서관 인사의 지역안배 등을 요구했다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이	이/NNP
장관에게	장관/NNG+에게/JKB
△적극적인	△/SW+적극/NNG+적/XSN+이/VCP+ㄴ/ETM
대북	대북/NNG
쌀	쌀/NNG
지원	지원/NNG
△국회	△/SW+국회/NNG
4대강	4/SN+대/NNG+강/NNG
검증특위	검증/NNG+특위/NNG
구성	구성/NNG
△대기업슈퍼마켓(SSM)	△/SW+대/XPN+기업/NNG+슈퍼마켓/NNG+(/SS+SSM/SL+)/SS
관련	관련/NNG
법안	법안/NNG
처리	처리/NNG
△정부조직법	△/SW+정부/NNG+조직법/NNG
개편	개편/NNG
△장애인고용공단	△/SW+장애인/NNG+고용/NNG+공단/NNG
이사장	이사장/NNG
교체	교체/NNG
△청와대	△/SW+청와대/NNP
비서관	비서관/NNG
인사의	인사/NNG+의/JKG
지역안배	지역/NNG+안배/NNG
등을	등/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.261.5.1
전 대변인은 “이 장관은 민주당이 협조를 요청한 사안에 대해 당청과 조율하겠다고 답변하고, 총리 후보 인사청문회에 대한 민주당의 협조를 부탁했다”고 말했다.

전	전/MMD
대변인은	대변인/NNG+은/JX
“이	“/SS+이/NNP
장관은	장관/NNG+은/JX
민주당이	민주당/NNP+이/JKS
협조를	협조/NNG+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
사안에	사안/NNG+에/JKB
대해	대하/VV+아/EC
당청과	당청/NNG+과/JKB
조율하겠다고	조율/NNG+하/XSV+겠/EP+다고/EC
답변하고,	답변/NNG+하/XSV+고/EC+,/SP
총리	총리/NNG
후보	후보/NNG
인사청문회에	인사/NNG+청문회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
민주당의	민주당/NNP+의/JKG
부탁했다”고	부탁/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.261.5.2
민주당 원내대표실 관계자는 “박 원내대표는 이 장관을 믿을 만한 대여 창구로 보고 민주당의 요구 사항을 진지하게 제안하고 있다”고 말했다.

민주당	민주당/NNP
원내대표실	원내/NNG+대표실/NNG
관계자는	관계자/NNG+는/JX
“박	“/SS+박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이	이/NNP
장관을	장관/NNG+을/JKO
믿을	믿/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
대여	대여/NNG
창구로	창구/NNG+로/JKB
보고	보/VV+고/EC
민주당의	민주당/NNP+의/JKG
요구	요구/NNG
사항을	사항/NNG+을/JKO
진지하게	진지하/VA+게/EC
제안하고	제안/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


