# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.87
metadata : {}


# id : NWRW1800000049.87.1.1
[제4회 한국축제박람회]신촌물총축제, 365일 축제로 매일 행복하고 즐겁게 살자

[제4회	[/SS+제/XPN+4/SN+회/NNB
광장관, 커플관, 밤샘관, 예술영화관 등 다양한 테마상영관을 비롯하여 파자마파티와 미니빔 영화제 등 역동적 요소들과 직접 참여할 수 있는 요소들이 결합된 축제이다.

광장관,	광장관/NNG+,/SP
커플관,	커플관/NNG+,/SP
밤샘관,	밤샘관/NNG+,/SP
예술영화관	예술/NNG+영화관/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
테마상영관을	테마/NNG+상영관/NNG+을/JKO
비롯하여	비롯하/VV+아/EC
파자마파티와	파자마/NNG+파티/NNG+와/JC
미니빔	미니/NNG+빔/NNG
영화제	영화제/NNG
역동적	역동/NNG+적/XSN
요소들과	요소/NNG+들/XSN+과/JKB
직접	직접/MAG
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
요소들이	요소/NNG+들/XSN+이/JKS
결합된	결합/NNG+되/XSV+ㄴ/ETM
축제이다.	축제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.87.9.1
한길우 무언가 감독은 “365일 이색 축제가 펼쳐진다면 재미있지 않을까라는 생각으로 매일 매일 고민하고 있다.

한길우	한길우/NNP
무언가	무어/NP+이/VCP+ㄴ가/EF
감독은	감독/NNG+은/JX
“365일	“/SS+365/SN+일/NNB
이색	이색/NNG
축제가	축제/NNG+가/JKS
펼쳐진다면	펼쳐지/VV+ㄴ다면/EC
재미있지	재미있/VA+지/EC
않을까라는	않/VX+을까/EF+이/VCP+라는/ETM
생각으로	생각/NNG+으로/JKB
매일	매일/MAG
고민하고	고민/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.87.9.2
일 년 내내 축제하는 대한민국 생각만해도 즐겁다.

일	일/NR
년	년/NNB
내내	내내/MAG
축제하는	축제/NNG+하/XSV+는/ETM
대한민국	대한민국/NNP
생각만해도	생각/NNG+만/JX+하/VV+아도/EC
즐겁다.	즐겁/VA+다/EF+./SF


# id : NWRW1800000049.87.9.3
그렇게 된다면 우리나라 사람뿐만 아니라 전 세계에서 많은 사람이 방문하게 될 것이다.

그렇게	그렇/VA+게/EC
된다면	되/VV+ㄴ다면/EC
우리나라	우리나라/NNG
사람뿐만	사람/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
전	전/MMN
세계에서	세계/NNG+에서/JKB
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
방문하게	방문/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.87.9.4
그런 대한민국, 즐겁지 않을까?

그런	그런/MMD
대한민국,	대한민국/NNP+,/SP
즐겁지	즐겁/VA+지/EC
않을까?	않/VX+을까/EF+?/SF


# id : NWRW1800000049.87.9.5
대한민국 사람들에게 획일화된 삶의 방식이 아니라 다양한 모습으로 행복하게 사는 것을 보여주고 싶다”고 말했다.

대한민국	대한민국/NNP
사람들에게	사람/NNG+들/XSN+에게/JKB
획일화된	획일화/NNG+되/XSV+ㄴ/ETM
삶의	삶/NNG+의/JKG
방식이	방식/NNG+이/JKC
아니라	아니/VCN+라/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
모습으로	모습/NNG+으로/JKB
행복하게	행복/NNG+하/XSA+게/EC
사는	살/VV+는/ETM
것을	것/NNB+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


