# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.339
metadata : {}


# id : NWRW1800000038.339.1.1
원안위, 미래부 아닌 독립기구로… 농림축산부, 농축산식품부로 개명

원안위,	원안위/NNG+,/SP
# id : NWRW1800000038.339.13.4
여·야 협상팀 관계자는 "산학협력법(산업교육진흥 및 산학연협력촉진에 관한 법률)은 교육부에서 소관하도록 하되, 과거 과학기술부 영역에 속하는 산학협력 업무에 대해서는 미래부에서 담당하는 방식으로 나뉠 것"이라고 말했다.

여·야	여·야/NNG
협상팀	협상/NNG+팀/NNG
관계자는	관계자/NNG+는/JX
"산학협력법(산업교육진흥	"/SS+산학/NNG+협력법/NNG+(/SS+산업/NNG+교육/NNG+진흥/NNG
및	및/MAG
산학연협력촉진에	산학연/NNG+협력/NNG+촉진/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률)은	법률/NNG+)/SS+은/JX
교육부에서	교육부/NNG+에서/JKB
소관하도록	소관/NNG+하/XSV+도록/EC
하되,	하/VV+되/EC+,/SP
과거	과거/NNG
과학기술부	과학/NNG+기술부/NNG
영역에	영역/NNG+에/JKB
속하는	속하/VV+는/ETM
산학협력	산학/NNG+협력/NNG
업무에	업무/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
미래부에서	미래부/NNG+에서/JKB
담당하는	담당/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
나뉠	나뉘/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.339.14.1
여야는 이처럼 쟁점 사항들에 대해 잠정 합의했지만, IPTV 등 방통위의 일부 기능을 미래창조과학부로 이관하는 문제로 여전히 대립하고 있어, 경우에 따라서는 기존 합의 내용까지 번복될 가능성도 배제할 수는 없다.

여야는	여야/NNG+는/JX
이처럼	이/NP+처럼/JKB
쟁점	쟁점/NNG
사항들에	사항/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
잠정	잠정/NNG
합의했지만,	합의/NNG+하/XSV+았/EP+지만/EC+,/SP
IPTV	IPTV/SL
등	등/NNB
방통위의	방통위/NNG+의/JKG
일부	일부/NNG
기능을	기능/NNG+을/JKO
미래창조과학부로	미래/NNG+창조/NNG+과학부/NNG+로/JKB
이관하는	이관/NNG+하/XSV+는/ETM
문제로	문제/NNG+로/JKB
여전히	여전히/MAG
대립하고	대립/NNG+하/XSV+고/EC
있어,	있/VX+어/EC+,/SP
경우에	경우/NNG+에/JKB
따라서는	따르/VV+아서/EC+는/JX
기존	기존/NNG
합의	합의/NNG
내용까지	내용/NNG+까지/JX
번복될	번복/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


